step,base_height_m,tilt_deg,base_drift_m,leg_joint_dev_rad,arm_joint_dev_rad,leg_torque_nm
0,0.417548,0,5.81596e-09,7.45058e-09,1.47844e-07,1.86263e-07
1,0.411171,0,5.88477e-09,7.45058e-09,9.11767e-08,1.86264e-07
2,0.400871,0,5.81812e-09,7.45058e-09,5.0136e-08,1.86264e-07
3,0.386646,0,5.69428e-09,7.45058e-09,2.09384e-08,1.86264e-07
4,0.368498,0,5.60323e-09,7.45058e-09,7.21067e-10,1.86264e-07
5,0.346425,0,4.8074e-09,7.45058e-09,1.29095e-08,1.86264e-07
6,0.320417,0,2.58354e-06,0.0202523,7.20487e-05,1.86264e-07
7,0.292679,0.118694,0.00030713,0.19645,0.00106152,8.16922
8,0.267373,0.977988,0.0017677,0.359574,0.00211817,12.0018
9,0.246185,2.68278,0.00459158,0.505565,0.00344629,15.2278
10,0.229875,5.09997,0.00870258,0.631414,0.00506944,18.1592
11,0.218233,8.02793,0.0138768,0.737105,0.00650367,20.2912
12,0.210389,11.1858,0.0197324,0.82359,0.00792316,22.2219
13,0.205303,14.2119,0.0257738,0.890969,0.00940522,23.4
14,0.201939,16.6525,0.0315163,0.938332,0.0136866,23.4
15,0.199469,18.2397,0.0366286,0.967676,0.0347907,23.4
16,0.197861,18.6902,0.0405297,0.977926,0.0578798,20.2
17,0.197266,18.1322,0.0432889,0.971527,0.0792935,20.2
18,0.19726,17.2614,0.045779,0.958662,0.100175,20.2
19,0.197994,16.1983,0.0480813,0.940011,0.120121,20.2
20,0.199656,15.107,0.0502892,0.916673,0.135581,20.2
21,0.20233,14.0888,0.0524568,0.889466,0.143956,20.2
22,0.205991,13.1626,0.0545887,0.858634,0.15273,20.2
23,0.210542,12.2946,0.0566491,0.824074,0.173709,19.9493
24,0.215844,11.4237,0.0585832,0.785429,0.194432,18.9061
25,0.221748,10.479,0.0603432,0.742165,0.214046,17.7385
26,0.228123,9.38586,0.0619191,0.693558,0.229043,16.423
27,0.234878,8.099,0.0633407,0.63895,0.235641,14.945
28,0.241975,6.63616,0.0646327,0.578344,0.236937,13.3165
29,0.249406,5.02851,0.0658403,0.511803,0.235653,11.541
30,0.257152,3.32025,0.067021,0.439645,0.233142,9.62812
31,0.264981,1.62317,0.0682283,0.364676,0.22875,7.70184
32,0.272459,0.0884693,0.0694928,0.292006,0.221112,5.93133
33,0.279108,1.17103,0.0708129,0.227194,0.208049,5.02236
34,0.284488,2.07217,0.0721468,0.198102,0.190099,4.73509
35,0.288245,2.5991,0.0734285,0.188268,0.169861,4.52628
36,0.290154,2.76647,0.0745923,0.181877,0.148979,4.43248
37,0.290197,2.62286,0.0756134,0.180003,0.128219,4.47085
38,0.288473,2.22888,0.0764598,0.183234,0.107649,4.64474
39,0.285258,1.67445,0.0771044,0.191661,0.0885669,4.95617
40,0.280916,1.03325,0.0775579,0.213162,0.0731795,6.06244
41,0.275854,0.353324,0.0778583,0.256092,0.0609877,7.21435
42,0.270484,0.332791,0.0780557,0.300043,0.0513713,8.32958
43,0.265193,0.996422,0.0782014,0.342278,0.0438155,9.35149
44,0.260312,1.6187,0.0783382,0.380648,0.0378957,10.2369
45,0.256103,2.17879,0.0784953,0.413545,0.033275,10.9559
46,0.252753,2.65579,0.0786855,0.439855,0.0296715,11.4974
47,0.250375,3.02873,0.0789074,0.45881,0.0268573,11.8259
48,0.249013,3.27907,0.0791481,0.470109,0.0246424,11.9732
49,0.248652,3.39258,0.0793885,0.473706,0.0228681,11.9101
50,0.249226,3.36307,0.0796073,0.469914,0.0214044,11.6851
51,0.250633,3.19316,0.0797854,0.459308,0.020139,11.2915
52,0.252736,2.8953,0.0799069,0.442727,0.0189931,10.7649
53,0.255377,2.49206,0.0799613,0.421294,0.0179033,10.1316
54,0.258379,2.0146,0.0799432,0.396421,0.0168257,9.45129
55,0.261558,1.4992,0.0798505,0.36966,0.0157398,8.74644
56,0.264725,0.984569,0.0796827,0.342679,0.0146529,8.06439
57,0.2677,0.507834,0.0794403,0.317237,0.0135709,7.46154
58,0.270319,0.102792,0.0791233,0.294947,0.0125254,6.9635
59,0.272444,0.212142,0.0787311,0.277137,0.0115493,6.60126
60,0.273977,0.413542,0.0782636,0.264848,0.0106789,6.40018
61,0.274864,0.50046,0.0777215,0.258578,0.00994248,6.35784
62,0.275095,0.476834,0.0771077,0.258346,0.00936735,6.46606
