step,base_height_m,tilt_deg,base_drift_m,leg_joint_dev_rad,arm_joint_dev_rad,leg_torque_nm,arm_contact_n
0,0.418546,0.717725,0.00135365,0.0959911,0.00434093,3.61055,0
1,0.412329,0.767466,0.00163859,0.100359,0.00226684,2.53763,0
2,0.401823,0.463942,0.00111029,0.0659877,0.00176799,0.952771,0
3,0.387153,0.119924,0.000363201,0.021682,0.00148102,0.491682,0
4,0.368543,0.115773,0.000175298,0.0114831,0.00108458,0.871069,0
5,0.34616,0.188971,0.000382066,0.0235797,0.00107173,0.810538,0
6,0.32006,0.147043,0.000335908,0.0306937,0.00109891,0.437963,0
7,0.292305,0.0906257,0.000215055,0.186632,0.00109823,7.95527,0
8,0.266963,0.987206,0.00169143,0.351568,0.001546,11.8407,0
9,0.245747,2.81915,0.00463313,0.499538,0.00262531,15.1754,0
10,0.229406,5.37101,0.00881207,0.627226,0.00432123,18.0741,0
11,0.217719,8.42017,0.0139889,0.734542,0.00583718,20.3115,0
12,0.209811,11.6787,0.0198017,0.822452,0.00734308,22.2166,0
13,0.204633,14.7761,0.0257872,0.890986,0.00877084,23.4,0
14,0.20115,17.2479,0.0315014,0.939124,0.0158676,23.4,0
15,0.198916,18.5341,0.0362338,0.963875,0.0380759,23.4,0
16,0.197998,18.5603,0.0396563,0.966468,0.0601999,20.2,0
17,0.197964,17.9392,0.0425017,0.957278,0.0813722,20.2,0
18,0.198617,17.0538,0.0452102,0.941686,0.102095,20.2,0
19,0.200073,16.0109,0.0478309,0.920325,0.121609,20.2,0
20,0.202451,14.9388,0.0504144,0.89416,0.136809,20.2,0
21,0.205774,13.9033,0.0529766,0.863785,0.145764,20.2,0
22,0.209989,12.9097,0.0555011,0.829334,0.154893,19.7406,0
23,0.214992,11.9263,0.0579455,0.790748,0.174876,19.0437,0
24,0.220656,10.9058,0.0602618,0.747747,0.194462,17.8855,0
25,0.226853,9.80013,0.0624105,0.699974,0.213001,16.5985,0
26,0.233473,8.5626,0.0643813,0.647013,0.228189,15.1767,0
27,0.24044,7.16366,0.0661978,0.588391,0.236884,13.6069,0
28,0.247719,5.6001,0.0678979,0.523743,0.239245,11.8749,0
29,0.255257,3.9184,0.0695281,0.453635,0.237757,10.0177,0
30,0.262864,2.21844,0.0711405,0.380435,0.233365,8.12889,0
31,0.27021,0.99656,0.0727735,0.308208,0.225668,6.64359,0
32,0.276855,0.807083,0.074438,0.256405,0.213367,5.64683,0
33,0.282372,1.73768,0.0761073,0.22004,0.196839,5.09956,0
34,0.286401,2.38506,0.0777289,0.202558,0.177387,4.90358,0
35,0.288721,2.6671,0.0792556,0.196341,0.156817,4.79487,0
