step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789466967.253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0654,1e-05,0.004494578,0.0245104,0,0.438277,0.06591177,3046,0.5000504,,
1,1789466967.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06928,7.59375e-05,-0.02299181,0.03585109,0,0.3739328,0.03381419,3767,0.5003227,,
2,1789466968.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.08561,1e-05,-0.04886945,0.02302141,0,0.3635802,0.03359246,3867,0.5007239,,
3,1789466968.480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.09139,1.5e-05,-0.03875954,0.02481085,0,0.3748047,0.03308439,3765,0.5007719,,
4,1789466968.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.09222,1.5e-05,-0.03956129,0.02419711,0,0.3997772,0.0348978,3533,0.5007983,,
5,1789466969.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.09395,1.5e-05,-0.04237119,0.02488359,0,0.4400544,0.03426695,3238,0.5008418,,
6,1789466969.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.09616,1e-05,-0.0416639,0.02207687,0,0.4205463,0.03689623,3357,0.5009479,,
7,1789466970.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.10092,1.5e-05,-0.03762842,0.02501677,0,0.3906267,0.03626585,3598,0.5010902,,
8,1789466970.873,-0.01122743,0.06933329,-0.003027541,-0.001333333,0,-0.001033244,0.05203801,0.001275265,-0.01649613,0.005208333,0,0,0,0,13.10678,1.5e-05,-0.03672649,0.02609409,0.1913878,0.5488942,0.03297281,2639,0.5012841,209,2.68587
9,1789466971.429,-0.03537369,0.2171665,-0.00893905,-0.004,0,-0.003260115,0.1456882,0.003114348,-0.04882723,0.02213542,0,0,0,0,13.11697,1e-05,-0.03996422,0.020276,0.5935798,0.5187807,0.03417277,2777,0.5016443,220,2.649657
10,1789466971.844,-0.03774166,0.2299998,-0.00873805,-0.004,0,-0.003484652,0.131092,0.002118324,-0.04790161,0.03125,0,0,0,0,13.12726,1.5e-05,-0.03832449,0.02025745,0.6207626,0.3784065,0.03318763,3731,0.5018758,220,2.649657
11,1789466972.267,-0.03863158,0.2346665,-0.008720725,-0.004,0,-0.003469931,0.1290153,0.001992438,-0.04885291,0.03255209,0,0,0,0,13.13602,1e-05,-0.03679903,0.02196356,0.6217769,0.3871822,0.0326705,3658,0.5021077,242.3333,2.663781
12,1789466972.692,-0.04881422,0.2954581,-0.009767349,-0.004,0,-0.003426381,0.2951216,0.008597608,-0.03413906,0.06966146,0,0,0,0,13.14388,1.5e-05,-0.03561791,0.02414992,0.6233215,0.3863375,0.03573179,3639,0.5023512,271.8333,3.947103
13,1789466973.130,-0.05241541,0.3099998,-0.009039333,-0.004,0,-0.003265095,0.2761605,0.000327273,-0.03387198,0.09375,0,0,0,0,13.15353,1e-05,-0.04292942,0.01643145,0.4478636,0.3989539,0.03571177,3533,0.5026151,271.8333,3.947103
14,1789466973.556,-0.05241541,0.3099998,-0.009039333,-0.004,0,-0.003265095,0.2761605,0.000327273,-0.03387198,0.09375,0,0,0,0,13.16322,1.5e-05,-0.03988545,0.0153563,0.4478636,0.387428,0.03576183,3629,0.5029196,271.8333,3.947103
15,1789466974.020,-0.05241541,0.3099998,-0.009039333,-0.004,0,-0.003265095,0.2761605,0.000327273,-0.03387198,0.09375,0,0,0,0,13.17156,1e-05,-0.04339955,0.01611435,0.4478636,0.428031,0.03287148,3332,0.5030582,271.8333,3.947103
