step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_height,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789554855.930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07105,1e-05,0.02144438,0.03172212,0,0.5135677,0.07427502,83614,0.5002387,,
1,1789554856.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.08324,7.59375e-05,-0.004933612,0.02243644,0,0.4586754,0.04025245,98515,0.5008397,,
2,1789554856.953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.12631,0.0003844336,-0.008142962,0.01677018,0,0.4745696,0.03856277,95788,0.5026925,,
3,1789554857.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.22006,0.0008649756,-0.01033535,0.01354906,0,0.4781339,0.03814578,95204,0.505325,,
4,1789554857.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.31069,0.0008649756,-0.01128652,0.01274319,0,0.4809253,0.03788424,94739,0.5081331,,
5,1789554858.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.40255,0.0005766504,-0.01192121,0.01253023,0,0.4830139,0.03803587,94332,0.510403,,
6,1789554859.050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.48791,0.0005766504,-0.01258286,0.01159857,0,0.4895434,0.03828573,93121,0.5129134,,
7,1789554859.570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57698,0.0008649756,-0.01062193,0.01247705,0,0.4778047,0.03806138,95280,0.5155887,,
8,1789554860.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.67676,0.0008649756,-0.0102695,0.01326013,0,0.479825,0.03817797,94887,0.5187392,,
9,1789554860.929,-0.01473725,0.08762494,-0.01045826,-0.001845122,-0.0015,0,-0.0007225589,0.09587335,0.005700438,-0.01035316,0.0003662109,0,0,0,0,13.77128,0.0008649756,-0.009856361,0.01349697,0.1840477,0.7969599,0.0380795,58861,0.5209435,235,3.788103
10,1789554861.467,-0.04269425,0.2490415,-0.03068464,-0.004999463,-0.004,0,-0.002117966,0.2860538,0.005880732,-0.02314997,0.003621419,0,0,0,0,13.82665,0.0008649756,-0.009684498,0.01328559,0.5039208,0.4961839,0.0381074,91994,0.5224273,243.2222,4.184749
11,1789554862.267,-0.04683825,0.2744998,-0.03247716,-0.004998179,-0.004,0,-0.002294126,0.3560766,0.00660659,-0.02658158,0.008626303,0,0,0,0,13.88793,0.0008649756,-0.009001577,0.01448555,0.5391122,0.7556479,0.03952289,61813,0.5244204,267.6207,4.880083
12,1789554862.833,-0.05141306,0.2993331,-0.03481597,-0.005109684,-0.004,0,-0.002568305,0.3205794,0.005648731,-0.02799238,0.02339681,0,0,0,0,13.96632,0.0008649756,-0.009246653,0.0167469,0.5047499,0.5237756,0.03813124,87473,0.5270801,287.3478,4.957062
13,1789554863.405,-0.05556744,0.3234998,-0.036196,-0.005428637,-0.004,0,-0.002712839,0.3830892,0.009074096,-0.02863916,0.05362956,0,0,0,0,14.05187,0.0003844336,-0.008981428,0.02029842,0.5053922,0.5297348,0.0383265,86525,0.5291274,323.29,5.594505
14,1789554863.982,-0.06010704,0.3474997,-0.04012039,-0.00554174,-0.004,0,-0.00290909,0.4219837,0.01004151,-0.03003063,0.1088867,0,0,0,0,14.12567,0.0005766504,-0.009882813,0.02180129,0.5049686,0.533958,0.03907013,85775,0.5317119,354.02,6.524767
15,1789554864.564,-0.06439248,0.3714997,-0.0421026,-0.005740791,-0.004,0,-0.003109345,0.4492052,0.01082138,-0.0319469,0.1864421,0,0,0,0,14.21141,0.0008649756,-0.01083599,0.02078763,0.501551,0.5396907,0.03810263,85068,0.5342566,377.13,7.026084
16,1789554865.141,-0.06871801,0.3954997,-0.04681484,-0.005832571,-0.004,0,-0.003376205,0.4976033,0.01136903,-0.03545532,0.2684937,0,0,0,0,14.27239,0.0008649756,-0.01092149,0.01980489,0.5010925,0.5350163,0.03804994,85770,0.5354257,402.28,7.563545
17,1789554865.720,-0.07288562,0.4178335,-0.05017292,-0.005934709,-0.004,0,-0.00356428,0.524622,0.01435234,-0.03730101,0.349589,0,0,0,0,14.31107,0.0005766504,-0.01151093,0.01959045,0.4931861,0.5369396,0.03832507,85442,0.536967,423.26,8.053151
18,1789554866.306,-0.07632228,0.4366354,-0.0546166,-0.005970185,-0.004,0,-0.00378369,0.5757232,0.01447729,-0.0403105,0.4204305,0,0,0,0,14.37193,0.0005766504,-0.01256613,0.01660086,0.4969018,0.5435059,0.03855252,84445,0.5387118,440.51,8.723631
19,1789554866.889,-0.08086739,0.4610885,-0.05753152,-0.006277394,-0.004,0,-0.004050823,0.6163683,0.01550675,-0.04149369,0.4886475,0,0,0,0,14.41518,0.0005766504,-0.01218294,0.0152321,0.4899418,0.5395815,0.03929067,84909,0.5397986,468.49,9.043858
20,1789554867.454,-0.07367194,0.4173629,-0.05863987,-0.005593089,-0.003834064,-1.836974e-06,-0.003745853,0.5409877,0.01505561,-0.04184776,0.5424194,0,0,0,0.09287517,14.45623,0.0005766504,-0.01165454,0.01558142,0.4897453,0.5227995,0.03825569,87606,0.5412754,480.66,6.719542
21,1789554867.964,-0.03407157,0.1880832,-0.03540871,-0.003464497,-0.004,0,-0.002132543,0.2256549,0.008088312,-0.03123577,0.5561523,0,0,0,0.4458008,14.50037,0.001297463,-0.01111441,0.02552099,0.5325664,0.4660087,0.03947091,97238,0.5423737,431.49,6.055369
22,1789554868.472,-0.03865169,0.211229,-0.04063514,-0.003850262,-0.004,0,-0.002397172,0.2656326,0.007608191,-0.03436181,0.5561523,0,0,0,0.4458008,14.52016,0.0008649756,-0.01044864,0.0163328,0.4891928,0.4651878,0.03925204,97438,0.5427291,395.11,5.421052
23,1789554868.983,-0.0421572,0.2288748,-0.05103197,-0.003817333,-0.004,0,-0.002843552,0.2330943,0.004251823,-0.03883933,0.5561523,0,0,0,0.4458008,14.5338,0.001297463,-0.01112658,0.01830854,0.522253,0.4676511,0.0394733,96922,0.5435317,352.88,5.047798
24,1789554869.486,-0.04530243,0.2437082,-0.05183551,-0.003968642,-0.004,0,-0.002730111,0.3420925,0.01514886,-0.03926448,0.5561523,0,0,0,0.4458008,14.57118,0.001297463,-0.01032601,0.02218193,0.5060126,0.4613321,0.03806233,98423,0.5450045,322.44,4.828167
25,1789554869.986,-0.04884849,0.2653818,-0.05887283,-0.004218324,-0.004,0,-0.003324525,0.288368,0.005602913,-0.0461988,0.5561523,0,0,0,0.4458008,14.61005,0.001946195,-0.009717724,0.07309803,0.580943,0.4578621,0.0381124,99101,0.5458999,291.53,4.481305
26,1789554870.479,-0.05013391,0.2652498,-0.05698553,-0.003936497,-0.004,0,-0.003301177,0.3214138,0.006815435,-0.04358269,0.5561523,0,0,0,0.4458008,14.66438,0.001297463,-0.009361846,0.1128837,0.5360131,0.4506617,0.03803396,100577,0.5481552,282.72,4.375373
27,1789554870.972,-0.05588936,0.3005831,-0.07059449,-0.003943232,-0.004,0,-0.004311898,0.3551139,0.009588221,-0.04896067,0.5561523,0,0,0,0.4458008,14.69719,0.0005766504,-0.01386621,0.01399003,0.557323,0.4517159,0.03805542,100357,0.5485875,279.2,4.42691
