step,base_height_m,tilt_deg,base_drift_m,leg_joint_dev_rad,arm_joint_dev_rad,leg_torque_nm,arm_contact_n,base_x_m,base_y_m,base_yaw_deg
0,0.300319,0.923009,0.00143153,0.134105,0.00689779,3.05523,0,-0.00143152,-2.86102e-06,-0.00030456
1,0.298882,1.70204,0.00308127,0.192956,0.00576925,5.29808,0,-0.00308126,-6.02007e-06,-0.000750304
2,0.295904,2.28129,0.00475056,0.222911,0.00428937,6.14665,0,-0.00475055,-8.9407e-06,-0.000950884
3,0.291666,2.6705,0.00652017,0.256043,0.00321373,7.03198,0,-0.00652015,-1.12355e-05,-0.0009355
4,0.286535,2.88345,0.00845133,0.290402,0.00488411,7.91224,0,-0.00845131,-1.40369e-05,-0.000802794
5,0.281184,3.05872,0.0105965,0.324772,0.00621124,8.77498,0,-0.0105965,-1.69873e-05,-0.000808916
6,0.276155,3.25583,0.0130266,0.357243,0.00720932,9.54928,0,-0.0130266,-2.04444e-05,-0.00102868
7,0.271826,3.50944,0.0157748,0.386408,0.00812622,10.2162,0,-0.0157748,-2.41697e-05,-0.00147685
8,0.268423,3.81381,0.0188342,0.410955,0.00902069,10.7372,0,-0.0188342,-2.79248e-05,-0.00211971
9,0.266036,4.1307,0.0221628,0.429792,0.00990506,11.1071,0,-0.0221628,-3.22163e-05,-0.00286468
10,0.264644,4.4036,0.0256928,0.442029,0.0107694,11.2892,0,-0.0256928,-3.62992e-05,-0.00363412
11,0.264154,4.5731,0.0293448,0.447144,0.0115931,11.2782,0,-0.0293448,-4.03225e-05,-0.00433384
12,0.264427,4.5908,0.0330423,0.445076,0.0123218,11.0907,0,-0.0330423,-4.40478e-05,-0.00492082
13,0.265312,4.42968,0.0367243,0.436183,0.0129386,10.74,0,-0.0367242,-4.78327e-05,-0.0054152
14,0.266662,4.0885,0.0403494,0.421217,0.0134635,10.2567,0,-0.0403494,-5.10216e-05,-0.00579145
15,0.268338,3.59087,0.0438979,0.40133,0.0136594,9.66595,0,-0.0438979,-5.46277e-05,-0.00606087
16,0.270213,2.97933,0.0473678,0.37791,0.0135471,9.01029,0,-0.0473678,-5.79059e-05,-0.00628368
17,0.272165,2.30686,0.0507661,0.352555,0.0132332,8.34384,0,-0.0507661,-6.1214e-05,-0.00653669
18,0.274073,1.62925,0.0541021,0.326946,0.0127556,7.69852,0,-0.0541021,-6.43432e-05,-0.00683071
19,0.275813,0.997072,0.0573785,0.302723,0.0121708,7.11661,0,-0.0573785,-6.72042e-05,-0.00721124
