step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_angular_motion,Episode_Reward/base_height,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789608509.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06177,1e-05,0.01688454,0.00767143,0,0.5388737,0.06804514,80986,0.4998991,,
1,1789608509.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0488,0.0002562891,-0.005487997,0.007802204,0,0.5048594,0.04141092,89977,0.4991147,,
2,1789608510.450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.99766,0.0002562891,-0.01125737,0.008555392,0,0.4854488,0.03920269,93685,0.497696,,
3,1789608510.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.96741,0.0002562891,-0.01172342,0.009550391,0,0.4896407,0.0394063,92906,0.4971654,,
4,1789608511.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.94592,0.0001708594,-0.01261726,0.01088965,0,0.4830761,0.03891516,94162,0.4964409,,
5,1789608512.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.91146,0.0002562891,-0.01329293,0.01209052,0,0.4865727,0.03966737,93402,0.4953921,,
6,1789608512.746,-0.1149431,0.07195829,-0.04214847,-0.008779617,-0.001740106,-0.001833333,0,-0.0007319418,0.09315978,0.00252844,-0.0104776,0.0002237956,0,0,0,0,12.8762,0.0001708594,-0.01246042,0.01261578,0.2386274,0.6665103,0.03892875,69675,0.4945418,158,-0.283803
7,1789608513.429,-0.2873662,0.1725832,-0.09674939,-0.02290162,-0.003542028,-0.004,0,-0.001529547,0.2529176,0.009883806,-0.02338153,0.0009765625,0,0,0,0,12.84066,0.0002562891,-0.01279836,0.01289651,0.5008518,0.6395509,0.0392406,72411,0.4934069,173.3333,-0.04818673
8,1789608513.969,-0.32454,0.1986665,-0.1030308,-0.02389009,-0.003723253,-0.004,0,-0.001618255,0.2220564,0.003297754,-0.02524286,0.00205485,0,0,0,0,12.78027,0.0008649756,-0.01099358,0.01344049,0.5335495,0.4971745,0.03902006,91668,0.4914851,190.3333,-0.5182554
9,1789608514.523,-0.363817,0.2257915,-0.1174145,-0.029108,-0.004116653,-0.004,0,-0.001768614,0.2376776,0.00256813,-0.0286353,0.004557292,0,0,0,0,12.73452,0.0003844336,-0.01176398,0.0120713,0.5356426,0.5108454,0.03920674,89358,0.4905391,211.4615,-0.8042769
10,1789608515.330,-0.394982,0.2502915,-0.1197813,-0.03245829,-0.004087714,-0.004,0,-0.001843485,0.3772249,0.01456319,-0.02876572,0.01039632,0,0,0,0,12.68753,0.0002562891,-0.01168662,0.01240949,0.5034727,0.7648125,0.03932667,61123,0.4893847,231.8519,-0.2194341
11,1789608515.891,-0.4381649,0.2745832,-0.136994,-0.03639898,-0.004304587,-0.004,0,-0.001943097,0.3843662,0.009666344,-0.02986032,0.01686605,0,0,0,0,12.64277,0.0008649756,-0.01096971,0.01316601,0.5279143,0.5176823,0.0386312,88353,0.4876972,250.6889,-0.0350645
12,1789608516.457,-0.4771968,0.2985415,-0.1371814,-0.04084228,-0.004542754,-0.004,0,-0.002095149,0.4424996,0.01522717,-0.0317951,0.02748617,0,0,0,0,12.5857,0.0003844336,-0.0122152,0.01255375,0.5118756,0.5224934,0.03958297,87447,0.4865854,267.7794,0.1683905
13,1789608517.027,-0.5123054,0.3229997,-0.1427664,-0.04275211,-0.004822488,-0.004,0,-0.002325006,0.4699337,0.01050125,-0.03311266,0.04026286,0,0,0,0,12.55111,0.0003844336,-0.01199424,0.01373152,0.5111791,0.5268533,0.03945661,86793,0.4857555,284.3542,0.1705167
14,1789608517.593,-0.5513108,0.3469997,-0.1601118,-0.04385714,-0.005027312,-0.004,0,-0.002359223,0.5607699,0.01800184,-0.03348491,0.05332438,0,0,0,0,12.50512,0.0002562891,-0.01218113,0.01374819,0.4976274,0.5224714,0.03871775,87585,0.4842515,314.03,0.4710308
15,1789608518.165,-0.5851766,0.371208,-0.1677938,-0.04985147,-0.004812756,-0.004,0,-0.002519701,0.6235198,0.02166785,-0.03641945,0.06742351,0,0,0,0,12.45228,0.0001139063,-0.01234686,0.01296732,0.5057019,0.5293548,0.03895569,86487,0.4830176,342.01,0.7859493
16,1789608518.728,-0.6129517,0.3949997,-0.1731676,-0.05297688,-0.00495409,-0.004,0,-0.002663536,0.6491542,0.0264729,-0.03845825,0.07965088,0,0,0,0,12.40819,0.0002562891,-0.01166608,0.01385667,0.4976004,0.5191686,0.0386343,88117,0.4816285,363.48,1.060331
17,1789608519.288,-0.6519305,0.4190834,-0.1860765,-0.05623698,-0.005138793,-0.004,0,-0.002776882,0.7601683,0.03195703,-0.0398628,0.09151205,0,0,0,0,12.35173,0.0005766504,-0.01194686,0.01353648,0.5051182,0.5176246,0.03869319,88352,0.4801502,383.6,1.542489
18,1789608519.856,-0.6908616,0.443084,-0.1925852,-0.05802573,-0.005254338,-0.004,0,-0.002983826,0.736616,0.02650669,-0.04068451,0.1030477,0,0,0,0,12.29197,0.0005766504,-0.01306239,0.01205082,0.4783852,0.5241649,0.03940153,87215,0.478372,409.06,1.792829
19,1789608520.411,-0.7197465,0.4663762,-0.1886989,-0.06497678,-0.005512263,-0.004,0,-0.003053844,0.7789997,0.03261512,-0.04451983,0.1140951,0,0,0,0,12.21911,0.0005766504,-0.0126315,0.01160927,0.482499,0.5103419,0.04034138,89256,0.4765193,422.87,1.908662
20,1789608520.947,-0.7550764,0.4892517,-0.1952394,-0.05738096,-0.005580653,-0.003166667,0,-0.003114045,0.8821031,0.0365467,-0.03851341,0.1180013,0,0,0,0.1836141,12.14534,0.0005766504,-0.0131607,0.009741065,0.3847252,0.4935858,0.03863049,92353,0.4742414,500,6.165886
21,1789608521.451,-0.7695081,0.500002,-0.1985321,-0.04199326,-0.004427773,0,0,-0.002585615,1.11848,0.06198278,-0.02040165,0.1186523,0,0,0,0.8813477,12.05804,0.0008649756,-0.007788551,0.009863962,0.07950126,0.4619348,0.03891802,98136,0.4723192,500,6.165886
22,1789608521.960,-0.7695081,0.500002,-0.1985321,-0.04199326,-0.004427773,0,0,-0.002585615,1.11848,0.06198278,-0.02040165,0.1186523,0,0,0,0.8813477,11.98456,0.0008649756,-0.0120229,0.00844595,0.07950126,0.4657712,0.03885722,97402,0.4698699,500,6.165886
23,1789608522.467,-0.7695081,0.500002,-0.1985321,-0.04199326,-0.004427773,0,0,-0.002585615,1.11848,0.06198278,-0.02040165,0.1186523,0,0,0,0.8813477,11.87151,0.0008649756,-0.01205525,0.008369457,0.07950126,0.4649096,0.03865075,97608,0.4671559,500,6.165886
24,1789608522.973,-0.7695081,0.500002,-0.1985321,-0.04199326,-0.004427773,0,0,-0.002585615,1.11848,0.06198278,-0.02040165,0.1186523,0,0,0,0.8813477,11.80182,0.0003844336,-0.01284834,0.009573312,0.07950126,0.4637141,0.03862429,97846,0.465795,500,6.165886
25,1789608523.478,-0.7695081,0.500002,-0.1985321,-0.04199326,-0.004427773,0,0,-0.002585615,1.11848,0.06198278,-0.02040165,0.1186523,0,0,0,0.8813477,11.72221,0.0003844336,-0.01251875,0.009516054,0.07950126,0.4618831,0.03896332,98137,0.46357,500,6.165886
26,1789608523.984,-0.7695081,0.500002,-0.1985321,-0.04199326,-0.004427773,0,0,-0.002585615,1.11848,0.06198278,-0.02040165,0.1186523,0,0,0,0.8813477,11.6409,0.0003844336,-0.0127074,0.009551177,0.07950126,0.4630129,0.03923273,97864,0.4615176,500,6.165886
