step,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_meas_n,force_est_n
0,0.30095,0.08309,0.16863,0.04923,0.33081,0.0000,0.0000,3.0980
1,0.34151,0.10551,0.18034,0.05566,0.31418,0.0000,0.0000,1.0355
2,0.37768,0.12819,0.19219,0.05730,0.29522,0.0000,0.0000,1.5995
3,0.38786,0.13733,0.20065,0.04988,0.27515,0.0000,0.0000,2.1686
4,0.36586,0.13162,0.20189,0.03235,0.25495,0.0000,0.0000,2.0556
5,0.31784,0.11363,0.19420,0.01000,0.23582,0.0000,0.0000,1.8693
6,0.28146,0.08883,0.17848,0.01415,0.21882,0.0000,0.0000,1.7202
7,0.25783,0.06193,0.15734,0.03857,0.20442,0.0000,0.0000,1.2989
8,0.23355,0.03793,0.13444,0.06118,0.19271,0.0000,0.0000,0.9842
9,0.21345,0.02091,0.11326,0.07927,0.18352,0.0000,0.0000,0.7809
10,0.20486,0.02853,0.09961,0.07672,0.18106,0.0000,0.0000,0.6564
11,0.20229,0.05126,0.09607,0.05496,0.18279,0.0000,0.0000,0.5200
12,0.20566,0.07836,0.09888,0.02841,0.18714,0.0000,0.0000,0.5547
13,0.21504,0.10721,0.10741,0.00042,0.19394,0.0000,0.0000,0.6135
14,0.28057,0.13324,0.11933,0.02800,0.20249,0.0000,0.0000,0.7038
15,0.33530,0.15185,0.13166,0.05178,0.21228,0.0000,0.0000,0.7305
16,0.37479,0.16102,0.14227,0.07150,0.22316,0.0000,0.0000,0.7585
17,0.40130,0.16241,0.15061,0.08828,0.23469,0.0000,0.0000,0.7879
18,0.41988,0.15911,0.15766,0.10311,0.24627,0.0000,0.0000,0.7745
19,0.43658,0.15482,0.16490,0.11686,0.25710,0.0000,0.0000,0.7560
20,0.45614,0.15314,0.17259,0.13041,0.26658,0.0000,0.0000,0.7280
21,0.48116,0.15627,0.18058,0.14431,0.27424,0.0000,0.0000,0.7030
22,0.51197,0.16504,0.18833,0.15860,0.27990,0.0000,0.0000,0.6875
23,0.54692,0.17890,0.19520,0.17283,0.28356,0.0000,0.0000,0.7105
24,0.58471,0.19743,0.20078,0.18651,0.28520,0.0000,0.0000,0.7875
25,0.62330,0.21936,0.20511,0.19883,0.28486,0.0000,0.0000,0.8939
26,0.66012,0.24281,0.20838,0.20893,0.28268,0.0000,0.0000,1.1608
27,0.68254,0.25941,0.20605,0.21708,0.28264,0.0000,0.0000,1.8381
