step,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_meas_n,force_est_n
0,0.29517,0.08927,0.16796,0.03794,0.33046,0.0000,0.0000,3.0980
1,0.30429,0.10744,0.16662,0.03023,0.31613,0.0000,0.0000,0.4758
2,0.27129,0.11092,0.14439,0.01598,0.30397,0.0000,0.0000,0.6463
3,0.23230,0.09968,0.12780,0.00482,0.29704,0.0000,0.0000,0.2194
4,0.22210,0.08916,0.11180,0.02115,0.29519,0.0000,0.0000,0.2603
5,0.18807,0.07701,0.09448,0.01659,0.29671,0.0000,0.0000,0.1472
6,0.15333,0.06664,0.07845,0.00824,0.29947,0.0000,0.0000,0.2587
7,0.11989,0.05561,0.06330,0.00098,0.30153,0.0000,0.0000,0.2606
8,0.10705,0.04818,0.05005,0.00881,0.30163,0.0000,0.0000,0.2531
9,0.09525,0.04274,0.03713,0.01539,0.29972,0.0000,0.0000,0.2663
10,0.08259,0.03786,0.02456,0.02017,0.29641,0.0000,0.0000,0.2389
11,0.07020,0.03316,0.01625,0.02079,0.29243,0.0000,0.0000,0.1408
12,0.06364,0.02941,0.01940,0.01483,0.28858,0.0000,0.0000,0.1177
13,0.06562,0.02387,0.02113,0.02063,0.28507,0.0000,0.0000,0.0798
14,0.06196,0.02145,0.02468,0.01583,0.28242,0.0000,0.0000,0.1921
15,0.06104,0.01955,0.02925,0.01224,0.28050,0.0000,0.0000,0.2961
16,0.05929,0.01886,0.03135,0.00908,0.27903,0.0000,0.0000,0.4479
17,0.04944,0.01806,0.02588,0.00550,0.27775,0.0000,0.0000,0.5784
18,0.04147,0.01741,0.02141,0.00266,0.27644,0.0000,0.0000,0.8798
19,0.03719,0.01680,0.01945,0.00093,0.27501,0.0000,0.0000,0.8225
20,0.03354,0.01524,0.01606,0.00224,0.27344,0.0000,0.0000,0.8286
21,0.03107,0.01419,0.01403,0.00284,0.27185,0.0000,0.0000,0.8199
22,0.03009,0.01340,0.01307,0.00363,0.27030,0.0000,0.0000,0.8622
23,0.03040,0.01253,0.01371,0.00416,0.26886,0.0000,0.0000,0.8082
24,0.03141,0.01188,0.01480,0.00473,0.26748,0.0000,0.0000,0.6907
25,0.03422,0.01164,0.01677,0.00581,0.26611,0.0000,0.0000,0.5981
26,0.03382,0.01119,0.01611,0.00652,0.26476,0.0000,0.0000,0.5225
27,0.03016,0.01012,0.01355,0.00649,0.26348,0.0000,0.0000,0.4676
28,0.02379,0.00835,0.00910,0.00634,0.26232,0.0000,0.0000,0.3678
29,0.02174,0.00677,0.00843,0.00653,0.26126,0.0000,0.0000,0.3269
30,0.01540,0.00577,0.00488,0.00475,0.26027,0.0000,0.0000,0.3614
31,0.00863,0.00394,0.00023,0.00447,0.25931,0.0000,0.0000,0.6258
32,0.00891,0.00247,0.00232,0.00413,0.25842,0.0000,0.0000,0.8375
33,0.01000,0.00167,0.00412,0.00422,0.25759,0.0000,0.0000,0.9441
34,0.01176,0.00204,0.00562,0.00411,0.25680,0.0000,0.0000,1.1003
35,0.01468,0.00302,0.00807,0.00359,0.25604,0.0000,0.0000,1.4318
36,0.01689,0.00401,0.00944,0.00344,0.25529,0.0000,0.0000,1.6172
37,0.01850,0.00501,0.01013,0.00336,0.25454,0.0000,0.0000,1.7666
38,0.01996,0.00509,0.01072,0.00416,0.25375,0.0000,0.0000,1.8209
39,0.01832,0.00341,0.00945,0.00546,0.25294,0.0000,0.0000,1.8002
40,0.01661,0.00162,0.00832,0.00667,0.25213,0.0000,0.0000,1.7188
41,0.01472,0.00056,0.00716,0.00699,0.25139,0.0000,0.0000,1.7012
42,0.01372,0.00042,0.00693,0.00636,0.25072,0.0000,0.0000,1.6777
43,0.01432,0.00075,0.00797,0.00560,0.25011,0.0000,0.0000,1.6103
44,0.01584,0.00101,0.00922,0.00561,0.24955,0.0000,0.0000,1.5286
45,0.01791,0.00106,0.01027,0.00658,0.24904,0.0000,0.0000,1.4119
46,0.02004,0.00110,0.01104,0.00790,0.24855,0.0000,0.0000,1.3005
47,0.02211,0.00104,0.01166,0.00940,0.24808,0.0000,0.0000,1.1526
48,0.02383,0.00079,0.01209,0.01095,0.24762,0.0000,0.0000,1.0106
49,0.02494,0.00057,0.01228,0.01210,0.24718,0.0000,0.0000,0.8687
50,0.02559,0.00030,0.01231,0.01298,0.24675,0.0000,0.0000,0.7164
51,0.02590,0.00005,0.01219,0.01365,0.24635,0.0000,0.0000,0.5530
52,0.02665,0.00027,0.01207,0.01431,0.24597,0.0000,0.0000,0.4104
53,0.02722,0.00049,0.01193,0.01480,0.24564,0.0000,0.0000,0.3338
54,0.02742,0.00056,0.01175,0.01511,0.24534,0.0000,0.0000,0.3011
55,0.02761,0.00058,0.01164,0.01539,0.24508,0.0000,0.0000,0.3085
56,0.02842,0.00072,0.01192,0.01578,0.24485,0.0000,0.0000,0.3308
57,0.02917,0.00084,0.01217,0.01615,0.24466,0.0000,0.0000,0.3580
58,0.02982,0.00098,0.01227,0.01657,0.24452,0.0000,0.0000,0.3954
59,0.03065,0.00127,0.01228,0.01711,0.24441,0.0000,0.0000,0.4381
60,0.03148,0.00163,0.01215,0.01770,0.24435,0.0000,0.0000,0.4723
61,0.03239,0.00206,0.01202,0.01832,0.24433,0.0000,0.0000,0.5142
62,0.03334,0.00250,0.01198,0.01887,0.24434,0.0000,0.0000,0.5734
63,0.03441,0.00296,0.01203,0.01941,0.24437,0.0000,0.0000,0.6516
64,0.03554,0.00341,0.01217,0.01995,0.24441,0.0000,0.0000,0.7399
65,0.03494,0.00364,0.01225,0.01905,0.24452,0.0000,0.0000,0.8611
66,0.03039,0.00259,0.01146,0.01634,0.24476,0.0000,0.0000,0.9472
67,0.02680,0.00167,0.01125,0.01388,0.24513,0.0000,0.0000,0.9666
68,0.02512,0.00124,0.01169,0.01220,0.24559,0.0000,0.0000,0.9756
69,0.02421,0.00086,0.01213,0.01121,0.24613,0.0000,0.0000,0.9440
70,0.02336,0.00037,0.01242,0.01056,0.24669,0.0000,0.0000,0.8758
71,0.02280,0.00018,0.01263,0.00999,0.24724,0.0000,0.0000,0.7680
72,0.02290,0.00072,0.01282,0.00936,0.24775,0.0000,0.0000,0.6440
73,0.02282,0.00121,0.01298,0.00863,0.24820,0.0000,0.0000,0.5167
74,0.02243,0.00078,0.01357,0.00807,0.24857,0.0000,0.0000,0.4020
75,0.02064,0.00033,0.01436,0.00595,0.24881,0.0000,0.0000,0.3580
76,0.02163,0.00187,0.01541,0.00436,0.24891,0.0000,0.0000,0.3739
77,0.02221,0.00321,0.01595,0.00305,0.24892,0.0000,0.0000,0.4126
78,0.02251,0.00431,0.01606,0.00213,0.24889,0.0000,0.0000,0.4689
79,0.02268,0.00513,0.01592,0.00163,0.24889,0.0000,0.0000,0.5243
80,0.02262,0.00551,0.01569,0.00141,0.24896,0.0000,0.0000,0.5730
81,0.02167,0.00509,0.01549,0.00108,0.24910,0.0000,0.0000,0.6107
82,0.02081,0.00461,0.01517,0.00103,0.24932,0.0000,0.0000,0.6253
83,0.02038,0.00423,0.01477,0.00138,0.24963,0.0000,0.0000,0.6194
84,0.02002,0.00378,0.01424,0.00199,0.25002,0.0000,0.0000,0.5983
85,0.01923,0.00311,0.01343,0.00270,0.25046,0.0000,0.0000,0.5839
86,0.01851,0.00251,0.01246,0.00354,0.25095,0.0000,0.0000,0.5941
87,0.01810,0.00207,0.01148,0.00455,0.25147,0.0000,0.0000,0.6231
88,0.01760,0.00157,0.01046,0.00558,0.25203,0.0000,0.0000,0.6595
89,0.01708,0.00101,0.00949,0.00658,0.25260,0.0000,0.0000,0.6910
90,0.01687,0.00054,0.00870,0.00763,0.25319,0.0000,0.0000,0.7161
91,0.01646,0.00000,0.00781,0.00864,0.25378,0.0000,0.0000,0.7237
92,0.01709,0.00055,0.00695,0.00959,0.25437,0.0000,0.0000,0.7140
93,0.01770,0.00108,0.00613,0.01049,0.25495,0.0000,0.0000,0.6910
94,0.01820,0.00167,0.00526,0.01127,0.25552,0.0000,0.0000,0.6537
95,0.01869,0.00226,0.00446,0.01196,0.25609,0.0000,0.0000,0.6089
96,0.01903,0.00291,0.00364,0.01248,0.25664,0.0000,0.0000,0.5649
97,0.01938,0.00348,0.00301,0.01289,0.25720,0.0000,0.0000,0.5442
98,0.01967,0.00402,0.00247,0.01318,0.25775,0.0000,0.0000,0.5409
99,0.01986,0.00455,0.00198,0.01333,0.25832,0.0000,0.0000,0.5455
100,0.01984,0.00523,0.00154,0.01306,0.25891,0.0000,0.0000,0.5555
101,0.01968,0.00578,0.00125,0.01264,0.25952,0.0000,0.0000,0.5626
102,0.01940,0.00619,0.00100,0.01221,0.26015,0.0000,0.0000,0.5658
103,0.01897,0.00660,0.00066,0.01171,0.26083,0.0000,0.0000,0.5631
104,0.01839,0.00697,0.00030,0.01112,0.26154,0.0000,0.0000,0.5548
105,0.01773,0.00728,0.00004,0.01040,0.26230,0.0000,0.0000,0.5376
106,0.01942,0.00823,0.00088,0.01031,0.26304,0.0000,0.0000,0.5116
107,0.02219,0.00946,0.00132,0.01141,0.26366,0.0000,0.0000,0.4479
108,0.02249,0.00969,0.00049,0.01231,0.26415,0.0000,0.0000,0.3714
109,0.02301,0.00925,0.00065,0.01310,0.26452,0.0000,0.0000,0.3169
110,0.02426,0.00778,0.00136,0.01511,0.26481,0.0000,0.0000,0.2868
111,0.02496,0.00670,0.00125,0.01702,0.26505,0.0000,0.0000,0.2811
112,0.02510,0.00641,0.00067,0.01801,0.26525,0.0000,0.0000,0.2900
113,0.02488,0.00641,0.00030,0.01817,0.26544,0.0000,0.0000,0.3066
114,0.02457,0.00625,0.00029,0.01803,0.26561,0.0000,0.0000,0.3287
115,0.02434,0.00593,0.00053,0.01789,0.26577,0.0000,0.0000,0.3597
116,0.02412,0.00547,0.00087,0.01778,0.26592,0.0000,0.0000,0.4060
117,0.02334,0.00435,0.00137,0.01762,0.26608,0.0000,0.0000,0.4726
118,0.02131,0.00280,0.00135,0.01716,0.26633,0.0000,0.0000,0.5641
119,0.01856,0.00135,0.00043,0.01678,0.26670,0.0000,0.0000,0.6090
120,0.01655,0.00141,0.00035,0.01479,0.26718,0.0000,0.0000,0.6026
