step,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_meas_n,force_est_n
0,0.29517,0.08927,0.16796,0.03794,0.33046,0.0000,0.0000,3.0980
1,0.30985,0.10926,0.16938,0.03121,0.31632,0.0000,0.0000,0.3645
2,0.29970,0.11938,0.16002,0.02030,0.30501,0.0000,0.0000,0.9035
3,0.27057,0.11466,0.15101,0.00491,0.29841,0.0000,0.0000,0.2943
4,0.25508,0.10347,0.14385,0.00777,0.29489,0.0000,0.0000,0.4680
5,0.24574,0.09381,0.13318,0.01875,0.29334,0.0000,0.0000,0.3631
6,0.20897,0.07869,0.10889,0.02139,0.29316,0.0000,0.0000,0.2922
7,0.17301,0.06462,0.08900,0.01938,0.29339,0.0000,0.0000,0.3408
8,0.14112,0.05534,0.07025,0.01554,0.29349,0.0000,0.0000,0.3388
9,0.11349,0.04958,0.05689,0.00702,0.29314,0.0000,0.0000,0.3662
10,0.09729,0.04693,0.04594,0.00442,0.29248,0.0000,0.0000,0.3545
11,0.09948,0.04629,0.03619,0.01701,0.29159,0.0000,0.0000,0.3302
12,0.09730,0.04788,0.02918,0.02024,0.29061,0.0000,0.0000,0.3074
13,0.10233,0.04756,0.03300,0.02177,0.28972,0.0000,0.0000,0.2512
14,0.10023,0.04540,0.03374,0.02110,0.28928,0.0000,0.0000,0.3099
15,0.09117,0.04073,0.03058,0.01986,0.29033,0.0000,0.0000,0.4465
16,0.08481,0.03637,0.02744,0.02101,0.29293,0.0000,0.0000,0.4997
17,0.08452,0.03300,0.02752,0.02400,0.29609,0.0000,0.0000,0.3721
18,0.07969,0.02962,0.02431,0.02576,0.29844,0.0000,0.0000,0.3457
19,0.07304,0.02692,0.01962,0.02650,0.29982,0.0000,0.0000,0.5339
20,0.07086,0.02572,0.01794,0.02720,0.30030,0.0000,0.0000,0.7551
21,0.07114,0.02571,0.01737,0.02806,0.30001,0.0000,0.0000,0.8252
22,0.07158,0.02622,0.01586,0.02949,0.29916,0.0000,0.0000,0.8130
23,0.07067,0.02639,0.01316,0.03112,0.29804,0.0000,0.0000,0.6266
24,0.07303,0.02600,0.01370,0.03333,0.29685,0.0000,0.0000,0.5259
25,0.07567,0.02669,0.01648,0.03250,0.29561,0.0000,0.0000,0.4963
26,0.07636,0.02770,0.01783,0.03082,0.29410,0.0000,0.0000,0.6313
27,0.07195,0.02821,0.01519,0.02855,0.29222,0.0000,0.0000,0.7352
28,0.06297,0.02748,0.01056,0.02494,0.29038,0.0000,0.0000,0.8215
29,0.05624,0.02627,0.01020,0.01977,0.28927,0.0000,0.0000,0.8484
30,0.04695,0.02344,0.00850,0.01501,0.28985,0.0000,0.0000,0.8222
31,0.04102,0.02110,0.00740,0.01252,0.29184,0.0000,0.0000,1.0863
32,0.03933,0.02003,0.00690,0.01240,0.29444,0.0000,0.0000,0.7048
33,0.04109,0.02126,0.00917,0.01067,0.29604,0.0000,0.0000,0.5856
34,0.03864,0.02489,0.00821,0.00553,0.29643,0.0000,0.0000,0.3282
35,0.03055,0.02786,0.00233,0.00036,0.29601,0.0000,0.0000,0.2603
36,0.03050,0.02960,0.00021,0.00069,0.29508,0.0000,0.0000,0.4465
37,0.03134,0.03035,0.00049,0.00049,0.29381,0.0000,0.0000,0.5875
38,0.03139,0.03025,0.00063,0.00051,0.29234,0.0000,0.0000,0.6378
39,0.03141,0.02892,0.00155,0.00094,0.29075,0.0000,0.0000,0.7007
40,0.03299,0.02753,0.00153,0.00392,0.28906,0.0000,0.0000,0.5752
41,0.03454,0.02614,0.00179,0.00661,0.28720,0.0000,0.0000,0.4531
42,0.03664,0.02497,0.00319,0.00847,0.28517,0.0000,0.0000,0.4806
43,0.03695,0.02326,0.00484,0.00884,0.28299,0.0000,0.0000,0.6179
44,0.03565,0.02171,0.00646,0.00748,0.28102,0.0000,0.0000,0.7135
45,0.03349,0.01957,0.00858,0.00534,0.27977,0.0000,0.0000,0.9120
46,0.02981,0.01637,0.01002,0.00341,0.28013,0.0000,0.0000,0.7828
47,0.02701,0.01350,0.01016,0.00335,0.28182,0.0000,0.0000,0.6124
48,0.02757,0.01385,0.01101,0.00270,0.28465,0.0000,0.0000,0.4918
49,0.02971,0.01369,0.01242,0.00359,0.28726,0.0000,0.0000,0.4147
50,0.02801,0.01226,0.00995,0.00580,0.28882,0.0000,0.0000,0.4666
51,0.02535,0.01201,0.00502,0.00832,0.28943,0.0000,0.0000,0.6081
52,0.02893,0.01434,0.00482,0.00976,0.28934,0.0000,0.0000,0.5681
53,0.03297,0.01690,0.00642,0.00964,0.28887,0.0000,0.0000,0.5456
54,0.03808,0.01812,0.00968,0.01028,0.28820,0.0000,0.0000,0.5122
55,0.04161,0.01800,0.01078,0.01284,0.28738,0.0000,0.0000,0.5245
56,0.04426,0.01768,0.01090,0.01568,0.28630,0.0000,0.0000,0.6148
57,0.04627,0.01763,0.01063,0.01801,0.28478,0.0000,0.0000,0.6248
58,0.04662,0.01933,0.00921,0.01808,0.28275,0.0000,0.0000,0.5739
59,0.04613,0.02094,0.00883,0.01637,0.28032,0.0000,0.0000,0.5424
60,0.04191,0.02176,0.00685,0.01329,0.27808,0.0000,0.0000,0.5554
61,0.03844,0.02033,0.00728,0.01083,0.27697,0.0000,0.0000,0.5096
62,0.03380,0.01782,0.00591,0.01007,0.27755,0.0000,0.0000,0.6392
63,0.03108,0.01567,0.00317,0.01224,0.27962,0.0000,0.0000,0.7875
64,0.03198,0.01388,0.00120,0.01690,0.28283,0.0000,0.0000,1.0216
65,0.04253,0.01445,0.00637,0.02171,0.28554,0.0000,0.0000,1.3126
66,0.04774,0.01849,0.00799,0.02126,0.28721,0.0000,0.0000,1.5397
67,0.04549,0.02213,0.00378,0.01959,0.28802,0.0000,0.0000,1.7812
68,0.04543,0.02333,0.00216,0.01994,0.28824,0.0000,0.0000,2.0449
69,0.05371,0.02287,0.00697,0.02386,0.28808,0.0000,0.0000,2.0352
70,0.06024,0.02246,0.00865,0.02913,0.28763,0.0000,0.0000,1.9814
71,0.06608,0.02211,0.01021,0.03376,0.28695,0.0000,0.0000,1.8802
72,0.06955,0.02173,0.01063,0.03719,0.28603,0.0000,0.0000,1.9154
73,0.06924,0.02075,0.00930,0.03919,0.28484,0.0000,0.0000,2.0289
74,0.06451,0.01846,0.00810,0.03795,0.28339,0.0000,0.0000,2.2350
75,0.05390,0.01740,0.00621,0.03028,0.28178,0.0000,0.0000,2.3247
76,0.04559,0.01663,0.00589,0.02308,0.28052,0.0000,0.0000,2.3033
77,0.03911,0.01685,0.00657,0.01569,0.28004,0.0000,0.0000,2.3387
78,0.03136,0.01493,0.00896,0.00747,0.28102,0.0000,0.0000,2.2235
79,0.02348,0.01336,0.00927,0.00085,0.28319,0.0000,0.0000,1.9774
80,0.02318,0.01113,0.01072,0.00133,0.28643,0.0000,0.0000,1.7081
81,0.01885,0.00877,0.00984,0.00024,0.28939,0.0000,0.0000,1.5752
82,0.01295,0.00647,0.00520,0.00128,0.29130,0.0000,0.0000,1.5518
83,0.00875,0.00652,0.00006,0.00217,0.29217,0.0000,0.0000,1.6459
84,0.00929,0.00631,0.00001,0.00297,0.29229,0.0000,0.0000,1.6539
85,0.01140,0.00750,0.00231,0.00159,0.29204,0.0000,0.0000,1.6874
