step,time_s,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_est_n,base_vx_mps,base_vy_mps,base_wz_radps,base_roll_rad,base_pitch_rad,goal_radius_m,goal_pitch_rad,goal_yaw_rad,tip_x_m,tip_y_m,tip_z_m,action_absmax,torque_absmax_nm
0,0,0.040588,0.0039604,0.0174202,0.0192074,0.322706,0,0.267813,-0.121754,0.0869302,0.431622,0.0272394,-0.0211186,0.5,0.628319,0,0.397777,-0.00685229,0.764685,2.61877,10.4957
1,0.02,0.153993,0.0176615,0.0107371,0.125594,0.314923,0,0.336077,-0.412233,-0.268541,-0.256809,-0.182457,0.0769761,0.5,0.623799,0,0.397802,0.00163062,0.656467,3.39723,16.6414
2,0.04,0.273387,0.0507175,0.104941,0.117728,0.320035,0,0.553896,-0.141683,0.644486,0.760811,0.0117385,-0.0361755,0.5,0.61928,0,0.309407,-0.0882849,0.662496,5.02488,23.8361
3,0.06,0.226545,0.0843066,0.0720802,0.0701581,0.332563,0,0.342664,-0.334907,0.117778,0.620285,-0.257781,-0.0101321,0.5,0.61476,0,0.258931,-0.0416819,0.708223,3.80809,16.4691
4,0.08,0.161744,0.0105705,0.0783718,0.0728018,0.330224,0,1.96759,-0.562995,0.645248,0.91728,-0.141964,0.0520554,0.5,0.610241,0,0.299974,0.0066906,0.703731,7.86219,45.43
5,0.1,0.187247,0.0785176,0.00952911,0.0992005,0.355686,0,0.506086,-0.516345,0.331858,-0.922674,-0.22714,0.193559,0.5,0.605721,0,0.348408,0.112878,0.675477,6.49607,45.43
6,0.12,0.31052,0.0741992,0.120552,0.115768,0.343177,0,0.896779,-0.537881,0.287666,-1.40337,-0.411157,0.118232,0.5,0.601202,0,0.303333,0.251322,0.657049,6.51158,43.132
7,0.14,0.341186,0.0602298,0.162465,0.118491,0.329375,0,1.49664,-0.749262,0.792904,1.27329,-0.314121,0.0620571,0.5,0.596682,0,0.239085,0.340274,0.65246,7.73184,45.3171
8,0.16,0.247674,0.0341043,0.145426,0.0681434,0.319005,0,1.30057,-0.44712,0.207917,-2.15047,-0.438871,-0.0759367,0.5,0.592163,0,0.168789,0.3324,0.700935,8.84867,30.0226
9,0.18,0.110283,0.0190323,0.0828871,0.00836337,0.292307,0,0.708042,-0.390034,0.230114,0.160856,-0.367303,-0.207412,0.5,0.587644,0,0.0878523,0.28741,0.758837,8.89766,31.2431
10,0.2,0.137914,0.0872297,0.0152074,0.0354767,0.277539,0,1.016,-0.486695,-0.0978435,1.01483,-0.358051,-0.337308,0.5,0.583124,0,-0.00935378,0.250015,0.800794,9.87972,39.0491
11,0.22,0.258589,0.124631,0.0670011,0.0669563,0.260129,0,0.712454,-0.459433,-0.14973,0.360946,-0.242316,-0.383763,0.5,0.578605,0,-0.0812573,0.183814,0.830385,10.3391,38.67
12,0.24,0.303376,0.131749,0.119176,0.0524513,0.260127,0,0.659636,-0.365902,-0.1661,-0.344606,-0.185209,-0.322233,0.5,0.574085,0,-0.118846,0.100056,0.813985,10.5516,35.7843
13,0.26,0.307982,0.0992617,0.18596,0.0227597,0.293793,0,0.718132,-0.182325,0.00438258,0.112331,-0.0310351,-0.211911,0.5,0.569566,0,-0.115776,0.023762,0.782393,10.3731,34.4279
14,0.28,0.280541,0.0700873,0.111907,0.098547,0.332645,0,0.419715,0.121588,-0.0378935,1.68542,-0.158993,-0.177829,0.5,0.565046,0,-0.0999234,0.124979,0.856275,10.315,20.1271
15,0.3,0.190838,0.010675,0.0554999,0.124663,0.350172,0,0.650754,0.16176,0.384384,0.00388309,-0.104492,-0.0787895,0.5,0.560527,0,-0.035577,0.21479,0.880479,10.2508,20.439
16,0.32,0.184693,0.0267161,0.0296502,0.128326,0.36011,0,0.269355,0.203314,0.0363755,1.07674,-0.247534,0.0422867,0.5,0.556008,0,0.0137979,0.320494,0.882226,10.1009,11.3368
17,0.34,0.231228,0.0207944,0.0541328,0.156301,0.324049,0,0.518294,0.407548,0.32371,-0.673393,-0.261713,-0.0372565,0.5,0.551488,0,-0.00967913,0.366904,0.908279,8.36748,16.5044
18,0.36,0.162263,0.00837512,0.0614408,0.0924467,0.29137,0,0.391362,0.299298,0.478363,0.0690224,-0.232021,-0.00748595,0.5,0.546969,0,0.0290332,0.389948,0.842497,8.54344,32.2947
19,0.38,0.235059,0.0631837,0.120255,0.0516211,0.284263,0,0.423907,0.341687,0.0871229,1.98465,-0.30338,0.114875,0.5,0.542449,0,0.118199,0.507156,0.696496,8.22816,45.43
20,0.4,0.44812,0.0911664,0.219446,0.137508,0.295079,0,1.0602,0.0611808,-0.246503,0.827964,-0.497324,0.248705,0.5,0.53793,0,0.159325,0.627427,0.608671,8.22161,45.43
21,0.42,0.584529,0.159109,0.20978,0.215641,0.314775,0,1.14138,0.0140564,0.480125,2.09752,-0.409571,0.430964,0.5,0.53341,0,0.224726,0.664923,0.528596,10.5278,45.43
