step,time_s,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_est_n,base_vx_mps,base_vy_mps,base_wz_radps,base_roll_rad,base_pitch_rad,goal_radius_m,goal_pitch_rad,goal_yaw_rad,tip_x_m,tip_y_m,tip_z_m,action_absmax,torque_absmax_nm
0,0,0.047343,0.00116253,0.013923,0.0322575,0.31663,0,0.267813,0.000394577,-9.18525e-07,-1.26767e-05,-3.02879e-07,0.000164781,0.5,0.628319,0,0.405677,-0.013923,0.81615,0,0.000311141
1,0.02,0.0867805,0.0168034,0.0148886,0.0550885,0.252666,0,2.05799,-0.147403,-5.59558e-05,0.00104642,4.853e-06,0.0491656,0.5,0.623799,0,0.417206,-0.0148932,0.726973,0,11.9809
2,0.04,0.27197,0.0859229,0.0151008,0.170946,0.232302,0,0.161245,-0.250645,-0.000931646,-0.00137683,0.000580486,0.193914,0.5,0.61928,0,0.468513,-0.0152099,0.609278,0,18.2719
3,0.06,0.322187,0.0882812,0.0151234,0.218783,0.234731,0,0.539907,-0.150083,-0.00164336,0.000853415,0.000863222,0.195164,0.5,0.61476,0,0.45617,-0.0154112,0.559599,0,17.847
4,0.08,0.234611,0.046658,0.0154569,0.172496,0.247705,0,0.535093,-0.161722,-0.00184988,0.00115782,0.00133099,0.0839759,0.5,0.610241,0,0.404567,-0.0159575,0.604036,0,13.3443
5,0.1,0.09588,0.00256965,0.0157452,0.0775651,0.276037,0,0.567971,-0.155105,-0.00157809,0.000682163,0.00174221,-0.00819448,0.5,0.605721,0,0.343518,-0.0165057,0.697113,0,7.56555
6,0.12,0.0616232,0.0395146,0.0157994,0.00630915,0.293843,0,0.465146,-0.0953458,-0.00121556,0.00219159,0.00193895,-0.0610114,0.5,0.601202,0,0.296894,-0.0167554,0.766508,0,6.47172
7,0.14,0.061846,0.0378592,0.0157852,0.00820166,0.283864,0,0.489011,-0.0879112,-0.00143039,0.00654521,0.0021079,-0.0491964,0.5,0.596682,0,0.292608,-0.0167233,0.762749,0,7.74733
8,0.16,0.0912823,0.0122745,0.0159685,0.0630392,0.261956,0,0.444736,-0.0708475,-0.00135312,0.00260574,0.00259088,-0.0057869,0.5,0.592163,0,0.313681,-0.0168399,0.706039,0,9.71431
9,0.18,0.130235,0.00299069,0.0161195,0.111125,0.249385,0,0.307666,-0.0687114,-0.00160854,-0.00172564,0.00306192,0.0177042,0.5,0.587644,0,0.324404,-0.0171097,0.656076,0,10.8347
10,0.2,0.135151,0.0044148,0.0162924,0.114444,0.253113,0,0.226263,-0.0534116,-0.00131991,-0.0011907,0.00346789,0.00123292,0.5,0.583124,0,0.312782,-0.0175434,0.650874,0,10.7166
11,0.22,0.119803,0.0276656,0.0165235,0.0756138,0.265638,0,0.0733393,-0.0121723,-0.00102786,-0.0004087,0.0037811,-0.0383592,0.5,0.578605,0,0.287379,-0.0180484,0.687814,0,10.0063
12,0.24,0.102817,0.0445376,0.0165311,0.0417486,0.274071,0,0.169375,0.0246142,-0.000462416,0.001805,0.00379687,-0.0624577,0.5,0.574085,0,0.271513,-0.0182246,0.719785,0,9.4804
13,0.26,0.103209,0.0399665,0.0164295,0.0468131,0.27163,0,0.201421,0.054896,0.000602234,0.00324741,0.00371196,-0.0491873,0.5,0.569566,0,0.280389,-0.0180754,0.71282,0,9.511
14,0.28,0.11965,0.0249353,0.0163589,0.0783563,0.263639,0,0.184581,0.0769754,0.00115965,0.00332723,0.00361573,-0.0198502,0.5,0.565046,0,0.302113,-0.0178178,0.679371,0,9.85873
15,0.3,0.133919,0.0143627,0.0161854,0.103371,0.259927,0,0.176299,0.0816801,0.0012782,0.00293767,0.00325407,0.00158608,0.5,0.560527,0,0.320094,-0.0174683,0.652445,0,9.79796
16,0.32,0.133792,0.0148633,0.0160531,0.102876,0.26421,0,0.282947,0.0883621,0.00143206,0.00358896,0.00287925,0.00534453,0.5,0.556008,0,0.327239,-0.0171844,0.651024,0,9.04671
17,0.34,0.122437,0.0228519,0.0159516,0.0836331,0.272507,0,0.405804,0.0962367,0.00127881,0.00271615,0.00254345,-0.00631091,0.5,0.551488,0,0.327475,-0.0169641,0.668345,0,8.14028
18,0.36,0.111774,0.0282352,0.0157962,0.0677429,0.278417,0,0.437959,0.0927537,0.00104423,0.00230561,0.00218647,-0.0123817,0.5,0.546969,0,0.330434,-0.0167209,0.682307,0,7.39309
19,0.38,0.112177,0.0250733,0.0156715,0.071432,0.278479,0,0.458698,0.0808797,0.000848971,0.00251929,0.00193846,-0.00277766,0.5,0.542449,0,0.341374,-0.0165012,0.676686,0,7.03812
20,0.4,0.120351,0.0176836,0.0156034,0.0870636,0.274845,0,0.484946,0.0650332,0.000480116,0.0028565,0.00179406,0.0153722,0.5,0.53793,0,0.355422,-0.016334,0.659116,0,7.77074
21,0.42,0.127091,0.0133121,0.0155699,0.0982088,0.272268,0,0.512667,0.0454857,8.33166e-05,0.0026087,0.00171337,0.0284681,0.5,0.53341,0,0.364983,-0.0162331,0.646028,0,8.56175
22,0.44,0.127274,0.0149155,0.0155942,0.0967639,0.27334,0,0.651958,0.0233808,-0.000250363,0.0015768,0.00173866,0.0286948,0.5,0.528891,0,0.366899,-0.0162544,0.645524,0,8.42952
23,0.46,0.122181,0.0205366,0.0156488,0.0859955,0.276736,0,0.916348,0.00165031,-0.000529672,0.000369461,0.00183717,0.0196757,0.5,0.524372,0,0.36303,-0.016381,0.654339,0,7.66918
24,0.48,0.117397,0.0257268,0.0156931,0.0759768,0.279072,0,1.17329,-0.020129,-0.00070871,8.59215e-05,0.00195416,0.0112524,0.5,0.519852,0,0.357791,-0.0165403,0.662399,0,7.07615
25,0.5,0.117989,0.027615,0.0157402,0.0746342,0.278255,0,1.35707,-0.040105,-0.000755959,0.00103271,0.00210207,0.00956319,0.5,0.515333,0,0.354151,-0.0166893,0.661778,0,7.13124
