step,time_s,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_est_n,base_vx_mps,base_vy_mps,base_wz_radps,base_roll_rad,base_pitch_rad,goal_radius_m,goal_pitch_rad,goal_yaw_rad,tip_x_m,tip_y_m,tip_z_m,action_absmax,torque_absmax_nm
0,0,0.0553166,0.00649711,0.0321384,0.0166811,0.325069,0,0.543645,-0.0323479,0.0614929,0.893537,-0.0153524,-0.0312582,0.5,0.628319,0,0.399199,-0.0173533,0.767212,2.34389,10.1514
1,0.02,0.165448,0.0164645,0.0280027,0.120981,0.316227,0,0.35696,-0.0701199,-0.190023,0.0751407,-0.154087,0.087087,0.5,0.623799,0,0.418228,-0.0175323,0.66108,4.05773,30.4394
2,0.04,0.30078,0.051002,0.123993,0.125785,0.311165,0,0.410628,0.311121,0.488509,0.153019,-0.0453553,-0.0214835,0.5,0.61928,0,0.367542,-0.0921269,0.65444,6.01768,30.7447
3,0.06,0.383275,0.0540479,0.136477,0.19275,0.288159,0,3.16024,0.263072,0.211281,0.357362,0.00748436,0.00345857,0.5,0.61476,0,0.379184,-0.0637256,0.585631,6.97647,27.4748
4,0.08,0.310017,0.0150866,0.0501818,0.244749,0.268793,0,2.90264,0.356456,0.230603,0.405355,-0.131167,0.054719,0.5,0.610241,0,0.44384,0.0519264,0.531783,5.68381,23.7
5,0.1,0.423828,0.0393842,0.0605766,0.323867,0.253924,0,2.49174,0.527089,0.375833,1.41,-0.280417,0.187921,0.5,0.605721,0,0.524246,0.211487,0.45081,8.75129,23.7
6,0.12,0.732699,0.0908983,0.166851,0.474949,0.22743,0,2.10184,0.701496,0.634015,0.49965,-0.46466,0.410224,0.5,0.601202,0,0.613625,0.334988,0.297868,10.0182,19.6337
7,0.14,0.924052,0.0990528,0.264327,0.560671,0.220441,0,2.00987,-0.11888,0.513296,-1.39407,-0.713871,0.443236,0.5,0.596682,0,0.627097,0.446211,0.210279,9.97534,17.9595
8,0.16,0.918036,0.0922343,0.236717,0.589085,0.213263,0,2.06064,-0.181654,0.508985,-2.02967,-0.972416,0.356442,0.5,0.592163,0,0.606664,0.422115,0.179994,9.34248,11.5942
9,0.18,0.858636,0.0714665,0.208957,0.578213,0.195025,0,1.89104,-0.258953,0.578262,-1.97868,-1.13169,0.230447,0.5,0.587644,0,0.564426,0.422052,0.188988,10.1102,12.1708
10,0.2,0.908867,0.0597674,0.221737,0.627363,0.175268,0,2.33711,-0.115636,0.283207,-0.851938,-1.55601,0.130332,0.5,0.583124,0,0.538865,0.454701,0.137954,11.7332,12.9824
11,0.22,0.918455,0.0377289,0.202787,0.677939,0.137866,0,2.50401,0.191909,0.0695651,0.663831,-1.78891,0.0815061,0.5,0.578605,0,0.532644,0.50121,0.0854897,13.0114,21.317
12,0.24,0.915147,0.0419571,0.204495,0.668696,0.140621,0,2.29357,0.0112239,-0.0756187,-0.355166,-1.80302,0.0672494,0.5,0.574085,0,0.540053,0.512297,0.092838,14.6466,23.7
13,0.26,0.850553,0.0116892,0.200747,0.638117,0.142459,0,2.49009,-0.000181571,-0.000570686,-0.00250444,-1.81527,0.0555229,0.5,0.569566,0,0.504184,0.496232,0.121516,13.8999,23.7
14,0.28,0.835383,0.0314133,0.1942,0.609769,0.144046,0,1.13055,0.0273695,-0.0299481,0.280489,-1.82474,0.0521762,0.5,0.565046,0,0.461181,0.487533,0.147958,11.9719,23.7
15,0.3,0.829382,0.0467628,0.181983,0.600636,0.148862,0,1.35356,-0.0369921,-0.0212698,-0.102451,-1.83781,0.019151,0.5,0.560527,0,0.440782,0.463665,0.15518,10.133,13.5675
16,0.32,0.856788,0.0917963,0.174228,0.590764,0.149543,0,1.29293,0.0268141,0.0349805,0.183629,-1.84071,0.0158245,0.5,0.556008,0,0.392413,0.446161,0.163136,9.25668,11.6929
17,0.34,0.87255,0.11581,0.19023,0.56651,0.151009,0,2.27129,-0.00604623,-0.00865252,0.00731486,-1.85147,0.00846816,0.5,0.551488,0,0.364439,0.450616,0.185468,9.07149,12.2509
18,0.36,0.88961,0.127916,0.202128,0.559566,0.148756,0,2.56558,0.0271508,0.0783981,0.445197,-1.8462,0.0195278,0.5,0.546969,0,0.349909,0.451358,0.190485,9.69332,11.0662
19,0.38,0.880743,0.104535,0.227202,0.549006,0.151074,0,2.45527,-0.0291549,-0.0275551,0.0570072,-1.84446,0.011564,0.5,0.542449,0,0.364609,0.451993,0.199111,10.6661,12.8941
20,0.4,0.836223,0.0561443,0.246111,0.533968,0.151419,0,2.60863,0.00314664,0.00713338,0.0641566,-1.8439,0.0103025,0.5,0.53793,0,0.411433,0.465013,0.212212,12.1222,12.2936
21,0.42,0.801252,0.0127748,0.272096,0.516382,0.152954,0,2.44486,-0.0084807,-0.00266192,0.0470285,-1.8447,0.00907536,0.5,0.53341,0,0.45163,0.481267,0.227854,13.2229,13.0321
22,0.44,0.815357,0.0126874,0.292901,0.509768,0.154176,0,2.28164,-0.00886861,0.0115334,0.088007,-1.84115,0.00335336,0.5,0.528891,0,0.47181,0.49074,0.23252,13.9691,13.2771
23,0.46,0.881449,0.05803,0.32503,0.498389,0.155142,0,2.1906,0.00389083,0.0268943,0.0789711,-1.83706,-0.00114502,0.5,0.524372,0,0.508648,0.505977,0.241945,14.017,12.9366
24,0.48,0.932003,0.0840909,0.339673,0.508239,0.154914,0,2.44531,0.00976061,0.0129794,0.116267,-1.82173,-0.00148472,0.5,0.519852,0,0.524833,0.499771,0.230137,14.0518,12.0318
25,0.5,0.944488,0.0879665,0.3443,0.512222,0.155392,0,2.2805,0.012289,0.0414806,0.126606,-1.81075,0.000540882,0.5,0.515333,0,0.523638,0.492747,0.22419,14.0158,13.0053
26,0.52,0.973246,0.103649,0.352192,0.517405,0.157224,0,1.93037,0.00468791,-0.0196568,0.194308,-1.81696,0.0138951,0.5,0.510813,0,0.537405,0.493438,0.217038,14.5787,15.6964
27,0.54,0.964205,0.0914661,0.341214,0.531525,0.159711,0,1.76564,-0.015209,0.00483415,0.0913237,-1.82586,0.0294398,0.5,0.506294,0,0.527255,0.481015,0.200944,15.4909,18.7346
28,0.56,0.989108,0.101162,0.357232,0.530714,0.159366,0,1.61156,-0.0239645,0.0563343,-0.0971408,-1.82075,0.0268474,0.5,0.501774,0,0.534271,0.492889,0.199777,16.5934,16.9547
29,0.58,1.00435,0.113597,0.389393,0.501358,0.15825,0,1.73473,-0.0230716,0.0315067,-0.153796,-1.80886,0.0193867,0.5,0.497255,0,0.542673,0.519466,0.227149,17.567,13.6694
30,0.6,0.981951,0.0965743,0.402889,0.482489,0.15839,0,2.1978,0.0242632,-0.0111318,0.116909,-1.78868,0.0138434,0.5,0.492736,0,0.524822,0.531713,0.24403,18.0483,15.1245
31,0.62,0.955858,0.0803053,0.423979,0.451574,0.157917,0,2.43867,-0.0144981,0.0184446,-0.0483105,-1.78028,0.0181553,0.5,0.488216,0,0.509129,0.550758,0.272952,17.8847,14.6274
32,0.64,0.940821,0.0668159,0.458305,0.415699,0.157877,0,2.54928,0.00326897,0.00293645,0.0229238,-1.78001,0.0181101,0.5,0.483697,0,0.49679,0.585378,0.306828,17.5487,15.2618
33,0.66,0.925518,0.0585369,0.497698,0.369283,0.158261,0,2.41437,-0.000632804,0.00377523,0.00848094,-1.75082,0.0187782,0.5,0.479177,0,0.489228,0.623891,0.351241,17.9784,13.893
34,0.68,0.876052,0.0311633,0.522638,0.322251,0.158754,0,3.44809,-0.00260785,-0.00566348,0.0159592,-1.7138,0.0193589,0.5,0.474658,0,0.463427,0.648289,0.396266,18.6394,13.1834
35,0.7,0.838016,0.00874138,0.553129,0.276147,0.160033,0,3.30375,0.0103629,-0.0119574,0.0825267,-1.67396,0.0243948,0.5,0.470138,0,0.441773,0.676465,0.440358,19.2637,11.6896
36,0.72,0.852378,0.0118162,0.594553,0.246009,0.160747,0,3.89009,-0.0125068,0.0207557,-0.050698,-1.65603,0.027548,0.5,0.465619,0,0.421327,0.715181,0.468479,19.5688,11.1052
37,0.74,0.892228,0.0290719,0.637703,0.225454,0.160823,0,3.67416,0.000380451,-0.00180975,-0.0064646,-1.65164,0.0280597,0.5,0.461099,0,0.403939,0.755916,0.487013,20.0312,10.6577
38,0.76,0.931225,0.0351257,0.677868,0.218231,0.161337,0,3.45868,0.0103755,-0.00803941,0.0296693,-1.67616,0.0319033,0.5,0.45658,0,0.401347,0.798027,0.492209,20.1248,10.477
39,0.78,0.96872,0.0239623,0.719747,0.225011,0.160325,0,3.53954,0.00543401,-0.00949326,0.0150479,-1.71553,0.0295563,0.5,0.452061,0,0.415879,0.842363,0.483399,20.0171,10.6552
40,0.8,0.994032,0.00900298,0.735993,0.249036,0.158725,0,3.58084,-0.0376748,-0.0394973,-0.275628,-1.77948,0.014116,0.5,0.447541,0,0.438489,0.871354,0.457339,20.0412,10.5128
41,0.82,1.07531,0.0104811,0.76152,0.303308,0.152331,0,4.15482,-0.00725296,-0.0541822,-0.0233334,-1.89717,-0.0017499,0.5,0.443022,0,0.454149,0.924755,0.401027,20.1336,12.4095
42,0.84,1.13348,0.0272256,0.791286,0.314967,0.140313,0,4.0802,0.00765017,0.0532426,0.0405632,-1.94039,-4.88758e-06,0.5,0.438502,0,0.45523,0.978613,0.387325,21.0976,13.8184
43,0.86,1.16618,0.0350337,0.811373,0.319772,0.137512,0,4.61678,0.0455488,-0.0642478,0.376673,-2.00334,0.0136266,0.5,0.433983,0,0.454586,1.00447,0.380472,22.6214,18.0288
44,0.88,1.13724,0.0154553,0.803289,0.318497,0.13933,0,4.27136,0.0531137,-0.0450252,0.611044,-2.07033,0.0513556,0.5,0.429463,0,0.48064,0.99862,0.379695,23.7994,20.6835
45,0.9,1.09479,0.00851586,0.776463,0.309813,0.141951,0,4.00179,0.0568359,-0.0786995,0.636864,-2.15014,0.0943397,0.5,0.424944,0,0.494611,0.973413,0.386322,24.3418,19.4692
46,0.92,1.02765,0.00788099,0.721032,0.298742,0.14499,0,3.86713,0.0467759,-0.0744213,0.608029,-2.23754,0.146567,0.5,0.420425,0,0.504408,0.921952,0.395333,24.6508,20.0279
47,0.94,0.997665,0.00582916,0.692585,0.299251,0.148806,0,3.84596,0.036155,-0.101535,0.714194,-2.29776,0.198871,0.5,0.415905,0,0.525686,0.893583,0.392758,25.1763,19.393
48,0.96,1.06031,0.052941,0.698063,0.309307,0.155648,0,3.98931,0.0484061,-0.136832,0.875308,-2.355,0.259063,0.5,0.411386,0,0.577167,0.891134,0.380633,25.8947,19.5811
49,0.98,1.05614,0.0895113,0.656155,0.310478,0.16173,0,3.31381,0.0327039,-0.146189,0.46078,-2.41361,0.311959,0.5,0.406866,0,0.617375,0.839921,0.377388,26.7382,19.7496
50,1,1.05573,0.112413,0.635339,0.307982,0.167841,0,3.20482,0.00206034,-0.105224,0.403966,-2.47478,0.334192,0.5,0.402347,0,0.644003,0.816333,0.377808,27.4842,23.164
51,1.02,1.025,0.124219,0.610644,0.290141,0.170506,0,3.41184,-0.00618798,-0.0469434,0.231615,-2.50347,0.344058,0.5,0.397827,0,0.657114,0.789103,0.393567,27.9556,23.7
52,1.04,0.967783,0.129951,0.564606,0.273225,0.171961,0,3.9113,-0.013125,-0.0290989,0.137635,-2.51882,0.348781,0.5,0.393308,0,0.662934,0.740633,0.408397,27.9505,23.7
53,1.06,0.946565,0.141643,0.546012,0.25891,0.172781,0,4.31309,0.00848577,-0.00460168,0.0606543,-2.5278,0.352934,0.5,0.388788,0,0.675062,0.719813,0.420624,27.5823,23.7
54,1.08,0.947844,0.164473,0.521096,0.262275,0.175137,0,4.56439,0.0125844,-0.04566,0.0885119,-2.5516,0.35194,0.5,0.384269,0,0.696892,0.691108,0.415166,26.9209,23.7
55,1.1,0.978438,0.19345,0.515169,0.269819,0.177502,0,5.00691,-0.00500759,-0.0408406,0.14145,-2.57597,0.348239,0.5,0.37975,0,0.723565,0.68044,0.405525,26.0749,23.7
56,1.12,0.998959,0.222459,0.498704,0.277796,0.178891,0,5.52937,0.00192797,-0.0198471,0.128853,-2.58913,0.342408,0.5,0.37523,0,0.748832,0.658809,0.395447,25.2948,23.7
57,1.14,1.03512,0.245736,0.498354,0.29103,0.179293,0,6.13019,-0.00642416,0.0219391,-0.0696917,-2.58955,0.334488,0.5,0.370711,0,0.769774,0.656118,0.380109,24.5511,23.7
58,1.16,1.0992,0.272136,0.51196,0.315106,0.179206,0,6.32472,-0.0354516,0.0453168,-0.163958,-2.57929,0.3174,0.5,0.366191,0,0.791665,0.667681,0.353925,23.6967,23.7
59,1.18,1.14243,0.289219,0.529152,0.324054,0.177998,0,6.40798,-0.110783,0.106415,-0.325522,-2.54727,0.279183,0.5,0.361672,0,0.79963,0.684212,0.342865,24.2737,23.7
60,1.2,1.16129,0.29433,0.552366,0.314591,0.17339,0,6.22302,-0.144748,0.176352,-0.452452,-2.48071,0.223636,0.5,0.357152,0,0.792549,0.706306,0.350213,24.6602,23.7
61,1.22,1.132,0.294081,0.561674,0.276243,0.162626,0,6.29197,-0.228908,0.274479,-0.882134,-2.36364,0.131006,0.5,0.352633,0,0.767488,0.712105,0.386442,24.0502,23.7
62,1.24,1.02994,0.271986,0.560755,0.197198,0.145828,0,5.81603,-0.0309436,0.130426,-0.166881,-2.21008,-0.0076621,0.5,0.348114,0,0.707916,0.702509,0.463365,23.215,23.7
63,1.26,1.08541,0.287642,0.580525,0.217244,0.144856,0,4.90438,0.0300285,-0.0097377,-0.21946,-2.22719,-0.0030118,0.5,0.343594,0,0.708861,0.707133,0.441193,22.8006,23.7
64,1.28,1.0961,0.276465,0.592724,0.226909,0.145064,0,5.16747,-0.00476742,-0.016053,-0.0460771,-2.23952,-0.00472512,0.5,0.339075,0,0.704037,0.723872,0.429398,22.648,23.7
