step,time_s,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_est_n,base_vx_mps,base_vy_mps,base_wz_radps,base_roll_rad,base_pitch_rad,goal_radius_m,goal_pitch_rad,goal_yaw_rad,tip_x_m,tip_y_m,tip_z_m,action_absmax,torque_absmax_nm
0,0,0.0397565,0.0148205,0.0165617,0.00837433,0.321213,0,0.267813,-0.112554,0.0774315,0.553835,0.00740532,-0.0417735,0.5,0.628319,0,0.387538,-0.0035317,0.775518,2.61877,10.62
1,0.02,0.128644,0.0139507,0.00768907,0.107004,0.315674,0,0.3888,-0.495987,-0.131959,-0.0524318,-0.155015,0.0671939,0.5,0.623799,0,0.392965,-0.0087624,0.675057,3.17717,16.6124
2,0.04,0.25795,0.0449272,0.130138,0.0828855,0.328346,0,0.580348,-0.0880527,0.685344,0.289203,0.0361127,-0.0365909,0.5,0.61928,0,0.313864,-0.101602,0.697339,4.25589,21.6147
3,0.06,0.221469,0.104328,0.0597899,0.0573517,0.339087,0,0.398,-0.144658,-0.133456,0.692285,-0.256633,-0.0785913,0.5,0.61476,0,0.246608,-0.0150942,0.72103,3.38679,13.1155
4,0.08,0.228954,0.0946693,0.0937048,0.0405797,0.326066,0,0.767676,-0.233081,0.638571,-0.695962,-0.0865385,-0.125428,0.5,0.610241,0,0.244123,-0.0393314,0.735953,5.43512,23.1684
5,0.1,0.110619,0.0809578,0.0169986,0.0126624,0.317445,0,1.021,-0.538097,-0.00765218,0.992622,-0.259855,-0.158615,0.5,0.605721,0,0.228533,0.0606471,0.762015,6.04748,21.811
6,0.12,0.0669012,0.000174761,0.0261232,0.0406032,0.319559,0,0.576933,-0.845074,-0.0288139,0.0167839,-0.197951,-0.0733682,0.5,0.601202,0,0.25102,0.11916,0.732214,7.27832,16.5505
7,0.14,0.0672221,0.0310509,0.0294468,0.00672448,0.324365,0,0.446152,-0.436964,-0.155596,-1.09429,-0.309894,-0.165308,0.5,0.596682,0,0.173936,0.111757,0.764226,7.54056,24.8942
8,0.16,0.130912,0.082402,0.0149296,0.0335805,0.309906,0,0.299295,-0.328499,0.0250908,-0.761706,-0.322133,-0.205873,0.5,0.592163,0,0.0950583,0.0705595,0.802659,6.96667,38.4498
9,0.18,0.12086,0.0808169,0.00414206,0.0359011,0.296917,0,0.267858,-0.205981,0.171372,0.736569,-0.268733,-0.152619,0.5,0.587644,0,0.0778762,0.0539293,0.803102,7.43844,33.7423
10,0.2,0.199228,0.0886449,0.0315966,0.0789863,0.295261,0,0.448173,0.143836,-0.147206,-0.177772,-0.293398,-0.186255,0.5,0.583124,0,0.0716476,0.0954203,0.844304,7.82954,45.2595
11,0.22,0.24588,0.0909197,0.0286374,0.126323,0.293905,0,0.390484,0.228303,-0.0011484,0.0245515,-0.214848,-0.165549,0.5,0.578605,0,0.0850823,0.0897074,0.889751,7.33659,45.4235
12,0.24,0.187634,0.0508589,0.0492678,0.0875075,0.303655,0,0.370484,0.369555,-0.190585,0.682061,-0.20204,-0.0889264,0.5,0.574085,0,0.148313,0.101956,0.849041,7.23214,33.7494
13,0.26,0.175413,0.0174778,0.0536118,0.104323,0.308979,0,0.324299,0.513916,-0.145443,-0.145139,-0.166664,0.00767396,0.5,0.569566,0,0.217313,0.0905091,0.863957,6.75902,24.6851
14,0.28,0.150596,0.0219459,0.0479264,0.0807241,0.308333,0,0.366314,0.587632,-0.0664843,-0.330053,-0.0998397,0.0752241,0.5,0.565046,0,0.300624,0.0616886,0.838452,7.02257,11.6866
15,0.3,0.14514,0.0666434,0.0438744,0.0346227,0.304998,0,0.746413,0.337283,-0.113518,-0.385271,-0.0786135,0.121557,0.5,0.560527,0,0.381391,0.0380311,0.790439,7.26481,18.2585
16,0.32,0.173299,0.100365,0.0625671,0.0103675,0.304655,0,0.59202,0.224227,0.0655585,-0.445417,-0.0217207,0.121524,0.5,0.556008,0,0.437918,0.0457032,0.764267,7.48789,19.7666
17,0.34,0.177392,0.117309,0.0456769,0.0144066,0.324543,0,0.727205,0.0441802,0.166641,-0.268412,-0.012302,0.148238,0.5,0.551488,0,0.468451,0.0320367,0.766384,7.3207,17.4503
18,0.36,0.176675,0.101624,0.0354696,0.0395805,0.326796,0,0.704926,-0.00338807,0.200332,-0.459392,0.00706047,0.124906,0.5,0.546969,0,0.459655,0.0356899,0.71047,6.57825,13.0763
19,0.38,0.328378,0.125601,0.0989743,0.103803,0.318618,0,0.825644,-0.0435154,0.0816469,-1.29432,-0.0055911,0.117601,0.5,0.542449,0,0.480671,0.088979,0.644315,6.89548,17.858
20,0.4,0.35271,0.126299,0.0936019,0.13281,0.304156,0,1.02971,-0.0902859,0.197752,-0.857638,0.110815,0.0467429,0.5,0.53793,0,0.475651,0.0785069,0.61337,7.43556,23.5749
21,0.42,0.309472,0.12653,0.0738748,0.109068,0.303243,0,1.57785,-0.191595,0.137895,-1.52962,0.0922301,-0.0385726,0.5,0.53341,0,0.460642,0.0423501,0.635168,8.01513,23.7
22,0.44,0.232169,0.103812,0.0193546,0.109002,0.3001,0,1.96759,-0.42128,0.175129,-0.603422,0.163438,-0.0808955,0.5,0.528891,0,0.412865,-0.0163459,0.633286,7.11562,21.6694
23,0.46,0.262864,0.077869,0.0463556,0.138639,0.279586,0,2.22933,-0.363837,-0.0793103,-0.205819,0.0912584,-0.161784,0.5,0.524372,0,0.35627,0.00658569,0.601696,6.33255,17.755
24,0.48,0.2248,0.0540136,0.0214853,0.149301,0.290075,0,1.55683,-0.329515,0.182717,-0.609276,0.268193,-0.176835,0.5,0.519852,0,0.300202,-0.0182849,0.589075,5.87684,14.9477
25,0.5,0.0974797,0.0257287,0.00992204,0.061829,0.314456,0,3.07642,-0.0840025,-0.122786,-0.216999,0.119484,-0.243645,0.5,0.515333,0,0.244869,-0.0431837,0.674583,6.09987,12.3059
26,0.52,0.0864528,0.0169398,0.000141531,0.0693714,0.303809,0,5.43197,-0.209455,-0.0891971,-0.90849,0.279822,-0.196786,0.5,0.510813,0,0.21289,-0.0723148,0.665072,5.43209,12.7476
27,0.54,0.178714,0.0298474,0.0281633,0.120703,0.281915,0,7.32554,0.079928,-0.113387,0.407838,0.122798,-0.144459,0.5,0.506294,0,0.223507,-0.0522716,0.611766,5.56008,20.8428
28,0.56,0.214382,0.0461562,0.0120321,0.156194,0.297574,0,8.56179,0.145165,0.428757,-0.874764,0.330958,-0.041062,0.5,0.501774,0,0.253945,-0.0839773,0.574297,7.29872,28.3166
29,0.58,0.190727,0.055001,0.0120198,0.123707,0.325749,0,9.95105,0.135478,0.437661,0.762581,0.373419,-0.0473325,0.5,0.497255,0,0.285502,-0.0656808,0.604801,9.64145,13.7851
30,0.6,0.174869,0.0604792,0.0346879,0.0797017,0.346237,0,10.4602,0.0361547,0.0140679,-1.06114,0.286669,-0.0619567,0.5,0.492736,0,0.289321,-0.0326976,0.646817,13.0622,12.6351
31,0.62,0.249784,0.0770445,0.0719852,0.100754,0.323647,0,10.9634,0.0105308,-0.1089,-0.706546,0.172106,-0.029633,0.5,0.488216,0,0.296098,-0.0165995,0.623772,16.669,10.1363
32,0.64,0.288169,0.0535017,0.0686194,0.166048,0.302916,0,12.1012,0.194742,-0.0347959,0.387174,0.290233,0.0132503,0.5,0.483697,0,0.285364,-0.0221409,0.556479,19.9629,15.2155
33,0.66,0.316202,0.0653237,0.0808337,0.170045,0.309766,0,12.8625,0.303117,-0.330319,0.140308,0.109087,0.066916,0.5,0.479177,0,0.308432,-0.0310826,0.55048,23.8695,20.4733
34,0.68,0.191617,0.0465531,0.0239222,0.121142,0.331176,0,12.632,0.273827,0.0616431,0.0345155,0.260214,0.0443208,0.5,0.474658,0,0.306117,-0.108609,0.597375,27.0562,14.0742
35,0.7,0.144837,0.0690135,0.0184201,0.0574033,0.342368,0,11.7855,0.00233353,-0.159875,-1.17626,0.20833,0.0532421,0.5,0.470138,0,0.318832,-0.18665,0.659101,30.1174,14.547
