step,time_s,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_est_n,base_vx_mps,base_vy_mps,base_wz_radps,base_roll_rad,base_pitch_rad,goal_radius_m,goal_pitch_rad,goal_yaw_rad,tip_x_m,tip_y_m,tip_z_m,action_absmax,torque_absmax_nm
0,0,0.0543764,0.0187328,0.0313788,0.00426477,0.322911,0,0.543645,-0.0351186,0.069446,0.888896,-0.0191436,-0.05243,0.5,0.628319,0,0.387134,-0.0139495,0.779628,2.34389,10.4619
1,0.02,0.150261,0.00179416,0.0510359,0.0974313,0.311571,0,0.335227,-0.127734,-0.0600637,0.306371,-0.108426,0.0395876,0.5,0.623799,0,0.402603,-0.030886,0.68463,3.62122,27.2202
2,0.04,0.297111,0.0554163,0.143448,0.0982466,0.31482,0,0.529523,0.342669,0.432071,-0.269391,-0.0383165,-0.0397599,0.5,0.61928,0,0.357482,-0.10303,0.681978,6.67735,42.0456
3,0.06,0.32036,0.0791522,0.135787,0.10542,0.323607,0,1.62785,0.00351735,0.139655,0.734703,-0.0726337,-0.0580569,0.5,0.61476,0,0.340808,-0.0597276,0.672961,7.95332,45.43
4,0.08,0.238588,0.0583654,0.058895,0.121327,0.320392,0,1.54826,-0.0759996,-0.0441578,0.0783542,-0.155654,-0.0624856,0.5,0.610241,0,0.360207,0.0277461,0.655205,7.84525,45.43
5,0.1,0.207187,0.0498669,0.0051601,0.15216,0.310136,0,1.45274,-0.208941,-0.0460172,0.131815,-0.134608,-0.081299,0.5,0.605721,0,0.358244,0.078709,0.622518,7.41697,45.43
6,0.12,0.268819,0.0376039,0.0485245,0.182691,0.310655,0,0.679554,-0.350477,-0.18294,0.115551,-0.122243,-0.0682951,0.5,0.601202,0,0.348361,0.119887,0.590126,6.8804,45.43
7,0.14,0.256029,0.0357276,0.023967,0.196334,0.313043,0,0.192777,-0.261666,-0.0891047,-0.00306638,-0.0457765,-0.0653765,0.5,0.596682,0,0.32722,0.0942924,0.574617,8.19858,43.8313
8,0.16,0.272876,0.0552126,0.0430387,0.174625,0.31591,0,0.21855,-0.225594,-0.148433,0.230671,0.0317181,-0.0919932,0.5,0.592163,0,0.288515,0.0282308,0.594453,10.2977,26.1072
9,0.18,0.308706,0.101813,0.0662799,0.140613,0.314113,0,0.543945,-0.116905,-0.224351,0.0593591,0.140105,-0.200228,0.5,0.587644,0,0.231356,-0.00622367,0.626587,12.2262,26.5591
10,0.2,0.288952,0.138057,0.0213671,0.129527,0.298833,0,0.694067,-0.275104,-0.43807,-0.832607,0.208512,-0.245496,0.5,0.583124,0,0.183892,-0.00362275,0.63579,13.7498,32.6062
11,0.22,0.290954,0.143639,0.0317743,0.115541,0.274711,0,0.595641,-0.184988,-0.538543,-0.13297,0.268392,-0.246727,0.5,0.578605,0,0.16725,-0.0562514,0.647887,13.7524,40.9114
12,0.24,0.330391,0.123819,0.0888361,0.117736,0.265915,0,0.394535,0.122137,-0.494733,0.820792,0.225421,-0.206854,0.5,0.574085,0,0.188739,-0.1369,0.643798,12.4821,41.1181
13,0.26,0.405881,0.0863104,0.20905,0.110521,0.284265,0,0.133,0.488594,-0.286646,1.87609,0.351153,-0.164489,0.5,0.569566,0,0.251291,-0.242272,0.649113,10.7861,39.8754
14,0.28,0.415271,0.038638,0.276006,0.100627,0.311907,0,0.236827,0.533152,-0.636796,2.01752,0.298857,-0.0811431,0.5,0.565046,0,0.335206,-0.276271,0.6571,10.7553,24.1498
15,0.3,0.397729,0.0373034,0.255373,0.105053,0.327065,0,0.5198,0.422418,-0.711838,-1.50243,0.139676,0.0428909,0.5,0.560527,0,0.394708,-0.298925,0.650763,11.1045,24.2234
16,0.32,0.340531,0.0058468,0.208482,0.126202,0.336342,0,0.275098,0.317843,-0.565899,-0.0862106,0.133513,0.142417,0.5,0.556008,0,0.47688,-0.304506,0.627698,11.74,31.1108
17,0.34,0.372401,0.0493264,0.168005,0.15507,0.324106,0,0.447206,0.452937,-0.737101,-0.0965688,0.124345,0.238062,0.5,0.551488,0,0.582102,-0.314958,0.596907,11.0509,29.6157
18,0.36,0.490943,0.105302,0.186916,0.198725,0.296761,0,1.02151,0.613847,-0.894204,0.477705,0.18494,0.318543,0.5,0.546969,0,0.694375,-0.376251,0.551326,9.33041,27.7768
19,0.38,0.772464,0.162003,0.302098,0.308363,0.250659,0,1.94675,0.764948,-0.92247,0.960764,0.365688,0.484651,0.5,0.542449,0,0.804087,-0.510655,0.439755,8.27268,27.7521
20,0.4,1.13214,0.217629,0.462751,0.451756,0.229661,0,1.87025,-0.217128,-0.617032,1.73813,0.770485,0.491706,0.5,0.53793,0,0.861682,-0.674211,0.294424,10.3351,45.43
21,0.42,1.30461,0.26728,0.535665,0.501661,0.211386,0,3.12736,-0.368545,-0.879401,2.77003,1.03118,0.337584,0.5,0.53341,0,0.90626,-0.791485,0.242575,11.1426,45.43
22,0.44,1.51179,0.318075,0.595157,0.598558,0.168524,0,4.11905,-0.52657,-0.923991,3.57647,1.32795,0.107195,0.5,0.528891,0,0.946012,-0.90497,0.14373,9.84825,44.9978
23,0.46,1.62585,0.304859,0.589708,0.731278,0.142671,0,3.58633,0.0408496,-0.0229429,-0.493491,1.63269,0.0529283,0.5,0.524372,0,0.958169,-0.956686,0.00905613,12.3468,42.5654
24,0.48,1.58051,0.289583,0.567804,0.723121,0.139407,0,0.954676,0.0348525,-0.00851506,-0.159851,1.74399,0.0762301,0.5,0.519852,0,0.961112,-0.950793,0.0152548,14.1935,38.7689
25,0.5,1.56702,0.282831,0.563628,0.72056,0.144635,0,1.17034,-0.00489847,-0.0324224,0.540723,1.76786,0.0805739,0.5,0.515333,0,0.957674,-0.948291,0.0158526,13.8892,34.9369
26,0.52,1.54998,0.262232,0.570035,0.717708,0.147029,0,1.23305,-0.0916611,-0.05569,0.416138,1.78764,0.0794144,0.5,0.510813,0,0.941744,-0.968165,0.016735,12.9276,28.753
27,0.54,1.57118,0.263271,0.602599,0.70531,0.14462,0,1.69709,-0.0517212,0.0315516,0.192951,1.79561,0.0450395,0.5,0.506294,0,0.940221,-1.0123,0.0271592,11.1263,23.8013
28,0.56,1.60882,0.289521,0.620843,0.698455,0.148356,0,2.18583,-0.00714908,0.0218896,0.118303,1.81551,0.0241409,0.5,0.501774,0,0.956694,-1.01804,0.0320363,9.48519,23.7
29,0.58,1.57813,0.29364,0.617333,0.667152,0.149426,0,2.6538,0.00270908,0.0137119,0.0485624,1.81877,0.0200575,0.5,0.497255,0,0.958315,-1.00944,0.0613553,8.80548,27.3796
30,0.6,1.534,0.284269,0.606654,0.643073,0.14841,0,2.17632,0.0184737,-0.0162091,-0.0750471,1.82526,0.0247272,0.5,0.492736,0,0.953665,-1.00348,0.0834462,8.62386,32.0913
31,0.62,1.47161,0.26887,0.587298,0.615443,0.146011,0,3.39304,-0.0113467,-0.0364644,0.0422119,1.84722,0.0348233,0.5,0.488216,0,0.947663,-0.996737,0.109082,8.55979,28.6103
32,0.64,1.40093,0.245236,0.564231,0.591465,0.143077,0,5.45369,0.0238681,0.00199559,-0.137141,1.87393,0.0480153,0.5,0.483697,0,0.934037,-0.987256,0.131062,8.5888,23.7008
33,0.66,1.32362,0.22836,0.549176,0.54609,0.142853,0,6.66075,0.0362944,0.0402565,-0.212146,1.8946,0.0607536,0.5,0.479177,0,0.922532,-0.977687,0.174435,9.19422,23.7
34,0.68,1.28137,0.227822,0.557526,0.496019,0.147839,0,6.55262,0.0551285,0.101801,-0.31728,1.9461,0.0653123,0.5,0.474658,0,0.920012,-0.977087,0.222498,9.60906,23.7
35,0.7,1.29302,0.235218,0.591565,0.466235,0.152485,0,5.11659,0.0797773,0.0988088,-0.424058,2.00963,0.0786345,0.5,0.470138,0,0.926392,-1.00217,0.250269,9.73671,23.7
36,0.72,1.309,0.237688,0.617199,0.454115,0.157088,0,3.57272,0.0814943,0.100223,-0.466456,2.09046,0.104011,0.5,0.465619,0,0.931355,-1.02304,0.260373,10.3936,23.7
37,0.74,1.32289,0.2328,0.633844,0.456249,0.160275,0,2.96407,0.109141,0.137694,-0.612807,2.17946,0.139919,0.5,0.461099,0,0.934289,-1.04225,0.256217,11.3358,23.7
38,0.76,1.33364,0.227499,0.644663,0.461479,0.163154,0,2.95417,0.122957,0.151037,-0.619199,2.28064,0.181088,0.5,0.45658,0,0.939008,-1.05704,0.248961,11.9466,23.7
39,0.78,1.31992,0.217822,0.646307,0.455796,0.164749,0,3.58167,0.106915,0.153387,-0.63484,2.38944,0.212035,0.5,0.452061,0,0.937311,-1.06039,0.252614,12.1822,23.7
40,0.8,1.2887,0.21527,0.642344,0.431087,0.171312,0,5.13581,0.0229482,0.0852729,-0.29065,2.47421,0.213913,0.5,0.447541,0,0.936844,-1.05395,0.275289,12.0705,22.9412
41,0.82,1.23672,0.217114,0.629065,0.390541,0.174385,0,5.93971,-0.00826818,0.0192495,-0.0258974,2.5025,0.212982,0.5,0.443022,0,0.935876,-1.0365,0.313795,11.2819,22.4189
42,0.84,1.15196,0.206774,0.618157,0.32703,0.17209,0,7.27081,-0.0718749,-0.117752,0.301126,2.47495,0.180924,0.5,0.438502,0,0.918013,-1.02264,0.375262,9.92523,21.4267
43,0.86,1.02901,0.185331,0.597429,0.246247,0.163188,0,7.71192,-0.16102,-0.286033,0.691447,2.39243,0.114962,0.5,0.433983,0,0.87743,-0.995287,0.453997,8.58029,18.5483
44,0.88,0.83965,0.118295,0.57798,0.143376,0.144075,0,9.31762,-0.0703931,-0.0501424,-0.565611,2.25377,-0.00321144,0.5,0.429463,0,0.778841,-0.964986,0.554816,8.54575,13.308
45,0.9,0.791439,0.102523,0.56993,0.118986,0.144107,0,10.0575,0.0372988,-0.0653471,-0.286482,2.25761,-0.00209847,0.5,0.424944,0,0.754904,-0.947427,0.577149,8.03269,11.2486
46,0.92,0.7434,0.0855044,0.556575,0.10132,0.144506,0,10.1871,-0.00576438,0.00114948,-0.0224542,2.2592,0.00173834,0.5,0.420425,0,0.737187,-0.93224,0.592754,8.44711,12.9428
47,0.94,0.699948,0.0699366,0.54501,0.0850017,0.144023,0,11.3887,-0.00317459,0.00964058,-0.00758536,2.25573,-0.00150096,0.5,0.415905,0,0.717381,-0.917777,0.607007,9.48965,17.2048
