step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789877357.086,-0.009244716,-0.01275372,0.03299999,-0.002827444,-0.0001274991,0,-0.004461681,-0.0005053597,0,-0.003417426,-4.869169e-05,-0.00258,-0.0001369983,0.0154,-0.001150339,-0.001507306,0,-0.000805336,-0.001554454,-0.005195124,0.01748273,0,-0.0001150189,-9.30805e-05,0.01147319,2.414763e-30,0.02836048,0.01456918,25.53372,3.66434,0.003926152,0.009602379,3.636242,0.0002962963,-0.01464009,0.5290205,0.5876563,0.4289269,24175,0.9996864,13.11765,0.8084756
1,1789877357.952,-0.02212067,-0.02724122,0.07199996,-0.005599517,-0.0004660833,0,-0.009170759,-0.001243402,0,-0.006950766,-0.0001063369,0,-0.0002669272,0.05765001,-0.002014658,0,0,-0.002597688,-0.004678979,-0.01319596,0.03717397,0.0211036,-0.0002740002,-0.000215657,0.01859507,8.418948e-39,0.06981572,0.007929745,25.52929,3.646174,0.005496101,0.009512645,3.623236,2.601229e-05,-0.0323876,0.2105833,0.4763,0.3574481,29476,0.9991589,28.85714,1.67476
2,1789877358.819,-0.03394821,-0.0388453,0.1064999,-0.007205091,-0.0004935806,-0.025,-0.01314545,-0.001573996,0,-0.009125888,-0.0001511063,-0.00222,-0.0002548058,0.06920004,-0.002442005,-0.002199214,0,-0.004731644,-0.005627247,-0.009971938,0.05571822,0.01576169,-0.0004033704,-0.0002816163,0.03193982,6.928238e-15,0.05700072,0.00676985,25.5174,3.63441,0.006201291,0.009140313,3.612299,3.901844e-05,-0.02461005,0.2095317,0.5032892,0.3576329,28546,0.9982474,41.16667,2.342742
3,1789877359.702,-0.0485207,-0.05124666,0.1439999,-0.01042222,-0.000754861,0,-0.01986394,-0.002189607,0,-0.01340481,-0.0002056563,-0.004330001,-0.0005666091,0.103275,-0.003891519,-0.0034922,-0.001336396,-0.006098644,-0.007623348,-0.01312674,0.07562717,0.02119983,-0.0006448826,-0.0003928755,0.03053419,2.437072e-21,0.08354639,0.006121115,25.50074,3.626209,0.00601249,0.008765571,3.605309,5.852766e-05,-0.02668781,0.1904146,0.5184062,0.3577619,28049,0.9973908,54.74,3.313949
4,1789877360.594,-0.05912044,-0.05785954,0.1799999,-0.008498108,-0.001231773,-0.035,-0.01892358,-0.002566901,0,-0.01290953,-0.0002493555,0,-0.0002600222,0.1821499,-0.004705939,0,0,-0.006654161,-0.01352304,-0.01731129,0.09213968,0.05255008,-0.0006838997,-0.0005378753,0.03774054,1.952428e-38,0.1789933,0.00609556,25.49088,3.613807,0.005551461,0.008232477,3.593927,3.901844e-05,-0.02740193,0.1542735,0.5294652,0.3568742,27727,0.9971866,78.5,4.727191
5,1789877361.496,-0.06960134,-0.08090845,0.2159999,-0.01509349,-0.000953718,-0.03,-0.02410268,-0.003003427,0,-0.01763928,-0.0002998195,0,-0.0003478544,0.1979748,-0.005336003,0,0,-0.007179378,-0.010629,-0.01380583,0.1133354,0.06384742,-0.0008096516,-0.0005861084,0.05013904,2.342319e-36,0.2233997,0.006114527,25.48882,3.596788,0.005662285,0.007759868,3.577251,0.0002962963,-0.02606417,0.1616931,0.5347686,0.3614247,27422,0.9971001,106.05,6.331241
6,1789877362.402,-0.08427071,-0.08823553,0.2520002,-0.01380881,-0.001054148,-0.0575,-0.03043084,-0.003967847,-7.498622e-05,-0.02071537,-0.0003543226,-0.01151,-0.0005114081,0.1562749,-0.005988561,-0.01183753,0,-0.008667108,-0.01182793,-0.0121054,0.1335576,0,-0.0009468237,-0.0006896433,0.05308584,6.403595e-34,0.144703,0.006218594,25.48545,3.590907,0.005370445,0.007832817,3.571485,1e-05,-0.0309623,0.1308069,0.5427887,0.3572726,27304,0.9968895,136.78,7.845612
7,1789877363.306,-0.09162265,-0.1062745,0.2880004,-0.01609502,-0.001419639,-0.09749999,-0.0320733,-0.004151657,0,-0.02269597,-0.0004038798,-0.01434,-0.0004456997,0.1717748,-0.007757957,-0.01246847,0,-0.01058733,-0.01357025,-0.01328591,0.1501544,0,-0.001092792,-0.0008502009,0.07125427,3.396544e-08,0.1652678,0.006222938,25.48554,3.564217,0.005399593,0.007333299,3.545261,0.0002562891,-0.02154339,0.1715251,0.5394874,0.3591855,27346,0.9971291,161.48,9.123274
8,1789877364.230,-0.08581685,-0.09387359,0.2710004,-0.01585337,-0.001299142,-0.085,-0.0268584,-0.003838961,0,-0.01982326,-0.0003801341,-0.007766667,-0.0003133026,0.2068498,-0.007144942,-0.007290664,0,-0.009809218,-0.01496429,-0.01137086,0.1410167,0.03142875,-0.00102271,-0.00076664,0.06621893,6.783928e-28,0.1630535,0.0061679,25.48634,3.547338,0.005319705,0.007155345,3.528695,1e-05,-0.02903421,0.1388234,0.5605986,0.3575397,26767,0.9969379,174.22,9.989832
9,1789877365.154,-0.07747786,-0.08644308,0.2377504,-0.01328135,-0.001611038,-0.1674999,-0.02722616,-0.003244299,-0.002361755,-0.01945194,-0.0003256997,-0.0103,-0.0002525643,0.1460498,-0.005377582,-0.009797661,-0.005878154,-0.01063244,-0.02143289,-0.01697895,0.1220209,0,-0.0009684122,-0.000668761,0.05801844,7.971288e-13,0.1060119,0.006328377,25.48639,3.506825,0.005151505,0.006726713,3.488619,0.0001708594,-0.01888791,0.1504751,0.5585127,0.3599045,26759,0.9972125,200.77,11.25462
10,1789877366.061,-0.08760586,-0.09739134,0.2692506,-0.01538306,-0.001105504,-0.0275,-0.03499112,-0.003580013,-0.0005196381,-0.02425219,-0.0003739659,-0.00563,-0.0008618438,0.1763498,-0.006557424,-0.007060982,-0.009308623,-0.01176187,-0.01000563,-0.01711654,0.141984,0.03284804,-0.00106651,-0.0007410811,0.06973314,2.621058e-38,0.2151771,0.006439561,25.49413,3.481727,0.004863927,0.006888701,3.463535,7.59375e-05,-0.02653495,0.1401921,0.558392,0.3425636,27277,0.9975569,214.55,12.26397
11,1789877366.999,-0.1330445,-0.1504111,0.432001,-0.02362044,-0.002120543,-0.08249997,-0.05054684,-0.006369552,-0.0007980789,-0.03433134,-0.0006055796,-0.01749,-0.0008953925,0.2789495,-0.01001141,-0.01751107,-0.008196682,-0.01845154,-0.02544542,-0.01828643,0.227089,0.01947406,-0.001716266,-0.001163968,0.0996251,1.19188e-16,0.25855,0.006720702,25.48991,3.443121,0.004675944,0.006599331,3.425125,0.0001708594,-0.02809782,0.1448808,0.5707738,0.3617697,26353,0.9968758,234.05,13.79941
