step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789879779.343,-0.01202776,-0.01113767,0.03599999,-0.002265778,-0.0002495155,0,-0.003983115,-0.0005402612,0,-0.00340362,-5.138102e-05,-0.00211,-0.0001094042,0.020375,-0.001257952,-0.001687266,0,-0.0006984415,-0.001486204,-0.008099385,0.01915937,0,-0.0001287908,-0.0001268588,0.01048091,0.03748908,0.03399971,0.01457249,25.53623,0.03416037,0.003762264,0.009270033,0.006555586,0.0006666667,-0.007426267,0.4460389,1.045328,1.446241,39454,0.9996091,13.09,1.205618
1,1789879781.763,-0.02285135,-0.02585511,0.07199996,-0.004336074,-0.0003107462,-0.004,-0.008207406,-0.001127472,0,-0.006177288,-0.0001009966,-0.002012,-0.0002844117,0.04920001,-0.001903777,-0.001799642,-0.0004325809,-0.002562234,-0.004039875,-0.007428705,0.03777751,0.008475686,-0.0002674591,-0.0002046814,0.0183251,0.0673712,0.05967736,0.00756268,25.54498,0.02704214,0.004843014,0.009078305,0.00555814,0.0004444444,-0.02021188,0.5176185,0.9280784,1.458692,41187,1.000752,39.66,3.3631
2,1789879784.182,-0.03256124,-0.03343894,0.09849994,-0.007121192,-0.0004529408,-0.03166667,-0.01251639,-0.001381509,-0.0002063187,-0.009504808,-0.0001377024,-0.003846667,-0.0003396923,0.05333334,-0.002676416,-0.004062803,-0.0009911323,-0.003803809,-0.005558649,-0.007859895,0.05107351,0,-0.0003849824,-0.0002969359,0.02150894,0.08494304,0.08841166,0.006322512,25.55679,0.02508356,0.004825545,0.008525723,0.005409779,0.0002962963,-0.02162571,0.4211806,0.9415278,1.463738,40870,1.001416,62.69,5.382759
3,1789879786.611,-0.04536222,-0.05149231,0.1439999,-0.008089772,-0.0006161988,-0.007000001,-0.01733537,-0.00209641,0,-0.01234783,-0.0002027662,-0.004400001,-0.0004359188,0.10256,-0.003586561,-0.004238024,-0.002509105,-0.005706826,-0.006285175,-0.01085481,0.07637438,0.01702528,-0.0005598025,-0.0003753502,0.03475783,0.1224099,0.1121499,0.005938613,25.56902,0.02450388,0.004804488,0.008300423,0.005460359,0.0001975309,-0.02357043,0.4275752,0.961787,1.460324,40586,1.001491,87.3,7.707076
4,1789879789.064,-0.05824385,-0.06212304,0.1799999,-0.009997918,-0.000837702,-0.02642858,-0.01971063,-0.002724449,0,-0.01428236,-0.0002532497,-0.007177144,-0.0004313673,0.1238357,-0.004869593,-0.007236728,0,-0.006072848,-0.008276932,-0.01140162,0.09445928,0.007509493,-0.000672877,-0.0005141319,0.04630922,0.1549757,0.1144677,0.005866197,25.57052,0.02321641,0.004542817,0.007532744,0.00527465,0.001,-0.02208551,0.2785704,0.9588447,1.48747,40184,1.001858,111.57,9.360975
5,1789879791.544,-0.06328811,-0.07064472,0.1994999,-0.01132904,-0.0009919121,-0.008125002,-0.02300562,-0.002996094,-0.0002845806,-0.01663861,-0.0002821043,-0.006355001,-0.0004995996,0.1450999,-0.005075758,-0.005691654,-0.0007688383,-0.007498781,-0.01016792,-0.01476625,0.1049057,0.0240244,-0.000766124,-0.0005521452,0.05077564,0.1807254,0.1499479,0.005844952,25.57925,0.02260093,0.004543624,0.007154606,0.005057749,0.0001975309,-0.02433307,0.3162939,0.9886186,1.485518,39732,1.002394,133.26,11.3157
6,1789879794.013,-0.08124845,-0.08964695,0.2520002,-0.01565604,-0.001169966,-0.05071429,-0.02806785,-0.003591925,-7.562187e-05,-0.02057425,-0.0003519973,-0.007182858,-0.000532303,0.1881713,-0.006582321,-0.007132753,-0.0001495935,-0.009282021,-0.01376926,-0.01392068,0.1326194,0.03165374,-0.0009763286,-0.0006892366,0.06286486,0.2228862,0.2093096,0.005757432,25.59199,0.02087162,0.004093812,0.006181773,0.004838608,0.0006666667,-0.02300211,0.291652,0.9675603,1.495742,39907,1.00317,155.73,13.371
7,1789879796.488,-0.09073147,-0.1036317,0.2821879,-0.01798889,-0.001335235,-0.03312501,-0.03479908,-0.004118057,-0.0001362746,-0.02461385,-0.0003949693,-0.008207502,-0.0006370074,0.1870998,-0.006691903,-0.009340156,-0.002841685,-0.0115187,-0.01485706,-0.01668881,0.1487974,0.02491996,-0.001112424,-0.0007485698,0.06867887,0.2390126,0.2467534,0.005682174,25.59474,0.02009253,0.003816281,0.005983699,0.004610376,0.0001316872,-0.02585175,0.2930179,0.9718847,1.49708,39815,1.003135,183.76,14.92029
8,1789879798.964,-0.1065201,-0.1183819,0.3240007,-0.01917792,-0.001543683,-0.04400001,-0.03531586,-0.004515548,-0.0002791565,-0.02549283,-0.0004506963,-0.008628002,-0.0004958705,0.2486997,-0.00882057,-0.008814992,0,-0.01084722,-0.01553885,-0.01341443,0.1695127,0.03849448,-0.001233383,-0.0009202419,0.08122494,0.252546,0.1909422,0.005581434,25.59626,0.0181859,0.003028008,0.005234792,0.004341661,0.0006666667,-0.0212669,0.2306846,0.9612336,1.508774,39799,1.002947,201.99,17.08502
9,1789879801.446,-0.1136579,-0.1340358,0.3600009,-0.02129853,-0.002060377,-0.115,-0.04235439,-0.005353435,-0.009191456,-0.02969163,-0.0005030551,-0.01533333,-0.0005973476,0.2258497,-0.008811198,-0.01320831,0,-0.01439768,-0.01782699,-0.01674679,0.1877093,0.01684733,-0.001418088,-0.001077495,0.08892053,0.2574273,0.2894883,0.005496685,25.59631,0.01682492,0.00269438,0.004525714,0.004108138,0.0001975309,-0.02513941,0.2151711,0.9702725,1.506109,39696,1.003492,221.81,18.17768
10,1789879803.921,-0.1269871,-0.1392252,0.3960012,-0.01960483,-0.00244949,-0.2199999,-0.03893816,-0.005707166,0,-0.02726437,-0.0005492707,-0.01726001,-0.0002912301,0.2627996,-0.01012044,-0.0164781,0,-0.01575026,-0.02387187,-0.01669212,0.2037653,0.00629108,-0.001507826,-0.001152822,0.1003995,0.2822514,0.2337198,0.005377061,25.59772,0.0152301,0.002325067,0.003719792,0.003808181,0.0006666667,-0.02264102,0.2041054,0.9581499,1.510741,39817,1.002809,241.6,19.05988
11,1789879806.426,-0.1177147,-0.1218614,0.3630006,-0.02376421,-0.002118744,-0.12,-0.04083999,-0.005186989,0,-0.02908423,-0.0005084076,-0.008440002,-0.0003738295,0.2859664,-0.009257458,-0.009162165,-0.0004766114,-0.01366876,-0.02037739,-0.01785163,0.1877907,0.04770364,-0.001440895,-0.001056635,0.08432201,0.2592068,0.2356435,0.005442622,25.59533,0.01447772,0.00215214,0.003360367,0.003522589,0.0004444444,-0.02358185,0.2163095,0.9844675,1.514684,39334,1.003314,257.51,21.39065
12,1789879808.897,-0.1473284,-0.1696031,0.4680006,-0.02742006,-0.002148842,-0.07875,-0.05550091,-0.006929404,-2.298013e-05,-0.03917955,-0.0006542999,-0.016285,-0.001006039,0.3076119,-0.01205991,-0.01758667,-0.006002921,-0.01779361,-0.02232086,-0.01900781,0.245321,0.02525704,-0.001800115,-0.001287909,0.1276143,0.3344025,0.3230561,0.005465681,25.60546,0.01369355,0.002048841,0.002966807,0.003212216,0.0004444444,-0.02591966,0.1915244,0.9703572,1.494657,39879,1.004212,275.49,21.85891
13,1789879811.391,-0.1541144,-0.1717979,0.4759096,-0.02895031,-0.002250974,-0.05181818,-0.0543099,-0.006924212,-0.0008237051,-0.03875693,-0.0006648076,-0.01356,-0.0008574502,0.3590633,-0.01179137,-0.01388234,-0.00202652,-0.01775811,-0.02384379,-0.02105504,0.249644,0.05547313,-0.001844016,-0.001326821,0.123109,0.360312,0.355242,0.005358175,25.61376,0.01274081,0.001818842,0.002626701,0.002937089,0.0001316872,-0.02596126,0.1775018,0.9612157,1.526945,39508,1.00429,308.33,25.73844
14,1789879813.890,-0.1553621,-0.1708674,0.4767502,-0.02950721,-0.002640185,-0.07499999,-0.05765565,-0.006924476,-0.001983942,-0.0406862,-0.0006671359,-0.006600001,-0.000749153,0.3884496,-0.01266102,-0.007758064,-0.002285859,-0.01809612,-0.02763057,-0.02256129,0.2472812,0.09014562,-0.001853941,-0.001355487,0.1158381,0.3656906,0.4581454,0.005385044,25.61505,0.0118572,0.001501984,0.00221657,0.002753603,0.0006666667,-0.02497487,0.1831499,0.963172,1.529743,39433,1.004199,330.12,27.67146
