step,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_meas_n,force_est_n
0,0.33852,0.10776,0.14774,0.08302,0.36649,0.0000,0.0000,3.0980
1,0.34588,0.13141,0.13560,0.07887,0.35233,0.0000,0.0000,0.2854
2,0.31531,0.13802,0.11423,0.06305,0.33819,0.0000,0.0000,0.3911
3,0.25615,0.12403,0.09414,0.03798,0.32737,0.0000,0.0000,0.2638
4,0.19960,0.10451,0.08511,0.00998,0.31954,0.0000,0.0000,0.1714
5,0.16167,0.08514,0.07562,0.00091,0.31347,0.0000,0.0000,0.0937
6,0.13717,0.07045,0.06520,0.00153,0.30884,0.0000,0.0000,0.1255
7,0.11800,0.06086,0.05584,0.00130,0.30511,0.0000,0.0000,0.2992
8,0.11131,0.05513,0.04786,0.00832,0.30180,0.0000,0.0000,0.3589
9,0.11037,0.05247,0.04534,0.01256,0.29867,0.0000,0.0000,0.3652
10,0.11077,0.05272,0.04676,0.01129,0.29565,0.0000,0.0000,0.3200
11,0.11037,0.05192,0.04930,0.00916,0.29323,0.0000,0.0000,0.2705
12,0.10473,0.05010,0.04804,0.00660,0.29139,0.0000,0.0000,0.2366
13,0.09944,0.04849,0.04559,0.00536,0.28979,0.0000,0.0000,0.2176
14,0.09564,0.04779,0.04243,0.00543,0.28878,0.0000,0.0000,0.2147
15,0.09415,0.04840,0.03815,0.00760,0.28878,0.0000,0.0000,0.1825
16,0.09323,0.04918,0.03277,0.01129,0.28969,0.0000,0.0000,0.1747
17,0.09184,0.04709,0.02769,0.01705,0.29061,0.0000,0.0000,0.2329
18,0.09037,0.04296,0.02291,0.02450,0.29142,0.0000,0.0000,0.2414
19,0.08317,0.03970,0.01598,0.02750,0.29218,0.0000,0.0000,0.2033
20,0.07690,0.03749,0.01202,0.02738,0.29276,0.0000,0.0000,0.1801
21,0.07366,0.03558,0.01115,0.02693,0.29309,0.0000,0.0000,0.1753
22,0.07030,0.03396,0.00975,0.02660,0.29310,0.0000,0.0000,0.2191
23,0.06639,0.03182,0.00854,0.02603,0.29272,0.0000,0.0000,0.2416
24,0.06199,0.02882,0.00850,0.02467,0.29189,0.0000,0.0000,0.3023
25,0.05577,0.02546,0.00839,0.02192,0.29053,0.0000,0.0000,0.3372
26,0.04624,0.02178,0.00583,0.01863,0.28867,0.0000,0.0000,0.3912
27,0.03320,0.01752,0.00057,0.01512,0.28674,0.0000,0.0000,0.4495
28,0.02944,0.01331,0.00355,0.01259,0.28541,0.0000,0.0000,0.5145
29,0.02427,0.01042,0.00325,0.01059,0.28480,0.0000,0.0000,0.6087
30,0.01939,0.00963,0.00016,0.00960,0.28539,0.0000,0.0000,0.7551
31,0.02236,0.00850,0.00457,0.00928,0.28754,0.0000,0.0000,0.9899
32,0.02746,0.00957,0.00860,0.00929,0.29021,0.0000,0.0000,0.9087
33,0.03116,0.01522,0.00826,0.00768,0.29165,0.0000,0.0000,0.9347
34,0.03816,0.01664,0.01415,0.00737,0.29194,0.0000,0.0000,0.7534
35,0.04360,0.01314,0.01829,0.01217,0.29148,0.0000,0.0000,0.6846
