index,steps,fell,goal_quiet_median_m,unified_median_m,unified_pushed_median_m,force_cmd_mean_n,force_realised_mean_n,estimator_err_median_n,base_vel_err_median_m_s
0,1001,0,0.21247,0.25703,0.27085,1.22416,52.61733,,0.29708
1,44,1,0.18945,0.22435,0.22486,0.00000,,,0.54770
2,51,1,0.11203,0.28702,0.28708,0.00000,,,0.77599
3,1001,0,0.37224,0.37976,0.40041,1.28324,-28.99830,,0.01039
4,1001,0,0.27997,0.24275,0.20615,3.84142,1.71325,,0.18358
5,1001,0,0.19282,0.26204,0.34339,2.30807,30.42515,,0.31899
6,1001,0,0.24769,0.27561,0.30800,4.02047,7.09255,,0.38328
7,1001,0,0.26924,0.26979,0.27389,3.84606,3.15587,,0.32345
8,1001,0,0.43409,0.43293,0.43260,5.88210,-14.87389,,0.41920
9,1001,0,0.26097,0.30501,0.30784,3.88735,3.71962,,0.16315
10,1001,0,0.46236,0.37623,0.37450,2.66948,-16.74560,,0.48337
11,16,1,0.12416,0.46214,0.48605,0.72826,47.06923,,0.65011
12,1001,0,0.57625,0.36558,0.31719,1.83798,-21.93118,,0.42360
13,1001,0,0.42735,0.31965,0.29906,2.27452,14.09449,,0.49331
14,1001,0,0.32664,0.35274,0.35617,2.57131,9.94133,,0.35093
15,1001,0,0.44803,0.43434,0.43200,5.83394,-32.98212,,0.45739
16,1001,0,0.43971,0.38216,0.37997,4.89948,14.25563,,0.27693
17,1001,0,0.26618,0.23281,0.23113,3.31076,-17.85183,,0.13225
18,1001,0,0.29072,0.24217,0.23307,3.06887,-28.80872,,0.39248
19,1001,0,0.13272,0.32898,0.35567,4.12803,10.45199,,0.43514
20,1001,0,0.40086,0.31095,0.30520,3.59631,-3.58954,,0.32819
21,1001,0,0.39500,0.32353,0.31989,3.32969,34.43330,,0.37602
22,1001,0,0.45372,0.39128,0.38788,2.99525,38.38310,,0.24049
23,1001,0,0.57467,0.31351,0.30352,3.98470,-19.38584,,0.52471
24,1001,0,0.23605,0.41732,0.44671,3.37549,-40.98636,,0.45056
25,32,1,0.26101,0.34302,0.35919,0.72100,13.24930,,0.63583
26,1001,0,0.31347,0.37586,0.38539,2.13293,-5.45377,,0.13898
27,1001,0,0.10952,0.14577,0.28735,1.78638,-46.80113,,0.54602
28,1001,0,0.18681,0.34167,0.34838,2.79656,26.39124,,0.26228
29,39,1,0.19577,0.24954,0.26413,1.00291,-24.26709,,0.29280
30,43,1,0.23546,0.27748,0.27764,2.42413,-0.03023,,0.75518
31,57,1,0.26778,0.24629,0.21808,2.45388,-32.56096,,0.41030
32,1001,0,0.30438,0.31575,0.31663,1.72784,-6.81048,,0.00647
33,1001,0,0.38321,0.33698,0.29448,2.97927,13.27264,,0.52255
34,62,1,0.17465,0.35387,0.36149,2.87967,6.44626,,0.28897
35,27,1,0.21907,0.39446,0.39710,1.18416,-26.15744,,0.72668
36,1001,0,0.51572,0.29769,0.17870,1.92209,-25.41573,,0.39337
37,1001,0,0.50030,0.34736,0.27530,3.71317,-18.86981,,0.43228
38,1001,0,0.32925,0.39900,0.40106,3.20167,32.48250,,0.46027
39,1001,0,0.32275,0.32624,0.32809,2.36670,-15.39924,,0.08949
40,1001,0,0.17586,0.35522,0.36828,3.75219,38.04360,,0.01267
41,43,1,0.08305,0.24425,0.24671,1.45956,-17.39966,,0.44443
42,1001,0,0.31598,0.30236,0.28684,4.11403,28.64485,,0.38910
43,44,1,0.25905,0.25905,,,,,0.35100
44,1001,0,0.30988,0.30036,0.30036,4.71934,39.92107,,0.12619
45,8,1,0.13054,0.30558,0.39234,0.38836,44.80295,,0.59913
46,1001,0,0.39619,0.37235,0.36959,3.94101,-31.78991,,0.20414
47,13,1,0.24585,0.40353,0.42503,0.00000,,,1.15162
48,29,1,0.21342,0.42239,0.42261,0.54083,57.03483,,0.43958
49,47,1,0.22629,0.27554,0.27646,1.96034,9.92671,,0.61230
