index,steps,fell,goal_quiet_median_m,unified_median_m,unified_pushed_median_m,force_cmd_mean_n,force_realised_mean_n,estimator_err_median_n,base_vel_err_median_m_s
0,1001,0,0.03489,0.03557,0.03580,1.22416,1.23480,1.26299,0.07332
1,1001,0,0.02279,0.02372,0.02392,0.00000,,1.27169,0.04229
2,1001,0,0.03074,0.03952,0.04884,2.44448,1.38179,1.72185,0.04945
3,1001,0,0.02457,0.02527,0.02619,1.28324,-1.50198,0.76899,0.02286
4,1001,0,0.01894,0.02515,0.03063,3.84142,1.66145,1.00828,0.05163
5,1001,0,0.03412,0.03292,0.03111,2.30807,7.12121,2.00346,0.05406
6,1001,0,0.03704,0.02671,0.02497,4.02047,5.88434,1.66312,0.05614
7,1001,0,0.02396,0.03402,0.03901,3.84606,3.48884,1.41560,0.06589
8,1001,0,0.02778,0.03067,0.03366,5.88210,4.31669,0.91257,0.05140
9,1001,0,0.01435,0.02735,0.02766,3.88735,3.31428,0.88638,0.04465
10,1001,0,0.03524,0.03573,0.03625,2.66947,-1.03882,1.07634,0.06127
11,1001,0,0.45295,0.06739,0.05470,2.60339,-0.22770,1.68375,0.08852
12,1001,0,0.03105,0.03414,0.03576,1.83798,4.32400,1.69615,0.07270
13,1001,0,0.02099,0.03345,0.03961,2.27452,4.75674,1.11795,0.05425
14,1001,0,0.03866,0.05319,0.06157,2.57131,-4.38768,0.94637,0.07043
15,1001,0,0.02928,0.03257,0.03300,5.83394,5.58635,2.08990,0.05212
16,1001,0,0.02751,0.02784,0.02784,4.89948,2.04539,0.89800,0.06891
17,1001,0,0.03061,0.03401,0.03573,3.31076,5.70420,1.19746,0.04320
18,1001,0,0.02260,0.02890,0.03632,3.06887,12.07909,1.35281,0.05154
19,1001,0,0.14233,0.05752,0.05324,4.12803,-3.55296,0.71698,0.07084
20,1001,0,0.01981,0.02619,0.02704,3.59631,5.88204,0.85268,0.04777
21,1001,0,0.02524,0.02599,0.02601,3.32969,5.93675,1.22123,0.06497
22,1001,0,0.22207,0.03169,0.03150,2.99525,5.70191,0.93451,0.04482
23,1001,0,0.04009,0.02692,0.02593,3.98470,6.11919,1.67840,0.03817
24,1001,0,0.02008,0.03037,0.03302,3.37549,5.00700,1.02329,0.06003
25,1001,0,0.15219,0.03711,0.03699,2.15389,3.72142,0.90654,0.06813
26,1001,0,0.01200,0.02443,0.02505,2.13293,1.32371,1.77988,0.02266
27,1001,0,0.01298,0.01872,0.02137,1.78638,0.02877,0.65097,0.04290
28,1001,0,0.02417,0.03588,0.03656,2.79656,7.42822,1.46180,0.03912
29,1001,0,0.15453,0.06101,0.05653,2.25904,7.51180,1.63606,0.04814
30,1001,0,0.02213,0.02543,0.02579,4.27958,4.04914,1.36568,0.05134
31,1001,0,0.02367,0.02836,0.02963,3.16744,2.92987,1.37881,0.04842
32,1001,0,0.03451,0.03493,0.03514,1.72784,1.25839,1.46049,0.02577
33,1001,0,0.02702,0.02894,0.03001,2.97927,1.89940,1.43666,0.07249
34,1001,0,0.02508,0.02685,0.02697,3.22867,2.29910,1.44646,0.02893
35,1001,0,0.02317,0.03053,0.03215,3.99519,7.84100,0.88090,0.05990
36,1001,0,0.03882,0.04012,0.04166,1.92209,-2.11853,0.89545,0.08587
37,1001,0,0.03178,0.03609,0.03753,3.71317,0.45431,1.19506,0.05599
38,1001,0,0.02636,0.03024,0.03043,3.20167,7.45869,1.18537,0.06625
39,1001,0,0.02287,0.03222,0.03374,2.36670,7.61687,1.16682,0.03838
40,1001,0,0.02154,0.02795,0.03357,3.75219,1.68262,1.76277,0.02593
41,1001,0,0.02341,0.02524,0.02644,4.00829,4.31502,2.00293,0.03169
42,1001,0,0.02256,0.02685,0.02976,4.11403,6.79249,0.82003,0.03332
43,1001,0,0.02717,0.03407,0.03664,3.85827,6.69065,1.30034,0.01226
44,1001,0,0.01654,0.03520,0.03524,4.71934,2.24587,1.91200,0.03099
45,1001,0,0.02329,0.02772,0.02807,3.91638,1.53205,2.09769,0.04042
46,1001,0,0.05107,0.05555,0.05606,3.94101,-1.64427,1.23506,0.04924
47,1001,0,0.01727,0.02890,0.02892,3.64276,2.04928,1.94615,0.07746
48,1001,0,0.01886,0.03490,0.04134,2.09613,18.50543,1.31279,0.03622
49,1001,0,0.02536,0.02804,0.03001,4.56847,3.86338,0.85946,0.03152
