step,wall_time,Episode/rew_action_rate,Episode/rew_action_rate_arm,Episode/rew_alive,Episode/rew_ang_vel_xy,Episode/rew_base_height,Episode/rew_collision,Episode/rew_dof_acc,Episode/rew_dof_acc_arm,Episode/rew_dof_pos_limits,Episode/rew_dof_vel,Episode/rew_dof_vel_arm,Episode/rew_feet_air_time,Episode/rew_feet_contact_forces,Episode/rew_feet_contact_number,Episode/rew_feet_drag,Episode/rew_feet_height,Episode/rew_feet_height_high,Episode/rew_feet_pos_xy,Episode/rew_hip_pos,Episode/rew_lin_vel_z,Episode/rew_ref_dof_leg,Episode/rew_stand_still,Episode/rew_torque_limits,Episode/rew_torques,Episode/rew_tracking_ang_vel,Episode/rew_tracking_ee_force_world,Episode/rew_tracking_lin_vel_force_world,Loss/learning_rate,Loss/mean_adaptation_module_loss,Loss/mean_surrogate_loss,Loss/surrogate,Loss/value_function,Perf/collection time,Perf/learning_time,Perf/total_fps,Policy/mean_noise_std,Train/mean_episode_length,Train/mean_reward
0,1789693411.897,-0.00567861,-0.006407307,0.01982298,-0.005932176,-0.0001290343,-0.006054457,-0.001146125,-0.003043965,-0.003114669,-0.001860404,-0.0004667832,-0.0006500257,-0.0007979661,0.006538908,-0.0008522646,-0.0003005522,-0.002378471,-0.0009062401,-0.00115061,-0.008261493,0.01050959,0.001762247,-9.495465e-05,-6.179772e-05,0.00295274,0.0113722,0.007909436,0.0002962963,0.0009543295,-0.009303123,-0.009303123,0.113038,1.839817,1.349744,30820,0.9989976,21.77,0.238516
1,1789693415.098,-0.01626489,-0.01820087,0.05292763,-0.0133184,-0.0004443279,-0.01783299,-0.002971876,-0.01014198,-0.005640591,-0.00436633,-0.001601092,-0.00144099,-0.001726507,0.0224446,-0.002208447,-0.0009651377,-0.008253412,-0.00248283,-0.003897921,-0.02739978,0.02751945,0.004522198,-0.0002507085,-0.0001731433,0.00817374,0.03025104,0.02423486,0.0004444444,0.0008048582,-0.01981009,-0.01981009,0.1275285,1.7779,1.399666,30936,0.9985678,42.86,0.84891
2,1789693418.362,-0.02588997,-0.0286152,0.08234964,-0.01928556,-0.0006763133,-0.02586962,-0.004520101,-0.01603319,-0.009150833,-0.006234442,-0.002543142,-0.001980831,-0.002403454,0.03600617,-0.003243072,-0.001592969,-0.01125428,-0.004094274,-0.007115793,-0.03444726,0.04261389,0.008092096,-0.0003967077,-0.000268106,0.0122803,0.04890635,0.04022748,0.0001316872,0.000718117,-0.02432389,-0.02432389,0.1448025,1.860593,1.397205,30174,0.9990601,62.09,1.644696
3,1789693421.878,-0.03279969,-0.03653192,0.1036336,-0.02359044,-0.0007961945,-0.026334,-0.005583651,-0.02151339,-0.009414671,-0.007471154,-0.003411214,-0.00271743,-0.002828673,0.04716535,-0.004025019,-0.002368908,-0.01453858,-0.005266178,-0.009060766,-0.03586288,0.05365516,0.008584753,-0.0004916239,-0.0003311326,0.01563461,0.06201279,0.05265656,0.0001975309,0.0006683687,-0.01631625,-0.01631625,0.1828971,2.096846,1.413475,28004,0.999054,73.93,2.424408
4,1789693425.108,-0.04028291,-0.04439002,0.1263194,-0.02615637,-0.001003386,-0.03121211,-0.006638372,-0.02569036,-0.01093858,-0.008594117,-0.004136361,-0.003232271,-0.003212132,0.05877986,-0.004606848,-0.003068853,-0.01502921,-0.006537139,-0.01123279,-0.04020938,0.06532973,0.01096208,-0.0005997667,-0.0004019934,0.01949542,0.07877637,0.0679892,0.0002962963,0.0006090449,-0.01614644,-0.01614644,0.1675548,1.83497,1.388988,30491,0.9991658,87.67,3.158357
5,1789693428.367,-0.0456371,-0.05009563,0.1430658,-0.02583027,-0.001103342,-0.03436174,-0.007155036,-0.02838069,-0.01010392,-0.00910861,-0.004508044,-0.003544435,-0.003314923,0.06909978,-0.004970416,-0.003562936,-0.01520189,-0.00742321,-0.01213168,-0.03927521,0.07410078,0.01294994,-0.0006667338,-0.0004491238,0.02284645,0.09177142,0.08173215,0.0001316872,0.0005414459,-0.02178566,-0.02178566,0.1615589,1.839159,1.414453,30213,0.9991932,102.84,4.321618
6,1789693431.622,-0.05168636,-0.05665302,0.1611022,-0.02735015,-0.001224067,-0.03410881,-0.007888083,-0.03311528,-0.008671284,-0.009799971,-0.005202573,-0.003998237,-0.003526274,0.08024391,-0.005369907,-0.004090175,-0.01411086,-0.00825144,-0.01347047,-0.03925177,0.08352135,0.01472213,-0.0007445123,-0.0005040615,0.02681774,0.106222,0.09297056,0.0006666667,0.0004966701,-0.01830051,-0.01830051,0.1931189,1.830592,1.418953,30251,0.9996226,107.05,4.876197
7,1789693434.899,-0.05712737,-0.06283361,0.1781934,-0.02858298,-0.001416902,-0.04201146,-0.008577969,-0.03600959,-0.009189267,-0.01051719,-0.005691872,-0.004623986,-0.003787463,0.08967783,-0.005973074,-0.004816397,-0.01360936,-0.009148794,-0.01509607,-0.04222313,0.09227997,0.01530962,-0.0008243226,-0.0005586052,0.02988257,0.1160296,0.1041554,0.0004444444,0.0004562651,-0.01837835,-0.01837835,0.1870044,1.848941,1.42243,30049,0.9999284,125.7,5.590834
8,1789693438.212,-0.06149612,-0.06728977,0.191056,-0.02895163,-0.001509377,-0.03900489,-0.009023415,-0.03940336,-0.009009751,-0.01079993,-0.00613882,-0.004890891,-0.003895402,0.09741619,-0.006245687,-0.005134849,-0.01084558,-0.009985801,-0.01637344,-0.03911352,0.09878115,0.0173619,-0.0008878469,-0.0005962441,0.03332267,0.1276893,0.1144274,0.0006666667,0.0004057733,-0.01802604,-0.01802604,0.1815494,1.869898,1.437245,29724,1.000502,140.13,6.651473
9,1789693441.474,-0.06969211,-0.07583524,0.2156338,-0.0314077,-0.001686636,-0.04240301,-0.01018737,-0.04308922,-0.0117025,-0.01208679,-0.006726335,-0.005650676,-0.004152765,0.1114329,-0.006847135,-0.005913635,-0.01237933,-0.01108516,-0.01815703,-0.04403021,0.1116919,0.01845579,-0.0009897233,-0.0006666316,0.03729086,0.1408511,0.1343682,0.0004444444,0.0003761781,-0.0150277,-0.0150277,0.1793481,1.833695,1.423,30185,1.000934,145.71,7.309985
