index,steps,fell,goal_quiet_median_m,unified_median_m,unified_pushed_median_m,force_cmd_mean_n,force_realised_mean_n,estimator_err_median_n,base_vel_err_median_m_s
0,1001,0,0.03399,0.03948,0.04052,1.22416,-1.02449,0.93464,0.08410
1,1001,0,0.02855,0.02495,0.02427,0.00000,,1.33557,0.04066
2,1001,0,0.02222,0.04256,0.05035,2.44448,1.87676,1.44959,0.05012
3,1001,0,0.02461,0.02535,0.02631,1.28324,-1.51348,0.77112,0.02285
4,1001,0,0.02309,0.02629,0.02955,3.84142,3.00465,0.80772,0.05459
5,1001,0,0.03431,0.03253,0.03011,2.30807,7.09004,1.95725,0.05577
6,1001,0,0.03614,0.02511,0.02403,4.02047,5.81959,1.91809,0.04988
7,1001,0,0.02316,0.03581,0.04046,3.84606,3.25448,1.62674,0.05761
8,1001,0,0.02533,0.02868,0.03163,5.88210,4.08256,0.88870,0.04858
9,1001,0,0.08420,0.03135,0.03078,3.88735,2.83775,0.98163,0.03952
10,1001,0,0.03524,0.03573,0.03625,2.66947,-1.03882,1.07634,0.06127
11,1001,0,0.45295,0.06739,0.05470,2.60339,-0.22770,1.68375,0.08852
12,1001,0,0.03105,0.03414,0.03567,1.83798,4.28484,1.71015,0.07270
13,1001,0,0.02099,0.03345,0.03961,2.27452,4.75674,1.11795,0.05425
14,1001,0,0.03866,0.05319,0.06157,2.57131,-4.38768,0.94637,0.07043
15,1001,0,0.04016,0.03394,0.03368,5.83394,5.63526,1.88692,0.05120
16,1001,0,0.01499,0.02906,0.02910,4.89948,1.92457,1.03780,0.06654
17,1001,0,0.03093,0.03323,0.03531,3.31076,5.61349,1.22916,0.04532
18,1001,0,0.02594,0.03127,0.03981,3.06887,11.96563,1.84743,0.04347
19,1001,0,0.08521,0.04937,0.04737,4.12803,-4.01746,0.87439,0.08358
20,1001,0,0.01975,0.02663,0.02780,3.59631,5.91642,1.10373,0.05114
21,1001,0,0.02207,0.02525,0.02543,3.32969,5.33391,1.32749,0.07066
22,1001,0,0.22207,0.03169,0.03150,2.99525,5.70191,0.93451,0.04482
23,1001,0,0.04009,0.02733,0.02620,3.98470,5.76890,1.57048,0.03872
24,1001,0,0.02146,0.02911,0.03264,3.37549,5.02150,1.22881,0.06074
25,1001,0,0.13570,0.03767,0.03767,2.15389,4.24082,0.88169,0.06335
26,1001,0,0.01200,0.02443,0.02505,2.13293,1.32371,1.77988,0.02266
27,1001,0,0.01210,0.01838,0.02032,1.78638,0.53641,0.81486,0.04793
28,1001,0,0.02417,0.05256,0.05538,2.79656,6.01831,1.19474,0.04421
29,1001,0,0.15453,0.06101,0.05653,2.25904,7.51180,1.63606,0.04814
30,1001,0,0.01808,0.02699,0.02753,4.27958,4.94882,1.41713,0.05359
31,1001,0,0.02504,0.03033,0.03065,3.16744,2.88580,1.41125,0.05256
32,1001,0,0.03268,0.03414,0.03438,1.72784,1.00980,1.51060,0.02921
33,1001,0,0.02724,0.02843,0.02916,2.97927,1.70208,1.21951,0.07015
34,1001,0,0.02431,0.02553,0.02580,3.22867,3.03941,1.45434,0.02865
35,1001,0,0.01937,0.02768,0.02907,3.99519,6.48267,0.82255,0.05467
36,1001,0,0.03983,0.04200,0.04247,1.92209,-2.27254,1.00368,0.08420
37,1001,0,0.03178,0.03609,0.03753,3.71317,0.45338,1.19506,0.05599
38,1001,0,0.04011,0.02945,0.02861,3.20167,7.16304,1.42133,0.06646
39,1001,0,0.02611,0.03115,0.03184,2.36670,7.46552,1.09737,0.04044
40,1001,0,0.02186,0.02751,0.03089,3.75219,1.69962,1.73763,0.02512
41,1001,0,0.02417,0.02359,0.02324,4.00829,4.85965,2.10295,0.03162
42,1001,0,0.02320,0.02708,0.02990,4.11403,6.79764,0.74779,0.03462
43,1001,0,0.02717,0.03407,0.03664,3.85827,6.69065,1.30034,0.01226
44,1001,0,0.01536,0.03341,0.03353,4.71934,1.87573,1.76633,0.03152
45,1001,0,0.02356,0.02961,0.02994,3.91638,1.76007,1.86026,0.03269
46,1001,0,0.05107,0.05555,0.05606,3.94101,-1.64427,1.23506,0.04924
47,1001,0,0.02170,0.03224,0.03224,3.64276,2.09040,2.04551,0.07392
48,1001,0,0.01816,0.03413,0.04323,2.09613,18.51607,1.15861,0.03764
49,1001,0,0.02557,0.02866,0.03086,4.56847,3.90417,0.92793,0.02993
