step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789943234.860,-0.01019691,-0.01383025,0.0345,-0.002054809,-6.961143e-05,0,-0.005291524,-0.0007567256,0,-0.003542736,-4.972272e-05,0,-0.000180422,0.02455,-0.0006233064,0,0,-0.001075963,-0.001303619,-0.004322519,0.0182386,0.01023498,-0.0001257867,-8.805006e-05,0.008982233,0.03409589,0.04051699,0.01206105,25.54983,0.02315655,0.002044989,0.002283878,0.006766629,0.01350775,0.2,0.05,0.0002962963,-0.01189093,0.4264702,2.533495,0.6553941,7706,1.000842,14.5,1.298225
1,1789943238.091,-0.02347562,-0.0245687,0.06899996,-0.005438597,-0.0003032014,-0.015,-0.006878877,-0.001215659,0,-0.005762964,-9.864664e-05,-0.00376,-0.000206714,0.0426,-0.001944705,-0.003086473,0,-0.002134522,-0.003271847,-0.006208473,0.03610526,0,-0.0002350842,-0.0001917659,0.009580066,0.06537841,0.02376271,0.00686264,25.56615,0.01586003,0.001632028,0.001945509,0.005419848,0.0152616,0.45,0.1,1.734153e-05,-0.03167358,0.5130426,2.730703,0.4417193,7746,1.001729,24.2,2.184293
2,1789943240.825,-0.03508132,-0.03893174,0.1079999,-0.01146334,-0.0003647379,0,-0.01350161,-0.001667782,0,-0.01016572,-0.0001525758,-0.008240002,-0.0005518048,0.06340005,-0.002175594,-0.004975291,0,-0.00376201,-0.005395798,-0.01636294,0.05800186,0,-0.0004332429,-0.0002837273,0.02985456,0.1057732,0.08645865,0.005793765,25.56769,0.01371206,0.00154477,0.001496942,0.004876582,0.01056394,0.2,0.4,8.779149e-05,-0.02245979,0.4429277,1.434789,1.254184,9139,1.001224,38.68675,3.449457
3,1789943243.435,-0.0467872,-0.0530004,0.1439999,-0.007520968,-0.0005523638,-0.03500001,-0.01880135,-0.002168751,0,-0.01334284,-0.0002030251,0,-0.0004085932,0.1289499,-0.003925159,0,0,-0.00474693,-0.005020762,-0.008742377,0.07500297,0.04241598,-0.0005310988,-0.0003740038,0.02950165,0.1295133,0.1336794,0.005318413,25.55426,0.01290156,0.00142405,0.00138026,0.004778837,0.0134596,0.3,0.2,3.901844e-05,-0.03017292,0.4175015,2.072798,0.5025961,9542,1.000361,56.12,4.928606
4,1789943246.799,-0.05496914,-0.06310204,0.1799999,-0.01017198,-0.0009476686,-0.0075,-0.02513636,-0.002812827,0,-0.01712104,-0.0002525773,-0.009300001,-0.0004305516,0.1022001,-0.004029591,-0.008910209,0,-0.007762419,-0.01032729,-0.007674581,0.09491559,0,-0.000788383,-0.0004929607,0.04348546,0.1628348,0.1461792,0.005258894,25.5524,0.01207685,0.001189086,0.001147167,0.004481702,0.01323116,0.4,0.3,1.734153e-05,-0.02850279,0.3378743,2.883997,0.4673889,7333,1.00098,80.48,6.942544
5,1789943249.777,-0.06954288,-0.07975589,0.2159999,-0.01209552,-0.0007011576,0,-0.02325705,-0.003230651,0,-0.01753731,-0.0003044934,0,-0.0005700057,0.2125998,-0.006581996,0,0,-0.005690522,-0.008040665,-0.01106209,0.1141329,0.06408061,-0.0008050576,-0.0005441764,0.05009108,0.2161022,0.2115397,0.00539143,25.56002,0.01164717,0.0009451894,0.0009148584,0.004395688,0.01044824,0.05,0.35,0.0001975309,-0.0238138,0.357554,1.716174,1.219436,8371,1.001152,108.72,9.490662
6,1789943252.212,-0.07936978,-0.08251438,0.2505002,-0.01472422,-0.001210968,-0.06000001,-0.02700333,-0.003617842,0,-0.01867764,-0.0003561098,0,-0.0004071645,0.2384498,-0.006718749,0,0,-0.008461068,-0.009988833,-0.013317,0.1286108,0.07325131,-0.0009335565,-0.0007245374,0.0685925,0.1804427,0.2544833,0.005325536,25.55964,0.01121525,0.000885107,0.0008104392,0.004194173,0.01681341,0.6,0.15,1e-05,-0.03299689,0.2849762,1.88721,0.5218849,10201,1.00103,127.62,11.06944
7,1789943255.509,-0.09670851,-0.104981,0.2850004,-0.01848618,-0.001031816,-0.01,-0.03541876,-0.004355899,-0.0009876515,-0.0251726,-0.0003981538,-0.01488,-0.0006053426,0.1791498,-0.008293273,-0.0139939,0,-0.008341642,-0.01020159,-0.01934898,0.1532674,0,-0.001068344,-0.0007614981,0.06592508,0.2501188,0.2882631,0.005149996,25.56135,0.01042513,0.0006525888,0.0006534754,0.003969068,0.01024672,0,0.4,0.0002562891,-0.02072612,0.3530131,2.811964,0.4664147,7496,1.001424,150.64,12.96202
8,1789943257.780,-0.1038363,-0.1164621,0.3240007,-0.01841254,-0.001839099,0,-0.04959835,-0.004621339,-0.0001724994,-0.03294671,-0.000444041,0,-0.001040588,0.2129497,-0.007162939,0,0,-0.01999366,-0.01748952,-0.0157331,0.1698848,0.09575044,-0.001556597,-0.0008737751,0.07118437,0.2800574,0.3408926,0.005112112,25.56522,0.01006345,0.0006111331,0.0006388866,0.003701319,0.01612109,0.25,0.1,7.59375e-05,-0.03074725,0.2599458,1.39028,0.8297863,11069,1.001298,172.67,15.06408
9,1789943260.783,-0.1153583,-0.1320761,0.3600009,-0.02145757,-0.001507238,-0.008333335,-0.04173158,-0.005605367,0,-0.02977446,-0.0005088792,-0.01678,-0.0005948715,0.2299663,-0.009424179,-0.01715515,-0.0002218187,-0.01223914,-0.01348077,-0.01355954,0.1907073,0,-0.001330302,-0.0009566473,0.08470345,0.3282846,0.2101424,0.004972095,25.56002,0.009469343,0.0005021708,0.0005427024,0.003452376,0.01443171,0.3,0.2,3.375e-05,-0.0306927,0.2662344,2.451983,0.5227139,8261,1.00099,194.46,17.14039
