step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789944754.295,-0.01019691,-0.01383025,0.0345,-0.002054809,-6.961143e-05,0,-0.005291524,-0.0007567256,0,-0.003542736,-4.972272e-05,0,-0.000180422,0.02455,-0.0006233064,0,0,-0.001075963,-0.001303619,-0.004322519,0.0182386,0.01023498,-0.0001257867,-8.805006e-05,0.008982233,0.03409589,0.04051699,0.01203958,0.00025,25.54817,0.02303117,0.001890326,0.002397665,0.006703594,0.01213067,0.1,0.1,0.001,-0.02115458,0.4310659,1.84412,0.6773829,9746,1.001175,14.5,1.298225
1,1789944757.477,-0.01960414,-0.02608452,0.07199996,-0.003172565,-0.0004098097,-0.015,-0.01357031,-0.00128466,-0.01112763,-0.009153588,-0.0001009265,0,-0.0001827299,0.0427,-0.001288667,0,0,-0.003555634,-0.003272767,-0.007838867,0.03727434,0.02114297,-0.0002721615,-0.0002469458,0.01510688,0.05161506,0.07673942,0.00689209,6.503074e-06,25.57332,0.01627758,0.002150512,0.00177361,0.00546137,0.01550397,0.55,0.1,2.601229e-05,-0.03441873,0.5123807,2.656409,0.4713883,7857,1.00204,24.66667,2.212074
2,1789944760.541,-0.03465243,-0.03781097,0.1064999,-0.007401263,-0.0004240528,-0.02,-0.01810495,-0.001691128,0,-0.01233822,-0.0001532613,-0.0051,-0.0006407787,0.06010005,-0.002072207,-0.004422469,0,-0.004358568,-0.006054032,-0.008857197,0.05467667,0,-0.0004349006,-0.0003262074,0.01864719,0.09193894,0.1015268,0.005856314,3.292181e-05,25.57335,0.0135542,0.001602872,0.001344325,0.004750692,0.009527283,0.3,0.5,0.0001316872,-0.01890143,0.4652202,1.814263,1.2026,8146,1.001467,38.96429,3.460973
3,1789944762.833,-0.04909515,-0.05174861,0.1439999,-0.007727019,-0.0006509722,-0.03750001,-0.01831574,-0.002156931,0,-0.01324869,-0.0002007176,0,-0.0004702763,0.1289499,-0.004018092,0,0,-0.004984309,-0.004923481,-0.007247226,0.07475807,0.04234782,-0.00053973,-0.0003958459,0.03204603,0.1326266,0.1319923,0.005346892,1.463192e-05,25.56243,0.01225586,0.001196622,0.001170299,0.004542045,0.01226852,0.4,0.3,5.852766e-05,-0.02667421,0.4423451,1.732098,0.5325463,10852,1.001025,52.13,4.627244
4,1789944766.194,-0.0562717,-0.06491561,0.1799999,-0.01147225,-0.0007258772,-0.005,-0.02505927,-0.002775903,0,-0.01713696,-0.0002529529,-0.009253334,-0.0004194249,0.09765007,-0.004183707,-0.008435718,-0.0001539523,-0.007349367,-0.007470384,-0.01009454,0.09537236,0,-0.0007252702,-0.0004706927,0.03987813,0.1655962,0.1554612,0.005391342,2.194787e-05,25.55785,0.011568,0.0009272772,0.0009424325,0.004306946,0.01161528,0.35,0.4,8.779149e-05,-0.02309564,0.3262264,2.870633,0.4740846,7347,1.000894,77.01,6.700127
5,1789944769.554,-0.07294326,-0.0810821,0.2159999,-0.01541165,-0.0006004794,0,-0.0241989,-0.003163242,0,-0.01866203,-0.0003022245,0,-0.0007721841,0.2041498,-0.006150163,0,0,-0.006224311,-0.006933022,-0.01025275,0.1154421,0.06444652,-0.000820588,-0.0005856587,0.04541034,0.2164505,0.214236,0.005301834,0.00025,25.55245,0.01098872,0.0007361042,0.0007756402,0.004175143,0.01055397,0,0.3,0.001,-0.02276458,0.3410888,2.106971,1.207953,7413,1.000218,106.51,9.236381
6,1789944771.552,-0.08072286,-0.09379697,0.2505002,-0.01441944,-0.001135749,-0.0275,-0.03315782,-0.003686733,-6.084085e-05,-0.02299752,-0.000350636,-0.00102,-0.0007582618,0.2130998,-0.006258173,-0.0006083543,0,-0.01071288,-0.01067643,-0.01200963,0.1307643,0.07004417,-0.001005095,-0.0006708883,0.06780818,0.2177753,0.258354,0.005268368,1.463192e-05,25.53868,0.01078847,0.0007087494,0.000774479,0.004036874,0.01720959,0.5,0.15,5.852766e-05,-0.03033367,0.281194,1.460136,0.5040474,12512,0.9998764,127.8,11.1925
7,1789944774.921,-0.09447119,-0.1075731,0.2880004,-0.01660736,-0.001425893,-0.13,-0.03436744,-0.00422248,0,-0.02415594,-0.0004002659,-0.006260001,-0.0003629012,0.2052497,-0.007201319,-0.006348079,0,-0.01107878,-0.01526423,-0.01418304,0.1485228,0.03832836,-0.001105731,-0.0008583948,0.0769875,0.2185629,0.2672735,0.00512385,0.00025,25.54146,0.009964215,0.0005236604,0.0005829618,0.003733742,0.01035473,0,0.35,0.001,-0.02066466,0.3352358,2.87429,0.4806962,7325,1.000237,150.26,13.04193
8,1789944777.665,-0.1023948,-0.1219515,0.3210007,-0.01846912,-0.001764517,-0.08499998,-0.03190439,-0.004658892,0,-0.02354549,-0.0004495475,0,-0.0003788116,0.3249747,-0.008889899,0,0,-0.01116115,-0.01770195,-0.01807192,0.165953,0.09419601,-0.001264869,-0.0009077896,0.08758652,0.2643561,0.3580617,0.005033591,4.335383e-06,25.54114,0.009631079,0.0004873565,0.0005186636,0.003591467,0.0170954,0.6,0.1,1.734153e-05,-0.02890422,0.2195532,1.514633,1.177309,9129,0.9999266,170.01,14.71339
9,1789944780.170,-0.1126954,-0.1314327,0.3600009,-0.02291052,-0.001454747,-0.005,-0.04154395,-0.005179189,-0.0003203759,-0.03044681,-0.0005005382,-0.01695,-0.0008033441,0.2255247,-0.00983903,-0.01760228,0,-0.01178616,-0.01480832,-0.01684317,0.190538,0,-0.001338867,-0.0009609081,0.08781965,0.3405572,0.2300605,0.004874366,0.0001666667,25.53787,0.008944323,0.0003782747,0.000380097,0.003311585,0.00733393,0,0.45,0.0006666667,-0.01593687,0.2572327,1.967793,0.5121899,9909,0.9996833,190.95,16.56167
10,1789944783.569,-0.132162,-0.14999,0.3960012,-0.02472357,-0.00223123,-0.1999999,-0.04156255,-0.006190427,0,-0.03008154,-0.0005462695,-0.01542,-0.0001309539,0.2276996,-0.01017158,-0.01713119,0,-0.01434226,-0.01805539,-0.01674861,0.2034176,0,-0.001491159,-0.001211793,0.07966544,0.3220764,0.1397906,0.005028658,6.503074e-06,25.53232,0.00889068,0.0003703522,0.0003478508,0.00314382,0.0156809,0.5,0.1,2.601229e-05,-0.02677994,0.2724681,2.916963,0.4623427,7272,0.9994986,216.13,17.95524
