step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789950826.605,-0.01202776,-0.01113767,0.03599999,-0.002265778,-0.0002495155,0,-0.003983115,-0.0005402612,0,-0.00340362,-5.138102e-05,-0.00211,-0.0001094042,0.020375,-0.001257952,-0.001687266,0,-0.0006984415,-0.001486204,-0.008099385,0.01915937,0,-0.0001287908,-0.0001268588,0.01048091,0.03748908,0.03399971,0.01455123,0.0003375,25.53255,0.03352272,0.003648788,0.008814229,0.006508478,0.006057188,0,0.15,0.003375,-0.008017258,0.4571441,1.032122,1.505825,38733,0.9990952,13.09,1.205618
1,1789950829.110,-0.02280625,-0.0258031,0.07199996,-0.004328789,-0.0003163416,-0.004,-0.008157285,-0.001111082,0,-0.006131309,-0.0001014402,-0.00202,-0.0002754633,0.04959,-0.001902929,-0.001800595,-0.0004141958,-0.002574458,-0.004088453,-0.007415745,0.03775346,0.00847585,-0.0002680088,-0.0002051687,0.01806148,0.06734695,0.05988286,0.007590422,0.000759375,25.52402,0.02522088,0.003955796,0.00810625,0.005568412,0.01081712,0,0.1,0.00759375,-0.01806359,0.5069858,0.94048,1.531086,39773,0.999464,39.67,3.36879
2,1789950831.602,-0.03368296,-0.04457016,0.1079999,-0.005468955,-0.0005707552,-0.0275,-0.01131273,-0.001663317,-0.001347342,-0.008446218,-0.0001517225,-0.00168,-0.0002599207,0.07867502,-0.002994166,-0.00252372,0,-0.003995322,-0.005850038,-0.006697836,0.055631,0.01586072,-0.0004050283,-0.0003140994,0.02437332,0.09338557,0.1129267,0.006307388,0.001,25.53162,0.02366537,0.004457945,0.007551603,0.005348432,0.01237428,0,0.1,0.01,-0.02080081,0.4379393,0.9457276,1.540378,39541,0.9996838,62.57,5.416642
3,1789950834.119,-0.04548572,-0.05176067,0.1439999,-0.008640455,-0.0006029794,-0.01,-0.01754666,-0.002062242,-0.000315096,-0.01254658,-0.0002030784,-0.002486667,-0.0003514598,0.10555,-0.00361771,-0.002353304,0,-0.005765431,-0.006506612,-0.009662363,0.07638387,0.02851408,-0.0005655913,-0.0003667842,0.03436889,0.1241235,0.1336938,0.005885876,0.0004444444,25.53575,0.02344411,0.004494219,0.007636794,0.005427224,0.01308712,0.1,0.1,0.004444445,-0.02346046,0.4011932,0.9729612,1.53755,39156,0.9994217,87.55,7.810177
4,1789950836.625,-0.05819889,-0.06224623,0.1799999,-0.009941444,-0.0009039085,-0.02625,-0.02032974,-0.002732726,0,-0.01452986,-0.0002535476,-0.006410001,-0.0004551663,0.123,-0.004650754,-0.006359433,0,-0.00666861,-0.009452891,-0.0116423,0.09440448,0.01318265,-0.0006934704,-0.0005054503,0.04523992,0.1569712,0.1269858,0.005747651,0.0004444444,25.52793,0.02306994,0.00467869,0.007293958,0.005349638,0.0134153,0.1,0.15,0.004444445,-0.0242432,0.2917804,0.9738538,1.525463,39332,0.9994275,111.66,9.30858
5,1789950839.167,-0.06816919,-0.07649939,0.216,-0.01235077,-0.001095437,-0.01214286,-0.0250893,-0.003313878,-0.003846027,-0.01824166,-0.0003037928,-0.006425715,-0.000539675,0.1591142,-0.005351903,-0.005772469,-0.00092209,-0.008133612,-0.01080434,-0.01622678,0.1132438,0.02746058,-0.0008218476,-0.0006118174,0.05589037,0.1909776,0.1686588,0.005723877,0.0001975309,25.52558,0.02227253,0.004691194,0.006683159,0.005174301,0.01368809,0.2,0.15,0.001975309,-0.02468371,0.3004491,0.9821711,1.553885,38762,0.998951,134.52,11.46993
6,1789950841.720,-0.07989942,-0.08835198,0.2520002,-0.01572019,-0.00123978,-0.04,-0.02842278,-0.00359271,-5.532436e-05,-0.02092389,-0.0003520566,-0.007068573,-0.0005034347,0.1873356,-0.006382301,-0.007087852,-3.467844e-05,-0.00941006,-0.01343795,-0.01461159,0.132242,0.03172418,-0.0009812491,-0.0006950529,0.06258854,0.2287205,0.2094782,0.005609037,0.0001975309,25.53037,0.02062077,0.004155554,0.00581876,0.005037421,0.01372243,0.2,0.2,0.001975309,-0.02413951,0.2795514,0.9841266,1.56325,38590,0.9997315,152.66,12.92957
7,1789950844.278,-0.09214675,-0.1037622,0.2880004,-0.01929918,-0.001425363,-0.04916667,-0.03487775,-0.004231374,-0.004810907,-0.02457938,-0.0004020603,-0.009706668,-0.000718559,0.1882415,-0.007080644,-0.01098986,-0.002600148,-0.01123634,-0.01538145,-0.01657815,0.1509627,0.01423371,-0.001129356,-0.0008140944,0.06337892,0.2391676,0.2365388,0.005502801,0.0006666667,25.52809,0.01945863,0.003703135,0.005439226,0.004813474,0.01184128,0,0.15,0.006666667,-0.02291423,0.2969037,0.9855688,1.559963,38618,0.9988959,183.3,14.96721
8,1789950846.836,-0.1046628,-0.1170767,0.3240007,-0.0192089,-0.001626303,-0.04142857,-0.03642879,-0.004637781,-0.002973211,-0.02634965,-0.0004528746,-0.007945715,-0.0005824058,0.2399711,-0.008477308,-0.008583352,-0.0004553095,-0.01180659,-0.01568569,-0.01458771,0.1698164,0.04110643,-0.001248097,-0.0009077454,0.08338758,0.2590683,0.2042409,0.005412892,0.0002962963,25.52859,0.01779624,0.003155881,0.004657507,0.004569964,0.0149235,0.15,0.1,0.002962963,-0.02561647,0.2332813,0.9889739,1.562747,38524,0.9997069,204.45,17.57824
9,1789950849.405,-0.1158933,-0.1346012,0.3600009,-0.02101275,-0.002029002,-0.12,-0.03980271,-0.005320171,-0.0003076999,-0.02868066,-0.0005036845,-0.01618,-0.0005956168,0.2169664,-0.008938948,-0.01468185,0,-0.01454253,-0.02007001,-0.01873738,0.1868945,0.009717438,-0.001425633,-0.001051374,0.08809509,0.2710287,0.2281769,0.005354308,0.0002962963,25.53854,0.01664715,0.002719823,0.0041741,0.004398922,0.01529906,0.15,0.15,0.002962963,-0.02496974,0.228554,0.9905438,1.572776,38350,1.000177,226.76,18.43154
10,1789950851.961,-0.105237,-0.1137731,0.3315009,-0.01889529,-0.001750613,-0.05249998,-0.03992757,-0.004688879,-0.0007222781,-0.027872,-0.0004608794,-0.009125001,-0.0007201473,0.2266871,-0.008452769,-0.01008386,-0.0006913498,-0.01415067,-0.01735323,-0.01496053,0.1734795,0.03517956,-0.001275838,-0.0008821581,0.08023573,0.2401855,0.266326,0.005172164,0.0002962963,25.53656,0.01558452,0.002346123,0.003870134,0.004196095,0.0151774,0.15,0.15,0.002962963,-0.02397037,0.2295395,0.972971,1.576399,38560,0.9994746,249.28,20.10813
11,1789950854.527,-0.1092205,-0.1134674,0.3390006,-0.02145738,-0.001696431,-0.06666665,-0.0384142,-0.004987732,-0.0001370432,-0.02749287,-0.0004757511,-0.005100002,-0.0004475832,0.2790998,-0.008771057,-0.006201027,0,-0.01226821,-0.01624011,-0.01567789,0.1776985,0.06280574,-0.001319763,-0.0009304129,0.08282196,0.2377961,0.248397,0.005117009,0.0006666667,25.52804,0.01462212,0.002036739,0.003603588,0.003864785,0.01287582,0,0.1,0.006666667,-0.02437821,0.2338452,0.9767358,1.582698,38408,0.9992294,269.32,22.24745
12,1789950857.062,-0.148185,-0.1704809,0.4680006,-0.02507356,-0.002549923,-0.1333333,-0.05478604,-0.007066769,-5.942465e-05,-0.0384247,-0.0006539178,-0.0185,-0.0007416561,0.2966161,-0.01246785,-0.02048305,-0.0006682902,-0.01831233,-0.02682801,-0.01788014,0.2440062,0.009255867,-0.00179629,-0.001299202,0.1105834,0.344962,0.3620557,0.005149734,0.0002962963,25.52597,0.0138121,0.001819007,0.003213695,0.003629667,0.01641191,0.15,0.05,0.002962963,-0.02478712,0.2054525,0.9702325,1.55778,38885,0.9995291,281.47,22.60027
13,1789950859.627,-0.1522515,-0.171567,0.4734378,-0.02920099,-0.002287306,-0.05687499,-0.05265211,-0.00681136,-0.0004237746,-0.03766911,-0.0006601525,-0.0130475,-0.0006948444,0.3662122,-0.01198424,-0.01315253,-0.000541289,-0.01709016,-0.02462306,-0.01892923,0.247868,0.05971246,-0.001818182,-0.001294732,0.1171532,0.3530653,0.4062442,0.005061825,0.0006666667,25.52991,0.01287338,0.001565955,0.002873032,0.003372565,0.01403206,0,0.1,0.006666667,-0.02244039,0.1864124,0.9954662,1.563502,38415,0.9995224,306.38,25.61727
14,1789950862.207,-0.1640989,-0.1816289,0.5142002,-0.03124326,-0.002934369,-0.13,-0.05998017,-0.007619127,-0.001430846,-0.04271879,-0.0007205293,-0.011628,-0.0006307742,0.4044097,-0.01359805,-0.01191376,-0.0006226926,-0.01927069,-0.02930523,-0.02319823,0.2659399,0.07294898,-0.00201882,-0.001478137,0.1302176,0.349492,0.4683567,0.005169183,0.0001316872,25.53069,0.0124142,0.001453452,0.00267058,0.003120985,0.016665,0.25,0.1,0.001316872,-0.02644156,0.1836682,0.9914398,1.583256,38180,0.999597,332.3,27.08497
15,1789950864.788,-0.1594815,-0.1718853,0.4914374,-0.02817787,-0.002500271,-0.08937497,-0.05821968,-0.007241452,-0.002554359,-0.04054698,-0.0006872587,-0.0107975,-0.001028965,0.3744499,-0.01276041,-0.01263213,-0.001555401,-0.01993924,-0.02630135,-0.01849887,0.2566461,0.06762001,-0.001932716,-0.001348714,0.1289569,0.3418146,0.4069362,0.005122181,0.0004444444,25.52926,0.01153283,0.001264654,0.002225501,0.002920491,0.01130542,0,0.15,0.004444445,-0.01989223,0.1953951,0.9882069,1.587094,38171,0.999297,335.54,26.34718
16,1789950867.345,-0.1698338,-0.1892195,0.5317497,-0.03156447,-0.002902253,-0.105,-0.0626806,-0.007684297,-0.002502336,-0.04408887,-0.0007425737,-0.014238,-0.0008158315,0.3816597,-0.01316175,-0.01579684,-0.001434791,-0.0215661,-0.03101619,-0.01943805,0.2764977,0.05655127,-0.002055413,-0.001511656,0.1313458,0.3970239,0.4366553,0.0049974,0.0001975309,25.53098,0.0107459,0.001057888,0.001966039,0.002724575,0.01718504,0.2,0.1,0.001975309,-0.02415794,0.162649,0.9675879,1.581751,38560,0.9998967,377.2,29.76404
17,1789950869.884,-0.2101703,-0.2272511,0.647999,-0.03996138,-0.003635304,-0.11875,-0.07482576,-0.009305775,-0.01651751,-0.05279597,-0.0009023768,-0.02826,-0.001103197,0.4003868,-0.01660942,-0.0297673,-0.00313582,-0.02614518,-0.03367518,-0.02545826,0.3375407,0,-0.002502587,-0.001885342,0.1584472,0.4029517,0.4535206,0.00505277,0.0004444444,25.53713,0.01017641,0.0009284519,0.001660156,0.002535035,0.01393872,0.05,0.15,0.004444445,-0.02354962,0.1736409,0.9605651,1.573072,38799,1.000133,384.72,29.98772
18,1789950872.445,-0.1949341,-0.2054832,0.6007493,-0.03650466,-0.003698503,-0.1962499,-0.06778483,-0.008587511,-0.002076112,-0.04762702,-0.0008348895,-0.01636,-0.0007019287,0.4199372,-0.01569679,-0.01895059,0,-0.0245943,-0.04030558,-0.01959501,0.308515,0.05293665,-0.002322256,-0.001726794,0.1455058,0.407164,0.4882937,0.004896178,0.0004444444,25.54283,0.009567295,0.0008481071,0.001459872,0.002363138,0.0166459,0.1,0.1,0.004444445,-0.02588535,0.1630914,0.9641368,1.583558,38585,1.000563,379.99,31.19113
19,1789950874.978,-0.1340587,-0.1386856,0.4113002,-0.02575903,-0.002093413,-0.013,-0.05429569,-0.005952647,-0.0002048901,-0.03619068,-0.0005739755,-0.01683201,-0.001235774,0.2674699,-0.01013762,-0.01647587,-0.002255109,-0.01781247,-0.02283713,-0.01741393,0.2161334,0.02212812,-0.001670904,-0.001079643,0.1105126,0.300224,0.2674209,0.004841196,0.0002962963,25.53844,0.009205435,0.0007781018,0.001307681,0.002278456,0.01592852,0.15,0.1,0.002962963,-0.02424301,0.13493,0.9597938,1.567214,38901,0.9999096,408.52,32.84583
20,1789950877.545,-0.2441132,-0.2658345,0.7559981,-0.04508734,-0.004497923,-0.2018749,-0.08323999,-0.01093799,-0.006093153,-0.05869275,-0.001050662,-0.0184125,-0.0007338939,0.5852568,-0.01981666,-0.01944725,-0.0002834561,-0.02860942,-0.04375673,-0.02594112,0.3898752,0.09254891,-0.002906316,-0.002216986,0.1978422,0.5178605,0.6386452,0.004895862,0.0006666667,25.52246,0.008946051,0.0007121071,0.001180958,0.002157124,0.01457186,0,0.1,0.006666667,-0.02521567,0.1379403,0.9575553,1.597209,38478,0.9984368,459.29,36.13089
21,1789950880.084,-0.2575657,-0.2837406,0.7919978,-0.04541908,-0.004770688,-0.2342856,-0.08478078,-0.0116656,-0.0002163773,-0.05878888,-0.001104562,-0.0206,-0.0007490007,0.6002579,-0.02042495,-0.02241681,-0.001289722,-0.03083302,-0.04708386,-0.02545626,0.4089879,0.08565106,-0.003070227,-0.002343884,0.2054862,0.4955346,0.6484357,0.004829445,0.0004444444,25.4937,0.00857891,0.000626479,0.001033131,0.002089855,0.01674812,0.1,0.05,0.004444445,-0.02405434,0.1296631,0.947309,1.585205,38816,0.9977608,464.38,37.61314
22,1789950882.648,-0.2102772,-0.2309792,0.636749,-0.0359527,-0.004442194,-0.1591666,-0.07390507,-0.009182933,-0.0002973572,-0.05081996,-0.0008874011,-0.02258667,-0.000888386,0.4271503,-0.01607416,-0.02538843,-0.001623961,-0.02737929,-0.04486335,-0.0251288,0.326546,0.02583461,-0.002578618,-0.001882421,0.1618271,0.4363547,0.487246,0.004655769,0.0001316872,25.48624,0.008135095,0.0005601762,0.0009073007,0.00201185,0.01728084,0.25,0.1,0.001316872,-0.02503383,0.1197779,0.959183,1.598937,38428,0.9970416,492.32,39.09239
23,1789950885.218,-0.2611929,-0.2798449,0.8109993,-0.04684332,-0.004766304,-0.1466666,-0.09593096,-0.01134244,-0.006319133,-0.06697529,-0.001128458,-0.02757668,-0.001235105,0.5750927,-0.02025818,-0.02737274,-0.001324843,-0.03190831,-0.04788227,-0.02807488,0.4194424,0.06620736,-0.003127481,-0.002354,0.2013042,0.5047013,0.6101987,0.004647499,0.0004444444,25.46067,0.007885849,0.0005148171,0.0007948895,0.001928644,0.01100946,0,0.15,0.004444445,-0.0216748,0.1155484,0.9493988,1.614722,38338,0.9948438,502.4,39.87604
