step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789951777.364,-0.01202776,-0.01113767,0.03599999,-0.002265778,-0.0002495155,0,-0.003983115,-0.0005402612,0,-0.00340362,-5.138102e-05,-0.00211,-0.0001094042,0.020375,-0.001257952,-0.001687266,0,-0.0006984415,-0.001486204,-0.008099385,0.01915937,0,-0.0001287908,-0.0001268588,0.01048091,0.03748908,0.03399971,0.0146041,0.0006666667,25.53613,0.03525281,0.004079783,0.009995336,0.006573597,0.010929,0.1,0.05,0.0006666667,-0.007417548,0.4460389,1.054536,1.560835,37587,0.9995998,13.09,1.205618
1,1789951779.928,-0.02285214,-0.02585704,0.07199996,-0.004338555,-0.0003108724,-0.004,-0.008186813,-0.001129136,0,-0.006165467,-0.0001011866,-0.002012,-0.000282192,0.04946001,-0.00188461,-0.001799414,-0.0004256458,-0.002563243,-0.004046104,-0.007425967,0.03777993,0.008476435,-0.0002680672,-0.0002047563,0.01827936,0.06735554,0.05968609,0.00762293,0.0004444444,25.54536,0.02984391,0.005730513,0.01088518,0.005605284,0.01587371,0.15,0.1,0.0004444444,-0.02016596,0.5171821,0.9414091,1.587899,38865,1.000815,39.64,3.365781
2,1789951782.479,-0.03065536,-0.03433723,0.09374994,-0.005450713,-0.0004773506,-0.02,-0.01041415,-0.001360427,0,-0.007887492,-0.0001315028,-0.00402,-0.000287429,0.053175,-0.002585086,-0.004273332,-0.001211471,-0.003577227,-0.005698089,-0.006743436,0.04866778,0,-0.0003709415,-0.0002728468,0.02236752,0.08244216,0.086463,0.006390098,0.0002962963,25.5573,0.02966323,0.006373568,0.01141721,0.00548235,0.01402848,0.2,0.15,0.0002962963,-0.02182585,0.4211287,0.9578929,1.586872,38629,1.00142,62.62,5.379302
3,1789951785.050,-0.04517215,-0.0517229,0.1439999,-0.008585595,-0.0005962546,-0.006250001,-0.0152582,-0.002020785,0,-0.01144641,-0.0002029047,-0.004045,-0.0002289183,0.1122125,-0.003669717,-0.003533294,0,-0.004673167,-0.006665267,-0.009184457,0.07617505,0.02129566,-0.0005300536,-0.0003865566,0.03184381,0.1298698,0.1236604,0.006038544,0.0001975309,25.56726,0.03144555,0.007475273,0.01237881,0.005552918,0.01411797,0.25,0.2,0.0001975309,-0.02356208,0.4271321,0.9723136,1.59282,38323,1.001277,87.73,7.738071
4,1789951787.649,-0.05824841,-0.06216778,0.1799999,-0.009893289,-0.0008176532,-0.025,-0.01977466,-0.002739101,0,-0.01428813,-0.0002527716,-0.007157144,-0.0004317966,0.1253214,-0.004924441,-0.007244208,0,-0.006012689,-0.008057906,-0.01142568,0.09453939,0.007510984,-0.0006727292,-0.0005121407,0.04492307,0.1562595,0.1163537,0.005985315,0.001,25.56473,0.03279947,0.008464023,0.01295627,0.005393862,0.01186876,0,0.2,0.001,-0.0221093,0.2787562,0.9838915,1.608068,37926,1.001478,111.6,9.365473
5,1789951790.267,-0.06900233,-0.07823949,0.2159999,-0.01236861,-0.001038396,-0.008125002,-0.02575892,-0.003229314,-0.0003392771,-0.01852863,-0.0003055851,-0.0049475,-0.0005732882,0.1618186,-0.005491914,-0.005118014,-0.001085741,-0.008269824,-0.01103215,-0.01473428,0.1136979,0.03273863,-0.0008372621,-0.000597804,0.05812791,0.1933831,0.1866909,0.005973119,0.0004444444,25.57682,0.03368157,0.009118147,0.01344874,0.005141563,0.01734457,0.2,0.1,0.0004444444,-0.02486329,0.3177007,1.014344,1.595963,37659,1.002127,134.44,11.52427
6,1789951792.873,-0.08091596,-0.08998825,0.2520002,-0.01581768,-0.001266635,-0.03333334,-0.03174638,-0.003688005,-0.0004845776,-0.02269599,-0.0003511017,-0.008442222,-0.0006799441,0.1727055,-0.006311472,-0.008163031,-0.001276023,-0.01081195,-0.01364363,-0.01555801,0.1318425,0.02463921,-0.001015257,-0.0006911395,0.06420355,0.2272754,0.2175095,0.005880863,5.852766e-05,25.5883,0.03545436,0.01046223,0.01413677,0.004974504,0.01611919,0.4,0.15,5.852766e-05,-0.02526054,0.2916356,0.9933443,1.606602,37810,1.003235,156.06,13.2443
7,1789951795.477,-0.09412301,-0.1064856,0.2880004,-0.01870397,-0.001255487,-0.023125,-0.03627191,-0.004252407,-0.000216798,-0.02511061,-0.0004021704,-0.010295,-0.000682075,0.1830686,-0.007196001,-0.01086023,-0.001892535,-0.0114802,-0.01437546,-0.01600922,0.1524746,0.0173689,-0.001123646,-0.0007660466,0.06769957,0.2409167,0.2272311,0.005825915,0.0004444444,25.59327,0.03720343,0.01096448,0.0155243,0.004888731,0.008929837,0,0.25,0.0004444444,-0.01701241,0.3085051,0.9818232,1.616895,37827,1.002507,183.88,14.84916
8,1789951798.082,-0.1064991,-0.1171004,0.3240007,-0.01994406,-0.001480445,-0.04125,-0.03913466,-0.004629736,-0.000235665,-0.02735086,-0.0004525486,-0.006520001,-0.000647134,0.2438247,-0.008455105,-0.007436259,-0.0005436283,-0.01246327,-0.01578571,-0.01410664,0.1701407,0.04811364,-0.001262434,-0.0008852732,0.07889408,0.267158,0.2172418,0.005816962,0.0002962963,25.58321,0.03759415,0.01095742,0.01613502,0.004684753,0.01511197,0.15,0.1,0.0002962963,-0.0238145,0.2235171,0.9889996,1.609346,37833,1.002704,202.7,17.13565
9,1789951800.689,-0.1072397,-0.1229734,0.3315007,-0.01890538,-0.001620252,-0.07299998,-0.04020423,-0.004979611,-0.0006048289,-0.0278615,-0.0004623257,-0.011856,-0.0006982989,0.2066998,-0.008053118,-0.01228984,-0.001781079,-0.01398212,-0.01503873,-0.01746868,0.174123,0.0178826,-0.001349175,-0.0009314673,0.07728331,0.2660628,0.2415966,0.00576627,0.0001975309,25.59558,0.0366424,0.01070819,0.01583982,0.004328132,0.01456304,0.2,0.15,0.0001975309,-0.0236671,0.2358756,0.9845121,1.616398,37796,1.003448,227.5,18.36971
