step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789953529.051,-0.009244716,-0.01275372,0.03299999,-0.002827444,-0.0001274991,0,-0.004461681,-0.0005053597,0,-0.003417426,-4.869169e-05,-0.00258,-0.0001369983,0.0154,-0.001150339,-0.001507306,0,-0.000805336,-0.001554454,-0.005195124,0.01748273,0,-0.0001150189,-9.30805e-05,0.01147319,0.0348661,0.02836048,0.01452261,0.000375,25.54201,0.03436789,0.003810846,0.00943939,0.006595041,0.01262754,0.05,0.1,0.0015,-0.02286727,0.4630481,0.6275527,0.4307106,23222,1.000831,13.11765,1.236644
1,1789953529.916,-0.02199066,-0.02770551,0.07199996,-0.005722015,-0.0004628406,0,-0.008632416,-0.001245271,0,-0.006678717,-0.0001051889,0,-0.0002749106,0.05765001,-0.002016767,0,0,-0.002639378,-0.004639945,-0.0131658,0.03717124,0.02110297,-0.0002724564,-0.0002147455,0.01882973,0.05789801,0.07167743,0.007906893,2.890255e-06,25.56722,0.02771225,0.004930958,0.009306307,0.005568092,0.01792868,0.7,0.1,1.156102e-05,-0.03484953,0.4968189,0.4811375,0.3508279,29539,1.001639,29.22,2.525104
2,1789953530.769,-0.03425777,-0.03992186,0.1064999,-0.007393566,-0.0004803358,-0.01833333,-0.01590856,-0.001550822,-0.006773297,-0.01138416,-0.0001537731,-0.001493333,-0.0007586706,0.06616671,-0.002240056,-0.001472961,0,-0.004930566,-0.00577234,-0.01075207,0.055439,0.02094131,-0.0004130682,-0.0003246696,0.02828505,0.07953174,0.0738354,0.006721307,0.00025,25.5693,0.023327,0.004237198,0.00708984,0.005278656,0.007077727,0,0.55,0.001,-0.01501811,0.4306152,0.495816,0.3508704,29026,1.001541,40.85542,3.463238
3,1789953531.621,-0.04933045,-0.05422315,0.1439999,-0.01254602,-0.0005158631,0,-0.01780831,-0.002305144,0,-0.01344524,-0.0002024895,0,-0.0003958081,0.1269999,-0.004158681,0,0,-0.004752574,-0.007280981,-0.007010035,0.07599984,0.0426992,-0.000534984,-0.00038735,0.03297731,0.122899,0.1558211,0.006256317,2.890255e-06,25.56823,0.02110484,0.00353785,0.00589915,0.005411519,0.01716726,0.7,0.15,1.156102e-05,-0.02810826,0.4241354,0.5005574,0.3450942,29061,1.001492,55.76,4.883407
4,1789953532.495,-0.0574645,-0.0670908,0.1799999,-0.007190399,-0.001118532,-0.03,-0.01869654,-0.002640112,0,-0.01255622,-0.0002512315,0,-0.0002658532,0.1814998,-0.004698695,0,0,-0.006470903,-0.01229845,-0.01636044,0.0923612,0.05261759,-0.0006673187,-0.0004910304,0.04547535,0.1565544,0.1813477,0.005993483,0.00025,25.56769,0.0182595,0.002642105,0.004264645,0.005359271,0.006696681,0,0.55,0.001,-0.01445385,0.3542925,0.5121887,0.3561137,28303,1.001612,80.23,7.027596
5,1789953533.369,-0.06660914,-0.07712087,0.2159999,-0.01377728,-0.001209926,-0.03250001,-0.0243871,-0.003254621,0,-0.01742283,-0.0003010118,0,-0.000537555,0.1882248,-0.005014912,0,0,-0.008992268,-0.01466907,-0.01550855,0.1123481,0.06357311,-0.0008403262,-0.0005662683,0.04915971,0.1876214,0.2218276,0.005741276,2.890255e-06,25.56991,0.01778625,0.002435979,0.004347326,0.005261668,0.01698869,0.7,0.15,1.156102e-05,-0.02485432,0.3087133,0.5150073,0.3524668,28330,1.00162,100.87,8.884995
6,1789953534.230,-0.08149566,-0.09492649,0.2520002,-0.01598499,-0.001249774,-0.09249996,-0.02892601,-0.003814236,0,-0.02035185,-0.0003534625,-0.01269,-0.0004261803,0.1448999,-0.00645081,-0.01188325,0,-0.0088596,-0.01526668,-0.01100214,0.1331193,0,-0.0009588373,-0.0006807546,0.05349923,0.2139227,0.1330351,0.00573089,0.00025,25.56717,0.01587927,0.001857143,0.003097159,0.005194081,0.00779062,0,0.55,0.001,-0.01450972,0.3032357,0.5084791,0.3465831,28741,1.00113,127.67,10.85508
7,1789953535.094,-0.09392761,-0.1031562,0.2880004,-0.01608386,-0.001405677,-0.05333334,-0.03372993,-0.004149584,0,-0.02385275,-0.0004027754,-0.008933335,-0.0005677305,0.1918164,-0.007424036,-0.008690767,0,-0.01113417,-0.01512857,-0.01533642,0.1505877,0.02858055,-0.001133334,-0.0008127464,0.06526085,0.2216632,0.2103404,0.005677904,4.335383e-06,25.55167,0.01551211,0.001568341,0.002896907,0.005368954,0.01772707,0.6,0.1,1.734153e-05,-0.02635149,0.3335895,0.5053525,0.3532374,28623,1.000466,155.87,12.78405
8,1789953535.960,-0.1057745,-0.1172227,0.3240007,-0.02077369,-0.001471245,-0.06500001,-0.035114,-0.004785902,0,-0.02550531,-0.0004539384,-0.008846669,-0.0004699881,0.248483,-0.009104419,-0.009961891,0,-0.01074549,-0.01573956,-0.01351355,0.1699784,0.03386382,-0.001198946,-0.0008859279,0.07666888,0.2855076,0.2202404,0.005558161,0.0001666667,25.54843,0.01395465,0.001275214,0.001925267,0.005196005,0.007711048,0,0.45,0.0006666667,-0.0148327,0.2558768,0.5120101,0.3476648,28587,1.000412,179.1,14.76674
9,1789953536.837,-0.118183,-0.1309729,0.3600009,-0.02378601,-0.002114431,-0.115,-0.03851757,-0.005262661,-0.001990677,-0.02753418,-0.0005072604,-0.0151,-0.0002483311,0.2238996,-0.008629525,-0.01507527,0,-0.01397504,-0.02131713,-0.01650475,0.1859256,0,-0.001388014,-0.00106298,0.08810635,0.1676708,0.1430682,0.005488715,0.0001111111,25.54987,0.01305026,0.001148856,0.00169691,0.004715775,0.01520683,0.15,0.1,0.0004444444,-0.02796002,0.2339823,0.5266199,0.3438909,28231,1.00067,201.43,16.32306
10,1789953537.694,-0.1280688,-0.1393602,0.3945012,-0.02102291,-0.002612768,-0.13,-0.04416417,-0.006053283,0,-0.03064111,-0.0005598894,0,-0.0007238264,0.3699996,-0.009713202,0,0,-0.0151304,-0.03175467,-0.02084612,0.2011276,0.1149454,-0.001499652,-0.001145529,0.09740856,0.3150767,0.4068312,0.005214363,7.407407e-05,25.55235,0.01218098,0.001038412,0.00160084,0.004327365,0.01372741,0.2,0.15,0.0002962963,-0.02981152,0.2213488,0.5096054,0.3411131,28888,1.00061,213.95,17.7364
