step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789953978.296,-0.009244716,-0.01275372,0.03299999,-0.002827444,-0.0001274991,0,-0.004461681,-0.0005053597,0,-0.003417426,-4.869169e-05,-0.00258,-0.0001369983,0.0154,-0.001150339,-0.001507306,0,-0.000805336,-0.001554454,-0.005195124,0.01748273,0,-0.0001150189,-9.30805e-05,0.01147319,0.0348661,0.02836048,0.01450613,0.0002962963,25.53963,0.03420679,0.003725587,0.00935295,0.006622119,0.01410235,0.2,0.05,0.0002962963,-0.01430088,0.4587426,0.6090972,0.4370906,23491,1.000314,13.11765,1.236644
1,1789953979.202,-0.02207436,-0.02727739,0.07199996,-0.005658423,-0.0004663348,0,-0.008969161,-0.001239339,0,-0.006922442,-0.0001055151,0,-0.0003062838,0.06025,-0.002208854,0,0,-0.002591907,-0.004772907,-0.01316742,0.03717275,0.02110333,-0.0002742433,-0.0002137955,0.01911042,0.05888699,0.06924239,0.007847727,1.734153e-05,25.55013,0.0255498,0.004387293,0.007896905,0.005417876,0.01537857,0.45,0.1,1.734153e-05,-0.03180387,0.4992803,0.5077167,0.3641841,28186,1.000589,28.85714,2.506864
2,1789953980.070,-0.03579071,-0.04146005,0.1064999,-0.006680956,-0.000524967,-0.025,-0.01238338,-0.001466486,0,-0.008782308,-0.000154492,-0.003980001,-7.658963e-05,0.06530003,-0.002550164,-0.004386432,0,-0.003819735,-0.005766,-0.009310463,0.0553085,0,-0.0003876599,-0.0003149965,0.03765272,0.09135777,0.0170598,0.006677862,0.0002962963,25.55061,0.02258653,0.004065044,0.006593422,0.005250198,0.008519547,0,0.35,0.0002962963,-0.02076707,0.4223188,0.5015485,0.3606012,28505,1.000582,40.37037,3.445204
3,1789953980.932,-0.0490943,-0.05238305,0.1439999,-0.01085123,-0.0006050911,0,-0.0154222,-0.002239235,0,-0.01140415,-0.0002025366,0,-0.0003025004,0.1386999,-0.003960377,0,0,-0.004640295,-0.009275249,-0.008391842,0.07531798,0.04250618,-0.0005698292,-0.0003931162,0.03743435,0.1105736,0.1422448,0.005924796,1e-05,25.55653,0.02071407,0.003334178,0.0060193,0.005435796,0.01631598,0.6,0.1,1e-05,-0.03057026,0.3727319,0.4984071,0.3571858,28723,1.00098,56.74,4.962182
4,1789953981.821,-0.05534789,-0.06213593,0.1799999,-0.009667262,-0.001192319,-0.04000001,-0.02202053,-0.002540295,-0.0002816761,-0.01478261,-0.0002524757,-0.00054,-0.0004907359,0.1545249,-0.004137966,-0.0005501056,-0.001892246,-0.008017128,-0.01004757,-0.01696242,0.09268382,0.04912676,-0.000732397,-0.0005233818,0.03862368,0.157303,0.1756677,0.00603751,0.0002562891,25.55746,0.01874706,0.00270683,0.004679767,0.00532295,0.008267517,0,0.4,0.0002562891,-0.01881105,0.3233082,0.5208149,0.3615787,27851,1.000868,79.2,6.960493
5,1789953982.705,-0.06890184,-0.08463713,0.2159999,-0.01210589,-0.001205903,-0.09000002,-0.02296947,-0.003143679,0,-0.01613185,-0.0003019716,0,-0.000248365,0.2021998,-0.00510982,0,0,-0.007822175,-0.01276978,-0.01766138,0.1119683,0.06346201,-0.0007984952,-0.0005863687,0.05052705,0.1656077,0.2246012,0.00575044,5.0625e-05,25.55667,0.01830027,0.002622961,0.004637405,0.005289461,0.01695046,0.35,0.15,5.0625e-05,-0.03129115,0.2992951,0.5167665,0.3611813,27992,1.000882,98.94,8.615382
6,1789953983.591,-0.07980989,-0.09354852,0.2520002,-0.01708675,-0.001295982,-0.0575,-0.0287017,-0.0042907,0,-0.02138805,-0.0003532131,-0.01237,-0.0005271604,0.1452249,-0.006793871,-0.01197087,0,-0.009022075,-0.01530759,-0.01262251,0.1323728,0,-0.0009383798,-0.0006934004,0.05266107,0.2319933,0.1392304,0.005608669,1e-05,25.55715,0.01717953,0.002337876,0.00415105,0.005081932,0.01423612,0.5,0.3,1e-05,-0.02787371,0.3299169,0.5173512,0.3632262,27908,1.000986,128.22,10.90663
7,1789953984.491,-0.09519224,-0.09982713,0.2880004,-0.01634022,-0.001704944,-0.04500001,-0.03370398,-0.004450246,0,-0.02388164,-0.0004044735,-0.01376,-0.0006823187,0.1782748,-0.007714083,-0.0134144,0,-0.01084591,-0.01840584,-0.01681579,0.1499579,0,-0.001107553,-0.0008463847,0.05922301,0.2029974,0.1743935,0.005383816,0.0002562891,25.55929,0.01516767,0.001806128,0.003085649,0.004892082,0.009719743,0,0.4,0.0002562891,-0.01992288,0.3257754,0.5262549,0.3615294,27682,1.001167,157.69,12.94618
8,1789953985.377,-0.1088776,-0.1119944,0.3240007,-0.01891957,-0.001512805,-0.08499997,-0.03773919,-0.004813004,-0.0002484825,-0.02695971,-0.0004525347,-0.009390002,-0.0005250084,0.2659247,-0.009088269,-0.007905087,0,-0.01112644,-0.0152692,-0.012533,0.1690598,0.04719816,-0.001223855,-0.0008966133,0.08125161,0.2779012,0.2297366,0.005368794,2.25e-05,25.56202,0.01443452,0.001725512,0.00268185,0.004658359,0.01740396,0.4,0.1,2.25e-05,-0.02871172,0.2478893,0.5206766,0.3603351,27895,1.001229,179.46,14.86361
9,1789953986.256,-0.1151835,-0.1307877,0.3600009,-0.02142669,-0.002146057,-0.08749997,-0.04155351,-0.005322453,-0.0008989854,-0.02996656,-0.0005021939,-0.01401,-0.0005839742,0.2222747,-0.009018889,-0.01685008,-0.004300258,-0.0149462,-0.02189552,-0.01599143,0.1867546,0,-0.001377289,-0.001018743,0.07487197,0.2396082,0.2442296,0.005528675,0.0002562891,25.56033,0.01305839,0.001297547,0.001972927,0.004259244,0.0117505,0,0.3,0.0002562891,-0.02400369,0.2735313,0.5113571,0.3615427,28154,1.000903,204.71,16.45477
