step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789954267.858,-0.01130027,-0.01063898,0.03599999,-0.001689293,-0.000287041,0,-0.005424895,-0.0003954203,0,-0.003848363,-4.978566e-05,-0.00338,-0.0001264604,0.0194,-0.000807827,-0.001720718,0,-0.001203184,-0.0008865841,-0.007639679,0.01880771,0,-0.0001221001,-0.0001126261,0.006119739,0.03175102,0.03290811,0.0120797,0.0006666667,25.53295,0.02353979,0.002199205,0.0025147,0.00674618,0.0113374,0.1,0.05,0.0006666667,-0.008060561,0.4237952,1.02912,1.514839,38642,0.9999374,14.38,1.219939
1,1789954270.363,-0.02257327,-0.02697874,0.07199996,-0.003758749,-0.0003279642,-0.009166667,-0.008175591,-0.001168004,-0.002437791,-0.006116014,-0.0001022389,-0.001306667,-0.0002611096,0.05786666,-0.001915108,-0.001026858,-0.0002325794,-0.002396188,-0.002932952,-0.00751244,0.03781113,0.01422307,-0.0002652308,-0.000201283,0.01711406,0.06766182,0.06284341,0.006818069,0.0006666667,25.55491,0.01923101,0.003871812,0.002984107,0.005557019,0.01629068,0.1,0.1,0.0006666667,-0.01831008,0.5282234,0.9296801,1.540107,39802,1.001113,37.85,3.405154
2,1789954272.858,-0.03061037,-0.03919406,0.1079999,-0.006054207,-0.0003641677,-0.01,-0.01365186,-0.001738943,0,-0.009650724,-0.0001531121,-0.007320001,-0.0002782873,0.06080003,-0.001863791,-0.004840679,0,-0.003978418,-0.003502059,-0.008579409,0.05724954,0,-0.0004002637,-0.0002792097,0.02382795,0.1024828,0.09040054,0.005704014,0.0004444444,25.55123,0.01925318,0.004191618,0.004164721,0.005192829,0.01372907,0.15,0.1,0.0004444444,-0.0219982,0.4354222,0.954052,1.534993,39494,1.000726,61.57,5.424306
3,1789954275.369,-0.04629534,-0.05178197,0.1439999,-0.009123573,-0.000602711,-0.02318182,-0.01683326,-0.002149495,0,-0.01217983,-0.0002018641,-0.005174547,-0.0003127223,0.09680456,-0.003693527,-0.004855442,0,-0.004882108,-0.006078151,-0.01022955,0.07594286,0.01158053,-0.0005404676,-0.0003981031,0.03767535,0.1248525,0.09557369,0.005433002,0.0002962963,25.56078,0.01795498,0.003863613,0.003661097,0.004997268,0.01385142,0.2,0.15,0.0002962963,-0.02371475,0.4303348,0.9621446,1.542304,39251,1.001191,87,7.756042
4,1789954277.878,-0.05537637,-0.06078498,0.1759284,-0.009830022,-0.0008716906,-0.01571429,-0.01959066,-0.002545335,-0.002152366,-0.01391833,-0.0002480859,-0.004497143,-0.0003098913,0.1305714,-0.004364874,-0.004771202,-7.592491e-05,-0.006564186,-0.007327464,-0.01114014,0.09294554,0.02279063,-0.0006902033,-0.0004757715,0.04062319,0.1569058,0.1604343,0.005276075,0.001,25.53977,0.01636628,0.003321871,0.003047667,0.004720664,0.01139221,0,0.15,0.001,-0.02304662,0.3291003,0.9601641,1.542109,39285,0.9993615,107.44,9.258918
5,1789954280.420,-0.06932338,-0.07805757,0.2159999,-0.0120926,-0.0008565394,-0.0175,-0.02574448,-0.003291552,0,-0.01834472,-0.0003035837,-0.003835001,-0.0004612501,0.1636874,-0.005699024,-0.005198594,-0.001018491,-0.007726625,-0.007093841,-0.01318632,0.1140353,0.03186892,-0.0008458699,-0.000586972,0.05183265,0.18358,0.1597807,0.005217374,0.0002962963,25.52924,0.01547257,0.002883182,0.0029042,0.004467814,0.01698401,0.25,0.1,0.0002962963,-0.02545894,0.3159766,0.9730725,1.563551,38753,0.9994743,131.22,10.76085
6,1789954282.958,-0.08051693,-0.09162784,0.2520002,-0.01627466,-0.001034865,-0.01833334,-0.0285544,-0.003697088,0,-0.02109834,-0.0003521134,-0.009973335,-0.0005699714,0.1647249,-0.006638451,-0.009863785,-0.0002219679,-0.008904554,-0.01078539,-0.01369779,0.1332733,0.01237321,-0.0009869153,-0.0006820231,0.05665799,0.2340203,0.1903752,0.0051932,0.001,25.53063,0.01464842,0.002562709,0.002518345,0.004374169,0.01205876,0,0.15,0.001,-0.02383245,0.2762434,0.965744,1.566318,38823,0.9994662,157.78,13.91632
7,1789954285.512,-0.09093704,-0.1002816,0.2880004,-0.01756537,-0.001371585,-0.05166666,-0.03190619,-0.004265476,-9.199065e-05,-0.02318608,-0.0004025997,-0.009680001,-0.0004826627,0.2019998,-0.007173899,-0.01012809,0,-0.01050529,-0.01312352,-0.01460947,0.1506002,0.01968263,-0.001100804,-0.0007994328,0.06892474,0.2486936,0.2502532,0.005187185,0.0004444444,25.50977,0.01397738,0.00246191,0.00216566,0.00416262,0.01654333,0.2,0.1,0.0004444444,-0.02629838,0.2979639,0.9685237,1.572774,38682,0.9980648,176.97,15.39267
8,1789954288.055,-0.1039217,-0.1199913,0.3240007,-0.01888729,-0.001339848,-0.02166667,-0.0379327,-0.004850757,-0.001931968,-0.02668662,-0.0004518824,-0.01177334,-0.0005989659,0.225733,-0.00810972,-0.01064155,0,-0.01121005,-0.01339133,-0.01519558,0.1715822,0.03195093,-0.001218687,-0.000889545,0.07139792,0.2815902,0.2465103,0.005121078,0.0004444444,25.50975,0.01327463,0.002202784,0.001968017,0.003982754,0.01391062,0.1,0.1,0.0004444444,-0.02522066,0.2207373,0.9787505,1.558702,38741,0.9986319,202.82,17.1163
9,1789954290.589,-0.1150191,-0.1293416,0.3600009,-0.02214777,-0.00155471,-0.035,-0.04020228,-0.005341569,-0.0006248184,-0.02868717,-0.000504018,-0.01201,-0.0006606384,0.2494934,-0.00913891,-0.01267979,0,-0.01241946,-0.01610897,-0.01741224,0.189832,0.02673208,-0.001353795,-0.0009942808,0.09128737,0.3129267,0.2710246,0.005087637,0.0004444444,25.51639,0.01224352,0.001758585,0.001726541,0.003670761,0.01383347,0.1,0.1,0.0004444444,-0.02621281,0.2164648,0.9710383,1.557289,38881,0.9985429,226.91,19.62014
