step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789955780.356,-0.01202776,-0.01113767,0.03599999,-0.002265778,-0.0002495155,0,-0.003983115,-0.0005402612,0,-0.00340362,-5.138102e-05,-0.00211,-0.0001094042,0.020375,-0.001257952,-0.001687266,0,-0.0006984415,-0.001486204,-0.008099385,0.01915937,0,-0.0001287908,-0.0001268588,0.01048091,0.03748908,0.03399971,0.01457819,0.0003375,25.53246,0.03460059,0.003967533,0.009524322,0.006530546,0.006059096,0,0.15,0.003375,-0.008021662,0.4571441,1.032185,1.457503,39484,0.9990782,13.09,1.205618
1,1789955782.801,-0.02280709,-0.02580221,0.07199996,-0.004332715,-0.0003158466,-0.004,-0.008157503,-0.001110684,0,-0.006128439,-0.0001015652,-0.00202,-0.0002756589,0.04985,-0.001896105,-0.001800547,-0.0004134694,-0.002573725,-0.004082854,-0.007414483,0.03775454,0.008476069,-0.0002677349,-0.0002051874,0.0181666,0.06735851,0.05987438,0.007650175,0.000759375,25.52394,0.02827998,0.004952733,0.01005169,0.005625378,0.01083552,0,0.1,0.00759375,-0.01803045,0.5068589,0.9348588,1.46751,40919,0.9994745,39.64,3.367602
2,1789955785.239,-0.03414591,-0.04060654,0.1079999,-0.005336025,-0.0004742749,-0.03166667,-0.0123157,-0.001662423,-0.0008982277,-0.009062633,-0.0001511121,-0.002333333,-0.0003142999,0.07163335,-0.002784615,-0.002786987,-0.001623686,-0.004013742,-0.004966307,-0.006523593,0.05607043,0.01057305,-0.0003968057,-0.0003135171,0.02500249,0.09119114,0.09056889,0.006378973,0.0006666667,25.53106,0.02798761,0.006123084,0.01007961,0.005405942,0.01236746,0.05,0.1,0.006666667,-0.02101352,0.4381958,0.9508574,1.481439,40416,0.9995671,62.67,5.426964
3,1789955787.699,-0.04493944,-0.05148819,0.1439999,-0.008603677,-0.0006033733,-0.01875,-0.01525488,-0.001980531,0,-0.01152659,-0.0002041148,-0.003615,-0.0002228496,0.111075,-0.003708518,-0.003528433,0,-0.004659303,-0.006696106,-0.009360175,0.07607599,0.02129111,-0.0005283627,-0.0003852574,0.033029,0.129561,0.1233095,0.005958579,0.0006666667,25.53416,0.02950692,0.006722701,0.01126533,0.005560312,0.01304015,0.05,0.1,0.006666667,-0.02331652,0.4002548,0.9626141,1.490277,40076,0.9993203,87.46,7.777469
4,1789955790.175,-0.05781999,-0.06201027,0.1799999,-0.01016891,-0.0008245857,-0.021875,-0.02077881,-0.002692293,-0.0001757321,-0.01500351,-0.0002546733,-0.0070975,-0.0004539713,0.1195062,-0.004650753,-0.007398567,-0.00140257,-0.006556311,-0.008465337,-0.01242433,0.09459975,0.006572781,-0.0006819575,-0.0005054956,0.04467268,0.1550077,0.1147051,0.005809622,0.0004444444,25.52277,0.03088274,0.007937242,0.01173005,0.00540583,0.01356194,0.1,0.1,0.004444445,-0.02445213,0.2969112,0.9797325,1.490484,39795,0.9989541,111.29,9.315575
5,1789955792.639,-0.0680102,-0.07606753,0.2151666,-0.01164574,-0.001065915,-0.007222223,-0.0260813,-0.003228275,-0.000325013,-0.01842566,-0.0003036416,-0.006880001,-0.0005519018,0.1528444,-0.005283254,-0.006901584,-0.001950748,-0.008743377,-0.01062512,-0.01524557,0.1134198,0.02135777,-0.0008386242,-0.0005831904,0.05337832,0.1914661,0.1564507,0.005788001,0.0001975309,25.51362,0.0325869,0.009151985,0.01238207,0.005264843,0.0136343,0.2,0.15,0.001975309,-0.02481536,0.3008896,0.9662478,1.49165,39995,0.9981827,134.17,11.55492
6,1789955795.154,-0.08038029,-0.08874065,0.2520002,-0.01635552,-0.001114691,-0.05083333,-0.0271844,-0.003600017,-6.387055e-05,-0.02045012,-0.0003522774,-0.006203334,-0.0004950556,0.1922415,-0.006500896,-0.006235087,0,-0.008840779,-0.01287298,-0.01485635,0.1325757,0.0370534,-0.00096456,-0.0006904553,0.06218022,0.2294351,0.2235222,0.005722852,0.0001975309,25.51469,0.03350276,0.009698207,0.01282925,0.005252446,0.01369366,0.2,0.2,0.001975309,-0.02408423,0.2982123,0.9985979,1.510518,39178,0.998793,154.19,13.23088
7,1789955797.658,-0.09281962,-0.1062346,0.2880004,-0.01948513,-0.0013793,-0.04666667,-0.03329237,-0.004211145,-0.0009967431,-0.02396084,-0.000402661,-0.009526668,-0.0005680074,0.1880248,-0.00745579,-0.01104138,-0.0004435033,-0.01081997,-0.01552096,-0.01591577,0.1515459,0.01475463,-0.001114205,-0.0007978526,0.06628153,0.2418551,0.2464959,0.005640215,0.0006666667,25.50906,0.03401035,0.01022521,0.01304364,0.005101288,0.01154922,0,0.15,0.006666667,-0.02270065,0.3056917,0.98909,1.508913,39353,0.9976571,182.32,14.86146
8,1789955800.146,-0.1057222,-0.1170768,0.3240007,-0.01895418,-0.001574986,-0.03800001,-0.03462399,-0.004515303,-0.0001965734,-0.02498615,-0.000451397,-0.008776002,-0.0005379209,0.2463597,-0.008715465,-0.008812023,0,-0.01101338,-0.01565289,-0.01350915,0.1693533,0.03841088,-0.001233215,-0.0009203334,0.0791459,0.2534873,0.1881127,0.00555207,0.0001316872,25.50335,0.03381018,0.01016457,0.01316387,0.004929664,0.01506591,0.25,0.1,0.001316872,-0.02529157,0.2386873,0.9901061,1.492104,39603,0.9983037,201.6,17.26685
9,1789955802.660,-0.0965347,-0.1173968,0.3063757,-0.01941162,-0.001644493,-0.11625,-0.03416044,-0.004535512,-0.0004561125,-0.02453879,-0.000427972,-0.01365,-0.0005080729,0.1918872,-0.00743319,-0.01192113,-8.725898e-06,-0.01185504,-0.01840021,-0.01776805,0.1592251,0.01074701,-0.001169145,-0.0008940386,0.08076812,0.2346188,0.2195089,0.005520063,0.0006666667,25.5115,0.03361516,0.01037551,0.01299178,0.004727814,0.01176293,0,0.2,0.006666667,-0.02177886,0.2417143,0.98013,1.526402,39219,0.9984522,223.22,17.97968
