step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789964341.839,-0.01166593,-0.01265693,0.0345,-0.002052532,-0.0003326073,-0.005,-0.004749307,-0.0006574678,0,-0.003456104,-4.917655e-05,-0.0025,-0.0001505435,0.0213,-0.000988752,-0.001488155,0,-0.001340255,-0.001924551,-0.01042524,0.01739108,0,-0.0001277941,-0.0001081223,0.00840098,0.03284908,0.02372947,0.01171398,0.0001975309,25.55162,0.02669461,0.00329089,0.006736392,0.004953346,0.01532489,0.25,0.05,0.0001975309,-0.01089148,0.4120959,0.620508,0.4522212,22909,1.000972,12.96154,1.054633
1,1789964342.704,-0.02334052,-0.02339631,0.07199996,-0.003949707,-0.0006630699,-0.025,-0.01040453,-0.00112308,-0.05743944,-0.007372088,-0.0001037337,-0.003400001,-0.0005721409,0.03165,-0.001501801,-0.003290619,-0.002502423,-0.003737686,-0.004503774,-0.008228252,0.03656858,0,-0.0002981123,-0.0002722365,0.01646554,0.03881893,0.02811368,0.006586087,0.0001975309,25.55145,0.02063503,0.003758269,0.006353096,0.003937575,0.0145748,0.2,0.2,0.0001975309,-0.02626966,0.4912654,0.4935253,0.3383586,29542,1.000344,26.70175,2.206144
2,1789964343.582,-0.03461611,-0.0382976,0.1079999,-0.006192827,-0.0005054992,-0.01125,-0.0138161,-0.0015165,-0.0001874131,-0.009545555,-0.0001511576,-0.00397,-0.0003486626,0.06323753,-0.00268277,-0.003760403,-3.79541e-05,-0.004055496,-0.003818133,-0.008459139,0.05730557,0.007976323,-0.0004216133,-0.000304437,0.02859307,0.1020526,0.05992847,0.00539935,1e-05,25.54097,0.01803946,0.003833833,0.00519168,0.003614601,0.01905423,0.7,0.2,1e-05,-0.02799167,0.4070561,0.5088296,0.3638506,28161,0.9999349,39.1573,3.226749
3,1789964344.472,-0.04925833,-0.04825038,0.1439999,-0.007629007,-0.0003278226,0,-0.01403927,-0.002140007,0,-0.01071776,-0.0002015497,-0.00696,-0.0001938265,0.08800004,-0.00357015,-0.006977805,0,-0.003165897,-0.003441144,-0.008437003,0.07834379,0,-0.0005449577,-0.0003610527,0.02830289,0.1417942,0.1080563,0.00525606,7.59375e-05,25.53678,0.01608199,0.003322941,0.003973906,0.003529079,0.009761916,0.2,0.45,7.59375e-05,-0.02022632,0.4391003,0.5123601,0.3642516,28035,0.9995002,55.67,4.708691
4,1789964345.351,-0.05789943,-0.0670191,0.1799999,-0.01196793,-0.0006389561,0,-0.02870645,-0.002442569,0,-0.01921311,-0.0002476158,-0.00936,-0.0009710567,0.08660006,-0.003682266,-0.008801042,-0.002136855,-0.01052903,-0.004204722,-0.00961904,0.09520893,0,-0.0008504288,-0.0004107175,0.03684478,0.1584301,0.1042405,0.005079768,5.0625e-05,25.52631,0.01602148,0.003504854,0.00397939,0.003457466,0.01473965,0.3,0.25,5.0625e-05,-0.02891825,0.311742,0.5120139,0.3614089,28137,0.9990517,75.2,6.292026
5,1789964346.227,-0.06845663,-0.07582279,0.2159999,-0.01235587,-0.0007222083,-0.01,-0.02394319,-0.00312493,0,-0.01810746,-0.000302901,-0.01084,-0.0005219611,0.12875,-0.005271225,-0.01038708,0,-0.007471589,-0.008598471,-0.012013,0.1157443,0,-0.0008207996,-0.0005703642,0.04336831,0.2060343,0.1458455,0.005007661,3.375e-05,25.52396,0.0143254,0.002928586,0.003087237,0.00330192,0.01300547,0.3,0.25,3.375e-05,-0.02818454,0.3537869,0.5089667,0.3612146,28242,0.9991512,104.39,8.839613
6,1789964347.095,-0.07887506,-0.08512978,0.2520002,-0.01748912,-0.001102525,-0.0025,-0.03264244,-0.003609788,-0.0001028478,-0.02310842,-0.0003497001,-0.006740001,-0.000828659,0.1786998,-0.005685032,-0.006223006,0,-0.01028676,-0.01199999,-0.01274402,0.1332299,0.03742265,-0.0009894508,-0.0006557218,0.05138028,0.2313413,0.1969336,0.005039413,0.0001708594,25.52817,0.01319217,0.002598295,0.002407099,0.003147359,0.01309926,0.1,0.3,0.0001708594,-0.02857265,0.3001431,0.5129106,0.349124,28509,0.9994557,130.12,10.969
7,1789964347.976,-0.0899406,-0.1037869,0.2880004,-0.01563805,-0.001853559,-0.14,-0.02965903,-0.004417292,0,-0.02163803,-0.0004091313,0,-0.0004977248,0.2760997,-0.008177185,0,0,-0.01108887,-0.01901548,-0.0143756,0.1461391,0.08372335,-0.001105154,-0.0008160635,0.06862764,0.1922167,0.2710912,0.005010732,1e-05,25.53036,0.01264709,0.002286779,0.00230726,0.003042323,0.01625027,0.6,0.15,1e-05,-0.03132489,0.2759165,0.5112767,0.3632388,28102,0.9994152,150.52,13.32344
8,1789964348.858,-0.1036499,-0.1167733,0.3240007,-0.02161878,-0.00142102,0,-0.03609218,-0.004639852,0,-0.02642545,-0.0004524,-0.01436,-0.0008596308,0.1921498,-0.008714298,-0.01575666,0,-0.01032189,-0.01550923,-0.01769739,0.17214,0,-0.001236739,-0.0008678838,0.08135551,0.3024548,0.1217107,0.005004481,0.0002562891,25.53081,0.01146738,0.001843523,0.001729529,0.002889846,0.009830066,0,0.4,0.0002562891,-0.02137098,0.2542593,0.5101707,0.366214,28042,0.9996025,172.88,15.18213
9,1789964349.747,-0.1143302,-0.1238203,0.3600009,-0.02290143,-0.001570372,-0.035,-0.03902464,-0.005252474,0,-0.02877805,-0.0005025188,0,-0.0006849772,0.3376496,-0.009326706,0,0,-0.0121253,-0.01656242,-0.02038304,0.1881972,0.1062302,-0.001371488,-0.0009772143,0.08884899,0.328737,0.3839485,0.004921917,1e-05,25.53885,0.01100956,0.001732965,0.001712113,0.002642562,0.01761373,0.6,0.1,1e-05,-0.03044391,0.2334401,0.5185039,0.3642521,27840,0.9999889,196.99,17.38738
