step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789982714.465,-0.01202776,-0.01113767,0.03599999,-0.002265778,-0.0002495155,0,-0.003983115,-0.0005402612,0,-0.00340362,-5.138102e-05,-0.00211,-0.0001094042,0.020375,-0.001257952,-0.001687266,0,-0.0006984415,-0.001486204,-0.008099385,0.01915937,0,-0.0001287908,-0.0001268588,0.01048091,0.03748908,0.03399971,0.01452176,0,25.54089,0.03470282,0.003966514,0.009673713,0.006540834,1.385628e-05,0,1,0,3.192911e-05,0.6846927,1.055243,1.458116,39112,1,13.09,1.205618
1,1789982716.911,-0.02307254,-0.02593141,0.07199996,-0.004554922,-0.0003357004,-0.01416667,-0.008756615,-0.001133424,-1.919667e-05,-0.006628096,-0.0001015503,-0.00216,-0.0002478135,0.04735833,-0.001824712,-0.001799949,-0.0008527054,-0.002643447,-0.003853619,-0.009031571,0.03756064,0.00706036,-0.0002699318,-0.0002089162,0.01791912,0.06494203,0.05943409,0.007748673,0,25.54089,0.02721237,0.003961258,0.009937963,0.005564473,1.676047e-05,0,1,0,-6.408573e-05,0.7099763,0.9602184,1.449359,40797,1,39.71,3.355415
2,1789982719.356,-0.03522778,-0.03562167,0.1079999,-0.005148957,-0.0004954146,-0.05,-0.01223292,-0.001624081,0,-0.008953882,-0.0001504002,-0.00351,-0.0002738289,0.06242502,-0.002820444,-0.004198309,-0.00203968,-0.003982639,-0.00537916,-0.005866977,0.05610447,0,-0.0003929744,-0.0003128073,0.02332128,0.09027249,0.08243288,0.006478886,0,25.54089,0.02586016,0.004013476,0.009958507,0.005409288,1.829244e-05,0,1,0,2.833275e-05,0.6439306,0.9636564,1.475428,40303,1,62.94,5.41391
3,1789982721.818,-0.0450411,-0.05163653,0.1439999,-0.008795058,-0.0006223576,-0.01125,-0.01471207,-0.002012732,0,-0.0113504,-0.0002034331,-0.003610001,-0.0002374389,0.1128625,-0.003826841,-0.003534014,0,-0.004650795,-0.006688192,-0.009177113,0.0760044,0.02126024,-0.0005311879,-0.0003851825,0.03234262,0.1301713,0.1237109,0.006094588,0,25.54089,0.02558831,0.004034856,0.009950087,0.005508781,1.499372e-05,0,1,0,2.560561e-05,0.6116835,0.9808743,1.476225,40008,1,86.85,7.744514
4,1789982724.300,-0.05796192,-0.06228055,0.1799999,-0.01015319,-0.0008452241,-0.03071429,-0.01966032,-0.002720518,0,-0.01436422,-0.0002537075,-0.007085716,-0.0004339098,0.123,-0.00486101,-0.007198319,0,-0.006118981,-0.008763997,-0.01091135,0.09419534,0.007506832,-0.0006784291,-0.0005081741,0.04469173,0.1550609,0.1155324,0.005918619,0,25.54089,0.02539895,0.004016348,0.009931701,0.005532279,2.019577e-05,0,1,0,-3.71054e-05,0.5683043,1.002755,1.473171,39703,1,111.63,9.243877
5,1789982726.759,-0.06774449,-0.07705365,0.2159999,-0.01265926,-0.001110331,-0.01222222,-0.02617438,-0.003282997,-0.0003125563,-0.01883706,-0.0003045799,-0.007235557,-0.000528814,0.1510666,-0.00528158,-0.006947776,-0.002737342,-0.008786641,-0.01164578,-0.01625723,0.1136591,0.02136701,-0.0008495424,-0.0005856309,0.05237991,0.1878265,0.1694249,0.005852093,0,25.54089,0.02531186,0.004028585,0.009892536,0.005538644,1.6596e-05,0,1,0,5.372195e-05,0.5419254,0.9676459,1.485561,40071,1,133.93,11.29678
6,1789982729.222,-0.08036896,-0.08940306,0.2520002,-0.01668479,-0.001204579,-0.0475,-0.02700758,-0.003643998,-2.258996e-05,-0.02048342,-0.0003533841,-0.006276667,-0.0004144774,0.1949498,-0.006590714,-0.006209114,0,-0.008964827,-0.01410138,-0.01423179,0.1319731,0.03688249,-0.0009502083,-0.0006966828,0.05830874,0.220388,0.222395,0.005755539,0,25.54089,0.02525796,0.004063918,0.009891412,0.00554709,1.877171e-05,0,1,0,-3.658421e-05,0.5144446,0.9742565,1.482344,40016,1,157.54,13.46937
7,1789982731.687,-0.09292154,-0.105318,0.2880004,-0.02040057,-0.001448747,-0.06699999,-0.03157651,-0.004229785,-0.0003045774,-0.02319617,-0.0004036416,-0.010004,-0.0004601879,0.1947198,-0.007498081,-0.01052135,0,-0.01009377,-0.01626946,-0.01634569,0.1508845,0.01708979,-0.001096529,-0.000804993,0.06479376,0.2350049,0.2426882,0.005642205,0,25.54089,0.02515212,0.004060972,0.009910516,0.005538427,1.867651e-05,0,1,0,4.263848e-05,0.4986444,0.978075,1.481971,39960,1,181.75,14.31792
8,1789982734.161,-0.1045427,-0.116774,0.3240007,-0.01982625,-0.001643514,-0.067,-0.03410292,-0.004667652,0,-0.02488896,-0.0004520399,-0.007732,-0.0005277625,0.2489597,-0.008713994,-0.008737168,0,-0.01109207,-0.0160568,-0.01306705,0.1686361,0.03844193,-0.001231709,-0.0009119039,0.07824014,0.2490296,0.1888064,0.005589747,0,25.54089,0.02498468,0.004032703,0.009926701,0.00543553,1.475598e-05,0,1,0,2.706912e-05,0.4830762,0.9830337,1.485323,39825,1,203.12,16.30583
9,1789982736.645,-0.1108527,-0.1346491,0.3600009,-0.02001664,-0.002150411,-0.1849999,-0.03437542,-0.005452606,-0.0004615498,-0.02499881,-0.0005009741,-0.01663001,-0.0002255505,0.2196747,-0.008903999,-0.01554239,0,-0.01380143,-0.02360914,-0.01727656,0.1858758,0,-0.001354905,-0.001071514,0.094523,0.2344051,0.2492436,0.005606722,0,25.54089,0.02499279,0.004035882,0.009918608,0.00543158,2.0021e-05,0,1,0,-8.205359e-06,0.4661022,0.979234,1.498375,39676,1,226.59,17.80389
