step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789982792.283,-0.01202776,-0.01113767,0.03599999,-0.002265778,-0.0002495155,0,-0.003983115,-0.0005402612,0,-0.00340362,-5.138102e-05,-0.00211,-0.0001094042,0.020375,-0.001257952,-0.001687266,0,-0.0006984415,-0.001486204,-0.008099385,0.01915937,0,-0.0001287908,-0.0001268588,0.01048091,0.03748908,0.03399971,0.01449274,0,25.54089,0.03340717,0.003594697,0.008807356,0.006512378,1.463216e-05,0,1,0,2.878742e-05,0.6846927,1.0238,1.507674,38832,1,13.09,1.205618
1,1789982794.761,-0.02286807,-0.02583738,0.07199996,-0.004298714,-0.0003177056,-0.006000001,-0.008204425,-0.001110627,0,-0.006156331,-0.0001013606,-0.002012,-0.0002744631,0.04920001,-0.001890328,-0.001798635,-0.0004022245,-0.002565802,-0.004099066,-0.007416658,0.03772978,0.00847252,-0.0002685958,-0.0002050138,0.01769534,0.06727,0.05949753,0.007677876,0,25.54089,0.02273085,0.002720992,0.006885896,0.005446089,1.953134e-05,0,1,0,-5.116405e-05,0.7101529,0.9211447,1.520736,40257,1,39.69,3.354438
2,1789982797.248,-0.03407536,-0.0377839,0.1079999,-0.005784684,-0.0006758053,-0.025,-0.01306064,-0.001652107,0,-0.009484379,-0.0001499961,-0.005650001,-0.000262733,0.06047502,-0.002714423,-0.00500433,-0.002109578,-0.004892737,-0.006771754,-0.0113827,0.05590517,0,-0.0004377528,-0.000305173,0.0240773,0.09546696,0.1039761,0.00639116,0,25.54089,0.01833271,0.001947738,0.004803736,0.005190077,2.264729e-05,0,1,0,2.826332e-05,0.6426098,0.9566565,1.524051,39627,1,63.03,5.389591
3,1789982799.761,-0.04603555,-0.05159437,0.1439999,-0.009556834,-0.0006082894,-0.008750001,-0.01553473,-0.002049598,0,-0.0119248,-0.0002032101,-0.0036,-0.0002220343,0.1127,-0.003913863,-0.003520781,0,-0.00467219,-0.006526166,-0.009405581,0.07630149,0.0212842,-0.0005354646,-0.0003924012,0.03399392,0.128065,0.1213697,0.006031639,0,25.54089,0.0153629,0.001255083,0.002911256,0.005164921,2.032922e-05,0,1,0,4.358174e-05,0.6042928,0.9721279,1.535115,39208,1,87.03,7.720832
4,1789982802.286,-0.05815732,-0.06297129,0.1799999,-0.01024919,-0.0008849729,-0.0275,-0.02015544,-0.002731682,0,-0.01472983,-0.0002527491,-0.007627501,-0.0004741657,0.1185312,-0.00486846,-0.007555856,-0.0003017592,-0.00651197,-0.00902777,-0.01053206,0.09433012,0.006562022,-0.0006828964,-0.0005033949,0.04304674,0.1589404,0.1217128,0.00582557,0,25.54089,0.01304192,0.0007352854,0.001449019,0.005032042,2.554547e-05,0,1,0,2.250933e-05,0.5643028,0.977124,1.53472,39136,1,112.07,9.569981
5,1789982804.835,-0.06883769,-0.07864764,0.2159999,-0.01363095,-0.001036894,-0.02583333,-0.02362019,-0.003349987,-0.0003533384,-0.01773461,-0.0003028367,-0.005806668,-0.0004395775,0.1711082,-0.005831934,-0.005128983,0,-0.007288244,-0.01092683,-0.01490033,0.1130566,0.03195233,-0.00079728,-0.0006017616,0.05470489,0.1926584,0.1718137,0.005652358,0,25.54089,0.01150378,0.0004212813,0.0005904486,0.004839693,2.427356e-05,0,1,0,3.218879e-05,0.5345763,1.003197,1.539207,38665,1,133.72,11.207
6,1789982807.407,-0.08076356,-0.09149408,0.2520002,-0.01476879,-0.00117293,-0.065,-0.02780855,-0.003743952,-2.4815e-05,-0.02049033,-0.0003524105,-0.006213335,-0.000412099,0.1944082,-0.006317658,-0.006050994,0,-0.009038292,-0.0122905,-0.01339784,0.1321462,0.0368867,-0.0009532411,-0.0006863992,0.05631705,0.215156,0.215892,0.00547981,0,25.54089,0.01060038,0.0002634849,0.000327051,0.004530039,2.308578e-05,0,1,0,4.301699e-05,0.5044861,1.013748,1.544367,38428,1,157.83,12.94996
7,1789982809.942,-0.08922552,-0.1005404,0.2816254,-0.01709546,-0.001465556,-0.035,-0.03182186,-0.004173096,-0.0001010239,-0.02278065,-0.0003909162,-0.01038,-0.0005414856,0.1747311,-0.007021466,-0.0114042,-0.001145504,-0.01105369,-0.01439222,-0.01414536,0.1483798,0.01147078,-0.001101508,-0.0007678269,0.06612957,0.2473268,0.2317089,0.005322658,0,25.54089,0.00996998,0.0001834473,0.0002802204,0.004183654,2.355931e-05,0,1,0,2.84401e-05,0.4858871,0.9979858,1.531743,38859,1,183.11,14.524
8,1789982812.526,-0.1043626,-0.1182902,0.3240007,-0.01887475,-0.00174225,-0.1107143,-0.03611218,-0.00474505,-0.0001233355,-0.02551584,-0.0004518394,-0.01006572,-0.0005018855,0.2343069,-0.008678211,-0.01035056,-0.0004959358,-0.01196629,-0.01890576,-0.0157735,0.1679763,0.02735079,-0.001254054,-0.0009045101,0.08279186,0.2464434,0.1789654,0.005186832,0,25.54089,0.009410506,0.0001538613,0.0002605489,0.003809264,2.234408e-05,0,1,0,3.637861e-05,0.4717757,1.029251,1.541635,38237,1,199.75,16.11836
9,1789982815.045,-0.08277246,-0.09628807,0.2576255,-0.01706827,-0.001525805,-0.09249997,-0.02982054,-0.003936544,-0.0002307749,-0.02105315,-0.0003597735,-0.009480001,-0.0002897299,0.1640998,-0.006054276,-0.008500623,-0.000578914,-0.01057175,-0.01596266,-0.01475944,0.1337198,0.01774802,-0.001011086,-0.0007275766,0.0639811,0.2210799,0.2157676,0.00491962,0,25.54089,0.008664529,0.0001403166,0.0002444521,0.00336014,2.575292e-05,0,1,0,-4.46352e-05,0.4649606,0.9748585,1.537437,39129,1,223.84,17.75957
