step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789982871.211,-0.01202776,-0.01113767,0.03599999,-0.002265778,-0.0002495155,0,-0.003983115,-0.0005402612,0,-0.00340362,-5.138102e-05,-0.00211,-0.0001094042,0.020375,-0.001257952,-0.001687266,0,-0.0006984415,-0.001486204,-0.008099385,0.01915937,0,-0.0001287908,-0.0001268588,0.01048091,0.03748908,0.03399971,0.01452214,1e-06,25.54087,0.03470246,0.003962805,0.009677069,0.006540449,1.513195e-05,0,1,1e-06,-4.555207e-05,0.6782775,1.021023,1.530014,38534,0.9999974,13.09,1.205618
1,1789982873.706,-0.02286825,-0.02583595,0.07199996,-0.004303041,-0.0003167727,-0.005,-0.008208889,-0.001108462,0,-0.006151605,-0.000101228,-0.002012,-0.0002745992,0.04946001,-0.001904168,-0.001798827,-0.0004006551,-0.002565369,-0.004092669,-0.007421512,0.03773012,0.008472457,-0.0002684277,-0.000204985,0.01777851,0.0672432,0.05949105,0.00774381,1e-06,25.54082,0.02721954,0.003954233,0.009955322,0.005566176,1.775505e-05,0,1,1e-06,-0.000132524,0.7028918,0.9343178,1.525449,39964,0.9999952,39.68,3.356482
2,1789982876.203,-0.03522463,-0.03561671,0.1079999,-0.005176011,-0.0004967351,-0.04750001,-0.01228617,-0.001624166,0,-0.009011894,-0.000150782,-0.00351,-0.000271758,0.06242502,-0.002802453,-0.004201985,-0.002491701,-0.003989176,-0.005434101,-0.005870773,0.05609493,0,-0.0003931749,-0.0003130712,0.02331644,0.09019705,0.08239964,0.006471283,1e-06,25.5408,0.02588787,0.004008853,0.009998908,0.005408826,1.922976e-05,0,1,1e-06,-3.055885e-05,0.6351478,0.9511242,1.540321,39456,0.9999954,62.98,5.389407
3,1789982878.700,-0.04603274,-0.05158729,0.1439999,-0.009501743,-0.0006056274,-0.008750001,-0.01549322,-0.002016863,0,-0.0119171,-0.0002019739,-0.003470001,-0.0002204669,0.1122125,-0.003886583,-0.003517551,0,-0.004669438,-0.006544501,-0.009433981,0.07632039,0.0212846,-0.0005351687,-0.0003920134,0.03421433,0.1287984,0.1206374,0.006107935,1e-06,25.5408,0.02566858,0.004036601,0.0100162,0.005507844,1.600408e-05,0,1,1e-06,-1.272854e-05,0.5985367,0.9683123,1.515969,39570,0.9999942,86.6,7.686096
4,1789982881.231,-0.05767843,-0.06388624,0.1799999,-0.009988397,-0.0009390474,-0.02722223,-0.02153891,-0.002668649,0,-0.01535705,-0.0002515244,-0.006884445,-0.0004800329,0.1144778,-0.004683593,-0.006693789,-5.182781e-05,-0.007269795,-0.009251386,-0.01105157,0.09442191,0.01179754,-0.0007073836,-0.0004921603,0.0442769,0.1539313,0.1160905,0.005951846,1e-06,25.54078,0.02551512,0.004031922,0.01001646,0.005514899,1.983934e-05,0,1,1e-06,-6.798076e-05,0.5575942,0.9761376,1.548079,38944,0.9999927,112.04,9.424154
5,1789982883.757,-0.06876134,-0.07944493,0.216,-0.01353089,-0.001034481,-0.02571429,-0.02392522,-0.003393648,-0.0003013274,-0.01786812,-0.0003041205,-0.006002859,-0.0004658021,0.167007,-0.005784405,-0.00554292,0,-0.007283704,-0.01102443,-0.01588514,0.113163,0.02920834,-0.0007996064,-0.0006006818,0.05441591,0.1929722,0.1625424,0.005846554,1e-06,25.54075,0.02545234,0.004053325,0.0100021,0.005550368,2.074466e-05,0,1,1e-06,-4.302354e-05,0.5323625,0.9740617,1.544156,39037,0.999992,134.72,11.36392
6,1789982886.295,-0.08075389,-0.09146192,0.2520002,-0.01503377,-0.00110073,-0.05583332,-0.02746276,-0.003770289,-2.356728e-05,-0.02035388,-0.0003529687,-0.005926668,-0.0004300291,0.1933248,-0.006480858,-0.006056135,0,-0.008817008,-0.01193278,-0.01360024,0.1326837,0.03699892,-0.0009484063,-0.0006764571,0.05658367,0.2215281,0.2176927,0.005734056,1e-06,25.54075,0.02533482,0.004108275,0.01000192,0.005490565,1.982455e-05,0,1,1e-06,-3.910708e-05,0.502467,0.982074,1.54973,38827,0.9999928,157.9,13.21665
7,1789982888.813,-0.09157334,-0.1037624,0.2880004,-0.01801219,-0.001449398,-0.05666667,-0.03096725,-0.004245579,-0.002895768,-0.02264958,-0.0004004005,-0.01047334,-0.0005698398,0.1846665,-0.007259087,-0.01099589,-0.0009675006,-0.01048184,-0.01479995,-0.01402701,0.1514296,0.01416305,-0.001106795,-0.0008017204,0.06932288,0.2495803,0.2435078,0.005612561,1e-06,25.54077,0.02521736,0.004128323,0.01003607,0.0054404,2.050429e-05,0,1,1e-06,-3.299233e-05,0.4863824,0.9724753,1.538977,39142,0.9999925,180.44,14.33345
8,1789982891.354,-0.1043288,-0.118226,0.3240007,-0.01903757,-0.001667449,-0.1216667,-0.03491772,-0.004799429,-0.0001306896,-0.02492226,-0.0004534839,-0.008826668,-0.0004164272,0.2398164,-0.008683434,-0.00967663,0,-0.01137641,-0.01858196,-0.01379822,0.1680716,0.03186742,-0.00122867,-0.0009030079,0.08252698,0.2387203,0.1722312,0.00560756,1e-06,25.54074,0.02515749,0.004123198,0.0100573,0.00536943,1.942509e-05,0,1,1e-06,-4.180596e-05,0.4706739,0.9781628,1.556531,38783,0.9999906,202.32,16.49897
9,1789982893.899,-0.114518,-0.1347235,0.3600009,-0.02630464,-0.001991625,-0.1649999,-0.03723587,-0.00556596,-0.0004615498,-0.02817692,-0.0005061752,-0.0174,-0.0002099627,0.2183747,-0.008623207,-0.01557798,0,-0.0134302,-0.02081636,-0.01549848,0.1864516,0,-0.001378017,-0.001049006,0.09113894,0.3079265,0.2635501,0.005578506,1e-06,25.54071,0.02508414,0.00413653,0.01006473,0.005304372,1.984742e-05,0,1,1e-06,-6.32351e-05,0.465635,0.9833536,1.554924,38728,0.9999892,225.3,17.71949
