step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
1000,1789983246.782,-0.007367933,-0.006810981,0.03599999,-0.0007792112,-3.638375e-05,0,-0.002416749,-0.0002777426,0,-0.001746618,-5.319088e-05,-0.00177,-7.705754e-05,0.03337501,-0.0004023609,-0.001417173,0,-0.0007395868,-0.0005657891,-0.0009877182,0.02078385,0,-0.0001417405,-0.0001029663,0.01782621,0.03915613,0.04332175,0.0002042191,1e-05,21.27678,0.0002244263,8.523882e-07,8.041463e-07,1.855063e-05,0.02347254,0.6,0,1e-05,-0.002509561,0.03714612,1.028504,1.461611,39477,0.7955155,13.09,1.835646
1001,1789983249.153,-0.01453112,-0.01482296,0.07199996,-0.001696809,-8.367327e-05,-0.0075,-0.004737157,-0.0006370001,-1.653661e-05,-0.003655813,-0.0001000569,-0.001635,-0.0001329271,0.06999999,-0.001187803,-0.001121052,-0.0005603819,-0.001940137,-0.002067719,-0.001658631,0.04062104,0.01134213,-0.0003074783,-0.0002026501,0.03146531,0.0742127,0.0812417,0.0003009053,1e-05,21.27216,0.0003266202,7.446707e-07,8.119192e-07,2.41583e-05,0.02509361,0.95,0,1e-05,-0.002964651,0.03612803,0.8964629,1.441673,42043,0.7953289,38.09,5.334518
1002,1789983251.571,-0.0225498,-0.02229102,0.1079999,-0.002638796,-4.0871e-05,0,-0.007808601,-0.0008529824,-0.002214139,-0.005930107,-0.0001465735,-0.004120001,-0.0003106912,0.11345,-0.001768646,-0.004083081,0,-0.003401897,-0.002142114,-0.001701351,0.05940723,0,-0.0004518655,-0.0003220158,0.04750537,0.1089595,0.1287309,0.0003274342,1e-05,21.26811,0.0003503025,5.50734e-07,5.486693e-07,2.176897e-05,0.02513076,0.8,0,1e-05,-0.001894344,0.03137156,0.9127893,1.499189,40756,0.7951708,60,8.548159
1003,1789983254.053,-0.0277091,-0.02885304,0.1439999,-0.002874292,-0.0001486542,0,-0.008033577,-0.00112071,0,-0.005698023,-0.0001997854,-0.00305,-0.0001590888,0.1505624,-0.001722294,-0.002506798,0,-0.003025879,-0.00330073,-0.002365477,0.08332705,0.02267899,-0.0005904983,-0.0003232385,0.06924792,0.1435993,0.1755764,0.0003182833,1e-05,21.26449,0.0003410623,5.576179e-07,5.664866e-07,2.165495e-05,0.02224111,0.8,0,1e-05,-0.003667265,0.03984309,0.9812562,1.495548,39689,0.7950118,85.43,12.27244
1004,1789983256.471,-0.03627547,-0.03590792,0.1799999,-0.003979684,-0.0001277229,0,-0.01383469,-0.001445152,0,-0.009944278,-0.0002435829,-0.005782858,-0.000249413,0.1964498,-0.00249456,-0.004959494,-0.0009012168,-0.004962666,-0.004250377,-0.003747492,0.1014957,0.00807062,-0.00079831,-0.0005300094,0.08476566,0.1874754,0.2180216,0.0003225401,1e-05,21.26084,0.0003452123,5.46818e-07,5.574771e-07,2.156795e-05,0.02707374,0.9,0,1e-05,-0.003389516,0.04892965,0.9148996,1.496409,40767,0.7948614,110.17,15.68238
1005,1789983258.902,-0.04269334,-0.04379554,0.2159999,-0.005245846,-0.0001358385,0,-0.01366882,-0.001797247,-0.0006923471,-0.00975487,-0.0002962274,-0.0039,-0.0001853691,0.2302582,-0.002837635,-0.003459379,0,-0.005407292,-0.004806535,-0.003490467,0.1246337,0.03403679,-0.00088672,-0.0005239325,0.1044855,0.2200867,0.2654899,0.0003048237,1e-05,21.25721,0.0003279229,5.810689e-07,5.797662e-07,2.193831e-05,0.02591296,0.85,0,1e-05,-0.00288989,0.04521147,0.9077902,1.51704,40540,0.7946872,132.2,18.5629
1006,1789983261.353,-0.05035524,-0.05020722,0.2520002,-0.006491798,-0.0001958211,-0.007142859,-0.01572636,-0.00198532,-0.003095945,-0.01146854,-0.0003357812,-0.004891429,-0.0003135103,0.2638498,-0.003356472,-0.004556023,-0.003485083,-0.006272727,-0.007884046,-0.003864046,0.1435735,0.03399895,-0.001051907,-0.0006385784,0.118908,0.2590582,0.3084485,0.0003089825,1e-05,21.25335,0.0003312104,5.243291e-07,5.278855e-07,2.117569e-05,0.03132021,1,0,1e-05,-0.002769975,0.03801172,0.9328725,1.512234,40204,0.7945307,156.62,22.11293
1007,1789983263.787,-0.05814718,-0.05977662,0.2880004,-0.007865491,-0.000191427,0,-0.02268068,-0.002277228,-0.001046296,-0.01566871,-0.0003810882,-0.008068001,-0.0003602866,0.3170497,-0.003842332,-0.007721329,-0.0007130192,-0.007984056,-0.008145834,-0.005256401,0.1626529,0.01815697,-0.001238507,-0.0008108559,0.136774,0.2900386,0.3464782,0.0003049668,1e-05,21.24973,0.0003280522,5.762183e-07,5.878499e-07,2.192133e-05,0.03609796,1,0,1e-05,-0.003105739,0.02927333,0.924741,1.502942,40492,0.7943642,181.46,25.64309
1008,1789983266.276,-0.06673875,-0.06760761,0.3240007,-0.00878224,-0.0002209383,-0.0008333334,-0.02339473,-0.002475057,-0.0006205655,-0.0178762,-0.0004353831,-0.007480001,-0.0004027105,0.345008,-0.004869714,-0.007124358,-0.001142662,-0.008938286,-0.00982723,-0.005911767,0.1817104,0.03392911,-0.001447368,-0.0008916184,0.151435,0.3139786,0.3810613,0.0003064012,1e-05,21.24594,0.0003312404,6.131526e-07,6.206496e-07,2.360542e-05,0.03298079,1,0,1e-05,-0.003023735,0.04037729,0.9610879,1.521607,39595,0.7942111,204.65,28.91942
1009,1789983268.788,-0.07050987,-0.07678059,0.3600009,-0.01193395,-0.0004129688,-0.0025,-0.02921656,-0.002886353,0,-0.02221164,-0.0004564481,-0.01113,-0.0007106299,0.3883496,-0.005668401,-0.01384858,-0.002398598,-0.01205524,-0.01063901,-0.008579785,0.1961246,0,-0.001584758,-0.001133898,0.1574965,0.3299752,0.40092,0.0003108969,1e-05,21.24282,0.0003404382,7.005735e-07,6.739899e-07,2.816666e-05,0.04000829,1,0,1e-05,-0.002494378,0.04559106,0.9612145,1.543121,39253,0.7940917,227.3,31.95073
1010,1789983271.284,-0.07964416,-0.08030955,0.3960012,-0.01033374,-0.0003255596,0,-0.03314374,-0.003396657,0,-0.02552897,-0.0004924597,-0.01466,-0.0009712132,0.4291995,-0.006929477,-0.01508662,0,-0.01340679,-0.01329624,-0.01232435,0.2167855,0.006599732,-0.001706732,-0.00117095,0.1779503,0.3831124,0.4571031,0.0003144538,1e-05,21.23999,0.0003432922,7.101839e-07,6.916654e-07,2.743653e-05,0.04169913,1,0,1e-05,-0.001975711,0.03071401,0.9618826,1.528428,39474,0.7939638,250.88,34.96793
1011,1789983273.800,-0.08829703,-0.08701722,0.432001,-0.01223447,-0.0002692834,0,-0.02458055,-0.003255594,-4.947961e-05,-0.01900247,-0.0005718307,-0.006460001,-0.0004370311,0.4573748,-0.00569725,-0.005511707,-0.0009344001,-0.01064799,-0.009047429,-0.007165913,0.2475011,0.07678364,-0.001882409,-0.001093138,0.2021419,0.4225999,0.5285071,0.0003116998,1e-05,21.23659,0.0003430702,7.675718e-07,7.62011e-07,2.984082e-05,0.03672373,1,0,1e-05,-0.003031895,0.03001794,0.9621966,1.540262,39282,0.793797,274.8,38.92304
1012,1789983276.318,-0.09423359,-0.09562199,0.4680006,-0.01244879,-0.0001766142,0,-0.03487349,-0.003707458,0,-0.02418525,-0.0005798158,-0.01363,-0.0005622546,0.530075,-0.006683444,-0.01335473,0,-0.0129368,-0.01598225,-0.007835085,0.2628878,0.01472787,-0.002016842,-0.001376987,0.21918,0.4481419,0.5757476,0.0003264055,1e-05,21.2323,0.0003615853,8.18408e-07,8.10253e-07,3.355114e-05,0.04710095,1,0,1e-05,-0.003834471,0.02970337,0.9676554,1.544267,39134,0.7935943,299.42,41.91327
1013,1789983278.877,-0.1016602,-0.104026,0.5040003,-0.01342811,-0.0003076037,0,-0.03128187,-0.00400734,-0.0008150918,-0.02238504,-0.0006531192,-0.00849,-0.0005359044,0.5362584,-0.007110428,-0.007443074,-0.0005648787,-0.01209033,-0.01189493,-0.007157608,0.2879465,0.08510854,-0.002150353,-0.00123887,0.2452492,0.4871622,0.6085424,0.000324657,1e-05,21.22788,0.0003624692,8.870538e-07,8.73615e-07,3.60515e-05,0.04676342,1,0,1e-05,-0.003411284,0.03338508,1.001634,1.550732,38514,0.793434,325.4,45.98584
