step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
4000,1789983378.073,-0.003714896,-0.004658802,0.03599999,-0.0003739784,-4.281533e-05,0,-0.001342357,-0.0003490177,0,-0.001204625,-5.200211e-05,-0.00123,-4.861653e-05,0.04215001,-0.0003632357,-0.001345495,0,-0.0007813009,-0.0005890804,-0.0006639556,0.01960722,0,-0.000122606,-0.000114057,0.02024187,0.04310548,0.04517438,8.963884e-05,1e-06,14.46528,9.557636e-05,1.574746e-07,2.495047e-07,5.53054e-06,0.06730086,1,0,1e-06,0.00674675,0.03107709,0.9896891,1.533882,38954,0.5529417,13.09,2.065348
4001,1789983380.534,-0.00686628,-0.009450253,0.07199996,-0.0008491671,-8.79201e-05,0,-0.002031402,-0.0007050561,0,-0.002156233,-0.0001002475,-0.001075,-0.0001012036,0.08364998,-0.0007760305,-0.001181314,0,-0.001700094,-0.001302158,-0.0009902415,0.03844898,0.01086498,-0.0002629392,-0.0001629081,0.0399351,0.08405328,0.08608337,8.247921e-05,1e-06,14.4653,8.724671e-05,2.756008e-07,3.167704e-07,4.175136e-06,0.08111841,1,0,1e-06,0.008394328,0.02583336,0.8922584,1.531706,40555,0.552942,38.09,6.046883
4002,1789983382.976,-0.01045581,-0.01417893,0.1079999,-0.001446476,-6.870696e-05,0,-0.004345847,-0.0008652994,0,-0.004390599,-0.0001440279,-0.00276,-0.0001389298,0.1277499,-0.00136265,-0.003887881,0,-0.003088868,-0.001394898,-0.001295208,0.0573128,0,-0.000391079,-0.0003111335,0.05940091,0.1208629,0.1345913,7.509558e-05,1e-06,14.46526,7.861331e-05,1.006112e-07,1.889478e-07,3.228172e-06,0.06139231,1,0,1e-06,-0.0001568792,0.03779459,0.9113221,1.524183,40362,0.5529417,60,9.651193
4003,1789983385.439,-0.01274384,-0.01860764,0.1439999,-0.001329725,-0.0001027551,0,-0.003676633,-0.001154239,0,-0.003503851,-0.0002004181,-0.00188,-8.485466e-05,0.1768874,-0.001342537,-0.002137635,0,-0.003102202,-0.002911724,-0.001027624,0.07671638,0.02166044,-0.0005216049,-0.0002771516,0.0790834,0.1687843,0.1816909,6.73149e-05,1e-06,14.46531,7.122874e-05,6.608842e-08,5.839e-08,3.789363e-06,0.05771198,1,0,1e-06,-0.001063935,0.03265711,0.9179106,1.537977,40027,0.5529445,85.36,13.79005
4004,1789983387.918,-0.01686901,-0.02298767,0.1799999,-0.001905283,-0.0001038279,0,-0.007203837,-0.001418979,-4.885538e-06,-0.006813709,-0.0002522138,-0.004105715,-0.0001100617,0.220407,-0.001772298,-0.004961943,-0.0002081721,-0.004972329,-0.003817578,-0.003286841,0.09415319,0.007694693,-0.0006616827,-0.0004711903,0.09967159,0.2082049,0.2253949,6.924338e-05,1e-06,14.46529,7.365009e-05,8.788241e-08,6.249449e-08,4.256332e-06,0.06598638,1,0,1e-06,-0.001048426,0.03156365,0.9179919,1.55432,39761,0.5529387,110.4,17.53178
4005,1789983390.418,-0.01931188,-0.02783412,0.2159999,-0.00245656,-0.0001209341,0,-0.006010983,-0.001873984,0,-0.005764823,-0.0003001947,-0.002833334,-0.0001183816,0.2645998,-0.002230477,-0.003363176,-7.627048e-06,-0.004840738,-0.003413729,-0.002548821,0.1150328,0.0325703,-0.0007882479,-0.0004389732,0.1193395,0.2489947,0.2719548,6.268443e-05,1e-06,14.46507,6.626487e-05,3.065764e-08,4.036425e-08,3.509414e-06,0.04744823,1,0,1e-06,-0.001061177,0.02008117,0.9290655,1.565092,39413,0.5529312,131.68,21.23225
4006,1789983392.912,-0.02274826,-0.03203378,0.2520002,-0.002697154,-0.0001919033,0,-0.006991531,-0.002178576,-0.0001673218,-0.006487655,-0.0003476722,-0.00283,-0.0001140773,0.3111914,-0.00235009,-0.003719411,0,-0.005626669,-0.005159113,-0.00219302,0.1328033,0.03776079,-0.0009136484,-0.0004886304,0.1409452,0.2929466,0.3202554,6.554388e-05,1e-06,14.46483,7.025448e-05,3.383158e-08,4.014507e-08,4.636627e-06,0.06276389,1,0,1e-06,-0.001043539,0.02325199,0.9254131,1.563123,39502,0.5529227,156.39,25.11001
4007,1789983395.424,-0.02688882,-0.03856579,0.2880004,-0.003450037,-0.0001751712,0,-0.01135142,-0.002446112,-0.0003264032,-0.01083996,-0.0004026829,-0.006008001,-0.0001390804,0.3543597,-0.00289027,-0.007408354,-6.578507e-05,-0.008058375,-0.007186986,-0.00501927,0.1503243,0.0173192,-0.001068237,-0.0007428814,0.1582759,0.3216734,0.3602587,6.542249e-05,1e-06,14.46457,7.131703e-05,4.342793e-08,4.937295e-08,5.80174e-06,0.07454628,1,0,1e-06,-0.001194057,0.02210467,0.9422078,1.555766,39353,0.552916,181.46,29.04144
4008,1789983397.950,-0.03121318,-0.04279922,0.3240007,-0.004279925,-0.0001968567,0,-0.01249193,-0.002721328,-0.004496618,-0.01303859,-0.0004458525,-0.00544,-0.0002891299,0.3972247,-0.003691762,-0.006643022,-0.0004094222,-0.008742935,-0.009046134,-0.004754087,0.1677718,0.03242121,-0.001204635,-0.0007775654,0.1753309,0.3613178,0.4017193,6.543141e-05,1e-06,14.46437,7.434102e-05,4.83284e-08,5.662111e-08,8.804662e-06,0.0651698,1,0,1e-06,-0.001032907,0.0213198,0.9536583,1.56585,39017,0.5529099,204.61,32.83719
4009,1789983400.500,-0.03375564,-0.04967779,0.3600009,-0.004694647,-0.0002219273,0,-0.01621905,-0.002881997,-0.0006835788,-0.01671573,-0.0004984081,-0.009340001,-0.0005293795,0.4439248,-0.004407833,-0.01330256,-0.0003041785,-0.01210632,-0.01241277,-0.009613456,0.1834625,0,-0.001333583,-0.001073336,0.1904579,0.3793881,0.4532716,6.537655e-05,1e-06,14.46415,7.942555e-05,5.098576e-08,5.942099e-08,1.393858e-05,0.06712583,1,0,1e-06,-0.0009108733,0.02216804,0.9770408,1.56525,38667,0.5529025,228.43,36.56618
