step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
10000,1789983811.022,-0.005284376,-0.009624447,0.03599999,-0.0006094595,-5.071282e-05,0,-0.00162472,-0.0001619553,0,-0.001325967,-4.61126e-05,-0.0007900001,-9.050526e-05,0.04280001,-0.0004371309,-0.001014739,0,-0.0007463426,-0.0006993299,-0.0007229114,0.0199011,0,-0.0001803843,-0.0001579197,0.0200861,0.0363804,0.04326161,0.0001032742,0,16.96692,0.0002256929,2.902095e-07,3.146924e-05,9.06592e-05,0.3332024,1,0,0.3404428,0,0.006097966,0.05044924,1.074983,1.486103,38383,0.6309777,13.09,1.913586
10001,1789983813.511,-0.0092809,-0.01398055,0.07199996,-0.001155825,-9.177569e-05,0,-0.00287148,-0.00056614,0,-0.002311858,-9.212601e-05,-0.001125,-9.251557e-05,0.08186248,-0.001009397,-0.001115722,0,-0.001617091,-0.001485316,-0.00115643,0.04038203,0.01120218,-0.0003219346,-0.000212933,0.03782892,0.07436284,0.08494292,0.0001481619,0,16.96692,0.0002499384,2.781602e-07,7.760577e-05,2.389264e-05,1.02163,1,0,1.103634,0,0.05531329,0.03425773,0.9244766,1.523517,40156,0.6309777,38.09,5.638197
10002,1789983815.994,-0.01418686,-0.01979583,0.1079999,-0.001566241,-8.823757e-05,0,-0.005791796,-0.001077539,0,-0.004810023,-0.0001378955,-0.00256,-0.0001650076,0.1303499,-0.001337926,-0.00353271,0,-0.002738268,-0.002435447,-0.002141027,0.05960023,0,-0.0004396804,-0.0003601403,0.05787542,0.1073323,0.1289409,0.0001093495,0,16.96692,0.000204763,1.633224e-07,8.020244e-05,1.504777e-05,1.041777,1,0,0.8780648,0,0.009260953,0.03532101,0.9345746,1.542269,39689,0.6309777,60,9.028857
10003,1789983818.499,-0.01790688,-0.02623025,0.1439999,-0.002542725,-0.0001566959,0,-0.004554536,-0.001273942,0,-0.003614946,-0.0001727856,-0.00207,-0.0001204623,0.1682749,-0.001623309,-0.00223025,0,-0.003045843,-0.003335548,-0.001590465,0.0810964,0.02242397,-0.0005774336,-0.0003641908,0.07862374,0.1395681,0.1745943,0.0001040611,0,16.96692,0.0002019568,9.093248e-08,8.575836e-05,1.204638e-05,1.092191,1,0,1.10911,0,0.003767091,0.02853119,0.9455025,1.553103,39343,0.6309777,85.29,12.89841
10004,1789983821.002,-0.02324544,-0.03115835,0.1799999,-0.002955094,-0.0002216303,0,-0.007954348,-0.00165571,-3.203801e-05,-0.006389876,-0.0002198522,-0.004865715,-0.0002151658,0.2148356,-0.002098647,-0.00456676,0,-0.004357628,-0.004003474,-0.00339861,0.09807833,0.007977488,-0.0008406861,-0.0006923202,0.09268652,0.1772767,0.2141754,0.0001045277,0,16.96692,0.0002147471,8.089156e-08,9.800623e-05,1.213225e-05,1.236343,1,0,1.120119,0,0.0009826106,0.04108279,0.9487102,1.547231,39385,0.6309777,110.1,16.36004
10005,1789983823.516,-0.02726731,-0.03743502,0.2159999,-0.003857973,-0.000366509,0,-0.007135424,-0.002043406,-0.0001549101,-0.005901456,-0.0002649354,-0.003406667,-0.0001674991,0.2439081,-0.002582768,-0.003031401,0,-0.004352145,-0.005083621,-0.003296649,0.1193863,0.03330246,-0.001069834,-0.0006389935,0.1096337,0.1977368,0.2647941,0.000104359,0,16.96692,0.0002259315,8.134222e-08,0.0001069871,1.450414e-05,1.187081,1,0,1.316818,0,0.001944368,0.04072591,0.96229,1.539466,39293,0.6309777,131.88,19.53498
10006,1789983826.030,-0.02981161,-0.04326008,0.2520002,-0.003731974,-0.0004134187,0,-0.008180752,-0.002383893,-0.0002160865,-0.006497161,-0.0003115852,-0.003403333,-0.0001660743,0.2925581,-0.002804356,-0.00386373,0,-0.005093134,-0.006292549,-0.002988107,0.1400391,0.03906454,-0.001033382,-0.0006509385,0.1305035,0.23292,0.3126517,0.0001078017,0,16.96692,0.0002436213,8.647101e-08,0.0001174503,1.828273e-05,1.233271,1,0,1.226557,0,0.001042458,0.04510577,0.9670978,1.540476,39202,0.6309777,156.58,23.09452
10007,1789983828.591,-0.0345387,-0.05232267,0.2880004,-0.004762452,-0.0003724058,0,-0.01222937,-0.002400976,-0.02655738,-0.009978635,-0.0003237937,-0.006488001,-0.0002993681,0.3366797,-0.003352574,-0.007298737,0,-0.007300287,-0.009303513,-0.004386405,0.1546203,0.01754705,-0.001428668,-0.001066844,0.1463113,0.2603693,0.342226,0.0001170485,0,16.96692,0.0002664957,1.043248e-07,0.0001262465,2.309632e-05,1.311569,1,0,1.711022,0,0.0007980362,0.05178488,0.9863427,1.561779,38578,0.6309777,181.46,26.44533
10008,1789983831.195,-0.03917874,-0.05554952,0.3240007,-0.005458915,-0.0004152643,0,-0.01283333,-0.00305273,-0.01037097,-0.01095791,-0.0003898048,-0.006013334,-0.0003069767,0.3760997,-0.003973986,-0.007198613,0,-0.008005021,-0.01100116,-0.005824709,0.1728585,0.03329675,-0.001571147,-0.001120477,0.1620476,0.2886282,0.3759774,0.0001264932,0,16.96692,0.0002856686,1.231029e-07,0.0001359066,2.31457e-05,1.122051,1,0,0.9385642,0,0.0005086889,0.05364402,1.020888,1.576504,37847,0.6309777,204.62,29.87296
10009,1789983833.784,-0.04603162,-0.06356296,0.3600009,-0.007966632,-0.0005155929,-0.0025,-0.01925774,-0.003109269,-0.001483368,-0.01638826,-0.0004326125,-0.009610001,-0.0006517658,0.4266997,-0.004890259,-0.01228968,0,-0.00981305,-0.01363376,-0.009637032,0.1850598,0,-0.001688726,-0.001372324,0.1735857,0.3418395,0.4004733,0.0001380719,0,16.96692,0.0003101795,1.328955e-07,0.0001436632,2.831152e-05,1.187734,1,0,0.9213114,0,6.031911e-05,0.08605885,1.012303,1.570906,38054,0.6309777,228.62,33.26929
