step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
4000,1789986284.530,-0.003714896,-0.004658802,0.03599999,-0.0003739784,-4.281533e-05,0,-0.001342357,-0.0003490177,0,-0.001204625,-5.200211e-05,-0.00123,-4.861653e-05,0.04215001,-0.0003632357,-0.001345495,0,-0.0007813009,-0.0005890804,-0.0006639556,0.01960722,0,-0.000122606,-0.000114057,0.02024187,0.04310548,0.04517438,8.635561e-05,0,14.46529,9.046888e-05,1.584388e-07,2.507783e-07,3.704044e-06,0.02319879,0.6,0.1,0,0,0.01072698,0.03120831,1.032981,1.460624,39422,0.5529418,13.09,2.065348
4001,1789986286.939,-0.006853001,-0.009462159,0.07199996,-0.0008528253,-8.930332e-05,0,-0.002025959,-0.0007060447,0,-0.002167772,-0.0001009553,-0.001075,-0.0001011776,0.08332498,-0.0007677772,-0.001187437,0,-0.001698829,-0.001264539,-0.000996165,0.03846269,0.01086817,-0.0002656436,-0.0001625647,0.03998085,0.08387075,0.08608692,7.55624e-05,0,14.46529,7.961051e-05,3.037817e-07,3.533616e-07,3.390966e-06,0.03696474,0.75,0.05,0,0,0.01346995,0.02640505,0.8840876,1.490016,41406,0.5529418,38.09,6.045285
4002,1789986289.355,-0.01049475,-0.01419481,0.1079999,-0.00141708,-6.860374e-05,0,-0.004394095,-0.0008767875,0,-0.004456747,-0.0001449089,-0.00276,-0.0001377287,0.1270999,-0.001333797,-0.003887386,0,-0.003103545,-0.001343302,-0.001294476,0.0573548,0,-0.0003926459,-0.0003135756,0.05918372,0.1205966,0.134413,6.860992e-05,0,14.46529,7.191229e-05,1.403923e-07,2.928568e-07,2.869123e-06,0.006031242,0,0.2,0,0,0.001703332,0.03786958,0.9115944,1.498779,40783,0.5529418,60,9.650112
4003,1789986291.768,-0.012755,-0.01862209,0.1439999,-0.001325542,-0.0001063294,0,-0.003704022,-0.001201494,0,-0.003532039,-0.0002011015,-0.00188,-8.435902e-05,0.1762374,-0.001352328,-0.002162492,0,-0.003091708,-0.002917952,-0.001035724,0.07677889,0.02166941,-0.000522863,-0.0002765317,0.07937537,0.1682652,0.1819857,6.204557e-05,0,14.46529,6.514166e-05,7.625567e-08,7.676292e-08,2.943068e-06,0.001981171,0,1,0,0,0.000267488,0.03092273,0.9186578,1.488199,40843,0.5529418,85.37,13.78839
4004,1789986294.212,-0.01687917,-0.02298861,0.1799999,-0.00191516,-0.000106215,0,-0.007224956,-0.001429126,-1.686181e-05,-0.006866915,-0.0002519838,-0.004088572,-0.0001140113,0.2202213,-0.00178434,-0.004987305,-0.0002080626,-0.004952698,-0.003745749,-0.003264637,0.09429154,0.007699703,-0.0006627966,-0.0004730253,0.09958604,0.2077939,0.2251424,6.245996e-05,0,14.46529,6.582605e-05,1.00285e-07,7.29016e-08,3.192901e-06,0.0006353255,0,1,0,0,-0.0001752874,0.0286884,0.9265666,1.511252,40324,0.5529418,110.45,17.51639
4005,1789986296.668,-0.01935457,-0.02781113,0.2159999,-0.002428901,-0.0001222147,0,-0.005998326,-0.001820879,0,-0.005822711,-0.0003014255,-0.002826667,-0.0001208267,0.2641665,-0.002167368,-0.003375933,-5.94698e-06,-0.004838039,-0.003438761,-0.002508651,0.1151512,0.03260282,-0.0007935517,-0.0004381028,0.1190199,0.2474887,0.2716497,5.666992e-05,0,14.46529,5.934542e-05,3.033362e-08,3.968073e-08,2.605479e-06,0.0004327792,0,1,0,0,9.205315e-05,0.02078735,0.9337599,1.516133,40125,0.5529418,131.68,21.20949
4006,1789986299.113,-0.02278935,-0.03201805,0.2520002,-0.002668667,-0.0001927686,0,-0.007071221,-0.00216313,-7.407805e-05,-0.006578218,-0.0003491704,-0.002816667,-0.0001151496,0.3117331,-0.00232231,-0.00373419,0,-0.005634928,-0.005212526,-0.002221337,0.1330646,0.037795,-0.0009089772,-0.0004917277,0.1408462,0.2906294,0.320249,5.938506e-05,0,14.46529,6.236984e-05,3.272993e-08,3.912664e-08,2.91292e-06,0.0004689531,0,1,0,0,9.484961e-05,0.02360433,0.9269147,1.511146,40320,0.5529418,156.39,25.06878
4007,1789986301.587,-0.02697318,-0.03857164,0.2880004,-0.003448963,-0.0001786938,-0.001,-0.01148787,-0.002387818,-0.0001660147,-0.01089331,-0.0004050254,-0.005984,-0.0001360549,0.3542297,-0.002893348,-0.007404116,-8.288895e-05,-0.008060157,-0.007223207,-0.005002521,0.1506316,0.01736185,-0.001066865,-0.0007428505,0.158534,0.3190979,0.3597446,5.710701e-05,0,14.46529,6.08471e-05,4.067541e-08,4.978457e-08,3.649632e-06,0.0003856162,0,1,0,0,1.350723e-05,0.02254171,0.9367332,1.531437,39828,0.5529418,181.46,28.97987
4008,1789986304.074,-0.03128281,-0.04272367,0.3240007,-0.00423544,-0.0002095888,0,-0.01236106,-0.002732522,-0.004206199,-0.01301525,-0.000448005,-0.005606668,-0.0002738489,0.3962497,-0.003636517,-0.006663268,-0.0003956536,-0.00877844,-0.009012077,-0.004753793,0.1679644,0.03245179,-0.001196533,-0.0007776734,0.1755572,0.3581605,0.4008294,5.932867e-05,0,14.46529,6.385291e-05,4.491276e-08,5.491478e-08,4.424413e-06,0.0004649582,0,1,0,0,6.113257e-05,0.02203699,0.9456074,1.535136,39626,0.5529418,204.61,32.76281
4009,1789986306.568,-0.03394434,-0.04953809,0.3600009,-0.004757015,-0.0002383899,0,-0.016004,-0.002836255,-0.0006465578,-0.01694384,-0.0004989079,-0.00932,-0.0005355789,0.4442497,-0.004440458,-0.01340913,-0.0002327887,-0.01220533,-0.01264402,-0.009363441,0.1834219,0,-0.001342632,-0.001075269,0.1888104,0.3759299,0.4537599,5.969299e-05,0,14.46529,6.521212e-05,4.97015e-08,5.990925e-08,5.409525e-06,0.0005754738,0,1,0,0,0.0001174118,0.02304248,0.9520309,1.535643,39516,0.5529418,228.43,36.46195
