step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789986329.000,-0.01202776,-0.01113767,0.03599999,-0.002265778,-0.0002495155,0,-0.003983115,-0.0005402612,0,-0.00340362,-5.138102e-05,-0.00211,-0.0001094042,0.020375,-0.001257952,-0.001687266,0,-0.0006984415,-0.001486204,-0.008099385,0.01915937,0,-0.0001287908,-0.0001268588,0.01048091,0.03748908,0.03399971,0.01463061,0.001,25.53124,0.03429763,0.004005574,0.009198902,0.006462539,0.01140149,0,0.05,0,0.001,-0.01231123,0.4450151,1.058656,1.521828,38095,1.000358,13.09,1.205618
1,1789986331.473,-0.02322296,-0.02637442,0.07199996,-0.004547341,-0.0003528198,-0.005,-0.008081703,-0.001125069,0,-0.006084047,-0.0001014754,-0.001775,-0.0002935281,0.052125,-0.002020636,-0.001699001,0,-0.002477155,-0.004386438,-0.0078141,0.03761954,0.01059723,-0.0002665282,-0.0002051912,0.01916761,0.06930934,0.05661253,0.007747247,0.0004444444,25.56768,0.02719539,0.004803988,0.009162816,0.005481338,0.01638882,0.15,0.1,0,0.0004444444,-0.02133295,0.5160165,0.9303882,1.505904,40349,1.001604,39.5,3.358576
2,1789986333.996,-0.03332046,-0.03842446,0.1079999,-0.006103014,-0.0005773813,-0.035,-0.01292792,-0.001619098,-0.004421591,-0.009127166,-0.0001537728,-0.00458,-0.000439636,0.06047501,-0.002784467,-0.004361374,-0.0004087272,-0.004856561,-0.005994515,-0.008537113,0.05625032,0,-0.0004115501,-0.0003230568,0.02790634,0.0809892,0.1129068,0.006432409,0.0001975309,25.56983,0.02492043,0.004864715,0.008294496,0.005328807,0.01445218,0.25,0.2,0,0.0001975309,-0.02206656,0.4372485,0.9618442,1.555755,39046,1.002182,62.7,5.367771
3,1789986336.509,-0.04572868,-0.05160883,0.1439999,-0.00976131,-0.0006992989,-0.011,-0.01718286,-0.002103754,0,-0.01277594,-0.0002025813,-0.003144,-0.0003030686,0.10893,-0.00384674,-0.002806272,0,-0.005399718,-0.006916524,-0.009884763,0.07598191,0.02548686,-0.0005636231,-0.0003923392,0.03574165,0.125109,0.1228988,0.00607607,0.001,25.57617,0.02367859,0.00455675,0.007654509,0.00539126,0.01129458,0,0.25,0,0.001,-0.01992517,0.4035626,0.9674385,1.538247,39232,1.001513,86.79,7.6633
4,1789986339.064,-0.05852654,-0.06397545,0.1799999,-0.01062797,-0.0009501762,-0.02222223,-0.02171924,-0.002713102,-3.054354e-05,-0.01542947,-0.0002528585,-0.006680001,-0.0005029039,0.1195333,-0.004725136,-0.006718287,-0.0006356215,-0.006943531,-0.009034736,-0.01145239,0.0944033,0.01171363,-0.000704735,-0.0005142455,0.04401819,0.1545857,0.1255551,0.00598235,8.779149e-05,25.56804,0.02411652,0.004468607,0.008455952,0.005209611,0.01521748,0.35,0.1,0,8.779149e-05,-0.02468279,0.2779752,0.9928398,1.55547,38576,1.001706,111.89,9.483404
5,1789986341.607,-0.06868222,-0.079174,0.2159999,-0.01304393,-0.001017473,-0.015625,-0.02495704,-0.003316703,-0.0006660355,-0.01840068,-0.0003043937,-0.005395002,-0.0005402271,0.1668561,-0.005667428,-0.004883454,0,-0.007647868,-0.01032212,-0.01606208,0.1136112,0.03362402,-0.0008263171,-0.0005960388,0.05761581,0.1948269,0.168944,0.005824763,0.0006666667,25.57117,0.02164494,0.003714063,0.007121476,0.004984641,0.009334167,0,0.3,0,0.0006666667,-0.01786828,0.2968556,0.9794321,1.557044,38756,1.001538,134.56,11.32636
6,1789986344.154,-0.08137465,-0.09276007,0.2520002,-0.01469235,-0.001106719,-0.051875,-0.02868101,-0.00376159,-7.653177e-05,-0.02064037,-0.0003517419,-0.006707501,-0.0004705317,0.1837373,-0.006393378,-0.006626107,-3.505156e-05,-0.00929994,-0.01170848,-0.01296668,0.1327293,0.03104903,-0.00095811,-0.0006741714,0.06048701,0.2179045,0.1972625,0.005595838,3.901844e-05,25.56688,0.02000481,0.003421853,0.006158132,0.004828991,0.01663316,0.45,0.15,0,3.901844e-05,-0.02418161,0.2558115,0.9847944,1.555939,38691,1.001701,157.19,13.16883
7,1789986346.716,-0.08089211,-0.09038584,0.253364,-0.01588254,-0.001286776,-0.02863637,-0.03039571,-0.003756909,-0.004837728,-0.02139568,-0.0003536153,-0.008449093,-0.0006390171,0.1628498,-0.006144905,-0.008964742,-0.001063361,-0.01040447,-0.01355013,-0.01371366,0.1335413,0.01794685,-0.0009970445,-0.0007042507,0.06140847,0.2218642,0.1997435,0.005471245,0.0004444444,25.5675,0.01842837,0.00298578,0.005453014,0.004518328,0.008564514,0,0.35,0,0.0004444444,-0.0149357,0.2723055,0.9845955,1.570489,38473,1.001152,180.07,14.57781
8,1789986349.302,-0.1050233,-0.1177167,0.3240007,-0.0188523,-0.001541423,-0.05714286,-0.03493378,-0.004766315,-0.0001120196,-0.02517251,-0.000452869,-0.007448572,-0.0004718305,0.2440569,-0.008573926,-0.008914812,-0.001360222,-0.01162839,-0.01642431,-0.01395687,0.1695366,0.03883308,-0.001245055,-0.0008935549,0.08370854,0.2438764,0.1958329,0.005484553,0.0002962963,25.54662,0.01749148,0.002508944,0.00522109,0.004276898,0.01489628,0.15,0.15,0,0.0002962963,-0.02332927,0.205441,0.9958544,1.581202,38145,1.000185,205.46,17.38348
9,1789986351.858,-0.1155804,-0.1347314,0.3600009,-0.02464806,-0.002011358,-0.1725,-0.03764113,-0.005534166,-0.0004615498,-0.02793308,-0.0005039205,-0.01878,-0.0002302441,0.2180497,-0.008651141,-0.01543857,0,-0.01343857,-0.01828432,-0.01601664,0.1868793,0,-0.001371622,-0.00106911,0.09287404,0.3048453,0.2644315,0.005478161,0.0006666667,25.5418,0.01635931,0.002301107,0.00456439,0.004015658,0.01121024,0,0.15,0,0.0006666667,-0.02208224,0.2061605,0.9774737,1.571796,38561,0.9999206,223.95,18.13229
