step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1789988489.326,-0.009244716,-0.01275372,0.03299999,-0.002827444,-0.0001274991,0,-0.004461681,-0.0005053597,0,-0.003417426,-4.869169e-05,-0.00258,-0.0001369983,0.0154,-0.001150339,-0.001507306,0,-0.000805336,-0.001554454,-0.005195124,0.01748273,0,-0.0001150189,-9.30805e-05,0.01147319,0.0348661,0.02836048,0.01455349,0.0001316872,25.54473,0.03468094,0.003896497,0.009623359,0.006607593,0.01565899,0.25,0.05,0,0.0001316872,-0.02359614,0.4578153,0.5934525,0.4375112,23837,1.001031,13.11765,1.236644
1,1789988490.206,-0.02206331,-0.02770457,0.07199996,-0.005797373,-0.0004707533,0,-0.00865043,-0.001262823,0,-0.00670929,-0.0001051819,0,-0.0002317038,0.05700001,-0.002031384,0,0,-0.002655288,-0.0047744,-0.01318534,0.03710138,0.02108313,-0.0002727747,-0.0002159205,0.01870288,0.05765913,0.07094888,0.007904687,1.734153e-05,25.56348,0.02739615,0.004824042,0.009183306,0.005484115,0.01370578,0.4,0.2,0,1.734153e-05,-0.03255129,0.5188258,0.4842923,0.3592193,29135,1.001385,29.24,2.520128
2,1789988491.059,-0.03701138,-0.04034005,0.1064999,-0.006635399,-0.0005655061,-0.04500001,-0.01251196,-0.001617685,0,-0.009452051,-0.000153067,-0.00448,-7.658963e-05,0.06790002,-0.002813676,-0.004530324,0,-0.003895727,-0.006089799,-0.008609846,0.05475156,0,-0.0003923683,-0.0003156118,0.02908177,0.09552669,0.01494591,0.006677837,0.0001316872,25.56596,0.02358405,0.004508212,0.007183007,0.005214991,0.009005998,0.1,0.4,0,0.0001316872,-0.02197368,0.4416691,0.4862807,0.3598533,29045,1.001488,40.57317,3.407958
3,1789988491.915,-0.04913977,-0.05008654,0.1439999,-0.01068911,-0.0006562817,0,-0.02109133,-0.002131284,0,-0.01437636,-0.0002028825,-0.00349,-0.0006386318,0.103275,-0.003557882,-0.003535886,-0.007447977,-0.006508957,-0.00723808,-0.01245787,0.07562159,0.02123301,-0.0006029834,-0.000380686,0.03282383,0.1162216,0.0968034,0.006126937,2.601229e-05,25.56507,0.02149912,0.003487512,0.006473244,0.005411429,0.01401228,0.35,0.2,0,2.601229e-05,-0.03122972,0.410134,0.488704,0.3617549,28897,1.001175,55.98,4.862489
4,1789988492.770,-0.05631264,-0.06489562,0.1799999,-0.01013742,-0.001011573,-0.03750001,-0.02296082,-0.002552211,0,-0.01577471,-0.0002521647,0,-0.0004193062,0.1558249,-0.003995033,0,0,-0.007362163,-0.009194084,-0.01627731,0.09298872,0.05279512,-0.0007284589,-0.000519191,0.04249121,0.1622378,0.1846118,0.006055655,0.0001316872,25.56184,0.01944796,0.003030329,0.004988984,0.005372989,0.01105277,0.1,0.35,0,0.0001316872,-0.02499607,0.3277738,0.4979181,0.3510287,28948,1.001218,81.36,7.041917
5,1789988493.646,-0.06953211,-0.07615505,0.2159999,-0.01184082,-0.0008809221,-0.005,-0.02719084,-0.003132508,0,-0.01852786,-0.0003027332,0,-0.0006817194,0.1872498,-0.005445163,0,0,-0.008289615,-0.009570016,-0.01492095,0.1131905,0.06381163,-0.0008242694,-0.0005526523,0.04582629,0.220275,0.2313735,0.005829102,1.156102e-05,25.56292,0.01811843,0.002495883,0.004514698,0.005278744,0.01460731,0.45,0.2,0,1.156102e-05,-0.03153481,0.3036218,0.509835,0.3599436,28255,1.00124,102.73,8.833863
6,1789988494.516,-0.08269605,-0.08945157,0.2520002,-0.01418173,-0.001344262,-0.05333332,-0.03170235,-0.003820832,-0.01320711,-0.02139869,-0.0003518974,-0.01118667,-0.0005453173,0.1455499,-0.006571067,-0.01188696,-0.004671202,-0.01033346,-0.01333436,-0.0139564,0.1327699,0,-0.0009702853,-0.0007078586,0.05020922,0.2064378,0.1720728,0.005635264,8.779149e-05,25.56243,0.01640112,0.001994328,0.003517272,0.005254253,0.01030055,0.15,0.45,0,8.779149e-05,-0.02050126,0.3218291,0.4993949,0.3645692,28445,1.001201,128.85,10.90537
7,1789988495.370,-0.09250441,-0.1052795,0.2880004,-0.01774583,-0.001564785,-0.05000001,-0.03225137,-0.004067196,0,-0.02348945,-0.0003973719,-0.01466,-0.0006581607,0.1753498,-0.007591373,-0.01335544,0,-0.01078501,-0.01727165,-0.01357884,0.1499139,0,-0.001114436,-0.0008344373,0.06470411,0.2185999,0.1704984,0.005523662,1e-05,25.56166,0.01522939,0.001625537,0.002880039,0.005200152,0.01475383,0.5,0.25,0,1e-05,-0.02737256,0.3381009,0.4934587,0.3542545,28990,1.001163,156.14,12.93025
8,1789988496.235,-0.1086752,-0.1131319,0.3240007,-0.01731423,-0.001867528,-0.1075,-0.0348602,-0.004786134,0,-0.02478909,-0.0004569645,-0.007800001,-0.0002045739,0.2633247,-0.009531252,-0.006937257,0,-0.0118285,-0.01747208,-0.00970521,0.1660129,0.04707604,-0.001239653,-0.0009764687,0.06920227,0.2412595,0.2403161,0.005410162,3.375e-05,25.56199,0.01372384,0.001351184,0.002094618,0.004867879,0.01045749,0.25,0.45,0,3.375e-05,-0.01898866,0.260282,0.4960873,0.3639159,28576,1.001237,178.15,14.89809
9,1789988497.102,-0.1166519,-0.1310216,0.3600009,-0.02085348,-0.002305703,-0.155,-0.03667226,-0.005286965,-0.001988049,-0.02615525,-0.0005098394,-0.01604,-0.0002236945,0.2342997,-0.009675859,-0.01594962,0,-0.01417076,-0.02475314,-0.01229934,0.1852232,0,-0.001397647,-0.001103744,0.07795151,0.2631337,0.1501223,0.005457806,0.0001708594,25.56295,0.012661,0.001093015,0.001617234,0.004492949,0.009192836,0,0.25,0,0.0001708594,-0.02189753,0.2749783,0.4978316,0.3632076,28542,1.001248,204.24,16.66115
