step,time_s,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_est_n,base_vx_mps,base_vy_mps,base_wz_radps,base_roll_rad,base_pitch_rad,goal_radius_m,goal_pitch_rad,goal_yaw_rad,tip_x_m,tip_y_m,tip_z_m,action_absmax,torque_absmax_nm
0,0,0.0337163,0.00926164,0.00737236,0.0170823,0.319722,0,0.554694,-0.118017,0.079269,0.50465,0.0157135,-0.0370706,0.5,0.628319,0,0.392757,0.00455342,0.76681,2.34211,11.1582
1,0.02,0.147576,0.0160425,0.00517665,0.126357,0.303271,0,0.449657,-0.47123,-0.151573,-0.107707,-0.155574,0.0542772,0.5,0.623799,0,0.395972,-0.00127362,0.655704,2.851,17.3853
2,0.04,0.278081,0.0246333,0.12672,0.126728,0.312962,0,0.60222,-0.199806,0.690484,0.0813973,0.0727071,0.0168979,0.5,0.61928,0,0.330682,-0.110648,0.653497,5.23673,29.0352
3,0.06,0.21753,0.110976,0.0376753,0.0688793,0.335546,0,0.599443,0.116452,-0.290729,-0.54465,-0.316,-0.0781786,0.5,0.61476,0,0.242375,-0.0306578,0.709502,3.76031,18.1916
4,0.08,0.249856,0.111167,0.0911319,0.0475574,0.325914,0,0.492852,-0.0417905,0.576697,-1.02874,-0.132162,-0.0946304,0.5,0.610241,0,0.244522,-0.0846214,0.728975,5.21098,10.5159
5,0.1,0.120538,0.096335,0.0107043,0.0134986,0.310317,0,0.983351,-0.193723,-0.11199,0.34221,-0.397353,-0.158926,0.5,0.605721,0,0.257744,0.027195,0.761179,5.89155,25.4346
6,0.12,0.0674316,0.0179032,0.0242293,0.0252991,0.31022,0,0.456995,-0.729124,0.22361,0.0273268,-0.139957,-0.0816403,0.5,0.601202,0,0.297321,0.0089612,0.747518,7.05485,17.6896
7,0.14,0.171432,0.0634342,0.0558997,0.0520981,0.330927,0,0.239019,-0.250075,-0.498637,-0.310377,-0.465115,-0.203044,0.5,0.596682,0,0.213568,0.0816221,0.823049,7.06194,25.9578
8,0.16,0.217817,0.100328,0.0258424,0.091647,0.322741,0,0.419388,-0.381007,0.307574,-0.900555,-0.259632,-0.200097,0.5,0.592163,0,0.152479,-0.00279605,0.860726,6.05554,42.0481
9,0.18,0.203896,0.0626664,0.0872188,0.0540106,0.306475,0,0.330693,-0.208041,-0.0329589,1.72944,-0.618866,-0.0848267,0.5,0.587644,0,0.167392,0.0983609,0.821211,7.03471,27.739
10,0.2,0.148196,0.0990326,0.00379672,0.0453666,0.269199,0,0.310909,0.199688,0.870405,-0.38654,-0.345386,-0.132647,0.5,0.583124,0,0.143638,0.0617484,0.810684,7.02935,28.6412
11,0.22,0.311831,0.114951,0.191956,0.0049243,0.270985,0,1.14714,-0.280443,-0.600084,2.48534,-0.775668,-0.125965,0.5,0.578605,0,0.126929,0.278188,0.758504,8.7763,45.43
12,0.24,0.342869,0.100109,0.223636,0.0191238,0.255487,0,0.387672,-0.0936655,0.43761,-0.967022,-0.662469,-0.135644,0.5,0.574085,0,0.128213,0.32911,0.74241,8.7882,44.7675
13,0.26,0.338875,0.153747,0.163754,0.021374,0.262139,0,0.647888,0.021407,-0.250468,0.200516,-0.492524,-0.215179,0.5,0.569566,0,0.0711605,0.289493,0.781007,8.09466,45.43
14,0.28,0.382963,0.157741,0.167779,0.057443,0.277284,0,0.639174,0.021991,0.217615,-0.932774,-0.360235,-0.224851,0.5,0.565046,0,0.0658605,0.30138,0.815171,7.29245,45.43
15,0.3,0.384007,0.110956,0.183943,0.0891075,0.27825,0,0.773139,-0.0846391,0.052261,-0.23024,-0.251609,-0.129751,0.5,0.560527,0,0.111043,0.291132,0.844924,6.99736,45.43
16,0.32,0.205168,0.0419526,0.0717308,0.0914847,0.27022,0,0.902644,0.214278,0.0857598,-0.0939661,-0.0961535,-0.030317,0.5,0.556008,0,0.184983,0.166137,0.845384,7.47945,40.101
17,0.34,0.0702341,0.0136539,0.0123885,0.0441918,0.276904,0,1.73701,0.208503,-0.197036,0.683394,-0.0716757,0.0136594,0.5,0.551488,0,0.231404,0.0826492,0.796169,6.71824,34.1016
