step,time_s,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_est_n,base_vx_mps,base_vy_mps,base_wz_radps,base_roll_rad,base_pitch_rad,goal_radius_m,goal_pitch_rad,goal_yaw_rad,tip_x_m,tip_y_m,tip_z_m,action_absmax,torque_absmax_nm
0,0,0.0547231,0.0198598,0.0315159,0.00334746,0.322685,0,0.543645,-0.0355084,0.0668061,0.899042,-0.019144,-0.0541057,0.5,0.628319,0,0.386064,-0.0139239,0.780545,2.34389,10.4728
1,0.02,0.149032,0.00133812,0.0508652,0.0968282,0.311077,0,0.338375,-0.130451,-0.0605191,0.309336,-0.107768,0.039261,0.5,0.623799,0,0.402002,-0.0303073,0.685233,3.66043,27.5271
2,0.04,0.313793,0.0587688,0.152806,0.102219,0.312843,0,0.534707,0.387015,0.492163,-0.0889134,-0.00798648,-0.0517124,0.5,0.61928,0,0.354651,-0.107646,0.678006,6.76251,44.7993
3,0.06,0.284156,0.0857547,0.105376,0.0930253,0.337543,0,0.463535,0.113767,-0.118917,1.96762,-0.258751,0.00905365,0.5,0.61476,0,0.340847,-0.0195751,0.685356,7.06888,45.43
4,0.08,0.264888,0.106495,0.0609669,0.0974259,0.308776,0,0.356886,0.348651,0.353948,-1.01171,-0.216088,-0.152979,0.5,0.610241,0,0.347342,0.0484442,0.679107,7.62931,45.43
5,0.1,0.225531,0.0567827,0.0167579,0.151991,0.291849,0,1.0585,-0.36267,-0.208508,4.58058,-0.230918,-0.00436062,0.5,0.605721,0,0.390765,0.14478,0.622687,5.76414,44.6548
6,0.12,0.274512,0.00986373,0.054278,0.210371,0.292792,0,0.67274,-0.0111878,-0.418943,0.916088,-0.211608,0.122548,0.5,0.601202,0,0.423662,0.237358,0.562446,11.4579,45.43
7,0.14,0.24927,0.0351744,0.00496542,0.20913,0.273369,0,0.549605,0.125787,-0.195055,0.889333,-0.152535,0.136515,0.5,0.596682,0,0.468804,0.192482,0.56182,11.6881,45.43
8,0.16,0.307626,0.0474566,0.053651,0.206519,0.235212,0,0.332471,0.327619,-0.0879269,-0.602523,-0.164842,0.0820462,0.5,0.592163,0,0.505595,0.127399,0.56256,9.34153,45.43
9,0.18,0.413801,0.0595534,0.149384,0.204864,0.221688,0,0.582598,0.260085,0.377775,0.654153,-0.0461052,0.00592931,0.5,0.587644,0,0.533794,0.052977,0.562337,8.81353,45.43
10,0.2,0.270728,0.0431486,0.0869771,0.140603,0.264204,0,0.382597,-0.22955,-0.382759,0.525696,-0.31893,0.046005,0.5,0.583124,0,0.50947,0.131979,0.624715,9.97099,45.43
11,0.22,0.148491,0.00315851,0.0926484,0.0526839,0.296599,0,0.537457,0.0613415,0.455683,-1.44995,-0.269754,-0.146063,0.5,0.578605,0,0.460654,0.13426,0.710744,10.3081,36.8312
12,0.24,0.126981,0.0576615,0.0681627,0.00115651,0.317184,0,0.809132,-0.219759,0.014141,3.6577,-0.579871,-0.122034,0.5,0.574085,0,0.359752,0.205498,0.760377,8.82629,14.9179
13,0.26,0.120836,0.0448035,0.0388547,0.0371776,0.28856,0,1.08162,-0.06879,0.683803,1.01843,-0.712536,-0.0433718,0.5,0.569566,0,0.345221,0.346261,0.722456,8.71441,13.4589
