step,time_s,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_est_n,base_vx_mps,base_vy_mps,base_wz_radps,base_roll_rad,base_pitch_rad,goal_radius_m,goal_pitch_rad,goal_yaw_rad,tip_x_m,tip_y_m,tip_z_m,action_absmax,torque_absmax_nm
0,0,0.0385807,0.012982,0.0117352,0.0138635,0.319138,0,0.674707,-0.0494153,0.0670905,0.696408,0.000144289,-0.0439595,0.5,0.628319,0,0.392446,0.00320566,0.770029,2.01213,11.291
1,0.02,0.159364,0.00833878,0.0272498,0.123776,0.297383,0,0.424311,-0.137214,-0.0419351,0.338954,-0.104048,0.0383119,0.5,0.623799,0,0.408722,-0.0126092,0.658286,2.89049,24.795
2,0.04,0.315575,0.0367214,0.134376,0.144478,0.298321,0,0.594769,0.256829,0.530217,-0.0949597,0.0319847,-0.0057404,0.5,0.61928,0,0.370004,-0.0952344,0.635747,6.70519,45.43
3,0.06,0.297441,0.0789162,0.0914841,0.127041,0.323329,0,0.306035,0.28634,-0.108589,1.96602,-0.230649,0.011552,0.5,0.61476,0,0.349043,-0.0186466,0.651341,7.4786,45.43
4,0.08,0.261792,0.0816803,0.0724743,0.107637,0.310189,0,0.513153,0.6137,0.312994,0.0384766,-0.164299,-0.106075,0.5,0.610241,0,0.383365,0.0411056,0.668895,8.09052,45.43
5,0.1,0.226278,0.065865,0.0177036,0.14271,0.289553,0,0.501589,0.0689913,-0.16115,2.58205,-0.378925,-0.018881,0.5,0.605721,0,0.421402,0.163443,0.631968,6.71543,45.43
6,0.12,0.269838,0.0188268,0.0608859,0.190126,0.254947,0,0.784331,-0.0321843,0.176397,-0.545941,-0.253839,0.0139759,0.5,0.601202,0,0.473576,0.207769,0.582691,9.75599,45.43
7,0.14,0.282597,0.0331781,0.0310524,0.218367,0.264781,0,1.18081,-0.486408,-0.367919,3.51106,-0.318449,0.159948,0.5,0.596682,0,0.500782,0.196309,0.552584,10.9886,45.43
8,0.16,0.208067,0.0176405,0.0261061,0.164321,0.274211,0,0.410025,0.0469453,-0.232484,-0.219497,-0.417229,0.0896004,0.5,0.592163,0,0.469949,0.216095,0.604758,12.15,45.43
9,0.18,0.34395,0.0331017,0.0878678,0.22298,0.220115,0,1.95303,-0.391808,0.134872,3.03617,-0.391119,0.179201,0.5,0.587644,0,0.452359,0.300195,0.544221,8.41719,36.0517
