attempt,step,time_s,phase,jaw_centre_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,fell,cup_lift_m,cup_tilt_deg
0,0,0.0,settle,0.01234,0.01234,0.0006,-2.88,5.23,0.3504,0,0.0,0.0
0,1,0.02,settle,0.02264,0.02264,0.0012,-3.45,10.03,0.35,0,0.0,0.0
0,2,0.04,settle,0.02074,0.02074,0.0018,-1.9,15.19,0.3484,0,0.0,0.0
0,3,0.06,settle,0.0188,0.0188,0.0024,-0.24,20.59,0.3457,0,0.0,0.0
0,4,0.08,settle,0.01633,0.01633,0.003,1.55,25.98,0.3425,0,0.0,0.0
0,5,0.1,settle,0.01493,0.01493,0.0036,3.09,31.31,0.3391,0,0.0,0.0
0,6,0.12,settle,0.01234,0.01234,0.0042,4.45,36.46,0.3357,0,0.0,0.0
0,7,0.14,settle,0.01666,0.01666,0.0048,5.31,41.46,0.3325,0,0.0,0.0
0,8,0.16,settle,0.01614,0.01614,0.0054,6.86,46.19,0.3295,0,0.0,0.0
0,9,0.18,settle,0.01473,0.01473,0.006,8.41,50.9,0.3268,0,0.0,0.0
0,10,0.2,settle,0.01272,0.01272,0.0066,8.73,55.58,0.3245,0,0.0,0.0
0,11,0.22,settle,0.01114,0.01113,0.0072,9.31,60.16,0.3225,0,0.0,0.0
0,12,0.24,settle,0.01227,0.01227,0.0078,10.09,64.55,0.3208,0,0.0,0.0
0,13,0.26,settle,0.01144,0.01144,0.0084,10.16,68.95,0.3194,0,0.0,0.0
0,14,0.28,settle,0.01001,0.01001,0.009,9.79,73.25,0.3184,0,0.0,0.0
0,15,0.3,settle,0.00838,0.00838,0.0096,9.25,77.31,0.3175,0,0.0,0.0
0,16,0.32,settle,0.00907,0.00907,0.0102,8.85,80.42,0.3168,0,0.0,0.0
0,17,0.34,settle,0.01031,0.01031,0.0108,8.14,81.78,0.3164,0,0.0,0.0
0,18,0.36,settle,0.01244,0.01244,0.0114,7.51,80.39,0.3162,0,0.0,0.0
0,19,0.38,settle,0.0145,0.0145,0.012,7.0,77.06,0.316,0,0.0,0.0
0,20,0.4,settle,0.01635,0.01635,0.0126,6.31,73.14,0.3159,0,0.0,0.0
0,21,0.42,settle,0.01822,0.01822,0.0132,5.37,69.11,0.3159,0,0.0,0.0
0,22,0.44,settle,0.02105,0.02105,0.0138,4.74,66.47,0.3158,0,0.0,0.0
0,23,0.46,settle,0.02345,0.02345,0.0144,5.15,70.88,0.3157,0,0.0,0.0
0,24,0.48,settle,0.02363,0.02363,0.015,4.63,75.89,0.3156,0,0.0,0.0
0,25,0.5,settle,0.02253,0.02253,0.0156,3.86,80.22,0.3157,0,0.0,0.0
0,26,0.52,settle,0.02247,0.02247,0.0162,3.8,81.56,0.3156,0,0.0,0.0
0,27,0.54,settle,0.02296,0.02296,0.0168,3.8,82.24,0.3156,0,0.0,0.0
0,28,0.56,settle,0.02396,0.02396,0.0174,3.7,82.06,0.3155,0,0.0,0.0
0,29,0.58,settle,0.02357,0.02357,0.018,2.77,82.44,0.3156,0,0.0,0.0
0,30,0.6,settle,0.02359,0.02359,0.0186,1.47,82.86,0.3158,0,0.0,0.0
0,31,0.62,settle,0.02239,0.02239,0.0192,0.59,82.33,0.3158,0,0.0,0.0
0,32,0.64,settle,0.023,0.023,0.0198,-0.36,82.14,0.3158,0,0.0,0.0
0,33,0.66,settle,0.02242,0.02242,0.0204,-1.23,79.48,0.3158,0,0.0,0.0
0,34,0.68,settle,0.02235,0.02235,0.021,-1.99,76.65,0.3158,0,0.0,0.0
0,35,0.7,settle,0.02255,0.02255,0.0216,-2.98,74.79,0.3157,0,0.0,0.0
0,36,0.72,settle,0.02273,0.02273,0.0222,-3.84,76.11,0.3156,0,0.0,0.0
0,37,0.74,settle,0.02568,0.02568,0.0228,-4.96,76.3,0.3154,0,0.0,0.0
0,38,0.76,settle,0.03108,0.03108,0.0234,-6.02,76.89,0.3152,0,0.0,0.0
0,39,0.78,settle,0.0365,0.0365,0.024,-6.82,77.84,0.315,0,0.0,0.0
0,40,0.8,settle,0.04134,0.04134,0.0246,-7.4,79.27,0.3147,0,0.0,0.0
0,41,0.82,settle,0.04623,0.04623,0.0252,-7.94,80.71,0.3145,0,0.0,0.0
0,42,0.84,settle,0.05159,0.05159,0.0258,-8.4,81.44,0.3142,0,0.0,0.0
0,43,0.86,settle,0.05674,0.05674,0.0264,-8.65,81.11,0.3138,0,0.0,0.0
0,44,0.88,settle,0.06124,0.06124,0.027,-8.81,79.59,0.3135,0,0.0,0.0
0,45,0.9,settle,0.06531,0.06531,0.0276,-8.97,77.56,0.3132,0,0.0,0.0
0,46,0.92,settle,0.06903,0.06903,0.0282,-8.98,74.12,0.3129,0,0.0,0.0
0,47,0.94,settle,0.07282,0.07282,0.0288,-9.07,71.45,0.3126,0,0.0,0.0
0,48,0.96,settle,0.07683,0.07683,0.0294,-8.97,67.77,0.3124,0,0.0,0.0
0,49,0.98,stand,0.08048,0.08048,0.03,-8.83,64.77,0.3121,0,0.0,0.0
0,50,1.0,stand,0.08367,0.08367,0.03,-8.85,61.04,0.3118,0,0.0,0.0
0,51,1.02,stand,0.08771,0.08771,0.03,-8.79,59.72,0.3116,0,0.0,0.0
0,52,1.04,stand,0.09189,0.09189,0.03,-8.38,55.97,0.3113,0,0.0,0.0
0,53,1.06,stand,0.09313,0.09313,0.03,-8.03,55.01,0.311,0,0.0,0.0
0,54,1.08,stand,0.09493,0.09493,0.03,-7.78,54.39,0.3107,0,0.0,0.0
