attempt,step,time_s,phase,jaw_centre_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,fell,cup_lift_m,cup_tilt_deg
0,0,0.0,settle,0.00771,0.00771,0.0006,-0.84,0.67,0.3502,0,0.0,0.0
0,1,0.02,settle,0.01867,0.01867,0.0012,-2.28,0.59,0.3497,0,0.0,0.0
0,2,0.04,settle,0.02733,0.02733,0.0018,-3.45,0.64,0.3481,0,0.0,0.0
0,3,0.06,settle,0.03333,0.03333,0.0024,-3.77,0.91,0.3456,0,0.0,0.0
0,4,0.08,settle,0.03954,0.03954,0.003,-3.94,1.26,0.3425,0,0.0,0.0
0,5,0.1,settle,0.0461,0.0461,0.0036,-4.34,1.65,0.3392,0,0.0,0.0
0,6,0.12,settle,0.05289,0.05289,0.0042,-4.93,2.04,0.336,0,0.0,0.0
0,7,0.14,settle,0.05976,0.05976,0.0048,-5.66,2.42,0.3331,0,0.0,0.0
0,8,0.16,settle,0.06613,0.06613,0.0054,-6.52,2.78,0.3306,0,0.0,0.0
0,9,0.18,settle,0.07263,0.07263,0.006,-7.64,3.17,0.3286,0,0.0,0.0
0,10,0.2,settle,0.07809,0.07809,0.0066,-9.03,3.22,0.3271,0,0.0,0.0
0,11,0.22,settle,0.0853,0.0853,0.0072,-10.71,3.15,0.326,0,0.0,0.0
0,12,0.24,settle,0.09161,0.09161,0.0078,-11.99,2.99,0.3253,0,0.0,0.0
0,13,0.26,settle,0.09769,0.09769,0.0084,-13.15,2.54,0.325,0,0.0,0.0
0,14,0.28,settle,0.10354,0.10354,0.009,-14.13,1.83,0.3249,0,0.0,0.0
0,15,0.3,settle,0.1081,0.1081,0.0096,-14.9,1.42,0.3249,0,0.0,0.0
0,16,0.32,settle,0.11124,0.11124,0.0102,-15.32,1.07,0.3251,0,0.0,0.0
0,17,0.34,settle,0.11387,0.11387,0.0108,-15.72,0.54,0.3254,0,0.0,0.0
0,18,0.36,settle,0.11674,0.11674,0.0114,-16.2,0.02,0.3258,0,0.0,0.0
0,19,0.38,settle,0.12068,0.12068,0.012,-16.8,0.47,0.3261,0,0.0,0.0
0,20,0.4,settle,0.12644,0.12644,0.0126,-17.69,0.86,0.3265,0,0.0,0.0
0,21,0.42,settle,0.13219,0.13219,0.0132,-18.62,1.28,0.3267,0,0.0,0.0
0,22,0.44,settle,0.13699,0.13699,0.0138,-19.38,1.72,0.3269,0,0.0,0.0
0,23,0.46,settle,0.14188,0.14188,0.0144,-20.1,2.15,0.3271,0,0.0,0.0
0,24,0.48,settle,0.14797,0.14797,0.015,-20.96,2.41,0.3273,0,0.0,0.0
0,25,0.5,settle,0.15523,0.15523,0.0156,-22.04,2.66,0.3276,0,0.0,0.0
0,26,0.52,settle,0.16253,0.16253,0.0162,-23.19,2.93,0.328,0,0.0,0.0
0,27,0.54,settle,0.16852,0.16852,0.0168,-24.13,3.17,0.3284,0,0.0,0.0
0,28,0.56,settle,0.17449,0.17449,0.0174,-24.98,3.35,0.3289,0,0.0,0.0
0,29,0.58,settle,0.1813,0.1813,0.018,-26.02,3.53,0.3296,0,0.0,0.0
0,30,0.6,settle,0.18721,0.18721,0.0186,-26.97,3.72,0.3303,0,0.0,0.0
0,31,0.62,settle,0.19116,0.19116,0.0192,-27.55,3.89,0.331,0,0.0,0.0
0,32,0.64,settle,0.19366,0.19366,0.0198,-27.79,4.02,0.3316,0,0.0,0.0
0,33,0.66,settle,0.19614,0.19614,0.0204,-28.03,4.19,0.332,0,0.0,0.0
0,34,0.68,settle,0.20028,0.20028,0.021,-28.54,4.28,0.3324,0,0.0,0.0
0,35,0.7,settle,0.20558,0.20558,0.0216,-29.26,4.35,0.3328,0,0.0,0.0
0,36,0.72,settle,0.21091,0.21091,0.0222,-30.02,4.44,0.3332,0,0.0,0.0
0,37,0.74,settle,0.21595,0.21595,0.0228,-30.72,4.54,0.3335,0,0.0,0.0
0,38,0.76,settle,0.22059,0.22059,0.0234,-31.34,4.64,0.3338,0,0.0,0.0
0,39,0.78,settle,0.22499,0.22499,0.024,-31.9,4.73,0.334,0,0.0,0.0
0,40,0.8,settle,0.22934,0.22934,0.0246,-32.44,4.81,0.3343,0,0.0,0.0
0,41,0.82,settle,0.23382,0.23382,0.0252,-33.03,4.84,0.3345,0,0.0,0.0
0,42,0.84,settle,0.23828,0.23828,0.0258,-33.62,4.86,0.3346,0,0.0,0.0
