attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,fell,cup_lift_m,cup_tilt_deg
0,0,0.0,settle,0.00771,0.0071,0.00302,0.00771,0.0006,-0.84,0.67,0.3502,0,0.0,0.0
1,0,0.0,settle,0.00771,0.0071,0.00302,0.00771,0.0006,-0.84,0.67,0.3502,0,0.0,0.0
2,0,0.0,settle,0.00771,0.0071,0.00302,0.00771,0.0006,-0.84,0.67,0.3502,0,0.0,0.0
3,0,0.0,settle,0.00771,0.0071,0.00302,0.00771,0.0006,-0.84,0.67,0.3502,0,0.0,0.0
0,1,0.02,settle,0.01867,0.0181,0.00457,0.01867,0.0012,-2.28,0.59,0.3497,0,0.0,0.0
1,1,0.02,settle,0.01867,0.0181,0.00457,0.01867,0.0012,-2.28,0.59,0.3497,0,0.0,0.0
2,1,0.02,settle,0.01867,0.0181,0.00457,0.01867,0.0012,-2.28,0.59,0.3497,0,0.0,0.0
3,1,0.02,settle,0.01867,0.0181,0.00457,0.01867,0.0012,-2.28,0.59,0.3497,0,0.0,0.0
0,2,0.04,settle,0.02733,0.02733,0.00013,0.02733,0.0018,-3.45,0.64,0.3481,0,0.0,0.0
1,2,0.04,settle,0.02733,0.02733,0.00013,0.02733,0.0018,-3.45,0.64,0.3481,0,0.0,0.0
2,2,0.04,settle,0.02733,0.02733,0.00013,0.02733,0.0018,-3.45,0.64,0.3481,0,0.0,0.0
3,2,0.04,settle,0.02733,0.02733,0.00013,0.02733,0.0018,-3.45,0.64,0.3481,0,0.0,0.0
0,3,0.06,settle,0.03334,0.03264,-0.00677,0.03334,0.0024,-3.77,0.91,0.3456,0,0.0,0.0
1,3,0.06,settle,0.03333,0.03264,-0.00677,0.03333,0.0024,-3.77,0.91,0.3456,0,0.0,0.0
2,3,0.06,settle,0.03333,0.03264,-0.00677,0.03333,0.0024,-3.77,0.91,0.3456,0,0.0,0.0
3,3,0.06,settle,0.03333,0.03264,-0.00677,0.03333,0.0024,-3.77,0.91,0.3456,0,0.0,0.0
0,4,0.08,settle,0.03954,0.03745,-0.01269,0.03954,0.003,-3.94,1.26,0.3425,0,0.0,0.0
1,4,0.08,settle,0.03954,0.03745,-0.01269,0.03954,0.003,-3.94,1.26,0.3425,0,0.0,0.0
2,4,0.08,settle,0.03953,0.03744,-0.01269,0.03953,0.003,-3.94,1.26,0.3425,0,0.0,0.0
3,4,0.08,settle,0.03953,0.03744,-0.01269,0.03954,0.003,-3.94,1.26,0.3425,0,0.0,0.0
0,5,0.1,settle,0.0461,0.04284,-0.01704,0.0461,0.0036,-4.34,1.65,0.3392,0,0.0,0.0
1,5,0.1,settle,0.0461,0.04284,-0.01704,0.0461,0.0036,-4.34,1.65,0.3392,0,0.0,0.0
2,5,0.1,settle,0.0461,0.04284,-0.01704,0.0461,0.0036,-4.34,1.65,0.3392,0,0.0,0.0
3,5,0.1,settle,0.0461,0.04284,-0.01704,0.0461,0.0036,-4.34,1.65,0.3392,0,0.0,0.0
0,6,0.12,settle,0.0529,0.04885,-0.02029,0.0529,0.0042,-4.93,2.04,0.336,0,0.0,0.0
1,6,0.12,settle,0.0529,0.04885,-0.02029,0.0529,0.0042,-4.93,2.04,0.336,0,0.0,0.0
2,6,0.12,settle,0.05289,0.04885,-0.02029,0.05289,0.0042,-4.93,2.04,0.336,0,0.0,0.0
3,6,0.12,settle,0.05289,0.04885,-0.02029,0.05289,0.0042,-4.93,2.04,0.336,0,0.0,0.0
0,7,0.14,settle,0.05976,0.05528,-0.02272,0.05976,0.0048,-5.67,2.42,0.3331,0,0.0,0.0
1,7,0.14,settle,0.05976,0.05527,-0.02272,0.05976,0.0048,-5.67,2.42,0.3331,0,0.0,0.0
2,7,0.14,settle,0.05976,0.05527,-0.02272,0.05976,0.0048,-5.66,2.42,0.3331,0,0.0,0.0
3,7,0.14,settle,0.05976,0.05527,-0.02272,0.05976,0.0048,-5.66,2.42,0.3331,0,0.0,0.0
0,8,0.16,settle,0.06614,0.0619,-0.02329,0.06614,0.0054,-6.52,2.78,0.3306,0,0.0,0.0
1,8,0.16,settle,0.06613,0.0619,-0.02328,0.06613,0.0054,-6.52,2.78,0.3306,0,0.0,0.0
2,8,0.16,settle,0.06613,0.0619,-0.02328,0.06613,0.0054,-6.52,2.78,0.3306,0,0.0,0.0
3,8,0.16,settle,0.06613,0.0619,-0.02328,0.06613,0.0054,-6.52,2.78,0.3306,0,0.0,0.0
0,9,0.18,settle,0.07263,0.06965,-0.02058,0.07263,0.006,-7.64,3.17,0.3286,0,0.0,0.0
1,9,0.18,settle,0.07262,0.06965,-0.02057,0.07262,0.006,-7.64,3.17,0.3286,0,0.0,0.0
2,9,0.18,settle,0.07263,0.06965,-0.02056,0.07263,0.006,-7.64,3.17,0.3286,0,0.0,0.0
3,9,0.18,settle,0.07262,0.06965,-0.02056,0.07262,0.006,-7.64,3.17,0.3286,0,0.0,0.0
0,10,0.2,settle,0.07808,0.07614,-0.01732,0.07808,0.0066,-9.03,3.22,0.3271,0,0.0,0.0
1,10,0.2,settle,0.07808,0.07614,-0.01731,0.07808,0.0066,-9.03,3.22,0.3271,0,0.0,0.0
2,10,0.2,settle,0.07809,0.07615,-0.01731,0.07809,0.0066,-9.03,3.22,0.3271,0,0.0,0.0
3,10,0.2,settle,0.07809,0.07614,-0.01731,0.07809,0.0066,-9.03,3.22,0.3271,0,0.0,0.0
0,11,0.22,settle,0.0853,0.08363,-0.01676,0.0853,0.0072,-10.71,3.15,0.326,0,0.0,0.0
1,11,0.22,settle,0.08529,0.08363,-0.01676,0.08529,0.0072,-10.71,3.15,0.326,0,0.0,0.0
2,11,0.22,settle,0.0853,0.08363,-0.01676,0.0853,0.0072,-10.71,3.15,0.326,0,0.0,0.0
