attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,finger_contact_n,forearm_contact_n,fell,cup_lift_m,cup_tilt_deg
0,0,0.0,spawn,0.01234,0.01231,0.00088,0.02603,0.0006,-2.88,5.23,0.3504,0.0,0.0,0,0.0,0.0
1,0,0.0,spawn,0.01234,0.01231,0.00088,0.02603,0.0006,-2.88,5.23,0.3504,0.0,0.0,0,0.0,0.0
2,0,0.0,spawn,0.01234,0.01231,0.00088,0.02603,0.0006,-2.88,5.23,0.3504,0.0,0.0,0,0.0,0.0
3,0,0.0,spawn,0.01234,0.01231,0.00088,0.02603,0.0006,-2.88,5.23,0.3504,0.0,0.0,0,0.0,0.0
0,1,0.02,spawn,0.0189,0.01881,0.00178,0.02812,0.0012,-2.54,9.78,0.35,0.0,0.0,0,0.0,0.0
1,1,0.02,spawn,0.0189,0.01881,0.00178,0.02812,0.0012,-2.54,9.78,0.35,0.0,0.0,0,0.0,0.0
2,1,0.02,spawn,0.0189,0.01881,0.00178,0.02812,0.0012,-2.54,9.78,0.35,0.0,0.0,0,0.0,0.0
3,1,0.02,spawn,0.0189,0.01881,0.00178,0.02812,0.0012,-2.54,9.78,0.35,0.0,0.0,0,0.0,0.0
0,2,0.04,spawn,0.02099,0.02093,-0.00163,0.02318,0.0018,-0.67,14.36,0.3484,0.0,0.0,0,0.0,0.0
1,2,0.04,spawn,0.02099,0.02093,-0.00163,0.02318,0.0018,-0.67,14.36,0.3484,0.0,0.0,0,0.0,0.0
2,2,0.04,spawn,0.02099,0.02092,-0.00163,0.02318,0.0018,-0.67,14.36,0.3484,0.0,0.0,0,0.0,0.0
3,2,0.04,spawn,0.02099,0.02093,-0.00163,0.02318,0.0018,-0.67,14.36,0.3484,0.0,0.0,0,0.0,0.0
0,3,0.06,spawn,0.02644,0.02417,-0.01072,0.01889,0.0024,-0.27,19.61,0.3458,0.0,0.0,0,0.0,0.0
1,3,0.06,spawn,0.02645,0.02418,-0.01072,0.01889,0.0024,-0.27,19.61,0.3458,0.0,0.0,0,0.0,0.0
2,3,0.06,spawn,0.02644,0.02417,-0.01072,0.01889,0.0024,-0.27,19.61,0.3458,0.0,0.0,0,0.0,0.0
3,3,0.06,spawn,0.02645,0.02418,-0.01072,0.0189,0.0024,-0.27,19.61,0.3458,0.0,0.0,0,0.0,0.0
0,4,0.08,spawn,0.02625,0.02037,-0.01656,0.01142,0.003,1.73,24.88,0.3426,0.0,0.0,0,0.0,0.0
1,4,0.08,spawn,0.02625,0.02038,-0.01655,0.01143,0.003,1.73,24.88,0.3426,0.0,0.0,0,0.0,0.0
2,4,0.08,spawn,0.02625,0.02037,-0.01656,0.01143,0.003,1.73,24.88,0.3426,0.0,0.0,0,0.0,0.0
3,4,0.08,spawn,0.02625,0.02038,-0.01655,0.01143,0.003,1.73,24.88,0.3426,0.0,0.0,0,0.0,0.0
0,5,0.1,spawn,0.028,0.01709,-0.02218,0.00761,0.0036,3.26,30.24,0.3392,0.0,0.0,0,0.0,0.0
1,5,0.1,spawn,0.02801,0.0171,-0.02218,0.00761,0.0036,3.26,30.24,0.3392,0.0,0.0,0,0.0,0.0
2,5,0.1,spawn,0.02801,0.0171,-0.02218,0.00761,0.0036,3.26,30.24,0.3392,0.0,0.0,0,0.0,0.0
3,5,0.1,spawn,0.02801,0.01711,-0.02218,0.00762,0.0036,3.26,30.24,0.3392,0.0,0.0,0,0.0,0.0
0,6,0.12,spawn,0.02735,0.01032,-0.02533,0.00718,0.0042,5.16,35.4,0.3357,0.0,0.0,0,0.0,0.0
1,6,0.12,spawn,0.02735,0.01033,-0.02532,0.00716,0.0042,5.16,35.4,0.3357,0.0,0.0,0,0.0,0.0
2,6,0.12,spawn,0.02735,0.01033,-0.02533,0.00717,0.0042,5.16,35.4,0.3357,0.0,0.0,0,0.0,0.0
3,6,0.12,spawn,0.02735,0.01034,-0.02532,0.00716,0.0042,5.16,35.4,0.3357,0.0,0.0,0,0.0,0.0
0,7,0.14,spawn,0.03043,0.0084,-0.02925,0.0138,0.0048,6.53,40.54,0.3325,0.0,0.0,0,0.0,0.0
1,7,0.14,spawn,0.03043,0.00841,-0.02925,0.01379,0.0048,6.53,40.54,0.3325,0.0,0.0,0,0.0,0.0
2,7,0.14,spawn,0.03043,0.00841,-0.02925,0.0138,0.0048,6.53,40.54,0.3325,0.0,0.0,0,0.0,0.0
3,7,0.14,spawn,0.03043,0.00841,-0.02925,0.0138,0.0048,6.53,40.54,0.3325,0.0,0.0,0,0.0,0.0
0,8,0.16,spawn,0.0346,0.01584,-0.03076,0.01494,0.0054,8.44,45.27,0.3294,0.0,0.0,0,0.0,0.0
1,8,0.16,spawn,0.03459,0.01583,-0.03076,0.01492,0.0054,8.43,45.27,0.3294,0.0,0.0,0,0.0,0.0
2,8,0.16,spawn,0.0346,0.01584,-0.03076,0.01494,0.0054,8.44,45.27,0.3294,0.0,0.0,0,0.0,0.0
3,8,0.16,spawn,0.03459,0.01583,-0.03076,0.01492,0.0054,8.43,45.27,0.3294,0.0,0.0,0,0.0,0.0
0,9,0.18,spawn,0.03773,0.02079,-0.03148,0.01657,0.006,9.67,49.98,0.3267,0.0,0.0,0,0.0,0.0
