attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,finger_contact_n,forearm_contact_n,fell,cup_lift_m,cup_tilt_deg
0,0,0.0,spawn,0.01234,0.01231,0.00088,0.01234,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
1,0,0.0,spawn,0.01234,0.01231,0.00088,0.01234,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
2,0,0.0,spawn,0.01234,0.01231,0.00088,0.01234,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
3,0,0.0,spawn,0.01234,0.01231,0.00088,0.01234,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
0,1,0.02,spawn,0.02264,0.02246,0.00289,0.02264,0.0012,-3.45,10.03,0.35,0.0017,-0.089,0.0,0.0,0,0.0,0.0
1,1,0.02,spawn,0.02264,0.02246,0.00289,0.02264,0.0012,-3.45,10.03,0.35,0.0017,-0.089,0.0,0.0,0,0.0,0.0
2,1,0.02,spawn,0.02264,0.02246,0.00289,0.02264,0.0012,-3.45,10.03,0.35,0.0017,-0.089,0.0,0.0,0,0.0,0.0
3,1,0.02,spawn,0.02264,0.02246,0.00289,0.02264,0.0012,-3.45,10.03,0.35,0.0017,-0.089,0.0,0.0,0,0.0,0.0
0,2,0.04,spawn,0.02075,0.02072,0.00104,0.02075,0.0018,-1.9,15.19,0.3484,0.0024,-0.11,0.0,0.0,0,0.0,0.0
1,2,0.04,spawn,0.02074,0.02072,0.00103,0.02074,0.0018,-1.9,15.19,0.3484,0.0024,-0.11,0.0,0.0,0,0.0,0.0
2,2,0.04,spawn,0.02074,0.02072,0.00103,0.02074,0.0018,-1.9,15.19,0.3484,0.0024,-0.11,0.0,0.0,0,0.0,0.0
3,2,0.04,spawn,0.02074,0.02072,0.00103,0.02074,0.0018,-1.9,15.19,0.3484,0.0024,-0.11,0.0,0.0,0,0.0,0.0
0,3,0.06,spawn,0.01879,0.01798,-0.00546,0.01879,0.0024,-0.24,20.59,0.3457,0.003,-0.128,0.0,0.0,0,0.0,0.0
1,3,0.06,spawn,0.0188,0.01798,-0.00548,0.0188,0.0024,-0.24,20.59,0.3457,0.003,-0.127,0.0,0.0,0,0.0,0.0
2,3,0.06,spawn,0.0188,0.01798,-0.00548,0.0188,0.0024,-0.24,20.59,0.3457,0.003,-0.128,0.0,0.0,0,0.0,0.0
3,3,0.06,spawn,0.01881,0.01799,-0.00549,0.0188,0.0024,-0.24,20.59,0.3457,0.003,-0.127,0.0,0.0,0,0.0,0.0
0,4,0.08,spawn,0.0163,0.01258,-0.01036,0.0163,0.003,1.55,25.98,0.3425,0.0037,-0.113,0.0,0.0,0,0.0,0.0
1,4,0.08,spawn,0.01632,0.0126,-0.01038,0.01632,0.003,1.55,25.98,0.3425,0.0037,-0.113,0.0,0.0,0,0.0,0.0
2,4,0.08,spawn,0.01632,0.01259,-0.01038,0.01632,0.003,1.55,25.98,0.3425,0.0037,-0.113,0.0,0.0,0,0.0,0.0
3,4,0.08,spawn,0.01635,0.01262,-0.01039,0.01635,0.003,1.54,25.98,0.3425,0.0037,-0.113,0.0,0.0,0,0.0,0.0
0,5,0.1,spawn,0.01491,0.00628,-0.01353,0.01491,0.0036,3.09,31.3,0.3391,0.0044,-0.087,0.0,0.0,0,0.0,0.0
1,5,0.1,spawn,0.01492,0.00628,-0.01353,0.01492,0.0036,3.09,31.3,0.3391,0.0044,-0.086,0.0,0.0,0,0.0,0.0
2,5,0.1,spawn,0.01492,0.00627,-0.01353,0.01492,0.0036,3.09,31.3,0.3391,0.0044,-0.087,0.0,0.0,0,0.0,0.0
3,5,0.1,spawn,0.01491,0.00627,-0.01353,0.01491,0.0036,3.09,31.31,0.3391,0.0044,-0.086,0.0,0.0,0,0.0,0.0
0,6,0.12,spawn,0.01234,0.00468,-0.01142,0.01234,0.0042,4.45,36.46,0.3357,0.0053,-0.042,0.0,0.0,0,0.0,0.0
1,6,0.12,spawn,0.01233,0.00468,-0.01141,0.01233,0.0042,4.45,36.46,0.3357,0.0053,-0.042,0.0,0.0,0,0.0,0.0
2,6,0.12,spawn,0.01234,0.00468,-0.01142,0.01234,0.0042,4.45,36.46,0.3357,0.0053,-0.042,0.0,0.0,0,0.0,0.0
3,6,0.12,spawn,0.01233,0.00469,-0.0114,0.01233,0.0042,4.45,36.46,0.3356,0.0053,-0.042,0.0,0.0,0,0.0,0.0
