attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,finger_contact_n,forearm_contact_n,fell,cup_lift_m,cup_tilt_deg
0,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
1,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
2,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
3,0,0.0,spawn,0.01234,0.01231,0.00088,0.01205,0.0006,-2.88,5.23,0.3504,0.0009,-0.084,0.0,0.0,0,0.0,0.0
0,1,0.02,spawn,0.02247,0.02228,0.00289,0.02176,0.0012,-3.46,9.93,0.35,0.0017,-0.085,0.0,0.0,0,0.0,0.0
1,1,0.02,spawn,0.02247,0.02228,0.00289,0.02176,0.0012,-3.46,9.93,0.35,0.0017,-0.085,0.0,0.0,0,0.0,0.0
2,1,0.02,spawn,0.02247,0.02228,0.00289,0.02176,0.0012,-3.46,9.93,0.35,0.0017,-0.085,0.0,0.0,0,0.0,0.0
3,1,0.02,spawn,0.02247,0.02228,0.00289,0.02176,0.0012,-3.46,9.93,0.35,0.0017,-0.085,0.0,0.0,0,0.0,0.0
0,2,0.04,spawn,0.02039,0.02037,0.00103,0.01921,0.0018,-1.91,15.05,0.3484,0.0024,-0.099,0.0,0.0,0,0.0,0.0
1,2,0.04,spawn,0.02039,0.02036,0.00103,0.01921,0.0018,-1.91,15.05,0.3484,0.0024,-0.099,0.0,0.0,0,0.0,0.0
2,2,0.04,spawn,0.02039,0.02037,0.00103,0.01921,0.0018,-1.91,15.05,0.3484,0.0024,-0.099,0.0,0.0,0,0.0,0.0
3,2,0.04,spawn,0.02039,0.02037,0.00103,0.01921,0.0018,-1.91,15.05,0.3484,0.0024,-0.099,0.0,0.0,0,0.0,0.0
0,3,0.06,spawn,0.0186,0.01774,-0.0056,0.01701,0.0024,-0.35,20.4,0.3457,0.003,-0.109,0.0,0.0,0,0.0,0.0
1,3,0.06,spawn,0.0186,0.01774,-0.0056,0.01701,0.0024,-0.35,20.4,0.3457,0.003,-0.109,0.0,0.0,0,0.0,0.0
2,3,0.06,spawn,0.0186,0.01774,-0.0056,0.01701,0.0024,-0.35,20.4,0.3457,0.003,-0.109,0.0,0.0,0,0.0,0.0
3,3,0.06,spawn,0.0186,0.01774,-0.0056,0.01701,0.0024,-0.35,20.4,0.3457,0.003,-0.109,0.0,0.0,0,0.0,0.0
0,4,0.08,spawn,0.0172,0.01336,-0.01084,0.01614,0.003,1.24,25.77,0.3425,0.0036,-0.091,0.0,0.0,0,0.0,0.0
1,4,0.08,spawn,0.01718,0.01333,-0.01084,0.0161,0.003,1.25,25.77,0.3425,0.0036,-0.09,0.0,0.0,0,0.0,0.0
2,4,0.08,spawn,0.01718,0.01333,-0.01084,0.0161,0.003,1.25,25.77,0.3425,0.0036,-0.09,0.0,0.0,0,0.0,0.0
3,4,0.08,spawn,0.01721,0.01336,-0.01084,0.01614,0.003,1.24,25.77,0.3425,0.0036,-0.091,0.0,0.0,0,0.0,0.0
0,5,0.1,spawn,0.01507,0.00577,-0.01392,0.01565,0.0036,2.98,31.02,0.3391,0.0044,-0.047,0.0,0.0,0,0.0,0.0
1,5,0.1,spawn,0.01508,0.00578,-0.01393,0.01565,0.0036,2.98,31.02,0.3391,0.0044,-0.047,0.0,0.0,0,0.0,0.0
2,5,0.1,spawn,0.01508,0.00578,-0.01393,0.01565,0.0036,2.98,31.02,0.3391,0.0044,-0.047,0.0,0.0,0,0.0,0.0
3,5,0.1,spawn,0.01507,0.00577,-0.01392,0.01565,0.0036,2.98,31.02,0.3391,0.0044,-0.047,0.0,0.0,0,0.0,0.0
0,6,0.12,spawn,0.01353,0.005,-0.01257,0.01677,0.0042,4.31,36.18,0.3356,0.0053,0.005,0.0,0.0,0,0.0,0.0
1,6,0.12,spawn,0.01352,0.00498,-0.01257,0.01676,0.0042,4.31,36.18,0.3356,0.0053,0.005,0.0,0.0,0,0.0,0.0
2,6,0.12,spawn,0.01352,0.00499,-0.01257,0.01676,0.0042,4.31,36.18,0.3356,0.0053,0.005,0.0,0.0,0,0.0,0.0
3,6,0.12,spawn,0.01353,0.00499,-0.01258,0.01677,0.0042,4.31,36.18,0.3356,0.0053,0.005,0.0,0.0,0,0.0,0.0
