attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,finger_contact_n,forearm_contact_n,fell,door_deg,handle_deg
0,0,0.0,spawn,0.01231,0.01228,0.00088,0.01201,0.00024,-2.88,5.22,0.3504,0.0009,-0.083,0.0,0.0,0,0.0,-0.0
1,0,0.0,spawn,0.01231,0.01228,0.00088,0.01201,0.00024,-2.88,5.22,0.3504,0.0009,-0.083,0.0,0.0,0,0.0,-0.0
2,0,0.0,spawn,0.01231,0.01228,0.00088,0.01201,0.00024,-2.88,5.22,0.3504,0.0009,-0.083,0.0,0.0,0,0.0,-0.0
3,0,0.0,spawn,0.01231,0.01228,0.00088,0.01201,0.00024,-2.88,5.22,0.3504,0.0009,-0.083,0.0,0.0,0,0.0,-0.0
0,1,0.02,spawn,0.02263,0.02244,0.00288,0.02204,0.00048,-3.46,9.95,0.35,0.0017,-0.087,0.0,0.0,0,0.0,-0.0
1,1,0.02,spawn,0.02263,0.02244,0.00288,0.02204,0.00048,-3.46,9.95,0.35,0.0017,-0.087,0.0,0.0,0,0.0,-0.0
2,1,0.02,spawn,0.02263,0.02244,0.00288,0.02204,0.00048,-3.46,9.95,0.35,0.0017,-0.087,0.0,0.0,0,0.0,-0.0
3,1,0.02,spawn,0.02263,0.02244,0.00288,0.02204,0.00048,-3.46,9.95,0.35,0.0017,-0.087,0.0,0.0,0,0.0,-0.0
0,2,0.04,spawn,0.02094,0.02091,0.00112,0.01997,0.00072,-1.9,15.11,0.3484,0.0024,-0.106,0.0,0.0,0,0.0,-0.0
1,2,0.04,spawn,0.02094,0.02091,0.00112,0.01997,0.00072,-1.9,15.11,0.3484,0.0024,-0.106,0.0,0.0,0,0.0,-0.0
2,2,0.04,spawn,0.02094,0.02091,0.00112,0.01997,0.00072,-1.9,15.11,0.3484,0.0024,-0.106,0.0,0.0,0,0.0,-0.0
3,2,0.04,spawn,0.02094,0.02091,0.00112,0.01997,0.00072,-1.9,15.11,0.3484,0.0024,-0.106,0.0,0.0,0,0.0,-0.0
0,3,0.06,spawn,0.01924,0.01856,-0.00509,0.01797,0.00096,-0.28,20.51,0.3457,0.003,-0.122,0.0,0.0,0,0.0,-0.0
1,3,0.06,spawn,0.01924,0.01856,-0.00508,0.01797,0.00096,-0.28,20.51,0.3457,0.003,-0.122,0.0,0.0,0,0.0,-0.0
2,3,0.06,spawn,0.01924,0.01856,-0.00509,0.01797,0.00096,-0.28,20.51,0.3457,0.003,-0.122,0.0,0.0,0,0.0,-0.0
3,3,0.06,spawn,0.01924,0.01856,-0.00508,0.01797,0.00096,-0.28,20.51,0.3457,0.003,-0.122,0.0,0.0,0,0.0,-0.0
0,4,0.08,spawn,0.01686,0.01332,-0.01033,0.01587,0.0012,1.53,25.91,0.3425,0.0036,-0.108,0.0,0.0,0,0.0,-0.0
1,4,0.08,spawn,0.01684,0.01331,-0.01032,0.01586,0.0012,1.54,25.91,0.3425,0.0036,-0.107,0.0,0.0,0,0.0,-0.0
2,4,0.08,spawn,0.01684,0.0133,-0.01032,0.01586,0.0012,1.54,25.91,0.3425,0.0036,-0.107,0.0,0.0,0,0.0,-0.0
3,4,0.08,spawn,0.01686,0.01332,-0.01033,0.01587,0.0012,1.53,25.91,0.3425,0.0036,-0.108,0.0,0.0,0,0.0,-0.0
0,5,0.1,spawn,0.01609,0.00672,-0.01462,0.0158,0.00144,3.13,31.28,0.3391,0.0044,-0.086,0.0,0.0,0,0.0,-0.0
1,5,0.1,spawn,0.0161,0.00673,-0.01462,0.01581,0.00144,3.13,31.28,0.3391,0.0044,-0.086,0.0,0.0,0,0.0,-0.0
2,5,0.1,spawn,0.0161,0.00673,-0.01462,0.01581,0.00144,3.13,31.28,0.3391,0.0044,-0.086,0.0,0.0,0,0.0,-0.0
3,5,0.1,spawn,0.01609,0.00672,-0.01462,0.0158,0.00144,3.13,31.28,0.3391,0.0044,-0.086,0.0,0.0,0,0.0,-0.0
