step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
0,1790175015.696,-0.0120267,-0.0111387,0.03599999,-0.002272549,-0.0002486766,0,-0.003968972,-0.0005447107,0,-0.00337362,-5.184086e-05,-0.00211,-0.0001099509,0.020375,-0.001218828,-0.00168717,0,-0.0006992947,-0.001479523,-0.008048812,0.01915597,0,-0.0001280247,-0.0001268251,0.0105758,0.03720265,0.01923243,0.03380519,0.01455124,0.0006666667,25.53756,0.03429212,0.003898535,0.009033438,0.006808908,0.009348585,0.05,0.05,0,0.0006666667,-0.01011168,0.6357867,1.077697,1.475419,38503,1.000212,13.09,1.410069
1,1790175018.172,-0.02289005,-0.0258576,0.07199996,-0.004352379,-0.0003125036,-0.003,-0.008041064,-0.001107422,0,-0.006086491,-0.0001010556,-0.00202,-0.0002801651,0.04946001,-0.001967264,-0.001798836,-0.0004515279,-0.002564827,-0.004044646,-0.007397009,0.03776848,0.008476159,-0.0002680151,-0.0002054558,0.01791492,0.06682479,0.03514211,0.05939923,0.007564503,0.0004444444,25.55901,0.02696283,0.004525498,0.008954301,0.005918527,0.0139803,0.1,0.1,0,0.0004444444,-0.0200539,0.6891975,0.9506493,1.49092,40262,1.001454,39.86,3.95235
2,1790175020.654,-0.03101305,-0.03541258,0.09849994,-0.005249426,-0.0004914218,-0.01166667,-0.01194367,-0.001564292,-5.308787e-05,-0.008496648,-0.0001392473,-0.005293334,-0.0004656072,0.05290001,-0.002619802,-0.004615994,-0.0009151226,-0.004542082,-0.004945853,-0.007226206,0.05161373,0,-0.0004246303,-0.0002697956,0.02369336,0.08010032,0.04272852,0.08466642,0.006256375,8.779149e-05,25.57448,0.0248388,0.004416646,0.008434364,0.005731411,0.01424256,0.35,0.2,0,8.779149e-05,-0.02206251,0.5997266,0.9788251,1.497608,39695,1.002403,62.45,6.241267
3,1790175023.151,-0.04513647,-0.05057434,0.1439999,-0.008924617,-0.0005669593,-0.006250001,-0.01519329,-0.002128667,0,-0.01168437,-0.0002038985,-0.003685,-0.0002593743,0.1099375,-0.003823912,-0.003533991,0,-0.004613289,-0.006258029,-0.009344283,0.07659038,0.02137828,-0.0005401777,-0.0003829147,0.03168039,0.1286142,0.07142517,0.1237835,0.005913731,0.0006666667,25.58192,0.02364661,0.004377753,0.007671861,0.005683269,0.008608631,0,0.3,0,0.0006666667,-0.01663151,0.5603391,0.9819882,1.507872,39481,1.001913,87.66,9.018198
4,1790175025.627,-0.058676,-0.06427878,0.1799999,-0.01006058,-0.0008140089,-0.01571429,-0.01998137,-0.002686569,0,-0.01458102,-0.0002526855,-0.007614287,-0.0004174186,0.1263428,-0.004976408,-0.007268026,0,-0.005914489,-0.008611935,-0.01084798,0.09444346,0.007566863,-0.0006692074,-0.0005074078,0.04356035,0.1560752,0.08504833,0.1066902,0.005926638,5.852766e-05,25.58783,0.0237235,0.004735655,0.007595264,0.005465948,0.01592479,0.4,0.15,0,5.852766e-05,-0.02318488,0.4262488,0.9878645,1.48199,39801,1.003387,111.91,10.91161
5,1790175028.124,-0.0700904,-0.078005,0.2159999,-0.01253129,-0.001023303,-0.02416667,-0.02485622,-0.003370082,-0.0002713235,-0.01805502,-0.0003042955,-0.005203334,-0.0004824553,0.1701332,-0.005604865,-0.005179319,0,-0.007495787,-0.01085134,-0.01433635,0.113402,0.03200941,-0.0008095514,-0.0006109917,0.05700448,0.1857132,0.1016475,0.1724819,0.005767113,0.0006666667,25.59637,0.02130486,0.003952166,0.006395215,0.005190369,0.008751926,0,0.35,0,0.0006666667,-0.01613464,0.4409238,0.9869111,1.50368,39470,1.002654,133.38,12.99198
6,1790175030.651,-0.07941975,-0.09156915,0.2520002,-0.01652505,-0.001114787,-0.03416666,-0.0283119,-0.003841346,-8.105538e-05,-0.02154913,-0.0003536058,-0.005700001,-0.0005380373,0.1953832,-0.006484078,-0.006184147,0,-0.008945099,-0.01336281,-0.01362483,0.1325561,0.03698913,-0.0009517757,-0.0006790604,0.05992534,0.2221406,0.1209502,0.2202495,0.005659861,0.0004444444,25.59592,0.02025663,0.00353404,0.005945629,0.005117102,0.0135041,0.1,0.1,0,0.0004444444,-0.02297213,0.3525434,0.9932795,1.525774,39024,1.003721,159.22,15.63965
7,1790175033.196,-0.09406744,-0.1038996,0.2880004,-0.01990568,-0.001336454,-0.03583334,-0.03258408,-0.004211055,-0.0001123724,-0.02326125,-0.0004041427,-0.008120002,-0.000536984,0.2039498,-0.007546091,-0.009082107,0,-0.01023799,-0.01453262,-0.01426891,0.151873,0.02827865,-0.001109271,-0.0007938377,0.06561389,0.242266,0.1314317,0.2513644,0.005563449,0.0006666667,25.60583,0.01915484,0.003069674,0.005611198,0.004910524,0.01341764,0.05,0.15,0,0.0006666667,-0.0233862,0.3489151,1.009819,1.528354,38730,1.003626,183.96,17.45303
8,1790175035.734,-0.1024432,-0.1186503,0.3240007,-0.01856661,-0.001653932,-0.0875,-0.03509728,-0.004691777,-0.0003120131,-0.02535794,-0.0004509219,-0.00905,-0.0003339149,0.2283872,-0.008622445,-0.01058413,0,-0.01123002,-0.01719433,-0.01367113,0.1686003,0.02398445,-0.001217108,-0.0009301956,0.08375911,0.2443088,0.130678,0.1493873,0.005404109,0.0004444444,25.61086,0.01768907,0.002698533,0.004865419,0.004721007,0.01349556,0.1,0.1,0,0.0004444444,-0.02481609,0.2859623,1.00318,1.527933,38838,1.00436,201.87,19.58989
9,1790175038.308,-0.1158049,-0.131337,0.3600009,-0.02264032,-0.002275752,-0.1233333,-0.04269947,-0.005453808,-0.0003315203,-0.02996987,-0.0005024897,-0.01639334,-0.0004358456,0.2195663,-0.009517128,-0.0162275,-0.0009307917,-0.0143303,-0.02144899,-0.02025026,0.1865678,0,-0.001379632,-0.001049665,0.08672705,0.2553329,0.1623819,0.2435693,0.005418437,0.0002962963,25.6232,0.01647913,0.002444737,0.004181942,0.004434014,0.01394404,0.15,0.15,0,0.0002962963,-0.02451095,0.2795995,1.015684,1.544516,38397,1.004711,221.8,20.89165
