step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/fixture_lost,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Fixture/force_ceiling_n,Fixture/lost_fraction,Fixture/mean_error_n,Fixture/relative_force_error,Fixture/relative_force_error_ema,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
10999,1790233845.591,-0.005007823,-0.009811038,0.03599999,-0.0004166934,0,-2.801209e-05,0,-0.001323613,-0.0002536071,0,-0.001176911,-4.806259e-05,0,-4.325486e-05,0.03903001,-0.000547602,0,0,-0.0007284909,0,0,-0.0002868153,-0.0009581244,0.02091417,0.01120124,-0.0001399052,-5.497584e-05,0.01994752,0.04259744,0.01947185,0.04537442,15,0,,,,0.0003461007,1e-05,17.5807,0.0005643363,8.271429e-09,0.0001627563,5.547097e-05,95.98512,0.95,0.05,0,1e-05,0.09402978,2.481225,1.222842,1.431386,37036,0.6580327,12.08791,2.032686
11000,1790233848.176,-0.009992725,-0.02875368,0.07199996,-0.001178443,0,-0.0002002941,-0.004,-0.003475397,-0.0003173868,-0.001608699,-0.002962976,-9.774149e-05,0,-5.981524e-05,0.07337999,-0.001157193,0,0,-0.002157433,0,0,-0.00562741,-0.002912679,0.03867937,0.02151225,-0.0002885944,-0.0001283555,0.0353111,0.07737833,0.03360227,0.0824533,15,0,,,,0.0007572895,1e-05,17.62881,0.001191614,4.271756e-08,0.0003719139,6.236789e-05,1.027125,0.95,0.05,0,1e-05,0.1905209,1.376576,1.080933,1.49555,38154,0.6584301,37.23,6.010725
11001,1790233850.902,-0.0151191,-0.03467777,0.1079999,-0.001939628,-0.007188637,-0.0008686328,-0.03285715,-0.004946698,-0.0004931563,-0.03745509,-0.004192248,-0.000145346,-0.00024,-9.399029e-05,0.1135428,-0.001898,-0.0001187138,-0.001495913,-0.003793221,0.007555046,-0.05714286,-0.01768362,-0.003587969,0.05420924,0.02902419,-0.0004351794,-0.0002120568,0.05054554,0.09989624,0.04427417,0.1268411,15,0.6153847,,,,0.00150116,1e-05,17.63643,0.001803968,3.487293e-08,0.0002160614,8.671114e-05,0.3722646,0.95,0.05,0,1e-05,0.08708455,2.070959,1.125262,1.565535,36533,0.6586354,68.14,8.224539
11002,1790233853.601,-0.01950486,-0.04427835,0.1439999,-0.002522776,-0.0202258,-0.00159745,-0.03958334,-0.007085729,-0.0008027313,-0.05833117,-0.005815861,-0.0001905684,-0.000355,-0.0001533417,0.1524041,-0.002616045,-0.0003251291,-8.41541e-05,-0.005522061,0.01263051,-0.075,-0.02715436,-0.00460917,0.069452,0.03735138,-0.0005900931,-0.0003219576,0.0681759,0.1303866,0.05705282,0.1695836,15,0.8181819,,,,0.0008681248,1e-05,17.64241,0.001920595,2.153591e-08,0.0009804713,7.197761e-05,0.07599075,0.9,0.05,0,1e-05,0.02620402,6.554498,1.168377,1.512185,36672,0.6588655,93,10.21186
11003,1790233856.249,-0.0236307,-0.04986177,0.1799999,-0.002979941,-0.02319313,-0.002165954,-0.04789474,-0.007599735,-0.0009894317,-0.1210417,-0.005893978,-0.0002354739,0,-0.0001157836,0.1889919,-0.002913861,0,0,-0.007441664,0.01417997,-0.07368422,-0.04249747,-0.004232168,0.08425053,0.05015109,-0.0007111192,-0.0003911067,0.0873854,0.1593959,0.06482568,0.2183075,15,0.7777779,12.34041,1.338067,1.96069,0.0006884777,1e-05,17.64926,0.002234714,2.118279e-08,0.001498413,4.780208e-05,0.0761091,0.9,0.05,0,1e-05,0.02484562,5.977519,1.163656,1.476659,37231,0.6591052,116.34,12.11103
11004,1790233858.962,-0.02690769,-0.05577505,0.2039285,-0.003392644,-0.02144748,-0.002660968,-0.05166667,-0.009046486,-0.00122722,-0.1729422,-0.006748592,-0.0002627198,0,-0.0001125182,0.218326,-0.003481105,0,0,-0.008601552,0.01612104,-0.09999999,-0.04866977,-0.004271326,0.09413381,0.05643554,-0.0007964054,-0.0004501862,0.09716844,0.171699,0.07489313,0.2487874,15,1,24.94752,7.288131,2.404732,0.0006643138,1e-05,17.65623,0.002538822,2.359871e-08,0.001809834,6.465014e-05,0.02544626,0.85,0.05,0,1e-05,0.005850879,7.438168,1.176356,1.52317,36415,0.6593487,135.19,13.52551
11005,1790233861.698,-0.03272294,-0.06171673,0.2392502,-0.005094226,-0.02936822,-0.002811424,-0.06300001,-0.0131731,-0.001468162,-0.198587,-0.01095306,-0.0003068799,-0.001475,-0.0002873184,0.2518223,-0.004175219,-0.001633657,-0.00273713,-0.01031313,0.01574839,-0.08000001,-0.05674561,-0.006128069,0.1097476,0.05188764,-0.0009941547,-0.0006276652,0.1114956,0.1999983,0.08660191,0.2746497,15,1,16.73906,3.523519,5.219075,0.0006654889,1e-05,17.66306,0.002777043,2.290513e-08,0.002028882,8.264896e-05,0.01848912,0.65,0.1,0,1e-05,0.003199867,8.415695,1.197068,1.529711,36051,0.6595978,156.96,14.94939
11006,1790233864.444,-0.03542643,-0.06653672,0.2645458,-0.005234701,-0.08038308,-0.003819505,-0.1022727,-0.01283014,-0.001578396,-0.175703,-0.01015666,-0.0003309783,-0.0008927273,-0.0002739119,0.2814043,-0.00477874,-0.0008290095,-0.001091993,-0.01186572,0.02983318,-0.07272728,-0.06191856,-0.005586538,0.1175834,0.064615,-0.001153435,-0.000704015,0.1259072,0.2307634,0.08393382,0.3197416,15,0.8000001,17.76459,4.267592,4.281995,0.0006887478,1.5e-05,17.67105,0.002750657,2.477347e-08,0.001989407,7.247773e-05,0.01322952,0,0.1,0,1.5e-05,-0.001852989,4.859722,1.199893,1.52942,36017,0.659898,163.59,15.39108
11007,1790233867.199,-0.03506924,-0.06312804,0.2544549,-0.005402925,-0.05326861,-0.003774243,-0.08045453,-0.01430787,-0.001524047,-0.2153412,-0.01207347,-0.0003190665,-0.001901818,-0.000337291,0.2702543,-0.004724034,-0.002042073,-0.009481641,-0.01135998,0.0293101,-0.06363636,-0.05357967,-0.006992529,0.1142867,0.05339013,-0.001131439,-0.000731714,0.1162253,0.2088118,0.09587596,0.2844828,15,0.875,11.23327,1.129863,4.415093,0.000647169,1.5e-05,17.67907,0.002637054,2.510754e-08,0.001910295,7.956466e-05,0.01193381,0,0.05,0,1.5e-05,-0.003692139,4.188309,1.210842,1.535731,35791,0.6601707,169.24,14.89512
11008,1790233869.938,-0.03934063,-0.06777078,0.2833129,-0.005482971,-0.09687027,-0.003925783,-0.108125,-0.01495356,-0.0016529,-0.1555708,-0.01146332,-0.0003489123,-0.0015825,-0.0001945957,0.3143747,-0.004883504,-0.001409877,0,-0.01251026,0.04110271,-0.08750001,-0.05665171,-0.006495445,0.1270683,0.06455733,-0.001125899,-0.0007258655,0.1354798,0.2417723,0.09011259,0.3386598,15,1,14.30964,2.673293,12.31191,0.0006133044,1e-05,17.68879,0.002508752,2.650497e-08,0.001822955,7.24657e-05,0.01419066,0.1,0.1,0,1e-05,-0.002884894,3.785143,1.209129,1.520462,36014,0.6605257,164.66,14.40948
