step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/fixture_lost,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Fixture/force_ceiling_n,Fixture/lost_backed_off_fraction,Fixture/lost_fraction,Fixture/lost_lifted_off_fraction,Fixture/lost_slid_off_fraction,Fixture/mean_error_n,Fixture/relative_force_error,Fixture/relative_force_error_ema,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
11807,1790236393.917,-0.01292708,-0.01737883,0.03599999,-0.001183129,0,-4.345188e-05,0,-0.004891666,-0.0002298977,-0.001368758,-0.003303742,-4.907311e-05,0,-9.184403e-05,0.03088333,-0.0009462652,0,0,-0.0008381612,0,0,-0.0009643221,-0.0007228532,0.01995433,0.01093888,-0.0001506327,-9.28277e-05,0.01440945,0.04144482,0.02103216,0.04305148,15,0,0,0,0,,,,0.0003676872,1e-05,26.78046,0.0004391631,5.00332e-09,4.35564e-05,2.791444e-05,0.07175528,0.95,0.05,0,1e-05,0.02039873,0.2997736,1.238975,1.494193,35967,1.085674,14.57,2.082876
11808,1790236396.565,-0.0255646,-0.03166923,0.07199996,-0.002565516,0,-5.125492e-05,0,-0.008109735,-0.0004245516,0,-0.00538928,-9.680002e-05,0,-0.0001352566,0.06837499,-0.001974645,0,0,-0.001556984,0,0,-0.00184425,-0.001480513,0.04084346,0.02213508,-0.0002930455,-0.000184786,0.02996838,0.07973942,0.03386144,0.08719476,15,0,0,0,0,,,,0.0005818338,1e-05,26.78127,0.0006664534,6.481159e-09,4.808348e-05,3.652972e-05,0.01978136,0.3,0.1,0,1e-05,0.003319214,0.04359173,1.090536,1.547281,37267,1.085572,35.98,5.135445
11809,1790236399.241,-0.03874798,-0.05174793,0.1079999,-0.004337042,-0.007436014,-0.0001848677,-0.0003846154,-0.0128143,-0.0006932419,-0.0009158807,-0.008541606,-0.0001432051,0,-0.0002313567,0.10245,-0.002940796,0,0,-0.002893324,0.006298344,-0.08461539,-0.002919208,-0.002153623,0.0584338,0.03241322,-0.0004502443,-0.0003053301,0.04229375,0.1156363,0.0367685,0.1309476,15,0,0.8461539,0.8461539,0,,,,0.0006702463,1e-05,26.77913,0.0008110144,7.14906e-09,0.0001037061,3.705493e-05,0.01640407,0.3,0.15,0,1e-05,-0.001114173,0.925034,1.125146,1.541979,36857,1.085508,67.95,8.398354
11810,1790236401.959,-0.05108577,-0.06431427,0.1439999,-0.005751617,-0.008698506,-0.0002158191,-0.0006666668,-0.01929628,-0.0009981447,-0.0001619548,-0.01272878,-0.000190892,-0.0003633334,-0.0003360088,0.1332833,-0.003804648,-0.0002908113,0,-0.003790204,0.009966962,-0.07333334,-0.004634113,-0.002687287,0.07811306,0.04040874,-0.0005988574,-0.0004224544,0.05833217,0.1541136,0.05001622,0.1717232,15,0,0.8461539,0.8461539,0,,,,0.0006930125,3.375e-05,26.78123,0.001088173,7.739796e-09,0.0003603671,3.478548e-05,0.006905143,0,0.2,0,3.375e-05,-0.006972124,5.232381,1.1808,1.526673,36308,1.085879,94.5,11.44203
11811,1790236404.722,-0.06367336,-0.0799922,0.1799999,-0.007131898,-0.01510168,-0.0003144907,0,-0.02220985,-0.001283745,-0.0001041228,-0.01449597,-0.0002371423,-0.00023,-0.0003259958,0.1713749,-0.004684794,-0.0002420309,0,-0.004792183,0.01267721,-0.09615385,-0.005646924,-0.002806714,0.09681419,0.05176379,-0.0007438416,-0.0005181311,0.07398079,0.1874006,0.06171724,0.2151524,15,0,1,1,0,,,,0.0006440356,5.0625e-05,26.79137,0.001133349,7.418326e-09,0.0004551401,3.416607e-05,0.008543609,0,0.1,0,5.0625e-05,-0.008387472,5.922202,1.20217,1.551781,35695,1.086671,118.41,14.32496
11812,1790236407.509,-0.0734614,-0.09170336,0.20505,-0.008031351,-0.01344927,-0.0003486523,-0.001333334,-0.02537656,-0.001487005,-0.001597217,-0.01652386,-0.0002692779,-0.0002960001,-0.0003272168,0.1950099,-0.005502038,-0.0001936912,0,-0.005484599,0.01081224,-0.09333335,-0.006362814,-0.003352957,0.1109993,0.05941884,-0.0008466436,-0.0006005807,0.08287479,0.2149637,0.06688328,0.2434752,15,0,0.9655172,0.9655172,0,4.613456,0.5584384,0.3981766,0.0006079031,7.59375e-05,26.80699,0.001119624,8.404837e-09,0.0004764854,3.522728e-05,0.01179324,0,0.1,0,7.59375e-05,-0.005890964,6.228433,1.210095,1.569597,35365,1.087659,133.97,16.29359
11813,1790236410.317,-0.07835378,-0.1004341,0.222943,-0.00887561,-0.03117397,-0.0004952279,-0.001714286,-0.02783198,-0.001658011,-0.001010678,-0.0181453,-0.0002889679,0,-0.0004117762,0.2116984,-0.005997773,0,0,-0.005977663,0.02471278,-0.08857144,-0.007394424,-0.003507185,0.1188818,0.06641242,-0.0009225902,-0.0006326804,0.09057893,0.2288011,0.06937637,0.2673469,15,0,0.9117647,0.9117647,0,4.378486,0.4699337,0.4227961,0.0005972498,7.59375e-05,26.82369,0.001188473,8.791824e-09,0.0005551307,3.608328e-05,0.008405464,0,0.05,0,7.59375e-05,-0.01163945,6.289854,1.214999,1.582283,35142,1.088664,149.35,18.31412
11814,1790236413.138,-0.06253495,-0.078875,0.1775,-0.007448727,-0.02822393,-0.0003892928,-0.001111111,-0.02388976,-0.001285857,-0.001004465,-0.01559744,-0.0002315509,-0.0005566668,-0.0003388044,0.1710527,-0.004783871,-0.0004616469,-1.111905e-05,-0.004854237,0.01935079,-0.09444445,-0.0058548,-0.00299736,0.09414898,0.0480326,-0.0007380968,-0.0005354147,0.07164054,0.1856132,0.05846255,0.2115962,15,0,1,1,0,2.819718,0.4886043,0.426901,0.0006219887,7.59375e-05,26.84362,0.00112576,9.904891e-09,0.0004617284,4.203304e-05,0.01372817,0.05,0.1,0,7.59375e-05,-0.01132883,2.965111,1.223043,1.588231,34967,1.089932,126,15.11982
11815,1790236415.940,-0.06462146,-0.082405,0.18075,-0.007570314,-0.02088317,-0.0004657151,0,-0.02511944,-0.001246558,-0.0002958041,-0.01661759,-0.0002366941,-0.0008714286,-0.0003883101,0.1733535,-0.004928248,-0.0007252846,0,-0.004847257,0.01392968,-0.09285714,-0.006060674,-0.003544531,0.0957114,0.0467368,-0.0007599846,-0.0005595661,0.07258005,0.1879061,0.06067817,0.2128791,15,0,1,1,0,3.982419,0.3936172,0.4399093,0.0006447476,7.59375e-05,26.86119,0.001147344,1.047607e-08,0.0004572253,4.536018e-05,0.01011223,0,0.05,0,7.59375e-05,-0.01154022,2.518769,1.214786,1.576446,35218,1.090879,124.59,14.97055
11816,1790236418.742,-0.07042684,-0.08897253,0.1971,-0.00823425,-0.02786337,-0.0004192304,-0.001,-0.02559421,-0.001473797,-0.001188398,-0.01660229,-0.0002546068,0,-0.0003604527,0.1841498,-0.005384645,0,0,-0.005139134,0.01756237,-0.09,-0.006340066,-0.003216891,0.1054418,0.05880856,-0.0008158479,-0.0005706589,0.08176345,0.2052757,0.06480837,0.2364576,15,0,0.9,0.9,0,5.843865,0.604964,0.4498286,0.000659227,5.0625e-05,26.88056,0.001193586,1.075464e-08,0.0004869544,4.739339e-05,0.01461315,0.1,0.1,0,5.0625e-05,-0.01055004,2.72135,1.221017,1.570392,35216,1.091981,129.83,15.59394
