step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/fixture_lost,Episode_Reward/fixture_seat,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Fixture/force_ceiling_n,Fixture/lost_backed_off_fraction,Fixture/lost_fraction,Fixture/lost_lifted_off_fraction,Fixture/lost_slid_off_fraction,Fixture/mean_error_n,Fixture/relative_force_error,Fixture/relative_force_error_ema,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
12055,1790237172.528,-0.01586942,-0.0208032,0.03599999,-0.001347736,0,-3.188264e-05,0,-0.006229676,-0.0002996415,-0.0001696263,-0.004123752,-4.748554e-05,0,-8.428175e-05,0.02806667,-0.0009112952,0,0,-0.0007592912,0,0,0,-0.0009596292,-0.00121743,0.01988514,0.01092043,-0.0001555537,-0.0001137229,0.01367859,0.03925338,0.01901054,0.04372075,15,0,0,0,0,,,,0.0004593219,1e-05,29.06921,0.0005307799,2.712297e-09,4.117547e-05,3.027979e-05,0.1057247,0.95,0.05,0,1e-05,0.02161868,0.1775462,1.275868,1.472013,35774,1.234134,14.57,1.910354
12056,1790237175.184,-0.03217939,-0.03783525,0.07199996,-0.003208113,0,-6.083064e-05,0,-0.01046854,-0.0004583502,-0.0004313771,-0.007078581,-9.80794e-05,0,-0.0002246623,0.063825,-0.002271682,0,0,-0.001770875,0,0,0,-0.002295595,-0.002131432,0.03925033,0.02169367,-0.0003120616,-0.0002406531,0.02943488,0.07892556,0.03617913,0.08684276,15,0,0,0,0,,,,0.0007550574,1e-05,29.06776,0.0008558949,2.43751e-09,5.820095e-05,4.263405e-05,0.03937741,0.9,0.1,0,1e-05,0.01887181,0.03094049,1.106025,1.539435,37159,1.23401,35.86,4.735479
12057,1790237177.918,-0.04995281,-0.05681653,0.1079999,-0.005635919,0,-8.474741e-05,0,-0.01862021,-0.0007418296,-0.001102584,-0.01181565,-0.0001462459,0,-0.0003229017,0.09297498,-0.003158294,0,0,-0.002567809,0,0,0,-0.003147389,-0.002041177,0.05939518,0.0326876,-0.0004989397,-0.0003999461,0.04125653,0.114896,0.05241796,0.1233948,15,0,0,0,0,,,,0.0007900742,1e-05,29.06522,0.0009161456,2.829865e-09,8.386883e-05,4.219974e-05,0.009890163,0.05,0.1,0,1e-05,-0.003553924,0.06877467,1.173666,1.550644,36083,1.233802,60.62,7.918706
12058,1790237180.716,-0.0617834,-0.07664641,0.1439999,-0.006920874,0,-0.0002021055,0,-0.0246754,-0.0009480458,-0.006868349,-0.01658879,-0.0001933499,-0.00137,-0.0004411554,0.1321349,-0.004492255,-0.000821149,-0.0004294439,-0.004166873,0,0,0,-0.006189448,-0.003748333,0.0757447,0.03400607,-0.0006561649,-0.0005467738,0.0544863,0.1545398,0.06602301,0.1647929,15,0,0,0,0,,,,0.0008830416,2.25e-05,29.06202,0.00107334,3.517654e-09,0.0001480171,4.227766e-05,0.008550965,0,0.15,0,2.25e-05,-0.007592028,0.3265685,1.241645,1.547307,35247,1.233657,89.13,11.12572
12059,1790237183.523,-0.08051242,-0.09460976,0.1799999,-0.008844828,-0.002595117,-0.0001461357,0,-0.03230553,-0.001171487,-0.005976568,-0.02105143,-0.0002406041,-0.0011675,-0.0004916032,0.1586686,-0.00509668,-0.0007740821,0,-0.005042103,0.002693494,-0.025,-0.0006218076,-0.007041956,-0.004562368,0.09628062,0.04705321,-0.0008151545,-0.0006530861,0.06698421,0.1866919,0.07795827,0.2107684,15,0,0.2857143,0.2857143,0,,,,0.001000452,5.0625e-05,29.06322,0.001369893,3.921251e-09,0.0003203722,4.906478e-05,0.009975575,0,0.15,0,5.0625e-05,-0.01069743,0.6705988,1.273735,1.522915,35150,1.234027,114.12,13.58907
12060,1790237186.314,-0.09534057,-0.1154055,0.2156,-0.01097804,-0.03053248,-0.000340493,-0.008666668,-0.03578898,-0.00140743,-0.003993399,-0.0234292,-0.0002809064,-0.0007186667,-0.0004949406,0.1906598,-0.006141872,-0.0003969489,-2.510131e-06,-0.005922401,0.02460508,-0.06666668,-0.003914713,-0.01025084,-0.004608949,0.1135191,0.05955386,-0.0009674301,-0.0008017029,0.08217625,0.2236689,0.08828965,0.2499351,15,0,0.7142857,0.7142857,0,,,,0.001042044,7.59375e-05,29.07457,0.001897726,4.696192e-09,0.0008002656,5.541218e-05,0.01045367,0,0.1,0,7.59375e-05,-0.01278456,1.532111,1.261122,1.521058,35333,1.235246,140.67,16.00308
12061,1790237189.136,-0.1114247,-0.1317387,0.2520002,-0.01426496,-0.02548473,-0.000364862,-0.002777778,-0.04257066,-0.001664353,-0.007100246,-0.0277032,-0.0003301714,0,-0.0005179031,0.2209859,-0.007527435,0,0,-0.007132655,0.022704,-0.07222223,-0.00344986,-0.01202108,-0.005301147,0.1318029,0.07435956,-0.001156245,-0.0009580133,0.09589058,0.2590248,0.09823589,0.290241,15,0,0.7647059,0.7058824,0.05882353,4.995151,0.5803924,0.4974993,0.0009906817,7.59375e-05,29.09413,0.002284023,5.352963e-09,0.001236749,5.658731e-05,0.01054138,0,0.05,0,7.59375e-05,-0.01255948,1.907023,1.275749,1.535909,34962,1.236454,163.8,18.60456
12062,1790237191.979,-0.1297423,-0.1545421,0.2880004,-0.01399709,-0.04063773,-0.0003900816,-0.0003125,-0.04865107,-0.001895049,-0.007498927,-0.03166891,-0.0003829421,-0.0008250002,-0.0006433729,0.2605403,-0.008588333,-0.0005137531,-5.952382e-05,-0.007802432,0.02836718,-0.06875001,-0.004871177,-0.01286532,-0.006177302,0.1518645,0.07999601,-0.001297693,-0.001079569,0.1111659,0.3059853,0.1203974,0.3378157,15,0,0.7333333,0.6666667,0.06666668,6.049973,0.6279948,0.5190923,0.0009160605,7.59375e-05,29.11061,0.002392162,6.279676e-09,0.001422605,5.349042e-05,0.01056233,0,0.05,0,7.59375e-05,-0.01396439,1.621905,1.264374,1.568948,34695,1.237534,187.27,21.66283
12063,1790237194.807,-0.144151,-0.1713526,0.3234174,-0.0175352,-0.05266921,-0.0007199917,-0.001666667,-0.05650377,-0.002102991,-0.01018831,-0.0364729,-0.0004241275,-0.0007355557,-0.0006645876,0.2890885,-0.009500237,-0.0006944895,0,-0.009393362,0.04113477,-0.09444445,-0.008615499,-0.01771535,-0.007105987,0.1679963,0.08968937,-0.001470025,-0.001215627,0.1243931,0.3311743,0.1342794,0.3810505,15,0,1,0.882353,0.1176471,2.361677,0.8412253,0.5606718,0.0008532894,5.0625e-05,29.12554,0.002445654,6.240098e-09,0.001541942,5.041593e-05,0.01032494,0.05,0.05,0,5.0625e-05,-0.00963442,1.801893,1.270857,1.548516,34867,1.23834,211.12,24.38309
12064,1790237197.668,-0.1451822,-0.1708122,0.3220007,-0.01737624,-0.1078537,-0.0002842013,-0.002777778,-0.05387645,-0.002102877,-0.005505684,-0.03502567,-0.0004147816,0,-0.0006815947,0.2840219,-0.009612394,0,0,-0.008933045,0.08541963,-0.06666668,-0.02542931,-0.01406319,-0.006848319,0.1700827,0.09549911,-0.001438593,-0.001198224,0.1238932,0.3328449,0.131208,0.3792233,15,0,0.6666667,0.4444445,0.2222222,1.077087,0.4553683,0.5480101,0.0008381056,7.59375e-05,29.13778,0.002267828,5.906431e-09,0.001380038,4.967807e-05,0.009986293,0,0.1,0,7.59375e-05,-0.01157178,0.8301666,1.274407,1.575763,34490,1.239276,224.84,25.60012
12065,1790237200.496,-0.1539582,-0.1902422,0.3516009,-0.0197587,-0.09799843,-0.0004755285,0,-0.05742811,-0.002218233,-0.01336378,-0.03772921,-0.0004587448,0,-0.0008447613,0.3068196,-0.01013315,0,0,-0.00894242,0.06909381,-0.1,-0.020063,-0.01433049,-0.007025742,0.1881882,0.1049731,-0.001554039,-0.001234977,0.1368195,0.3709138,0.1240203,0.4115351,15,0,1,0.8000001,0.2,3.888117,0.6699655,0.5455681,0.0008594613,5.0625e-05,29.14973,0.002140563,6.003418e-09,0.001229539,5.155688e-05,0.01183971,0.1,0.1,0,5.0625e-05,-0.008291407,0.7572823,1.257417,1.562014,34866,1.239915,221.56,25.41145
12066,1790237203.339,-0.1656023,-0.2001355,0.367834,-0.02103723,-0.1438875,-0.0005479777,-0.00388889,-0.06697171,-0.002462458,-0.008326631,-0.04310948,-0.0004738833,-0.002108889,-0.0006795817,0.3367552,-0.01077465,-0.00143541,-0.0002246049,-0.01082042,0.1014961,-0.05555556,-0.01119116,-0.01662151,-0.008099451,0.1901724,0.09365873,-0.001721006,-0.001462881,0.1383057,0.3779377,0.145384,0.4290985,15,0,0.625,0.625,0,1.803581,0.531023,0.5508009,0.0008690551,7.59375e-05,29.15798,0.002131177,5.957644e-09,0.001211166,5.094951e-05,0.00957196,0,0.1,0,7.59375e-05,-0.01233144,0.6803651,1.267503,1.564892,34707,1.240478,230.41,26.16759
12067,1790237206.161,-0.1631939,-0.1892084,0.3609004,-0.02000855,-0.1091382,-0.0004129612,0,-0.06519783,-0.002501134,-0.00656744,-0.04272998,-0.000460836,-0.004084002,-0.0008941579,0.3487298,-0.01076135,-0.002613699,-0.0003988624,-0.009940913,0.08921637,-0.04,-0.002811297,-0.01709103,-0.007350793,0.1897279,0.07882877,-0.001687251,-0.001451024,0.140935,0.3832113,0.1534549,0.4255014,15,0,0.5,0.5,0,3.672253,0.3726606,0.533675,0.000878195,7.59375e-05,29.16775,0.002160827,6.101077e-09,0.001229221,5.340449e-05,0.009835511,0,0.05,0,7.59375e-05,-0.01184781,0.7746837,1.257496,1.555071,34951,1.241253,237.94,26.92997
