step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/fixture_lost,Episode_Reward/fixture_seat,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Fixture/force_ceiling_n,Fixture/lost_backed_off_fraction,Fixture/lost_fraction,Fixture/lost_lifted_off_fraction,Fixture/lost_slid_off_fraction,Fixture/mean_error_n,Fixture/relative_force_error,Fixture/relative_force_error_ema,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
13506,1790241887.885,-0.01531385,-0.02251795,0.03599999,-0.001379451,0,-7.417735e-05,0,-0.005353603,-0.0001381153,-0.0003141831,-0.003518791,-5.125787e-05,0,-9.778811e-05,0.02763334,-0.0007860727,0,0,-0.0007065006,0,0,0,-0.0007661609,-0.0009880085,0.01953904,0.01082524,-0.0001784726,-0.0001451263,0.01430534,0.03917779,0.0206913,0.04362917,30,0,0,0,0,,,,0.0004689498,1e-05,29.37874,0.0005374272,1.959147e-10,3.494692e-05,3.353028e-05,0.03944498,0.8,0.05,0,1e-05,0.007380993,0.1792387,1.273078,1.480175,35704,1.269556,14.57,1.962244
13507,1790241890.541,-0.03019557,-0.04135124,0.07199996,-0.002922107,0,-0.0001471629,0,-0.0100127,-0.0003813492,-0.0004146792,-0.006375737,-0.0001011245,0,-0.0002641995,0.06122501,-0.001996421,0,0,-0.001315219,0,0,0,-0.002379317,-0.001742502,0.04014146,0.0219399,-0.0003237569,-0.0002371571,0.03023002,0.07620326,0.03683562,0.08794174,30,0,0,0,0,,,,0.0007517034,1e-05,29.37469,0.0008419969,3.857477e-11,4.189678e-05,4.839668e-05,0.01560155,0.3,0.1,0,1e-05,-0.003323365,0.03821214,1.092565,1.553696,37148,1.269253,36.08,4.801604
13508,1790241893.232,-0.04786474,-0.06190475,0.1079999,-0.004783042,0,-0.0001783606,0,-0.01942417,-0.0006007724,-0.00240915,-0.01197946,-0.0001485245,0,-0.0003606478,0.0868,-0.002534146,0,0,-0.002297217,0,0,0,-0.003669317,-0.002426241,0.06018329,0.03290563,-0.0004926474,-0.0003731937,0.04942249,0.1181598,0.06069748,0.1330468,30,0,0,0,0,,,,0.0008399457,1e-05,29.36905,0.0009364407,1.225414e-11,5.094887e-05,4.554617e-05,0.0113048,0.2,0.1,0,1e-05,-0.005466868,0.03419771,1.141295,1.540157,36660,1.268818,60.77,8.13945
13509,1790241895.962,-0.05893414,-0.08320034,0.1439999,-0.006013238,-0.002935457,-0.0001445572,0,-0.0218532,-0.0008280244,-0.002252469,-0.01489164,-0.0001938294,-0.001364,-0.0003807804,0.1299249,-0.003542497,-0.0008922207,-0.0001769891,-0.003328361,0.001831162,-0.01,-0.0002918757,-0.004919779,-0.002984973,0.08009076,0.03517591,-0.0007135909,-0.0005733901,0.05850933,0.1563978,0.07315021,0.1714701,30,0,0.1666667,0,0.1666667,,,,0.000876303,3.375e-05,29.36055,0.0009995286,5.610129e-12,7.331294e-05,4.991257e-05,0.00858177,0,0.2,0,3.375e-05,-0.007692754,0.2059416,1.1739,1.547174,36126,1.268187,88.08,11.56804
13510,1790241898.777,-0.07587732,-0.1049801,0.1799999,-0.007857095,-0.004671887,-0.0002049901,0,-0.02682739,-0.001043374,-0.002828474,-0.01788969,-0.0002451653,-0.00062,-0.0004104655,0.1555999,-0.004189705,-0.0004314264,0,-0.004103194,0.006973768,-0.06153847,-0.0009181429,-0.006391054,-0.003803925,0.09974095,0.05056476,-0.0008171829,-0.0006462284,0.074012,0.1928264,0.08333506,0.2158596,30,0,0.6666667,0.25,0.4166667,,,,0.0009005399,5.0625e-05,29.35836,0.001101957,5.162639e-12,0.0001473917,5.402567e-05,0.008002557,0,0.1,0,5.0625e-05,-0.01057315,0.9591593,1.219403,1.585504,35047,1.268653,115.11,14.3878
13511,1790241901.562,-0.09244768,-0.1229732,0.2141399,-0.01013354,-0.01408166,-0.0001942023,0,-0.03368157,-0.001207572,-0.002584914,-0.02222603,-0.0002896317,-0.00036,-0.000596486,0.1822218,-0.005197435,-0.0002373009,0,-0.004811673,0.01448178,-0.088,-0.002830848,-0.007757286,-0.004465486,0.118537,0.06244081,-0.0009600915,-0.0007779709,0.08648871,0.2230403,0.1032846,0.2537409,30,0.04166667,0.9166667,0.25,0.625,,,,0.0008978646,5.0625e-05,29.37754,0.001369554,5.961398e-12,0.000411839,5.985067e-05,0.01288216,0.1,0.15,0,5.0625e-05,-0.01408258,2.848651,1.220081,1.556074,35410,1.270534,141.3,16.84373
13512,1790241904.371,-0.1067462,-0.1448637,0.2520002,-0.01130331,-0.01714893,-0.000256972,0,-0.03854265,-0.001510111,-0.002754737,-0.02491292,-0.0003371496,0,-0.0006128236,0.2134748,-0.006201148,0,0,-0.005811555,0.0172211,-0.06875001,-0.003862341,-0.009254864,-0.005133358,0.1383969,0.0762135,-0.001180946,-0.0009669826,0.1025743,0.2658974,0.1226886,0.300631,30,0,0.7333333,0.2,0.5333334,,,,0.0008665934,7.59375e-05,29.40071,0.00162568,6.699519e-12,0.0006917157,6.737121e-05,0.009174009,0,0.1,0,7.59375e-05,-0.01130304,2.567069,1.235093,1.564103,35118,1.271867,165.48,20.01174
13513,1790241907.194,-0.1233043,-0.1683375,0.2880004,-0.0136845,-0.02821545,-0.00032583,-0.0004166667,-0.04613517,-0.001704732,-0.005395234,-0.03013973,-0.000385082,-0.00054,-0.0007124047,0.247283,-0.006847323,-0.0003753969,-2.111848e-05,-0.006662369,0.02303281,-0.08333334,-0.005044443,-0.01092166,-0.006111132,0.1577781,0.08336522,-0.001350873,-0.001096578,0.1196852,0.2980242,0.1412793,0.3418976,35,0,0.8695652,0.5217391,0.3478261,0.03470467,0.07082586,0.0951817,0.000845478,0.0001139063,29.42491,0.001779364,7.533024e-12,0.0008648443,6.904142e-05,0.01240542,0,0.1,0,0.0001139063,-0.01323512,2.442504,1.2426,1.572995,34914,1.273723,187.41,22.50571
13514,1790241910.026,-0.1373789,-0.180575,0.320465,-0.01507694,-0.01626594,-0.0003614338,0,-0.05063886,-0.001848621,-0.004026871,-0.03353299,-0.0004306606,-0.001042857,-0.0006999549,0.2790854,-0.007926589,-0.0007209087,0,-0.007321892,0.01527837,-0.09285714,-0.002839589,-0.01108227,-0.006293579,0.1765384,0.09008607,-0.001482097,-0.001219657,0.1309647,0.3421433,0.1594032,0.3816178,35,0,1,0.3076923,0.6923077,1.469848,0.2360706,0.1355877,0.0008419408,0.0001139063,29.45001,0.001911512,8.046919e-12,0.001000553,6.901815e-05,0.01275183,0,0.05,0,0.0001139063,-0.01534957,1.920702,1.234864,1.58744,34831,1.275456,207.11,25.19561
13515,1790241912.843,-0.1230244,-0.1712846,0.2907505,-0.01335195,-0.06878026,-0.000333684,0,-0.04632538,-0.00172977,-0.006722386,-0.03052655,-0.0003872849,0,-0.000778218,0.244558,-0.007416649,0,0,-0.00690888,0.04430762,-0.06666668,-0.004166867,-0.009232817,-0.006621193,0.159283,0.08781213,-0.001325909,-0.001038833,0.121383,0.2828816,0.1424734,0.3431121,35,0,0.6666667,0.3333333,0.3333333,2.412376,0.2591103,0.1798877,0.0008403932,0.0001139063,29.47182,0.001825796,8.306694e-12,0.0009144634,7.093966e-05,0.01424456,0,0.05,0,0.0001139063,-0.01290153,0.5587269,1.231766,1.575057,35023,1.27663,202.95,24.05786
