step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/fixture_lost,Episode_Reward/fixture_seat,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Fixture/force_ceiling_n,Fixture/lost_backed_off_fraction,Fixture/lost_fraction,Fixture/lost_lifted_off_fraction,Fixture/lost_slid_off_fraction,Fixture/mean_error_n,Fixture/press_lost_fraction,Fixture/press_slip_radius_m,Fixture/relative_force_error,Fixture/relative_force_error_ema,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
14110,1790243726.221,-0.0197272,-0.02679556,0.03599999,-0.001496776,0,-5.109698e-05,0,-0.00695634,-0.0001824867,-0.0001055751,-0.004707144,-5.000444e-05,0,-0.0001393247,0.02741667,-0.001028278,0,0,-0.0007424517,0,0,0,-0.001025978,-0.001221735,0.01949634,0.01081186,-0.0001910899,-0.0001786532,0.01406131,0.03827211,0.02170624,0.04338052,30,0,0,0,0,,,0.15,,,0.0005840267,1e-05,31.71552,0.0006620748,6.885349e-13,3.257494e-05,4.547316e-05,0.06436016,0.95,0.05,0,1e-05,0.01973505,0.119004,1.297405,1.488261,35289,1.445013,14.57,1.742157
14111,1790243728.912,-0.03907456,-0.05157229,0.07199996,-0.002928116,0,-6.345446e-05,0,-0.01339716,-0.0003693299,-0.0007486714,-0.008894263,-0.0001010286,0,-0.0002424162,0.05862501,-0.002350477,0,0,-0.001553071,0,0,0,-0.002254921,-0.002061463,0.03984271,0.02185923,-0.0003656221,-0.0003402863,0.02693351,0.07411142,0.03539693,0.08561599,30,0,0,0,0,,,0.15,,,0.0009454879,1.5e-05,31.70743,0.001059147,4.043492e-09,4.286462e-05,7.079062e-05,0.0126485,0.3,0.2,0,1.5e-05,-0.001490388,0.0197546,1.122083,1.559084,36664,1.444386,35.86,4.248833
14112,1790243731.657,-0.06107865,-0.07461303,0.1079999,-0.005117807,0,-8.363108e-05,-0.0025,-0.02580493,-0.0005989941,-0.0004366833,-0.016366,-0.0001492835,0,-0.0004486606,0.08387499,-0.002971937,0,0,-0.002620091,0,0,0,-0.004489856,-0.002827471,0.05881779,0.03252757,-0.0006536827,-0.0005499113,0.03959919,0.1011723,0.0610182,0.1238703,30,0,0,0,0,,,0.15,,,0.001001781,5.0625e-05,31.6927,0.001121218,9.866487e-10,4.581105e-05,7.362571e-05,0.00896841,0.05,0.25,0,5.0625e-05,-0.00570323,0.03317051,1.152204,1.583393,35935,1.442378,60.62,7.021633
14113,1790243734.458,-0.07643071,-0.1015497,0.1439999,-0.005970798,0,-8.915358e-05,0,-0.02928378,-0.0008107044,-0.001563629,-0.01961318,-0.0001968836,-0.001488889,-0.0004666005,0.1282999,-0.004483852,-0.0009034118,-1.140488e-05,-0.003767143,0,0,0,-0.005229705,-0.003663892,0.07799237,0.03376327,-0.0008139006,-0.0007347238,0.05510179,0.1244891,0.06995721,0.1716464,30,0,0,0,0,,,0.15,,,0.001037957,7.59375e-05,31.65833,0.001182957,1.210164e-10,6.363461e-05,8.136489e-05,0.008119245,0,0.1,0,7.59375e-05,-0.009382955,0.1026848,1.217707,1.573756,35215,1.439657,87.19,9.889582
14114,1790243737.256,-0.1004445,-0.1289877,0.1799999,-0.006961351,-0.00264,-0.0001025566,-0.001666667,-0.03709279,-0.0009911747,-0.001946094,-0.02492562,-0.0002443827,-0.001036667,-0.0005705991,0.1538749,-0.005447987,-0.0008208246,-0.00161315,-0.005055059,0.001867731,-0.01666667,-0.0006307164,-0.007652234,-0.004871991,0.09663251,0.04505464,-0.0009812107,-0.0009323636,0.06489946,0.1541936,0.08385561,0.2136192,30,0,0.2,0.2,0,,,0.15,,,0.001054435,7.59375e-05,31.63223,0.001278751,1.505308e-11,0.0001334553,9.086094e-05,0.01326603,0.1,0.15,0,7.59375e-05,-0.0125635,0.521026,1.237543,1.551859,35241,1.438701,111.36,12.11393
14115,1790243740.042,-0.1147505,-0.1520643,0.2159999,-0.009342732,-0.01715076,-0.000112733,0,-0.04010187,-0.001223003,-0.003546673,-0.02728822,-0.0002932728,-0.001113334,-0.0005776521,0.1867081,-0.006406762,-0.0004389661,-0.0002571783,-0.005654091,0.01226736,-0.06666668,-0.002916715,-0.008623447,-0.004746813,0.117412,0.05967873,-0.001191392,-0.001076052,0.08066584,0.1865499,0.1035431,0.2513916,30,0,0.7272727,0.7272727,0,,,0.15,,,0.001070931,0.0001139063,31.63539,0.001670056,2.114584e-12,0.0005011612,9.796351e-05,0.009412811,0,0.1,0,0.0001139063,-0.01554749,1.536446,1.222245,1.552915,35422,1.439776,139.59,14.05061
14116,1790243742.846,-0.1340809,-0.1764534,0.2463751,-0.01057341,-0.02889669,-0.0001175248,0,-0.04780234,-0.001356743,-0.001810225,-0.03134021,-0.0003322018,0,-0.0007102578,0.2062456,-0.007361235,0,0,-0.006396802,0.02128932,-0.05,-0.00545569,-0.01030757,-0.006464364,0.1331235,0.07391264,-0.001345324,-0.001197419,0.09148386,0.198101,0.1150165,0.2865577,35,0,0.5454546,0.5454546,0,3.976704,,0.15,0.3550917,,0.00108794,5.0625e-05,31.65527,0.002094954,4.902085e-13,0.0009035746,0.0001034399,0.01454298,0.15,0.1,0,5.0625e-05,-0.01520685,1.74045,1.241301,1.554431,35162,1.441295,162.23,16.13992
14117,1790243745.664,-0.1583249,-0.2022467,0.2880004,-0.01248552,-0.02776871,-0.0001621185,-0.0005,-0.05873873,-0.001645219,-0.006225403,-0.03889407,-0.0003929682,-0.001664,-0.0008720394,0.2541297,-0.0087777,-0.0008043572,-0.0002638375,-0.00789587,0.0245972,-0.05,-0.006483793,-0.01104968,-0.006319738,0.1548273,0.07764801,-0.001609932,-0.001482617,0.1049912,0.2311642,0.1258678,0.3300264,35,0,0.5555556,0.5555556,0,0.3058902,,0.15,0.3557683,0.2599967,0.001105552,0.0001139063,31.67294,0.002493649,3.669591e-13,0.001282737,0.0001053606,0.01375849,0.05,0.2,0,0.0001139063,-0.01531202,1.9935,1.240977,1.566189,35018,1.442873,187.24,19.16561
14118,1790243748.502,-0.1746877,-0.2281098,0.3201569,-0.01392658,-0.04457761,-0.0001449597,-0.000625,-0.06353132,-0.001807178,-0.004743505,-0.04220609,-0.0004341558,-0.0008525003,-0.0008643001,0.2772122,-0.00997431,-0.0006305337,-6.378028e-06,-0.008811745,0.03254467,-0.075,-0.01235761,-0.0133467,-0.007610975,0.1729442,0.09004614,-0.001725352,-0.001588141,0.1186456,0.2552091,0.1532432,0.3718828,35,0.06666668,0.8000001,0.6666667,0.2,2.641064,,0.15,0.4772581,0.2892734,0.001095609,0.0001139063,31.69359,0.002632711,3.55964e-13,0.001420129,0.0001169736,0.01357071,0.05,0.1,0,0.0001139063,-0.01433746,1.72462,1.264221,1.563536,34763,1.444228,210.24,21.49035
14119,1790243751.351,-0.1960831,-0.2591359,0.3600009,-0.01574465,-0.1143168,-0.0002071297,-0.0008333334,-0.07128899,-0.001984769,-0.006930079,-0.04819928,-0.0004800431,0,-0.0008807241,0.3024413,-0.01095433,0,0,-0.009991563,0.07420539,-0.06666668,-0.0237045,-0.01767526,-0.008644968,0.1921396,0.1073236,-0.002015752,-0.001811016,0.1323168,0.2910727,0.1573277,0.413177,35,0.1666667,0.6666667,0.6666667,0,2.432193,,0.15,0.2678232,0.2988718,0.001073194,7.59375e-05,31.7087,0.002721058,3.826524e-13,0.00152153,0.0001263349,0.01437603,0.1,0.1,0,7.59375e-05,-0.01484984,1.012542,1.280304,1.55765,34639,1.445197,227.24,23.20626
