step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/fixture_lost,Episode_Reward/fixture_seat,Episode_Reward/fixture_tool_speed,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Fixture/force_ceiling_n,Fixture/lost_backed_off_fraction,Fixture/lost_fraction,Fixture/lost_lifted_off_fraction,Fixture/lost_slid_off_fraction,Fixture/mean_error_n,Fixture/press_lost_fraction,Fixture/press_slip_radius_m,Fixture/relative_force_error,Fixture/relative_force_error_ema,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
14482,1790244839.199,-0.0139303,-0.02054745,0.03599999,-0.001227012,0,-3.032251e-05,0,-0.004266193,-0.0001170299,0,-0.002938632,-5.123749e-05,0,-0.0001155613,0.03088333,-0.001015174,0,0,-0.0007008146,0,0,0,0,-0.0005408913,-0.00133444,0.02028549,0.01103068,-0.0001678957,-0.0001313676,0.01582165,0.04017846,0.02149825,0.04471814,30,0,0,0,0,,,0.15,,,0.0004023371,1e-05,28.31799,0.0004559205,6.599989e-10,2.239304e-05,3.118967e-05,0.069149,0.95,0.05,0,1e-05,0.02014482,0.09451736,1.295577,1.490036,35289,1.200461,14.57,2.033833
14483,1790244841.894,-0.02718958,-0.03842838,0.07199996,-0.002525682,0,-3.216147e-05,0,-0.008226499,-0.0002881495,0,-0.005468794,-0.0001018176,0,-0.0001695705,0.06480001,-0.001922944,0,0,-0.001352115,0,0,0,0,-0.001471816,-0.002104125,0.04151765,0.02231691,-0.0003052606,-0.0002265792,0.031511,0.07853433,0.03724547,0.08827709,30,0,0,0,0,,,0.15,,,0.0005727087,2.25e-05,28.30745,0.0006498179,4.111153e-10,3.354995e-05,4.355887e-05,0.008695949,0,0.15,0,2.25e-05,-0.00425504,0.01330671,1.117295,1.567942,36609,1.199265,35.86,5.099051
14484,1790244844.595,-0.04228379,-0.05815855,0.1079999,-0.003767156,0,-9.050691e-05,0,-0.01585038,-0.0004992135,0,-0.009992572,-0.0001508468,0,-0.000263279,0.09459998,-0.002384014,0,0,-0.002446911,0,0,0,0,-0.002719058,-0.00201944,0.06085522,0.03308407,-0.0005170336,-0.0003918362,0.04888504,0.1118274,0.05917849,0.1255604,30,0,0,0,0,,,0.15,,,0.0006056143,3.375e-05,28.27793,0.0006852523,4.976555e-11,3.587867e-05,4.375926e-05,0.007657605,0,0.1,0,3.375e-05,-0.009670935,0.01439618,1.123426,1.56817,36522,1.196871,60.62,8.592237
14485,1790244847.332,-0.05287331,-0.07613611,0.1439999,-0.00514193,-0.0007200001,-7.675846e-05,0,-0.0192268,-0.0007785914,-0.003350667,-0.0128296,-0.0001967906,-0.001096,-0.0002175594,0.1373349,-0.003642979,-0.0008617264,-1.891733e-05,-0.003412286,0.001239765,-0.01,-3.180689e-05,-0.001060613,-0.003555458,-0.002821441,0.07983556,0.03511985,-0.000685481,-0.0005793501,0.06166777,0.1486156,0.0754595,0.1745039,30,0,0.1666667,0.1666667,0,,,0.15,,,0.0005979295,7.59375e-05,28.23611,0.0007012376,7.016375e-12,6.017716e-05,4.313092e-05,0.009206852,0,0.15,0,7.59375e-05,-0.007180128,0.1124722,1.158545,1.569874,36029,1.194374,87.68,12.16866
14486,1790244850.109,-0.06786647,-0.09506109,0.1799999,-0.006841648,-0.01055166,-9.745199e-05,-0.0005,-0.02418325,-0.001009424,-0.0005885779,-0.01558782,-0.0002439921,-0.0009700001,-0.0002790019,0.1685648,-0.004594151,-0.000563631,0,-0.004162378,0.009816626,-0.05,-0.002014628,-0.005341459,-0.004367846,-0.003549367,0.0999456,0.04938642,-0.0008507745,-0.0006927698,0.07726293,0.1699143,0.09021752,0.2195785,30,0,0.5555556,0.5555556,0,,,0.15,,,0.0006044964,7.59375e-05,28.21608,0.0007788967,9.625614e-13,0.0001290518,4.534854e-05,0.01156603,0.05,0.1,0,7.59375e-05,-0.009355216,0.5417794,1.190001,1.57788,35515,1.194309,112.18,15.14752
14487,1790244852.881,-0.08065812,-0.1127657,0.2159999,-0.008652685,-0.01954703,-6.40915e-05,0,-0.02848305,-0.001262131,-0.002244817,-0.01822156,-0.0002907663,-0.001234,-0.0002843934,0.2040198,-0.005195286,-0.0006057584,-2.957247e-05,-0.004757277,0.01530572,-0.06,-0.005555495,-0.01549055,-0.006225287,-0.003955577,0.120879,0.05955687,-0.0009871048,-0.0008023236,0.09348359,0.206753,0.1119416,0.2586678,35,0.1111111,0.6666667,0.6666667,0,0.4045016,,0.15,0.2000761,,0.000622673,0.0001139063,28.22817,0.001122006,1.562727e-13,0.0004500268,4.930646e-05,0.01296966,0,0.1,0,0.0001139063,-0.01073117,1.276533,1.199899,1.562871,35581,1.195692,138.71,17.73547
14488,1790244855.682,-0.09281079,-0.1351781,0.2520002,-0.00936198,-0.01759773,-8.333849e-05,0,-0.03073352,-0.001442419,-0.002319291,-0.01962221,-0.000339871,0,-0.0002804333,0.2348706,-0.006027869,0,0,-0.005706882,0.01234297,-0.05833334,-0.001160742,-0.00760881,-0.006872536,-0.004015687,0.1406216,0.07683919,-0.001131396,-0.0009051461,0.1097026,0.2305127,0.1236716,0.3064139,35,0,0.6363636,0.6363636,0,0.4045016,,0.15,0.2000761,,0.0006231009,0.0001139063,28.25494,0.001393192,4.911098e-14,0.0007173343,5.275651e-05,0.01112447,0,0.05,0,0.0001139063,-0.01283658,1.512756,1.213241,1.578196,35216,1.197576,161.41,20.27967
14489,1790244858.499,-0.1087666,-0.1497902,0.2880004,-0.01117747,-0.02836876,-0.0001609385,0,-0.03679202,-0.001639137,-0.004756361,-0.02423768,-0.000388668,-0.001342222,-0.0004567398,0.2745108,-0.007072908,-0.0009174917,-0.0001885766,-0.006638238,0.02212546,-0.04444445,-0.006381925,-0.01442359,-0.007348673,-0.005662288,0.1594028,0.07787015,-0.001342103,-0.001107597,0.1236949,0.2736629,0.1393965,0.3507883,35,0.125,0.5,0.5,0,0.1394031,,0.15,0.1645663,0.4375226,0.0006295342,0.0001139063,28.28533,0.001655205,3.155353e-14,0.0009715947,5.407601e-05,0.01157546,0,0.05,0,0.0001139063,-0.01316448,1.306777,1.217083,1.589449,35026,1.199255,186.54,23.98786
14490,1790244861.314,-0.1163225,-0.16044,0.3048756,-0.01336033,-0.008485787,-0.00010595,0,-0.04103528,-0.001809407,-0.0002473411,-0.02808779,-0.0004140725,-0.003325,-0.0004956028,0.3029872,-0.007848091,-0.002780874,0,-0.007599487,0.009894691,-0.025,-0.06996751,-0.1128395,-0.008167222,-0.004997175,0.1694525,0.06859,-0.001332492,-0.001121904,0.1268888,0.2853923,0.1513035,0.3681485,35,0.6666667,0.3333333,0.3333333,0,1.556581,,0.15,0.2116408,0.344607,0.0006243751,0.0001139063,28.31259,0.001859352,2.948368e-14,0.00116578,6.919709e-05,0.0150173,0.05,0.1,0,0.0001139063,-0.01399262,0.9897819,1.226116,1.579053,35043,1.200852,206.68,26.21129
14491,1790244864.103,-0.1003176,-0.1396583,0.2700004,-0.009971714,-0.03120475,-0.0001580143,0,-0.03591102,-0.001550041,-0.005269337,-0.02315392,-0.0003614745,0,-0.0004277158,0.2429998,-0.00660558,0,0,-0.005681404,0.0231368,-0.05,-0.04793435,-0.05590467,-0.00596857,-0.005346016,0.1505817,0.0822981,-0.001177025,-0.000951827,0.1177032,0.275337,0.118468,0.3225425,35,0.5,0.5,0.5,0,2.836493,,0.15,0.180749,0.3484379,0.0006296294,7.59375e-05,28.32783,0.001847858,2.951075e-14,0.00113992,7.830804e-05,0.0106917,0.1,0.1,0,7.59375e-05,-0.01118212,0.2597312,1.231503,1.545899,35394,1.201046,223.21,28.04639
