step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/mech_effort,Episode_Reward/mech_overspeed,Episode_Reward/mech_progress,Episode_Reward/mech_torn,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Mechanism/frontier_opened_ema,Mechanism/frontier_opened_fraction,Mechanism/latch_released_fraction,Mechanism/opened_fraction,Mechanism/opened_hinge,Mechanism/opened_pull,Mechanism/opened_push,Mechanism/opened_side,Mechanism/opened_up,Mechanism/peak_ceiling_n,Mechanism/torn_fraction,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
13000,1790256230.015,-0.01649921,-0.02403157,0.03599999,-0.002464934,0,-0.0001020267,0,-0.008705661,-0.0001519009,-0.01056994,-0.006911982,-5.001749e-05,-0.002346667,-0.0001318935,0.02698334,-0.00103193,-0.001260603,-0.003711491,-0.001372466,-0.001860751,-0.002560856,0,0,0,0,0.0181009,0,-0.0003117428,-0.000201665,0.01291421,0.03482363,0.01964186,0.03192755,0.0005097311,1e-05,29.42681,0.0005963013,4.424136e-10,5.414509e-05,3.242462e-05,0.09626631,0.95,0.05,0,1e-05,0.02612986,0.3699993,,,,,,,,,,15,,1.197907,1.553559,35727,1.271222,12.4,1.621372
13001,1790256232.589,-0.03012791,-0.0428797,0.07199996,-0.002356241,0,-5.256911e-05,0,-0.0123695,-0.000373974,-0.0002010605,-0.008651702,-9.871061e-05,-0.001664,-0.0002189236,0.07168999,-0.00179054,-0.001409653,-3.63206e-05,-0.001974484,-0.002594271,-0.002138263,0,0,0,0,0.03869736,0.008742871,-0.0003808522,-0.0003419913,0.02927265,0.07991892,0.03329634,0.08730321,0.0007670543,1e-05,29.42142,0.0008732025,1.506038e-10,5.486633e-05,5.128167e-05,0.01260803,0.25,0.15,0,1e-05,-0.002568125,0.02435263,,,,,,,,,,15,,1.034778,1.500327,38777,1.270855,36.52,4.819923
13002,1790256235.161,-0.04459008,-0.06409278,0.1079999,-0.004009561,0,-0.0001160651,0,-0.01741084,-0.0006217008,-0.0003526713,-0.01212648,-0.000148662,-0.002216,-0.0002211577,0.10162,-0.002305515,-0.001469475,-0.0001934723,-0.002775407,-0.003681096,-0.003377332,0,0,0,0,0.0586438,0.01950832,-0.0005071656,-0.0004484195,0.04059797,0.1144422,0.05662629,0.1291434,0.0008390235,2.25e-05,29.41224,0.0009493688,1.066651e-10,6.036533e-05,4.997987e-05,0.008351805,0,0.15,0,2.25e-05,-0.007919354,0.03380977,,,,,,,,,,15,,1.080233,1.485188,38318,1.269859,58.09,7.747615
13003,1790256237.908,-0.06300381,-0.07820462,0.1439999,-0.006411582,0,-0.0001002913,0,-0.02255098,-0.0008117011,-0.0009666784,-0.01577088,-0.0001945256,-0.001325,-0.0003414875,0.1313874,-0.003655593,-0.0009823588,-4.133625e-05,-0.003835872,-0.004592271,-0.003162457,0,0,0,0,0.08003636,0.03312547,-0.0007492119,-0.0006296425,0.05887531,0.1552482,0.06997804,0.1688704,0.0008642021,5.0625e-05,29.39558,0.001020525,1.088405e-10,0.0001009289,5.539338e-05,0.009616242,0,0.15,0,5.0625e-05,-0.009191648,0.3065664,,,,,,,,,,15,,1.155652,1.58449,35875,1.268949,83.52,10.98435
13004,1790256240.693,-0.07979879,-0.09981929,0.1799999,-0.007231233,0,-0.0001563481,0,-0.02662755,-0.001073488,-0.008706416,-0.01729718,-0.0002441688,0,-0.0004943071,0.1531599,-0.00447385,0,0,-0.004385083,-0.005752652,-0.004208981,0,0,0,0,0.09940478,0.0545862,-0.0008142825,-0.0006797916,0.07055913,0.1770941,0.08012748,0.2127725,0.0009034083,7.59375e-05,29.39479,0.001239186,1.237317e-10,0.0002695691,6.620841e-05,0.009829524,0,0.1,0,7.59375e-05,-0.01312974,1.293685,,,,,,,,,,15,,1.229448,1.547867,35395,1.269775,107.76,13.89626
13005,1790256243.512,-0.09772509,-0.1209529,0.2159999,-0.009483162,0,-0.0003302176,0,-0.03765417,-0.001322684,-0.00380684,-0.02481599,-0.0002906319,-0.00263,-0.0004465173,0.1956998,-0.00524405,-0.001835397,-0.000116074,-0.005417404,-0.008520948,-0.004567635,0,0,0,0,0.1157862,0.04833204,-0.001036907,-0.0009210556,0.08631404,0.1990624,0.1003267,0.2566721,0.0009168149,0.0001139063,29.41747,0.002059153,1.43058e-10,0.001062217,8.012133e-05,0.01343642,0,0.1,0,0.0001139063,-0.01417098,3.441053,,,,,,,,,,15,,1.278966,1.532978,34959,1.271683,132.91,17.12701
13006,1790256246.285,-0.1081339,-0.1488317,0.2520002,-0.01011214,-0.04047566,-0.0002584493,0,-0.03715421,-0.001446641,-0.001345478,-0.02440956,-0.0003337618,0,-0.0006033565,0.2214373,-0.006558863,0,0,-0.006554933,-0.009213427,-0.005530108,-0.0005280727,-8.506324e-05,0.04142524,0,0.1375095,0.07597588,-0.001159519,-0.0009315794,0.10223,0.2574523,0.1145813,0.2941222,0.0009389505,0.0001139063,29.44354,0.003163457,1.565949e-10,0.002130536,9.397019e-05,0.01210784,0,0.05,0,0.0001139063,-0.01373396,3.848142,0,0,1,0,,,0,,,15,0,1.255276,1.510969,35536,1.273307,156.65,20.12887
13007,1790256249.218,-0.1227692,-0.1586592,0.2880004,-0.01090555,-0.0170417,-0.0001251896,0,-0.04200671,-0.001720432,-0.001550005,-0.02764361,-0.0003877454,0,-0.0005157627,0.2508797,-0.007456481,0,0,-0.007252324,-0.008634472,-0.005466613,-0.000175438,-7.827224e-05,0.01803166,0,0.1580225,0.08706789,-0.001315866,-0.001094447,0.1136969,0.2934285,0.1360017,0.3383159,0.0009238559,0.0001139063,29.46551,0.00404728,1.616677e-10,0.003021389,0.0001020355,0.01136484,0,0.05,0,0.0001139063,-0.01547979,3.752639,0,0,1,0.6666667,1,,0.5,1,1,15,0,1.312669,1.611048,33622,1.274646,180.53,23.18678
13008,1790256252.007,-0.1413974,-0.1828003,0.3240007,-0.01338285,-0.03600318,-0.0004487057,0,-0.05640694,-0.002027676,-0.003479776,-0.03868894,-0.0004359372,-0.005456001,-0.0006754866,0.3192897,-0.0083801,-0.003196593,-0.001080973,-0.008686455,-0.01289553,-0.006187463,-0.0005065754,-0.0001037337,0.0583069,0,0.1730187,0.05808222,-0.001622275,-0.001519557,0.1292972,0.3380325,0.1607545,0.3846311,0.0008842086,0.0001139063,29.48696,0.004572194,1.521352e-10,0.003586424,0.0001015614,0.01308248,0.05,0.1,0,0.0001139063,-0.012852,3.27283,0.2399081,0.5,nan,1,1,1,1,0,1,15,0,1.267759,1.510031,35389,1.276029,203.39,26.26511
13009,1790256254.802,-0.1635087,-0.2052765,0.3600009,-0.01717818,-0.1471914,-0.0009482323,-0.005,-0.0580909,-0.002213022,-0.01540442,-0.03834057,-0.0004733671,0,-0.000983445,0.3192329,-0.01050885,0,0,-0.009408353,-0.01636994,-0.007162909,-0.002436749,-5.822237e-05,0.1916303,0,0.1904319,0.1068195,-0.001617742,-0.001336441,0.1460576,0.3720913,0.1630231,0.4291987,0.0008217927,0.0001139063,29.50434,0.004380913,1.498278e-10,0.003460706,9.841492e-05,0.01004924,0,0.05,0,0.0001139063,-0.01300207,1.80625,0.3686998,0,1,0.5,1,1,0,0,0,15,0,1.26571,1.51884,35303,1.27704,228.13,29.26243
