step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/mech_effort,Episode_Reward/mech_overspeed,Episode_Reward/mech_progress,Episode_Reward/mech_push,Episode_Reward/mech_torn,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Mechanism/frontier_opened_ema,Mechanism/frontier_opened_fraction,Mechanism/latch_released_fraction,Mechanism/opened_fraction,Mechanism/opened_hinge,Mechanism/opened_pull,Mechanism/opened_push,Mechanism/opened_side,Mechanism/opened_up,Mechanism/peak_ceiling_n,Mechanism/torn_fraction,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
15000,1790262561.299,-0.004886155,-0.006608192,0.03599999,-0.0004993415,0,-4.24712e-05,0,-0.002268669,-0.0002869843,0,-0.002056588,-4.643174e-05,-0.00144,-0.0001220196,0.04312501,-0.0005402909,-0.00131905,0,-0.000702911,-0.0007386231,-0.0007035482,0,0,0,0,0,0.02040653,0,-0.0001257331,-9.135628e-05,0.01998495,0.04335176,0.01983844,0.04159728,0.0001995106,1e-05,16.81741,0.0002602256,3.325701e-08,3.920502e-05,2.147672e-05,40.661,0.95,0.05,0,1e-05,0.02405661,0.3201279,,,,,,,,,,50,,1.149701,1.427396,38145,0.6256459,12.26966,2.237536
15001,1790262563.848,-0.009124571,-0.01384195,0.07199996,-0.001249643,0,-9.396933e-05,0,-0.003805536,-0.0004200103,0,-0.003195151,-9.705639e-05,-0.001412,-4.423266e-05,0.08442998,-0.0009959184,-0.001435556,-1.343344e-05,-0.001701079,-0.001906674,-0.00195433,0,0,0,0,0,0.04019924,0.008969055,-0.0002728531,-0.0001834069,0.03768515,0.07997056,0.03360265,0.08824017,0.0006202548,1e-05,16.8286,0.00297322,3.509163e-09,0.002315981,3.698103e-05,0.4007051,0.9,0.05,0,1e-05,0.1414188,0.09334067,,,,,,,,,,50,,1.036457,1.480006,39064,0.6258178,36.46,6.429736
15002,1790262566.392,-0.01332181,-0.02128648,0.1079999,-0.002067198,0,-0.0001133791,0,-0.004742495,-0.0007890742,0,-0.003680005,-0.0001413267,-0.00146,-8.066961e-05,0.1229399,-0.001554289,-0.001441512,0,-0.002732214,-0.003233631,-0.001767177,0,0,0,0,0,0.06093703,0.02005482,-0.000398127,-0.0002291109,0.05405931,0.1113121,0.04181447,0.1285946,0.000380834,1e-05,16.83253,0.0007507983,6.600978e-10,0.0003404189,2.954472e-05,0.09591044,0.85,0.1,0,1e-05,0.04721139,0.0506749,,,,,,,,,,50,,1.066256,1.469916,38760,0.6259137,58.09,9.87614
15003,1790262569.159,-0.0190925,-0.02865738,0.1439999,-0.003730653,0,-0.000323429,0,-0.007419541,-0.001082603,-7.776216e-05,-0.006242616,-0.0001822289,-0.00167,-0.0001846069,0.1546249,-0.002492729,-0.00121064,-1.846774e-05,-0.004411416,-0.005077458,-0.002227824,0,0,0,0,0,0.07857187,0.03273235,-0.0005430709,-0.0003643875,0.07000218,0.1491903,0.0549836,0.1714357,0.0005518727,1e-05,16.8349,0.0008422825,1.470412e-10,0.0002560967,3.431302e-05,0.06779587,0.8,0.1,0,1e-05,0.02741666,0.08080483,,,,,,,,,,50,,1.166946,1.592896,35619,0.6259832,83.52,13.77816
15004,1790262571.908,-0.02309502,-0.03362426,0.1799999,-0.00468525,-0.003132686,-0.0006133701,-0.002,-0.006491674,-0.001374026,-0.003755928,-0.005287539,-0.0002286494,0,-0.0001480314,0.1982698,-0.002748524,0,0,-0.005185027,-0.007631439,-0.003355876,-2.554975e-05,0,0.004831817,9.385164e-05,0,0.09648281,0.05375034,-0.0006912182,-0.0003546737,0.09100905,0.1831562,0.06537332,0.2213338,0.0005059121,1e-05,16.83708,0.0009762394,4.113638e-11,0.0004423643,2.796299e-05,0.01529739,0.2,0.1,0,1e-05,0.0007181566,0.1279736,,,,,,,,,,50,,1.207078,1.528172,35939,0.6260695,107.76,17.41873
15005,1790262574.700,-0.02744443,-0.03745716,0.2159999,-0.004871714,-0.01302091,-0.001030124,0,-0.009516401,-0.001513827,0,-0.006871442,-0.0002725132,-0.0018,-8.137975e-05,0.2499748,-0.003067524,-0.00204989,0,-0.00636912,-0.01070582,-0.004022977,-0.0003300905,0,0.01012881,0.00238945,0,0.1137473,0.04779583,-0.0008071095,-0.0004938596,0.1094397,0.2119653,0.06199545,0.2680119,0.0004152073,1e-05,16.83985,0.001800269,6.420482e-11,0.001359831,2.523065e-05,0.02062403,0.65,0.1,0,1e-05,0.004818453,0.3193734,0,0,nan,0,0,,0,0,,50,1,1.232441,1.551596,35309,0.6261653,133.37,21.56243
15006,1790262577.506,-0.03216528,-0.04752221,0.2520002,-0.007533287,-0.06031733,-0.001130428,-0.008571429,-0.009555187,-0.00183806,-0.01065736,-0.007431032,-0.0003094839,0,-0.0001668072,0.2837211,-0.004037171,0,0,-0.007466571,-0.01139093,-0.003853634,-0.00726976,-0.003128617,0.04916456,0.005835253,-0.04285715,0.132618,0.07455366,-0.001065872,-0.0005366564,0.1248429,0.2655926,0.08015095,0.3083829,0.000450257,1e-05,16.84431,0.00276633,3.388811e-11,0.002288358,2.771543e-05,0.01712687,0.35,0.1,0,1e-05,0.0005072561,1.050641,0,0,0.5,0,0,0,0,0,0,50,1,1.266266,1.523199,35241,0.6263774,159.29,25.13391
15007,1790262580.281,-0.03606801,-0.05065219,0.2880004,-0.00651697,-0.04644619,-0.001178372,-0.025,-0.01060763,-0.002153965,-0.007250622,-0.00795259,-0.0003571135,0,-0.0001735454,0.3173747,-0.004595881,0,0,-0.009456663,-0.01525915,-0.004039807,-0.006210586,-0.001450098,0.04037707,0.002786752,-0.01666667,0.1520509,0.08535425,-0.00112602,-0.0005590154,0.1425566,0.2994931,0.09185978,0.3550984,0.0004846462,1e-05,16.85315,0.003204769,1.236979e-11,0.002686305,3.381782e-05,0.01471845,0.2,0.15,0,1e-05,-0.001291651,1.326579,0,0,nan,0,0,0,0,0,0,50,1,1.280759,1.483618,35561,0.6267464,182.85,28.64227
15008,1790262583.180,-0.04138248,-0.06009672,0.3240007,-0.008827887,-0.06930306,-0.001272304,-0.008333335,-0.0159749,-0.002341012,-0.002905216,-0.01308598,-0.000398263,-0.003726667,-0.0001356446,0.378158,-0.005058241,-0.003664246,0,-0.009463863,-0.01285573,-0.004004234,-0.008379321,-0.005295051,0.06557906,0.006408124,-0.01666667,0.1698007,0.06398739,-0.001298901,-0.0008183429,0.1627128,0.3169463,0.09263131,0.391627,0.0005172581,1e-05,16.86197,0.003541535,6.21295e-12,0.002985156,3.912023e-05,0.01433767,0.2,0.1,0,1e-05,-0.0001659364,1.934035,0.01158228,0,1,0,0,0,0,0,0,50,1,1.273584,1.613918,34044,0.6269676,208.23,32.64754
15009,1790262585.942,-0.04652841,-0.06685837,0.3600009,-0.010186,-0.1245129,-0.00214136,-0.0175,-0.01218629,-0.002635279,-0.007310814,-0.009451462,-0.0004346106,0,-0.0001036856,0.4184121,-0.005707715,0,0,-0.01108473,-0.01922319,-0.003299847,-0.01118472,-0.007860805,0.090488,0.008059571,-0.025,0.1850484,0.1052561,-0.001553256,-0.0007716517,0.1795233,0.3830441,0.128844,0.4420412,0.0005160422,1.5e-05,16.86862,0.003375926,3.332519e-12,0.002816509,4.337462e-05,0.01174742,0,0.1,0,1.5e-05,-0.001284673,1.760374,0.03650848,0,0,0,0,0,0,0,0,50,0.5,1.23809,1.511473,35752,0.6272091,230.3,36.03027
