step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/mech_effort,Episode_Reward/mech_overspeed,Episode_Reward/mech_progress,Episode_Reward/mech_push,Episode_Reward/mech_torn,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Mechanism/frontier_opened_ema,Mechanism/frontier_opened_fraction,Mechanism/latch_released_fraction,Mechanism/opened_fraction,Mechanism/opened_hinge,Mechanism/opened_pull,Mechanism/opened_push,Mechanism/opened_side,Mechanism/opened_up,Mechanism/peak_ceiling_n,Mechanism/torn_fraction,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
16000,1790265487.280,-0.004605437,-0.00570977,0.03599999,-0.0004598742,0,-4.658387e-05,0,-0.002140999,-0.000301455,0,-0.00189141,-4.463166e-05,-0.0009400001,-0.0001599703,0.04247501,-0.0006073606,-0.001272378,0,-0.0006312008,0,-0.00066666,-0.0006322809,0,0,0,0,0,0.02088021,0,-0.0001218624,-8.05603e-05,0.02109022,0.0433156,0.01977562,0.04000581,0.0003394712,1e-05,15.6145,0.0003825906,3.865122e-08,1.387938e-05,2.920138e-05,39.74328,0.95,0.05,0,1e-05,0.03054281,0.2089769,,,,,,,,,,60,,1.160707,1.476205,37279,0.5839857,12.26966,2.272671
16001,1790265489.912,-0.00861329,-0.01175196,0.07199996,-0.001273757,0,-5.979606e-05,0,-0.003296408,-0.0005292742,0,-0.002716432,-9.309864e-05,-0.001468,-8.576986e-05,0.08442998,-0.0009306649,-0.001563418,0,-0.001543003,0,-0.001881075,-0.00134657,0,0,0,0,0,0.04099872,0.009044059,-0.0002598896,-0.0001465052,0.03923377,0.08112334,0.03431785,0.08368876,0.0004500162,1e-05,15.62868,0.001354343,3.253762e-09,0.0008830922,2.123103e-05,1.045756,0.95,0.05,0,1e-05,0.2169648,0.4876095,,,,,,,,,,60,,1.040633,1.55323,37898,0.5841352,36.46,6.581863
16002,1790265492.584,-0.01307915,-0.01851879,0.1079999,-0.002625609,0,-7.564652e-05,0,-0.004576286,-0.0008797701,-0.001532327,-0.003731108,-0.0001346363,-0.0008725,-0.0001729288,0.1140999,-0.001328407,-0.0009235012,0,-0.002848553,0,-0.004823842,-0.001972208,0,0,0,0,0,0.0598851,0.02465991,-0.0004153164,-0.000254683,0.05315385,0.1142852,0.0434529,0.115961,0.0005576443,1e-05,15.63306,0.0007036268,3.838205e-10,0.0001165957,2.938634e-05,0.06637304,0.85,0.05,0,1e-05,0.04434498,11.17346,,,,,,,,,,60,,1.103675,1.561232,36888,0.5842609,61.34,10.33346
16003,1790265495.325,-0.0171405,-0.02346147,0.1436428,-0.004220339,0,-8.76249e-05,-0.001964286,-0.005986857,-0.001140016,-0.0007939611,-0.004768728,-0.000177073,-5.190477e-05,-0.0001650422,0.1340761,-0.001696128,-5.460836e-05,0,-0.004449216,0,-0.008930119,-0.002621773,0,0,0,0,0,0.07829604,0.04272222,-0.0005486393,-0.0003186344,0.07088681,0.1458412,0.05624899,0.1495674,0.001124393,1e-05,15.63724,0.001466396,8.523448e-11,0.0002760049,6.599731e-05,0.05326623,0.85,0.1,0,1e-05,0.03590938,6.85713,0,0,nan,0,0,0,,0,0,60,0,1.175803,1.557909,35959,0.5843899,95.64,14.84424
16004,1790265498.088,-0.02033021,-0.02706439,0.1727999,-0.004433916,-0.0006693175,-0.0001041475,-0.015,-0.007660038,-0.001383504,-0.001138544,-0.005598096,-0.0002107411,0,-0.0001518848,0.1567873,-0.002018642,0,0,-0.00558131,0.0004336948,-0.011848,-0.002474511,-4.84118e-06,0,0.001047231,0,0,0.09276086,0.05161918,-0.0006467862,-0.0003963098,0.08611155,0.1712403,0.06093067,0.192808,0.0006296383,1e-05,15.6414,0.001037339,2.222552e-11,0.0003502195,5.748077e-05,0.02134996,0.45,0.1,0,1e-05,0.005786886,2.900715,0,0,0,0,0,0,0,0,0,60,0,1.220446,1.533052,35701,0.5845445,113.97,17.41213
16005,1790265500.901,-0.01549615,-0.02101197,0.1352777,-0.003424098,-0.002621638,-0.0001162477,-0.01462963,-0.006064801,-0.001050301,-0.002267074,-0.004650702,-0.000166727,-0.0002466667,-0.0002572237,0.1233148,-0.001608206,-0.0003035726,0,-0.004624805,0.001505862,-0.009443916,-0.003113063,-0.000358681,-5.894354e-05,0.003986937,0,0,0.07118858,0.03759394,-0.000510245,-0.0003443396,0.06350752,0.1263051,0.04706501,0.1432746,0.0005831369,1.5e-05,15.64733,0.001240297,1.310253e-11,0.0006177069,3.945314e-05,0.012221,0,0.1,0,1.5e-05,-0.001320796,4.420993,0,0,1,0,0,0,0,0,0,60,0,1.21991,1.581998,35084,0.5847467,96.6,14.04396
16006,1790265503.683,-0.01448868,-0.01873029,0.1224677,-0.003277431,-0.003862609,-0.0001127482,-0.01758064,-0.006557484,-0.0009587797,-0.004746122,-0.004849757,-0.0001510824,0,-0.0003710205,0.1016451,-0.001428623,0,0,-0.004511499,0.00125761,-0.00965927,-0.003246677,-0.0002256978,0,0.00455104,0,0,0.06302278,0.03582327,-0.0004843303,-0.0003176893,0.05693999,0.1100488,0.03892032,0.128442,0.0006282669,2.25e-05,15.65434,0.001299847,7.299703e-12,0.0006256491,4.593054e-05,0.01126598,0,0.1,0,2.25e-05,-0.002712522,3.642778,0,0,0,0,0,0,0,0,0,60,0,1.201528,1.568907,35483,0.5850047,85.41,12.17042
16007,1790265506.485,-0.01763356,-0.02263482,0.149925,-0.00370077,0,-0.0001391237,-0.03424999,-0.007595758,-0.001220193,-0.003400304,-0.00571127,-0.0001846212,0,-0.000254486,0.1245974,-0.001847933,0,0,-0.005407156,0,-0.01166681,-0.002685982,0,0,0,0,0,0.07696712,0.04379476,-0.0006051435,-0.0004292253,0.06982066,0.1348086,0.0501999,0.1647877,0.00056199,1e-05,15.66151,0.001283529,5.340292e-12,0.0006742002,4.733911e-05,0.01273395,0.15,0.1,0,1e-05,-0.00229305,2.106807,0,0,1,0,0,0,0,0,0,60,0,1.203809,1.587507,35217,0.5851766,98.05,13.94179
16008,1790265509.288,-0.02274839,-0.02832544,0.1920001,-0.004603238,-0.003293334,-0.0002625844,-0.03299999,-0.01109029,-0.001492979,-0.009219389,-0.008899104,-0.0002344011,-0.002248,-0.0003990783,0.1775448,-0.0025138,-0.002353688,0,-0.006930546,0.0007508576,-0.01497085,-0.004445711,-0.000698957,0,0.004546848,0,0,0.09891053,0.03713339,-0.0007783835,-0.0005843825,0.09263015,0.1707232,0.06452329,0.2094471,0.0004839279,1.5e-05,15.66781,0.001209796,3.956886e-12,0.0006849317,4.093665e-05,0.0103227,0,0.1,0,1.5e-05,-0.007392626,1.467325,0,0,nan,0,0,0,1,0,0,60,0,1.20812,1.583128,35218,0.5854452,110.11,15.4342
16009,1790265512.135,-0.02046348,-0.02699465,0.1723125,-0.004479601,-0.01710844,-0.0001529217,-0.0275,-0.007547013,-0.001475929,-0.02485566,-0.005894599,-0.0002083066,0,-0.0003081935,0.1554874,-0.00201273,0,0,-0.006088417,0.00455061,-0.01216199,-0.002674505,-0.002551043,-0.002029104,0.02334528,0,-0.0125,0.08945829,0.05063967,-0.0007114555,-0.0004550029,0.08149497,0.1574937,0.06416304,0.193642,0.0004930697,2.25e-05,15.67851,0.001392255,3.153296e-12,0.0008618502,3.733516e-05,0.009771661,0,0.1,0,2.25e-05,-0.007811802,1.371541,0.0225625,0,1,0,0,0,0,0,0,60,1,1.224715,1.610602,34671,0.5858556,118.66,16.73135
