step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/mech_effort,Episode_Reward/mech_overspeed,Episode_Reward/mech_progress,Episode_Reward/mech_push,Episode_Reward/mech_torn,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Mechanism/frontier_opened_ema,Mechanism/frontier_opened_fraction,Mechanism/latch_released_fraction,Mechanism/opened_fraction,Mechanism/opened_hinge,Mechanism/opened_pull,Mechanism/opened_push,Mechanism/opened_side,Mechanism/opened_up,Mechanism/peak_ceiling_n,Mechanism/torn_fraction,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
13000,1790270003.890,-0.01649921,-0.02403157,0.03599999,-0.002464934,0,-0.0001020267,0,-0.008705661,-0.0001519009,-0.01056994,-0.006911982,-5.001749e-05,-0.002346667,-0.0001318935,0.02698334,-0.00103193,-0.001260603,-0.003711491,-0.001372466,0,-0.001860751,-0.002560856,0,0,0,0,0,0.0181009,0,-0.0003117428,-0.000201665,0.01291421,0.03482363,0.01964186,0.03192755,0.0005097678,1e-05,29.42673,0.0005961572,4.457279e-10,5.401918e-05,3.236974e-05,0.0944659,0.95,0.05,0,1e-05,0.02584025,0.3997467,,,,,,,,,,40,,1.196438,1.500566,36449,1.271215,12.4,1.621372
13001,1790270006.557,-0.03012892,-0.04286983,0.07199996,-0.00235559,0,-5.251874e-05,0,-0.01238321,-0.0003735667,-0.0002049332,-0.008659631,-9.863535e-05,-0.001664,-0.0002195031,0.07168999,-0.001795251,-0.001410681,-3.63206e-05,-0.001974794,0,-0.002591219,-0.002134231,0,0,0,0,0,0.03870071,0.008743274,-0.0003801566,-0.000342033,0.02922929,0.07993267,0.03331432,0.08730759,0.0007673081,1e-05,29.42143,0.0008730908,1.511085e-10,5.468054e-05,5.110196e-05,0.01302764,0.25,0.15,0,1e-05,-0.002768198,0.02583913,,,,,,,,,,40,,1.066684,1.566599,37331,1.270871,36.52,4.819177
13002,1790270009.285,-0.04577604,-0.06453797,0.1079999,-0.003899791,0,-0.0001122143,0,-0.01819187,-0.0005903424,-0.0003331121,-0.01231079,-0.0001494469,-0.002136,-0.0002318161,0.10097,-0.002340406,-0.001461533,-0.0001948309,-0.002757227,0,-0.003757093,-0.003400526,0,0,0,0,0,0.05860888,0.01948582,-0.0005105864,-0.0004490995,0.04137806,0.1147348,0.05607524,0.1293458,0.0008372433,2.25e-05,29.4129,0.000947883,1.077544e-10,6.057696e-05,5.006267e-05,0.008471807,0,0.15,0,2.25e-05,-0.007396036,0.03446868,,,,,,,,,,40,,1.165976,1.553905,36142,1.269944,58.09,7.746787
13003,1790270012.177,-0.06200923,-0.08118611,0.1439999,-0.006062677,0,-8.826492e-05,0,-0.02203576,-0.0008687088,-0.002288969,-0.01579272,-0.0001950134,-0.001455,-0.0004410524,0.1318749,-0.003811582,-0.0009933342,-0.0001343612,-0.003889601,0,-0.004554848,-0.003339082,0,0,0,0,0,0.07962545,0.03305213,-0.0007582743,-0.0006211958,0.05768924,0.1565844,0.07129394,0.1679515,0.0008638299,5.0625e-05,29.39714,0.001028835,1.0949e-10,0.0001091146,5.589039e-05,0.009401688,0,0.15,0,5.0625e-05,-0.008414437,0.2502325,,,,,,,,,,40,,1.348781,1.535678,34080,1.26908,83.52,10.9752
13004,1790270015.570,-0.07719861,-0.1003995,0.1799999,-0.007440843,-0.004244245,-0.0001573633,0,-0.0257428,-0.001008909,-0.006726253,-0.01719794,-0.0002423359,0,-0.000477763,0.1539399,-0.004342889,0,0,-0.004409883,0.002472146,-0.006098378,-0.003793331,-4.413587e-05,0,0.005289841,0,0,0.09895857,0.05446884,-0.0007881764,-0.0006561491,0.07234965,0.1735583,0.08091553,0.215593,0.0009089514,7.59375e-05,29.39783,0.001234951,1.219221e-10,0.0002592959,6.670325e-05,0.00953363,0,0.1,0,7.59375e-05,-0.01273868,1.276637,,,,,,,,,,40,,1.660134,1.719417,29087,1.27008,107.89,13.83363
13005,1790270019.701,-0.09651005,-0.1196111,0.2159999,-0.009239212,-0.0009,-0.0003195411,0,-0.03534396,-0.001331194,-0.002102493,-0.02398955,-0.0002890849,-0.00228,-0.0004178023,0.1995998,-0.005430436,-0.001825001,-0.0001244086,-0.005598512,0.00138564,-0.008207526,-0.004023246,-1.204329e-06,0,0.0008153929,0,0,0.1159513,0.04836456,-0.001056932,-0.0008843925,0.08525631,0.1998976,0.1009969,0.2533739,0.0009529686,0.0001139063,29.42294,0.002256917,1.434586e-10,0.001224632,7.931653e-05,0.01231107,0,0.1,0,0.0001139063,-0.01363159,3.815323,0,0,nan,0,,0,,,,40,0,2.210186,1.898358,23926,1.272014,133.08,17.18627
13006,1790270023.872,-0.112211,-0.1475751,0.2520002,-0.0105959,-0.07812344,-0.0002956101,-0.0025,-0.04031219,-0.001381895,-0.0003999825,-0.02648138,-0.0003352305,0,-0.0005444108,0.2142873,-0.006478657,0,0,-0.006487838,0.03468519,-0.009152181,-0.005838912,-0.001345837,-0.0002123581,0.07847919,0,0,0.1372056,0.0758879,-0.00120904,-0.0009710931,0.1012019,0.2600207,0.1144524,0.297429,0.0009730299,0.0001139063,29.44921,0.003390492,1.777413e-10,0.002321055,9.640704e-05,0.01284698,0,0.05,0,0.0001139063,-0.01182538,3.982854,0,0,nan,0,1,1,0,,,40,0,2.223034,1.907965,23796,1.273493,156.78,20.06512
13007,1790270028.084,-0.1233953,-0.1591434,0.2880004,-0.01070936,-0.02285128,-0.0001933699,0,-0.04217054,-0.001685488,-0.00113051,-0.02762122,-0.000386914,0,-0.0004527751,0.2513997,-0.007608539,0,0,-0.007581606,0.007824335,-0.009638633,-0.006194522,-0.0003157045,-0.0003610954,0.0225101,0,0,0.15655,0.08665502,-0.001392756,-0.001146628,0.11639,0.2869726,0.1380958,0.3410953,0.0009911476,0.0001139063,29.46881,0.004374713,2.243849e-10,0.003266832,0.0001167334,0.01060048,0,0.05,0,0.0001139063,-0.01614595,3.921608,0.05,1,nan,1,1,1,0,,,40,0,2.24736,1.920171,23588,1.274816,180.2,23.29363
13008,1790270032.352,-0.1417818,-0.1808541,0.3240007,-0.01333607,-0.0365098,-0.0004903746,0,-0.05695813,-0.001938253,-0.009161217,-0.03810422,-0.0004337674,-0.005812,-0.000654818,0.3152597,-0.008154342,-0.003565377,-0.0002581448,-0.008478104,0.0182096,-0.01427847,-0.006459023,-0.0006723435,-1.045276e-06,0.02163599,0,0,0.1729537,0.05813212,-0.001537064,-0.001437555,0.129522,0.3318067,0.1501627,0.3806867,0.0009916257,0.0001139063,29.48803,0.005083591,2.552389e-10,0.003964199,0.0001277659,0.01114443,0,0.05,0,0.0001139063,-0.01592886,3.413162,0.0818796,0,0,0,1,0,1,0,0,40,0,2.291764,1.912612,23381,1.276117,203.49,26.05326
13009,1790270036.598,-0.1652291,-0.2055579,0.3600009,-0.01659282,-0.1480502,-0.0007269121,-0.03666667,-0.05865742,-0.002244439,-0.004020195,-0.03672584,-0.0004680101,0,-0.0007529146,0.3148996,-0.009449353,0,0,-0.009676548,0.04734204,-0.01645192,-0.00670183,-0.002230459,-0.002634085,0.1188969,0,0,0.1910468,0.1070073,-0.001645961,-0.001390073,0.1411222,0.3453599,0.1661101,0.4250746,0.0009986152,0.0001139063,29.50585,0.005142749,2.645558e-10,0.004006949,0.0001371843,0.01043937,0,0.05,0,0.0001139063,-0.01388991,2.003678,0.233496,0,0,0,1,1,0,1,1,40,0,2.255747,1.937256,23444,1.277161,228.39,29.04027
