step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/mech_effort,Episode_Reward/mech_overforce,Episode_Reward/mech_overspeed,Episode_Reward/mech_progress,Episode_Reward/mech_push,Episode_Reward/mech_torn,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Mechanism/frontier_opened_ema,Mechanism/frontier_opened_fraction,Mechanism/latch_released_fraction,Mechanism/opened_fraction,Mechanism/opened_hinge,Mechanism/opened_pull,Mechanism/opened_push,Mechanism/opened_side,Mechanism/opened_up,Mechanism/peak_ceiling_n,Mechanism/torn_fraction,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
14499,1790274600.019,-0.006995928,-0.01153789,0.03599999,-0.000693513,0,-3.716705e-05,0,-0.003760428,-0.0001814675,0,-0.003064787,-4.78938e-05,-0.00166,-0.0001178506,0.04052501,-0.0006230153,-0.001276506,0,-0.0007933138,0,-0.0008080887,-0.0007130547,0,0,0,0,0,0,0.02017409,0,-0.000141323,-0.0001361773,0.01956614,0.04101276,0.02045428,0.04056008,0.0006873817,1e-05,21.3241,0.0007832263,1.772719e-08,3.24149e-05,6.3412e-05,37.66257,0.95,0.05,0,1e-05,0.1592051,0.2436248,,,,,,,,,,70,,1.165519,1.427454,37911,0.812297,12.26966,2.063881
14500,1790274602.580,-0.01464232,-0.02719286,0.07199997,-0.003077616,0,-0.0001030804,-0.000909091,-0.007101844,-0.0003333806,-0.003112128,-0.00560713,-9.846277e-05,-0.001030909,-0.0002070972,0.06787275,-0.001477994,-0.000873553,-0.001780769,-0.002206109,0,-0.004157783,-0.002983699,0,0,0,0,0,0,0.03809943,0.01365991,-0.0003336908,-0.0001967951,0.02825789,0.064092,0.03307937,0.08104415,0.001178326,1e-05,21.33972,0.002020475,2.576663e-09,0.0006883501,0.0001537965,0.2832899,0.9,0.05,0,1e-05,0.1059529,5.560321,,,,,,,,,,70,,1.088779,1.464217,38505,0.812646,38.09,5.790756
14501,1790274605.302,-0.02128745,-0.03637924,0.1051027,-0.004229923,0,-0.000204417,0,-0.009232283,-0.000580934,-0.005394883,-0.007342482,-0.0001415262,-0.000110137,-0.0004702469,0.08622261,-0.0020315,-0.0001038239,-6.580343e-05,-0.003666305,0,-0.008133567,-0.004142575,0,0,0,0,0,0,0.05319948,0.02956858,-0.0004664056,-0.0002338814,0.04138153,0.07616811,0.03820663,0.1058535,0.00158985,1e-05,21.34543,0.002076607,3.80299e-10,0.0003808127,0.0001059441,0.02953292,0.85,0.1,0,1e-05,0.01574319,12.16223,,,,,,,,,,70,,1.143146,1.570639,36223,0.8128287,69.8,8.541351
14502,1790274608.180,-0.02586488,-0.04271954,0.125107,-0.005722995,-0.000597856,-0.0002469442,0,-0.01190103,-0.0007339243,-0.0131162,-0.009814328,-0.0001642329,-0.0003490477,-0.0007586155,0.09506187,-0.002591419,-0.0002891105,-9.727387e-05,-0.004815691,0.0005803438,-0.01245899,-0.005789338,-2.677007e-06,-7.370731e-08,0,0.0003802851,0,0,0.06115264,0.03314884,-0.000635514,-0.0003219441,0.0432543,0.08325873,0.04134508,0.1228985,0.001881839,1e-05,21.34966,0.002472321,4.188138e-11,0.0004796116,0.0001108704,0.01784147,0.5,0.1,0,1e-05,0.004985919,6.709295,0,0,0,0,0,0,0,0,0,70,0,1.263457,1.603582,34287,0.8130161,83.55,9.484358
14503,1790274611.253,-0.01800576,-0.02995599,0.08706661,-0.003773498,0,-0.0001968763,0,-0.008459269,-0.0005002283,-0.00634381,-0.006815084,-0.0001160515,0,-0.0003914477,0.06497,-0.001835094,0,0,-0.00348877,0,-0.008948119,-0.004988077,0,0,0,0,0,0,0.04255229,0.02481828,-0.0004020664,-0.0002023833,0.0279126,0.05291589,0.02645679,0.07258846,0.001660472,1.5e-05,21.35443,0.002229637,7.746031e-12,0.0004920487,7.711576e-05,0.008518276,0,0.1,0,1.5e-05,-0.003749245,9.823843,0,0,nan,0,0,0,0,0,0,70,0,1.452723,1.603599,32164,0.8132553,55.42,5.763319
14504,1790274614.049,-0.0213027,-0.03395244,0.1023571,-0.004207919,-0.001822729,-0.0002884733,0,-0.01036126,-0.0006242362,-0.008269139,-0.008164561,-0.0001363001,-0.0001995238,-0.0005512439,0.07967855,-0.002105878,-0.0001829981,0,-0.003886654,0.0006730796,-0.009866426,-0.005031229,-8.645644e-05,-0.0008587813,0,0.001721074,0,0,0.04978838,0.02759974,-0.0004629429,-0.0002540327,0.03599568,0.06479612,0.03213233,0.08982953,0.001470809,1e-05,21.35999,0.00252462,2.483404e-12,0.0009887636,6.504745e-05,0.01060631,0.1,0.1,0,1e-05,-0.001735848,6.313309,0,0,nan,0,0,0,0,0,0,70,0,1.267993,1.51536,35318,0.8134628,64.38,6.79966
14505,1790274617.456,-0.02128091,-0.03411903,0.1014878,-0.004194784,-0.00528398,-0.0002979856,0,-0.01050557,-0.0005907241,-0.009141492,-0.008264115,-0.0001349362,0,-0.0006044403,0.07694387,-0.002195722,0,0,-0.003969067,0.002524317,-0.01015589,-0.004656916,-0.0002178243,-0.00153846,-0.000745923,0.006529561,0,0,0.04905941,0.02877356,-0.0004680597,-0.0002462603,0.03590633,0.06395366,0.02843462,0.09222661,0.001357381,1.5e-05,21.36578,0.002594131,1.634426e-12,0.001176913,5.983694e-05,0.007418757,0,0.1,0,1.5e-05,-0.005668859,6.862138,0,0,1,0,0,0,0,0,0,70,0,1.559825,1.824763,29044,0.8138061,60.35,6.267614
14506,1790274621.590,-0.02086559,-0.03295569,0.09822579,-0.003996118,-0.003969797,-0.0002205611,-0.000483871,-0.01013259,-0.0005909926,-0.01049756,-0.00832745,-0.0001301174,-0.0003283872,-0.0005325365,0.07284516,-0.002049976,-0.0002220277,0,-0.003950153,0.0007377922,-0.009849085,-0.005009892,-0.0001497901,-2.50269e-06,-0.0004731662,0.003512593,0,0,0.04737739,0.0257648,-0.0004838787,-0.0002623409,0.03245443,0.05821061,0.02834477,0.08318701,0.001308986,2.25e-05,21.37611,0.002475538,1.12623e-12,0.001103973,6.257869e-05,0.007380462,0,0.1,0,2.25e-05,-0.007099195,4.687304,0.0475,0,1,0,1,0,0,1,0,70,0,2.290571,1.80459,24004,0.8143287,66.44,6.783264
14507,1790274625.743,-0.02508758,-0.0398578,0.1217223,-0.005023214,-0.006811922,-0.0003776564,-0.0007407408,-0.01353581,-0.0007662225,-0.01322281,-0.01102286,-0.0001596489,-0.001239259,-0.0006838859,0.1003055,-0.002589335,-0.0009680513,-0.0007316216,-0.004712877,0.003322032,-0.01269809,-0.006102219,-0.000389693,-0.0003408632,-0.002172051,0.006491495,0,0,0.05851495,0.02548603,-0.0006341519,-0.0003791501,0.04241152,0.07656874,0.03601959,0.1064547,0.00119221,3.375e-05,21.38882,0.002397606,7.727521e-13,0.001144375,6.102119e-05,0.01007203,0,0.1,0,3.375e-05,-0.005254641,4.07163,0.02701801,0,0,0,0,0,0,0,0,70,0,2.244379,1.851051,24003,0.8148914,68.19,6.980039
14508,1790274629.922,-0.02508309,-0.03880468,0.1168816,-0.004800546,-0.01477266,-0.0003734144,-0.0009210526,-0.01254477,-0.00070682,-0.0168748,-0.0101357,-0.0001527346,-0.000313158,-0.0006999109,0.08820789,-0.0027118,-0.0002203013,-0.0007553407,-0.004623731,0.002439807,-0.01301217,-0.005487698,-0.0006895956,-0.0004581731,-0.001171872,0.01319469,0,0,0.05544453,0.03062673,-0.0006102698,-0.0003318735,0.03709897,0.07150085,0.03473835,0.1067579,0.00116318,2.25e-05,21.39967,0.002299006,5.581133e-13,0.001075273,6.055279e-05,0.00859436,0.05,0.05,0,2.25e-05,-0.00594953,3.072378,0.09732421,1,1,0.6666667,0.5,0.6666667,1,0,0,70,0,2.267138,1.843103,23916,0.8153062,80.23,8.302326
