step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/mech_effort,Episode_Reward/mech_overforce,Episode_Reward/mech_overspeed,Episode_Reward/mech_progress,Episode_Reward/mech_push,Episode_Reward/mech_torn,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Mechanism/frontier_opened_ema,Mechanism/frontier_opened_fraction,Mechanism/latch_released_fraction,Mechanism/opened_fraction,Mechanism/opened_hinge,Mechanism/opened_pull,Mechanism/opened_push,Mechanism/opened_side,Mechanism/opened_up,Mechanism/peak_ceiling_n,Mechanism/torn_fraction,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
13000,1790280872.633,-0.0166916,-0.02246022,0.03599999,-0.001531424,0,-5.594322e-05,0,-0.006510568,-0.0001324421,-0.002058384,-0.00455201,-5.125879e-05,-0.0003200001,-0.0001657257,0.02793125,-0.001091403,-0.0001722637,-0.0005686797,-0.001043633,0,-0.001641383,-0.001913054,0,0,0,0,0,0,0.01954042,0.009577835,-0.0002577878,-0.0001658625,0.01439372,0.03853171,0.01956374,0.0406144,0.0005017361,1e-05,29.42753,0.0005853102,5.503393e-10,5.149027e-05,3.208326e-05,0.06905418,0.95,0.05,0,1e-05,0.01884944,0.6298987,,,,,,,,,,40,,1.226752,1.52869,35676,1.27125,14.27,1.906247
13001,1790280875.182,-0.03137409,-0.03985858,0.07199996,-0.002359536,0,-6.635976e-05,0,-0.011391,-0.000335044,0,-0.007535902,-9.998414e-05,-0.0003644445,-0.0002644992,0.06169444,-0.00193475,-0.0002261175,0,-0.001723083,0,-0.002267448,-0.001660541,0,0,0,0,0,0,0.03987912,0.01947515,-0.0003656988,-0.000285346,0.02997064,0.07682093,0.03654198,0.08671449,0.0007844655,1e-05,29.42232,0.0008902724,1.615562e-10,5.466468e-05,5.114204e-05,0.01344524,0.25,0.15,0,1e-05,-0.002932677,0.03418988,,,,,,,,,,40,,1.059656,1.451822,39141,1.27095,37.88,5.06842
13002,1790280877.798,-0.04671329,-0.06618761,0.1079999,-0.003502549,0,-9.657498e-05,0,-0.01640707,-0.0005949854,-0.0008859262,-0.01075859,-0.0001465857,0,-0.0002562389,0.09069999,-0.002586538,0,0,-0.002590881,0,-0.002946165,-0.002478448,0,0,0,0,0,0,0.05981411,0.03279868,-0.0004676608,-0.0003994651,0.04550876,0.1115359,0.05718874,0.128092,0.0008427274,3.375e-05,29.41436,0.00095223,1.044811e-10,5.797261e-05,5.152986e-05,0.00878255,0,0.2,0,3.375e-05,-0.006994803,0.05506692,,,,,,,,,,40,,1.110758,1.493738,37743,1.269987,59.64,7.93011
13003,1790280880.527,-0.06414653,-0.08068225,0.1439999,-0.006400906,0,-0.0001226115,0,-0.02430026,-0.0007818486,-0.0003993547,-0.01554469,-0.0001979109,0,-0.0003349162,0.11595,-0.003711195,0,0,-0.003055942,0,-0.003432752,-0.002765278,0,0,0,0,0,0,0.08015601,0.04385121,-0.000635891,-0.0005222325,0.0538582,0.1471669,0.06824096,0.1780454,0.0008646831,7.59375e-05,29.39683,0.001019069,1.09705e-10,9.746768e-05,5.691795e-05,0.0109204,0,0.15,0,7.59375e-05,-0.00886777,0.3034379,0,0,0,0,0,0,,,,40,0,1.171088,1.550127,36125,1.269126,85.72,11.07306
13004,1790280883.349,-0.07981269,-0.09934507,0.1799999,-0.007863859,0,-0.0001025338,0,-0.02766745,-0.001002946,-0.004028206,-0.01852937,-0.0002425943,0,-0.0004287721,0.1512749,-0.004477153,0,0,-0.004549086,0,-0.00558744,-0.002598127,0,0,0,0,0,0,0.100125,0.05479467,-0.0007897269,-0.0006512169,0.07109272,0.1801996,0.08968866,0.2138406,0.0009004308,0.0001139063,29.40069,0.00123276,1.209202e-10,0.000264737,6.759251e-05,0.01295533,0,0.1,0,0.0001139063,-0.01346339,1.273123,0,0,0,0,0,0,,,,40,0,1.250078,1.562148,34955,1.270649,109.58,14.30419
13005,1790280886.179,-0.09423992,-0.1192188,0.2159999,-0.009091219,0,-0.0001636361,0,-0.03904087,-0.001217032,-0.001913057,-0.02736519,-0.0002913973,-0.00254,-0.0007392531,0.1991665,-0.00558819,-0.002100197,-0.0001493584,-0.005853338,0,-0.008217517,-0.004390054,0,0,0,0,0,0,0.1174428,0.04366012,-0.001005937,-0.0009119431,0.08652362,0.2098401,0.1039548,0.2449743,0.0009208694,0.0001139063,29.42892,0.002157419,1.394597e-10,0.001155411,8.113831e-05,0.01180102,0,0.05,0,0.0001139063,-0.01407719,3.288652,0,0,1,0,0,0,,0,,40,0,1.275842,1.543703,34865,1.272594,132.05,17.04463
13006,1790280888.974,-0.106903,-0.1393914,0.2520002,-0.01018624,-0.04979078,-0.0005394352,-0.00125,-0.03810529,-0.001425253,-0.003898841,-0.02415305,-0.000331642,0,-0.0004038688,0.2250122,-0.00653236,0,0,-0.006589783,0.01698661,-0.01237945,-0.004774056,-0.001082572,0,-1.801805e-05,0.04210592,0,0,0.1346938,0.07515951,-0.001104124,-0.0009377268,0.1020269,0.260322,0.1165583,0.2953479,0.0009693979,0.0001139063,29.45451,0.003302234,1.809938e-10,0.002231258,0.0001015782,0.01300657,0,0.05,0,0.0001139063,-0.01241156,3.957357,0,0,1,0,0,0,,0,,40,0,1.30286,1.482033,35299,1.274114,156.34,20.1573
13007,1790280891.877,-0.1261447,-0.1630969,0.2880004,-0.01171083,-0.09584481,-0.0004546095,-0.001,-0.04789381,-0.001722463,-0.006420646,-0.03195744,-0.0003787223,-0.002764,-0.0005501133,0.2611497,-0.007504837,-0.001956092,-1.095955e-05,-0.007938683,0.01766902,-0.01354444,-0.005933225,-0.001852326,0,-0.0002525513,0.07076871,0,0,0.1539437,0.06881811,-0.001394327,-0.001180548,0.1118233,0.2687047,0.1418276,0.3401459,0.001005319,0.0001139063,29.47757,0.004392979,2.266213e-10,0.003266359,0.0001213012,0.01140292,0,0.05,0,0.0001139063,-0.01598842,3.766898,0,0,1,0.5,0,0,0.5,0,,40,0,1.303284,1.589612,33981,1.275703,181.03,23.09814
13008,1790280894.684,-0.133452,-0.1802092,0.3240007,-0.01515099,-0.06187891,-0.000295815,0,-0.04969402,-0.001810727,-0.02247348,-0.03178648,-0.0004285663,0,-0.0004592729,0.2772996,-0.008006617,0,0,-0.00802443,0.02712907,-0.01061251,-0.004999713,-0.001474031,0,-5.610688e-05,0.06810558,0,0,0.1784426,0.09812421,-0.001399248,-0.001110629,0.1286628,0.2995619,0.1612135,0.3817588,0.001026687,0.0001139063,29.50419,0.005133712,2.511729e-10,0.003972721,0.0001343029,0.01542831,0.05,0.1,0,0.0001139063,-0.01424408,3.667471,0.1204215,0.5,1,0.5,0.5,0,1,0,0,40,0,1.314718,1.481583,35155,1.27754,205.01,25.79951
13009,1790280897.513,-0.1624741,-0.2011901,0.360001,-0.01585348,-0.1392988,-0.0008515202,0,-0.06076401,-0.0021246,-0.007450131,-0.04028728,-0.0004721359,-0.002425715,-0.0008313305,0.3284568,-0.009415409,-0.001247346,-0.0005708835,-0.009751406,0.05081465,-0.01774579,-0.007177168,-0.002608918,0,-0.0005321167,0.1193005,0,0,0.1891126,0.09119847,-0.001677267,-0.001443104,0.1419022,0.350958,0.1590631,0.427644,0.001006715,0.0001139063,29.52306,0.005195584,2.683656e-10,0.004043073,0.0001457955,0.0107282,0,0.05,0,0.0001139063,-0.0144725,2.042802,0.1975353,0.6666667,0,0.5,1,1,0,0,0,40,0,1.310666,1.506608,34893,1.278348,228.59,29.19327
