step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/mech_effort,Episode_Reward/mech_overforce,Episode_Reward/mech_overspeed,Episode_Reward/mech_progress,Episode_Reward/mech_push,Episode_Reward/mech_torn,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Mechanism/frontier_opened_ema,Mechanism/frontier_opened_fraction,Mechanism/latch_released_fraction,Mechanism/opened_fraction,Mechanism/opened_hinge,Mechanism/opened_pull,Mechanism/opened_push,Mechanism/opened_side,Mechanism/opened_up,Mechanism/peak_ceiling_n,Mechanism/torn_fraction,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
14499,1790285289.918,-0.006687043,-0.01189263,0.03599999,-0.000590496,0,-3.155331e-05,0,-0.001432646,-0.0002340183,0,-0.001027071,-4.950164e-05,0,-3.846364e-05,0.03695001,-0.0004639526,0,0,-0.0005408921,0,-0.0003333992,-0.0006692579,0,0,0,0,0,0,0.02150474,0.0113579,-0.0001398056,-5.889039e-05,0.0191743,0.04298921,0.02021567,0.04582725,0.000271028,1e-05,21.10986,0.0003285417,1.471138e-08,3.467605e-05,2.282295e-05,0.5515595,0.95,0.05,0,1e-05,0.06610622,0.1764206,,,,,,,,,,80,,1.168582,1.467894,37286,0.8029312,14.07,2.420735
14500,1790285292.473,-0.01304739,-0.02100028,0.07199996,-0.001235,0,-4.311799e-05,0,-0.003081822,-0.0005091893,0,-0.002056806,-9.58135e-05,-0.0003511111,-5.649154e-05,0.07736665,-0.0009728621,-0.0002438889,0,-0.001097861,0,-0.0006797296,-0.001020041,0,0,0,0,0,0,0.04266783,0.02014541,-0.0002848018,-0.0001334757,0.03719593,0.08355288,0.03994362,0.09014557,0.0002231014,1e-05,21.11025,0.0002601937,3.647792e-09,1.871899e-05,1.836969e-05,0.01326499,0.2,0.1,0,1e-05,-0.001985075,0.03022259,,,,,,,,,,80,,1.052262,1.493959,38607,0.8028605,38.08,6.546121
14501,1790285295.091,-0.01900377,-0.03474093,0.1079999,-0.002003414,0,-5.408128e-05,0,-0.003535542,-0.0008233145,0,-0.002454955,-0.0001424228,0,-8.633372e-05,0.1192999,-0.001551394,0,0,-0.001495853,0,-0.000962443,-0.001277746,0,0,0,0,0,0,0.06240305,0.03350913,-0.0004135767,-0.000178615,0.05611172,0.1293059,0.06145597,0.1366204,0.0002396155,1.5e-05,21.105,0.000296737,4.547514e-10,3.260529e-05,2.451568e-05,0.008697902,0,0.1,0,1.5e-05,-0.005279262,0.02578264,,,,,,,,,,80,,1.106075,1.503953,37663,0.8024677,59.51,10.38622
14502,1790285297.811,-0.02689261,-0.04230001,0.1439999,-0.003481063,0,-0.000103433,0,-0.006006056,-0.001080514,0,-0.00384177,-0.0001884518,0,-6.489312e-05,0.1591749,-0.002197613,0,0,-0.002080682,0,-0.001242622,-0.001968405,0,0,0,0,0,0,0.08270873,0.0445411,-0.0005558593,-0.0002362382,0.07214317,0.1697219,0.08163284,0.1808284,0.0002356023,2.25e-05,21.09296,0.0003282369,5.058009e-11,7.327794e-05,1.935659e-05,0.009027351,0.05,0.15,0,2.25e-05,-0.006151149,0.06532,,,,,,,,,,80,,1.194872,1.517679,36240,0.8019324,85.6,14.6617
14503,1790285300.589,-0.0318192,-0.05160227,0.1799999,-0.004476509,0,-0.0001112823,0,-0.006779346,-0.001439667,0,-0.004493465,-0.000234486,0,-4.453629e-05,0.2000248,-0.002703228,0,0,-0.002914104,0,-0.002543073,-0.001593687,0,0,0,0,0,0,0.1026011,0.05546845,-0.0006865442,-0.0003047164,0.08791588,0.2092044,0.1014917,0.2245887,0.0002331671,5.0625e-05,21.08519,0.000508296,7.452625e-12,0.0002557692,1.935963e-05,0.01148184,0,0.15,0,5.0625e-05,-0.007970238,0.1880653,,,,,,,,,,80,,1.253386,1.510132,35572,0.8018928,109.23,18.9303
14504,1790285303.384,-0.03884191,-0.05932633,0.2159999,-0.005488194,0,-0.0002688848,0,-0.01250714,-0.001614784,-0.001180631,-0.009660751,-0.0002789159,-0.001986667,-0.0002621982,0.2474831,-0.003489066,-0.00241978,-2.52939e-05,-0.004498479,0,-0.004698476,-0.002383666,0,0,0,0,0,0,0.1204479,0.04427151,-0.0008131766,-0.0004528677,0.1102992,0.2483083,0.1173318,0.2629665,0.0002675571,5.0625e-05,21.09114,0.001120357,1.283544e-12,0.0008308122,2.198789e-05,0.01160003,0.05,0.1,0,5.0625e-05,-0.006418562,0.3873104,,,,,,,,,,80,,1.282347,1.505251,35264,0.8023314,131.62,22.59721
14505,1790285306.205,-0.04569636,-0.0714228,0.2520002,-0.006288706,-0.02979895,-0.0003270463,0,-0.009401744,-0.001996957,-0.0009348759,-0.006570143,-0.0003190471,0,-4.938154e-05,0.2807497,-0.003770254,0,0,-0.004868006,0.01727542,-0.003372249,-0.002444578,-0.001573334,0,-0.002441952,0.03069506,0,0,0.1428459,0.07740559,-0.0009659244,-0.0004810981,0.1235695,0.2793358,0.1341862,0.3110104,0.0003277601,7.59375e-05,21.10394,0.001835815,5.939747e-13,0.001481065,2.69901e-05,0.01380582,0,0.1,0,7.59375e-05,-0.008238176,0.4922597,0,0,0,0,,,0,,0,80,0,1.287104,1.526294,34941,0.8029815,156.29,26.83056
14506,1790285309.029,-0.05263576,-0.08377038,0.2880004,-0.006721847,-0.09100321,-0.0005752262,0,-0.01538916,-0.002224315,-0.002124553,-0.01072189,-0.0003662248,-0.002144,-0.0001079491,0.3226397,-0.004562397,-0.001960183,0,-0.005782652,0.06419342,-0.004883123,-0.00357021,-0.001404403,0,-0.000818642,0.11867,0,0,0.158528,0.06987722,-0.001116848,-0.0006101286,0.1468508,0.3216351,0.1589605,0.362362,0.0003755261,7.59375e-05,21.12447,0.002333578,4.135485e-13,0.001925763,3.228927e-05,0.01274571,0,0.05,0,7.59375e-05,-0.0102659,0.4246635,0.06893437,0,0.5,0.5,1,1,0.5,1,0,80,0,1.280906,1.532681,34939,0.804051,181.37,31.04292
14507,1790285311.843,-0.05721595,-0.09674448,0.3240007,-0.008289697,-0.05903157,-0.0005247801,0,-0.01284404,-0.002661649,0,-0.008515852,-0.000413992,0,-3.452376e-05,0.3676497,-0.005253525,0,0,-0.006190172,0.024931,-0.003989865,-0.003135939,-0.003050771,0,-0.002864704,0.07970148,0,0,0.1764294,0.09755245,-0.001302344,-0.0006530955,0.1557644,0.3583412,0.1694363,0.3974181,0.0004050484,7.59375e-05,21.14898,0.002619456,2.940831e-13,0.002179441,3.496691e-05,0.0134505,0,0.05,0,7.59375e-05,-0.008521695,0.4526335,0.1514534,0,0,0,0,1,0,0,0,80,0,1.262827,1.540235,35070,0.8048447,205.31,34.6483
14508,1790285314.650,-0.0667633,-0.1028844,0.3600009,-0.01036111,-0.143641,-0.0006737427,-0.0125,-0.01902008,-0.002634894,-0.01355673,-0.01335316,-0.0004507952,-0.001475,-0.0001475382,0.4024059,-0.005946397,-0.001471927,0,-0.008696369,0.06039588,-0.008826951,-0.004061398,-0.008381976,0,-0.003948517,0.1538378,0,-0.0125,0.1948272,0.09430055,-0.00149318,-0.0008970771,0.1758466,0.385277,0.1939385,0.4360188,0.0004152263,7.59375e-05,21.16684,0.002590811,2.109725e-13,0.002139115,3.646931e-05,0.01479966,0.05,0.1,0,7.59375e-05,-0.007704806,0.2934165,0.2990389,0,0.5,0.4,0.5,1,0,0,1,80,0.2,1.248245,1.546902,35169,0.8054798,229.42,38.7888
14509,1790285317.462,-0.07289891,-0.1169681,0.3960012,-0.01155923,-0.1550249,-0.000572095,-0.005000001,-0.01698207,-0.002975178,-0.0209224,-0.01148223,-0.0004885639,-9.428572e-05,-0.0001546022,0.4417356,-0.006440859,-0.000104525,0,-0.008875015,0.04590115,-0.007772794,-0.003915342,-0.009011465,0,-0.002149767,0.1806411,0,0,0.215876,0.1183827,-0.001709791,-0.0009181548,0.1911184,0.4168217,0.2229028,0.4830419,0.0003964755,7.59375e-05,21.17896,0.002356629,1.557181e-13,0.001926729,3.342487e-05,0.01418377,0,0.05,0,7.59375e-05,-0.005857788,0.287651,0.3718156,0.5,0.75,0.6,0,1,1,0,0,80,0,1.243454,1.55809,35089,0.8059288,252.04,41.84949
14510,1790285320.261,-0.08430221,-0.1310154,0.432001,-0.01692123,-0.2368554,-0.001197985,-0.065,-0.02488536,-0.003276628,-0.0437941,-0.0180565,-0.0005349354,0,-0.001133518,0.478175,-0.009075481,0,0,-0.01258613,0.08736692,-0.02046012,-0.006338901,-0.02363421,0,-0.007429808,0.247609,0,0,0.22063,0.1258816,-0.002366327,-0.001395629,0.2043725,0.4498625,0.2256446,0.494555,0.0003654652,7.59375e-05,21.18923,0.002062084,1.165147e-13,0.001664935,3.168429e-05,0.0112264,0,0.05,0,7.59375e-05,-0.008342071,0.2535102,0.545516,1,nan,1,1,1,1,0.5,0,80,0,1.232482,1.554111,35277,0.8064107,275.75,45.47475
14511,1790285323.059,-0.08867308,-0.1384691,0.4680006,-0.01543861,-0.2713694,-0.001228562,-0.003,-0.02781091,-0.003523608,-0.009949295,-0.01936734,-0.0005762983,-0.001498,-0.0001560473,0.5083651,-0.007824017,-0.001319643,0,-0.01099442,0.06438427,-0.01475755,-0.006540097,-0.01634967,0,-0.01090994,0.2579951,0,-0.01,0.2508948,0.1253963,-0.001938853,-0.001124767,0.2205342,0.4537774,0.2448459,0.5683342,0.0003325779,5.0625e-05,21.19907,0.001897018,8.925055e-14,0.00153311,3.133018e-05,0.01154233,0.1,0.1,0,5.0625e-05,-0.007685641,0.2152052,0.6191246,0.4,nan,0.2857143,0.3333333,1,0,0.5,0,80,0.1428572,1.244077,1.543439,35265,0.8067256,302.32,49.14457
14512,1790285325.862,-0.09363433,-0.1471061,0.5040003,-0.01633071,-0.3421373,-0.00122847,-0.012,-0.02426861,-0.00365084,-0.07437228,-0.01690496,-0.0005980348,0,-9.97541e-05,0.5657903,-0.008580353,0,0,-0.01365097,0.08990722,-0.01155321,-0.005878055,-0.01543731,0,-0.01460983,0.39064,0,0,0.261987,0.1482294,-0.002058312,-0.001260553,0.2412637,0.4929765,0.2567471,0.6091751,0.0003224478,7.59375e-05,21.20823,0.001835811,7.542764e-14,0.001482332,3.103108e-05,0.01279482,0,0.1,0,7.59375e-05,-0.00889198,0.2449629,0.6655566,0.5,1,0.8000001,0.6666667,1,0.5,0.5,0,80,0,1.246064,1.545515,35214,0.8072756,323.7,52.91348
14513,1790285328.680,-0.09770916,-0.1604904,0.54,-0.01434192,-0.1795783,-0.0006863169,0,-0.02983471,-0.004224563,-0.002100939,-0.02087329,-0.0006741317,-0.00462,-0.0002459778,0.6036503,-0.00786713,-0.004808,0,-0.01091676,0.01327492,-0.01332428,-0.005964953,-0.002991506,0,0,0.1281262,0,0,0.2999463,0.1215058,-0.002113309,-0.001196695,0.2712896,0.5475041,0.2907426,0.677781,0.0003187933,7.59375e-05,21.22091,0.001804098,6.444277e-14,0.001454455,3.084946e-05,0.0122962,0,0.05,0,7.59375e-05,-0.007176936,0.1901701,0.4966134,0,nan,0,1,0,0,0.5,0,80,0,1.244272,1.553893,35131,0.8077733,348.48,57.55595
14514,1790285331.488,-0.1003504,-0.1725619,0.5759997,-0.01656558,-0.5011272,-0.0001216385,0,-0.02305915,-0.004558728,0,-0.01521903,-0.0006784836,0,-0.0001670318,0.6367006,-0.008264198,0,0,-0.01478059,0.09405362,-0.007631294,-0.004289815,-0.01409598,0,-0.003053712,0.7869992,0,0,0.3199422,0.175204,-0.002257124,-0.001095294,0.2622705,0.556923,0.320583,0.7254943,0.0003036156,7.59375e-05,21.2301,0.001732912,5.819509e-14,0.001401377,2.791935e-05,0.0130982,0,0.05,0,7.59375e-05,-0.006637296,0.1602813,0.6364888,1,1,1,0,1,0,1,0,80,0,1.244011,1.552703,35149,0.8080326,371.86,62.19773
14515,1790285334.262,-0.1118429,-0.1824935,0.6119994,-0.01899188,-0.4160975,-0.001807682,-0.0225,-0.02786992,-0.004503964,-0.1028712,-0.01821614,-0.0007169389,0,-0.0001918428,0.6957507,-0.01007424,0,0,-0.01533293,0.06945796,-0.01250161,-0.005524505,-0.03160078,0,-0.004687998,0.320607,0,0,0.3167717,0.179602,-0.002567208,-0.001588026,0.283656,0.5568904,0.3323198,0.7554997,0.0003027452,7.59375e-05,21.23589,0.001674494,5.187683e-14,0.001341604,3.014544e-05,0.0113853,0,0.05,0,7.59375e-05,-0.01057445,0.1696596,0.6713756,0.5,nan,0.5,0,1,1,0.5,0,80,0,1.249776,1.512596,35586,0.8083228,396.54,66.31213
14516,1790285337.058,-0.1211432,-0.1889606,0.647999,-0.01713789,-0.3581665,-0.0008092296,-0.01,-0.03801924,-0.004879892,-0.01716318,-0.02660262,-0.0007894248,-0.004862858,-0.0003388295,0.7080008,-0.01034819,-0.003926815,0,-0.01493753,0.07952147,-0.02106174,-0.008100033,-0.02149374,0,-0.003198956,0.4069523,0,0,0.3506361,0.1545782,-0.002916374,-0.001727205,0.3093466,0.6323119,0.3400809,0.7848499,0.0002967468,7.59375e-05,21.24301,0.001653892,4.523263e-14,0.001329327,2.781775e-05,0.0153501,0.05,0.1,0,7.59375e-05,-0.00986331,0.1694827,0.6407234,0.75,1,0.8000001,0.5,1,0,1,0,80,0,1.238999,1.545715,35301,0.8086245,418.12,68.3972
14517,1790285339.842,-0.1290758,-0.2120564,0.6839988,-0.02021028,0,-0.0007138684,0,-0.0286651,-0.005770471,0,-0.01867801,-0.0008640507,0,-0.0001828986,0.7839507,-0.01091971,0,0,-0.01384697,0,-0.00824774,-0.00647906,0,0,0,0,0,0,0.3797304,0.2080019,-0.002590646,-0.001285906,0.3407913,0.778089,0.3878778,0.8606884,0.0002800251,7.59375e-05,21.24905,0.001586292,4.193538e-14,0.001280445,2.582192e-05,0.011897,0,0.05,0,7.59375e-05,-0.01041817,0.1501722,0.6599855,0,0,0,0,1,0,1,0,80,0,1.222415,1.549639,35462,0.8088396,441.72,73.42675
14518,1790285342.637,-0.1322983,-0.2095288,0.7119985,-0.02074936,-0.4072313,-0.001320733,-0.0008333334,-0.04378707,-0.005433535,-0.005295285,-0.03140736,-0.000880191,-0.00593,-0.0004310663,0.7787098,-0.01146067,-0.005880253,0,-0.01770258,0.1300808,-0.01920253,-0.008650582,-0.009684721,0,-0.006472303,0.4884311,0,0,0.3828077,0.1596852,-0.003090623,-0.001837639,0.3440638,0.7197987,0.345171,0.8717116,0.0002860561,7.59375e-05,21.25504,0.001628936,3.970986e-14,0.001316513,2.636667e-05,0.01057658,0,0.05,0,7.59375e-05,-0.009969865,0.1659028,0.6561007,1,1,0.75,0.6666667,1,0,1,0,80,0,1.235654,1.549005,35301,0.8091561,468.83,77.81383
14519,1790285345.430,-0.1293994,-0.2047604,0.7007486,-0.01978734,-0.3700976,-0.0008678024,-0.001666667,-0.03694444,-0.005247918,-0.002925589,-0.02524105,-0.0008487717,-0.004199999,-0.0002617062,0.7703182,-0.01053564,-0.003878839,0,-0.01567104,0.08307739,-0.01911036,-0.006628091,-0.01620619,0,-0.002206174,0.4683356,0,0,0.3821532,0.1722661,-0.003059439,-0.001721092,0.3423235,0.7157816,0.3694986,0.8681361,0.000283915,7.59375e-05,21.26187,0.00162893,3.546681e-14,0.0013182,2.681444e-05,0.01085959,0,0.05,0,7.59375e-05,-0.01159258,0.1323967,0.6420757,0.5,0.5,0.75,0.5,1,0,1,0,80,0,1.234243,1.547477,35339,0.8093116,490.6,82.7375
