attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,arm_speed_rad_s,finger_contact_n,forearm_contact_n,fell,door_deg,handle_deg,claw_engaged,claw_force_n,force_cmd_n
0,0,0.0,spawn,0.00992,0.0098,0.00156,0.00992,0.0006,-2.08,0.25,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,0,0.0,spawn,0.00992,0.0098,0.00156,0.00992,0.0006,-2.08,0.25,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,0,0.0,spawn,0.00992,0.0098,0.00156,0.00992,0.0006,-2.08,0.25,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,0,0.0,spawn,0.00992,0.0098,0.00156,0.00992,0.0006,-2.08,0.25,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,3,0.06,spawn,0.03842,0.03661,0.01165,0.03842,0.0024,-3.48,1.75,0.3447,0.0037,0.234,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,3,0.06,spawn,0.03842,0.03661,0.01165,0.03842,0.0024,-3.48,1.75,0.3447,0.0037,0.234,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,3,0.06,spawn,0.03842,0.03661,0.01165,0.03842,0.0024,-3.48,1.75,0.3447,0.0037,0.234,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,3,0.06,spawn,0.03842,0.03661,0.01165,0.03842,0.0024,-3.48,1.75,0.3447,0.0037,0.234,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,4,0.08,spawn,0.03954,0.03737,0.01294,0.03954,0.003,-2.8,1.63,0.343,0.0042,0.236,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,4,0.08,spawn,0.03955,0.03737,0.01294,0.03955,0.003,-2.8,1.63,0.343,0.0042,0.236,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,4,0.08,spawn,0.03954,0.03737,0.01294,0.03954,0.003,-2.8,1.63,0.343,0.0042,0.236,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,4,0.08,spawn,0.03954,0.03737,0.01294,0.03954,0.003,-2.8,1.63,0.343,0.0042,0.236,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,5,0.1,spawn,0.03931,0.0377,0.01116,0.03931,0.0036,-2.17,1.64,0.3413,0.0046,0.3,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,5,0.1,spawn,0.03931,0.0377,0.01116,0.03931,0.0036,-2.17,1.64,0.3413,0.0046,0.3,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,5,0.1,spawn,0.03932,0.0377,0.01116,0.03932,0.0036,-2.17,1.64,0.3413,0.0046,0.3,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,5,0.1,spawn,0.03932,0.0377,0.01117,0.03932,0.0036,-2.17,1.64,0.3413,0.0046,0.3,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,6,0.12,spawn,0.03728,0.03666,0.0068,0.03728,0.0042,-1.9,1.54,0.3396,0.005,0.345,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,6,0.12,spawn,0.03728,0.03665,0.00679,0.03728,0.0042,-1.9,1.54,0.3396,0.005,0.345,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,6,0.12,spawn,0.03729,0.03667,0.0068,0.03729,0.0042,-1.91,1.54,0.3396,0.005,0.345,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,6,0.12,spawn,0.0373,0.03667,0.00681,0.0373,0.0042,-1.91,1.54,0.3396,0.005,0.345,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,7,0.14,spawn,0.03377,0.03377,0.00023,0.03377,0.0048,-1.58,1.58,0.3381,0.0053,0.396,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,7,0.14,spawn,0.03377,0.03377,0.00023,0.03377,0.0048,-1.58,1.58,0.3381,0.0053,0.396,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,7,0.14,spawn,0.03379,0.03379,0.00024,0.03379,0.0048,-1.58,1.58,0.3381,0.0053,0.396,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,7,0.14,spawn,0.03379,0.03379,0.00025,0.03379,0.0048,-1.58,1.58,0.3381,0.0053,0.396,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,8,0.16,spawn,0.03002,0.02981,-0.00356,0.03002,0.0054,-1.31,1.63,0.3367,0.0058,0.434,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,8,0.16,spawn,0.03002,0.0298,-0.00356,0.03001,0.0054,-1.31,1.62,0.3367,0.0058,0.434,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,8,0.16,spawn,0.03004,0.02983,-0.00356,0.03004,0.0054,-1.31,1.63,0.3367,0.0058,0.434,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,8,0.16,spawn,0.03004,0.02983,-0.00356,0.03004,0.0054,-1.31,1.63,0.3367,0.0058,0.434,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,9,0.18,spawn,0.02753,0.02704,-0.00517,0.02753,0.006,-1.57,1.75,0.3354,0.0065,0.489,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,9,0.18,spawn,0.02752,0.02703,-0.00517,0.02752,0.006,-1.57,1.75,0.3354,0.0065,0.489,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,9,0.18,spawn,0.02754,0.02705,-0.00517,0.02754,0.006,-1.57,1.75,0.3354,0.0065,0.489,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,9,0.18,spawn,0.02754,0.02705,-0.00516,0.02754,0.006,-1.56,1.75,0.3354,0.0065,0.489,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,10,0.2,spawn,0.02489,0.02351,-0.00816,0.02489,0.0066,-1.96,1.8,0.3343,0.0071,0.529,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,10,0.2,spawn,0.02488,0.02351,-0.00816,0.02488,0.0066,-1.96,1.8,0.3343,0.0071,0.529,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,10,0.2,spawn,0.0249,0.02352,-0.00816,0.0249,0.0066,-1.96,1.8,0.3343,0.0071,0.53,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,10,0.2,spawn,0.0249,0.02352,-0.00815,0.0249,0.0066,-1.96,1.8,0.3343,0.0071,0.53,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,11,0.22,spawn,0.02168,0.01813,-0.01189,0.02168,0.0072,-1.63,1.94,0.3332,0.0077,0.585,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,11,0.22,spawn,0.02168,0.01812,-0.01189,0.02168,0.0072,-1.63,1.94,0.3332,0.0077,0.585,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,11,0.22,spawn,0.02169,0.01814,-0.01189,0.02169,0.0072,-1.63,1.94,0.3332,0.0077,0.586,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,11,0.22,spawn,0.02169,0.01814,-0.01189,0.02169,0.0072,-1.63,1.94,0.3332,0.0077,0.586,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,12,0.24,spawn,0.01934,0.01347,-0.01388,0.01934,0.0078,-1.36,1.95,0.3324,0.0083,0.618,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,12,0.24,spawn,0.01934,0.01347,-0.01388,0.01934,0.0078,-1.36,1.95,0.3324,0.0083,0.618,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,12,0.24,spawn,0.01935,0.01348,-0.01388,0.01935,0.0078,-1.36,1.95,0.3324,0.0083,0.618,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,12,0.24,spawn,0.01935,0.01348,-0.01388,0.01935,0.0078,-1.36,1.95,0.3324,0.0083,0.618,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,13,0.26,spawn,0.01982,0.01396,-0.01407,0.01982,0.0084,-1.03,2.08,0.3319,0.0091,0.689,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,13,0.26,spawn,0.01981,0.01395,-0.01407,0.01981,0.0084,-1.03,2.08,0.3319,0.0091,0.689,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,13,0.26,spawn,0.01981,0.01395,-0.01407,0.01981,0.0084,-1.03,2.08,0.3319,0.0091,0.689,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,13,0.26,spawn,0.01982,0.01396,-0.01407,0.01982,0.0084,-1.03,2.08,0.3319,0.0091,0.689,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,14,0.28,spawn,0.0204,0.01443,-0.01442,0.0204,0.009,-1.07,2.0,0.3316,0.0098,0.73,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,14,0.28,spawn,0.02041,0.01445,-0.01442,0.02041,0.009,-1.07,2.0,0.3316,0.0098,0.729,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,14,0.28,spawn,0.02041,0.01444,-0.01442,0.02041,0.009,-1.08,2.0,0.3316,0.0098,0.73,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,14,0.28,spawn,0.02041,0.01444,-0.01442,0.02041,0.009,-1.08,2.0,0.3316,0.0098,0.73,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,15,0.3,spawn,0.02339,0.01798,-0.01496,0.02339,0.0096,-0.66,0.98,0.3315,0.0106,0.79,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,15,0.3,spawn,0.02339,0.01797,-0.01497,0.02339,0.0096,-0.66,0.98,0.3315,0.0106,0.79,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,15,0.3,spawn,0.02337,0.01796,-0.01496,0.02337,0.0096,-0.66,0.98,0.3315,0.0106,0.79,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,15,0.3,spawn,0.02338,0.01796,-0.01496,0.02338,0.0096,-0.66,0.98,0.3315,0.0106,0.79,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,16,0.32,spawn,0.02487,0.01977,-0.01508,0.02487,0.0102,-0.46,1.32,0.3313,0.0113,0.834,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,16,0.32,spawn,0.02488,0.01978,-0.01509,0.02488,0.0102,-0.46,1.32,0.3313,0.0113,0.834,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,16,0.32,spawn,0.02487,0.01977,-0.01509,0.02487,0.0102,-0.47,1.32,0.3313,0.0113,0.834,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,16,0.32,spawn,0.02487,0.01977,-0.01509,0.02487,0.0102,-0.47,1.32,0.3313,0.0113,0.834,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,17,0.34,spawn,0.02735,0.0227,-0.01524,0.02735,0.0108,0.03,2.09,0.3312,0.0121,0.892,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,17,0.34,spawn,0.02733,0.02268,-0.01525,0.02733,0.0108,0.03,2.09,0.3312,0.0121,0.892,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,17,0.34,spawn,0.02733,0.02269,-0.01524,0.02733,0.0108,0.03,2.1,0.3312,0.0121,0.892,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,17,0.34,spawn,0.02733,0.02269,-0.01524,0.02733,0.0108,0.03,2.1,0.3312,0.0121,0.892,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,18,0.36,spawn,0.02679,0.02182,-0.01555,0.02679,0.0114,0.35,2.79,0.3312,0.0129,0.944,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,18,0.36,spawn,0.02679,0.02183,-0.01554,0.02679,0.0114,0.36,2.79,0.3312,0.0129,0.944,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,18,0.36,spawn,0.0268,0.02183,-0.01555,0.0268,0.0114,0.35,2.8,0.3312,0.0129,0.945,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,18,0.36,spawn,0.0268,0.02182,-0.01555,0.0268,0.0114,0.35,2.8,0.3312,0.0129,0.945,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,19,0.38,spawn,0.02526,0.02087,-0.01423,0.02526,0.012,0.73,3.09,0.3311,0.0138,1.014,1.348,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,19,0.38,spawn,0.02524,0.02085,-0.01423,0.02524,0.012,0.72,3.1,0.3311,0.0138,1.014,1.336,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,19,0.38,spawn,0.02525,0.02086,-0.01423,0.02525,0.012,0.72,3.09,0.3311,0.0138,1.014,1.351,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,19,0.38,spawn,0.02525,0.02086,-0.01423,0.02525,0.012,0.72,3.09,0.3311,0.0138,1.014,1.356,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,20,0.4,spawn,0.02227,0.01865,-0.01217,0.02227,0.0126,0.79,3.45,0.3309,0.0148,1.078,0.642,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,20,0.4,spawn,0.02228,0.01866,-0.01217,0.02228,0.0126,0.79,3.43,0.3309,0.0148,1.078,0.637,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,20,0.4,spawn,0.02227,0.01866,-0.01217,0.02227,0.0126,0.79,3.44,0.3309,0.0148,1.078,0.642,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,20,0.4,spawn,0.02227,0.01865,-0.01216,0.02227,0.0126,0.79,3.44,0.3309,0.0148,1.078,0.643,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,21,0.42,spawn,0.02182,0.01875,-0.01115,0.02182,0.0132,0.92,5.19,0.3307,0.0159,1.158,1.058,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,21,0.42,spawn,0.0218,0.01874,-0.01115,0.0218,0.0132,0.92,5.2,0.3307,0.0159,1.157,1.064,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,21,0.42,spawn,0.02181,0.01874,-0.01114,0.02181,0.0132,0.92,5.2,0.3307,0.0159,1.158,1.06,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,21,0.42,spawn,0.02181,0.01875,-0.01114,0.02181,0.0132,0.92,5.19,0.3307,0.0158,1.158,1.058,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,22,0.44,spawn,0.0227,0.0198,-0.01111,0.0227,0.0138,1.16,4.66,0.3303,0.0168,1.221,0.708,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,22,0.44,spawn,0.02273,0.01982,-0.01111,0.02273,0.0138,1.16,4.65,0.3303,0.0168,1.221,0.722,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,22,0.44,spawn,0.02271,0.01982,-0.0111,0.02271,0.0138,1.16,4.66,0.3303,0.0168,1.222,0.719,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
3,22,0.44,spawn,0.0227,0.0198,-0.0111,0.0227,0.0138,1.16,4.66,0.3303,0.0168,1.221,0.712,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
0,23,0.46,spawn,0.0236,0.02097,-0.01083,0.0236,0.0144,1.1,4.0,0.3298,0.0177,1.279,0.393,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
1,23,0.46,spawn,0.02357,0.02093,-0.01084,0.02357,0.0144,1.1,4.01,0.3298,0.0177,1.278,0.387,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
2,23,0.46,spawn,0.02358,0.02094,-0.01083,0.02358,0.0144,1.1,4.01,0.3298,0.0177,1.279,0.389,0.0,0.0,0,0.0,-0.0,0,0.0,0.0
